# x_m,y_m,w_tr_right_m,w_tr_left_m
-8.5580,6.7695,1.0006,1.0006
-8.1535,6.1224,0.9874,0.9874
-7.5064,5.6371,0.9874,0.9874
-6.8593,5.1517,1.0135,1.0135
-6.2122,4.6664,1.0135,1.0135
-5.5651,4.1810,1.0296,1.0296
-4.9179,3.6957,1.0296,1.0296
-4.2708,3.2104,1.0135,1.0135
-3.6237,2.7250,1.0135,1.0135
-2.9766,2.1588,0.9874,0.9874
-2.3295,1.6735,0.9874,0.9874
-1.6823,1.1881,1.0135,1.0135
-1.0352,0.7028,1.0135,1.0135
-0.3881,0.2174,1.0296,1.0296
0.2590,-0.2679,1.0296,1.0296
0.9061,-0.7532,1.0296,1.0296
1.5533,-1.2386,1.0135,1.0135
2.2004,-1.7239,1.0135,1.0135
2.8475,-2.2902,0.9874,0.9874
3.4946,-2.7755,0.9874,0.9874
4.1417,-3.2608,1.0135,1.0135
4.7889,-3.7462,1.0135,1.0135
5.4360,-4.2315,1.0296,1.0296
6.0831,-4.7169,1.0296,1.0296
6.7302,-5.2022,1.0296,1.0296
7.3773,-5.6875,1.0135,1.0135
8.0245,-6.1729,1.0135,1.0135
8.6716,-6.7391,0.9874,0.9874
9.3187,-7.2244,0.9874,0.9874
9.9658,-7.7098,1.0135,1.0135
10.6129,-8.1951,1.0135,1.0135
11.2601,-8.6805,1.0296,1.0296
11.9072,-9.1658,1.0296,1.0296
12.5543,-9.6511,1.0296,1.0296
13.2014,-10.1365,1.0135,1.0135
13.8485,-10.6218,1.0135,1.0135
14.4957,-11.1881,0.9874,0.9874
15.1428,-11.6734,0.9874,0.9874
15.7899,-12.1587,1.0135,1.0135
16.4370,-12.6441,1.0135,1.0135
17.0841,-13.1294,1.0135,1.0135
17.7313,-13.6148,1.0296,1.0296
18.3784,-14.1001,1.0296,1.0296
19.0255,-14.5854,1.0135,1.0135
19.6726,-15.0708,1.0135,1.0135
20.3197,-15.5561,0.9874,0.9874
20.9669,-16.1223,0.9874,0.9874
21.6140,-16.6077,0.9874,0.9874
22.2611,-17.0930,1.0135,1.0135
22.9082,-17.5784,1.0135,1.0135
23.5553,-18.0637,1.0296,1.0296
24.2025,-18.5490,1.0296,1.0296
24.8496,-19.0344,1.0135,1.0135
25.4967,-19.5197,1.0135,1.0135
26.1438,-20.0051,1.0135,1.0135
26.7909,-20.5713,0.9874,0.9874
27.4381,-21.0566,0.9874,0.9874
28.0852,-21.5420,1.0135,1.0135
28.7323,-22.0273,1.0135,1.0135
29.3794,-22.5127,1.0296,1.0296
30.0265,-22.9980,1.0296,1.0296
30.6737,-23.4833,1.0296,1.0296
31.3208,-23.9687,1.0135,1.0135
31.9679,-24.4540,1.0135,1.0135
32.6150,-25.0202,0.9874,0.9874
33.2621,-25.5056,0.9874,0.9874
33.9093,-25.9909,1.0135,1.0135
34.5564,-26.4763,1.0135,1.0135
35.2035,-26.9616,1.0296,1.0296
35.8506,-27.4469,1.0135,1.0135
36.4977,-27.8514,1.0135,1.0135
37.1449,-28.1750,1.0135,1.0135
37.7920,-28.4985,1.0135,1.0135
38.4391,-28.8221,0.9774,0.9774
39.0862,-29.0647,1.0135,1.0135
39.7333,-29.1456,0.9707,0.9707
40.3805,-29.1456,1.0232,1.0232
40.9467,-28.7412,1.0547,1.0547
41.0276,-28.0941,0.9707,0.9707
40.9467,-27.4469,1.0006,1.0006
40.7040,-26.7998,0.9774,0.9774
40.5422,-26.1527,1.0232,1.0232
40.2996,-25.5056,1.0006,1.0006
40.0569,-24.8585,0.9774,0.9774
39.8142,-24.2113,0.9774,0.9774
39.5716,-23.5642,0.9468,0.9468
39.4098,-22.9171,1.0232,1.0232
39.1671,-22.2700,1.0135,1.0135
38.9244,-21.6229,1.0006,1.0006
38.6818,-20.9757,1.0006,1.0006
