# x_m,y_m,w_tr_right_m,w_tr_left_m
-7.2859,6.7779,1.0026,1.0026
-7.1757,6.2987,1.0041,1.0041
-6.9741,5.8103,1.0057,1.0057
-6.6842,5.3138,1.0086,1.0086
-6.3101,4.8059,1.0093,1.0093
-5.8571,4.2926,1.0102,1.0102
-5.3322,3.7725,1.0112,1.0112
-4.7434,3.2472,1.0098,1.0098
-4.1002,2.7236,1.0102,1.0102
-3.4132,2.2005,1.0090,1.0090
-2.6944,1.6850,1.0102,1.0102
-1.9573,1.1764,1.0108,1.0108
-1.2164,0.6856,1.0131,1.0131
-0.4877,0.2033,1.0150,1.0150
0.2161,-0.2824,1.0165,1.0165
0.8962,-0.7734,1.0152,1.0152
1.5533,-1.2626,1.0142,1.0142
2.2004,-1.7589,1.0126,1.0126
2.8475,-2.2552,1.0109,1.0109
3.4946,-2.7515,1.0112,1.0112
4.1417,-3.2473,1.0114,1.0114
4.7889,-3.7393,1.0136,1.0136
5.4360,-4.2315,1.0156,1.0156
6.0831,-4.7238,1.0156,1.0156
6.7302,-5.2157,1.0156,1.0156
7.3773,-5.7116,1.0142,1.0142
8.0245,-6.2078,1.0118,1.0118
8.6716,-6.7042,1.0107,1.0107
9.3187,-7.2004,1.0105,1.0105
9.9658,-7.6963,1.0112,1.0112
10.6129,-8.1915,1.0132,1.0132
11.2601,-8.6826,1.0151,1.0151
11.9072,-9.1738,1.0160,1.0160
12.5543,-9.6647,1.0155,1.0155
13.2014,-10.1596,1.0137,1.0137
13.8485,-10.6550,1.0108,1.0108
14.4957,-11.1505,1.0094,1.0094
15.1428,-11.6461,1.0088,1.0088
15.7899,-12.1413,1.0092,1.0092
16.4370,-12.6361,1.0099,1.0099
17.0841,-13.1267,1.0120,1.0120
17.7313,-13.6175,1.0131,1.0131
18.3784,-14.1081,1.0128,1.0128
19.0255,-14.6028,1.0112,1.0112
19.6726,-15.0981,1.0086,1.0086
20.3197,-15.5936,1.0074,1.0074
20.9669,-16.0892,1.0065,1.0065
21.6140,-16.5846,1.0074,1.0074
22.2611,-17.0795,1.0086,1.0086
22.9082,-17.5704,1.0112,1.0112
23.5553,-18.0616,1.0128,1.0128
24.2025,-18.5526,1.0131,1.0131
24.8496,-19.0479,1.0120,1.0120
25.4967,-19.5438,1.0099,1.0099
26.1438,-20.0400,1.0099,1.0099
26.7909,-20.5397,1.0099,1.0099
27.4381,-21.0447,1.0100,1.0100
28.0852,-21.5525,1.0110,1.0110
28.7323,-22.0607,1.0139,1.0139
29.3794,-22.5705,1.0142,1.0142
30.0265,-23.0852,1.0163,1.0163
30.6737,-23.6029,1.0143,1.0143
31.3241,-24.1385,1.0109,1.0109
31.9966,-24.6872,1.0113,1.0113
32.6896,-25.2349,1.0108,1.0108
33.3997,-25.7685,1.0113,1.0113
34.1119,-26.2763,1.0103,1.0103
34.8200,-26.7475,1.0108,1.0108
35.5140,-27.1724,1.0116,1.0116
36.1849,-27.5428,1.0119,1.0119
36.8246,-27.8512,1.0133,1.0133
37.4225,-28.0963,1.0092,1.0092
37.9768,-28.2696,1.0056,1.0056
38.4819,-28.3676,1.0038,1.0038
38.9332,-28.3875,1.0021,1.0021
39.3271,-28.3279,1.0023,1.0023
39.6606,-28.1884,1.0025,1.0025
39.9319,-27.9699,1.0040,1.0040
40.1399,-27.6744,1.0043,1.0043
40.2812,-27.3049,1.0009,1.0009
40.3611,-26.8703,0.9976,0.9976
40.3779,-26.3727,0.9949,0.9949
40.3351,-25.8188,0.9933,0.9933
40.2374,-25.2164,0.9902,0.9902
40.0868,-24.5743,0.9909,0.9909
39.8838,-23.9027,0.9874,0.9874
39.6390,-23.2080,0.9879,0.9879
39.3633,-22.4969,0.9869,0.9869
39.0650,-21.7799,0.9866,0.9866
38.7541,-21.0687,0.9859,0.9859
38.4457,-20.3716,0.9865,0.9865
38.1517,-19.6915,0.9852,0.9852
37.8859,-19.0344,0.9867,0.9867
37.6590,-18.3873,0.9906,0.9906
37.4586,-17.7401,0.9909,0.9909
37.2841,-17.0864,0.9922,0.9922
37.1361,-16.4283,0.9932,0.9932
37.0254,-15.7649,0.9968,0.9968
36.9543,-15.0994,0.9996,0.9996
36.9274,-14.4346,1.0014,1.0014
36.9485,-13.7735,1.0040,1.0040
37.0202,-13.1184,1.0044,1.0044
37.1493,-12.4716,1.0079,1.0079
37.3334,-11.8352,1.0110,1.0110
37.5727,-11.2108,1.0134,1.0134
37.8666,-10.6000,1.0156,1.0156
38.2134,-10.0041,1.0152,1.0152
38.6107,-9.4241,1.0147,1.0147
39.0551,-8.8608,1.0122,1.0122
39.5422,-8.3146,1.0090,1.0090
40.0715,-7.7859,1.0092,1.0092
40.6337,-7.2748,1.0086,1.0086
41.2263,-6.7809,1.0081,1.0081
41.8430,-6.3073,1.0059,1.0059
42.4765,-5.8519,1.0050,1.0050
43.1232,-5.4194,1.0017,1.0017
43.7948,-5.0053,1.0044,1.0044
44.4820,-4.6049,1.0026,1.0026
45.1821,-4.2137,1.0041,1.0041
45.8840,-3.8271,1.0045,1.0045
46.5860,-3.4404,1.0038,1.0038
47.2782,-3.0492,1.0032,1.0032
47.9553,-2.6488,1.0027,1.0027
