# x_m,y_m,w_tr_right_m,w_tr_left_m
3.4434,0.8100,0.5961,0.5961
3.4133,0.7300,0.5810,0.5810
3.3809,0.6500,0.5565,0.5565
3.3477,0.5700,0.5274,0.5274
3.3173,0.4900,0.5043,0.5043
3.2916,0.4100,0.4984,0.4984
3.2726,0.3300,0.5112,0.5112
3.2419,0.2500,0.5243,0.5243
3.1888,0.1693,0.5274,0.5274
3.1226,0.0932,0.5322,0.5322
3.0540,0.0187,0.5469,0.5469
2.9786,-0.0597,0.5692,0.5692
2.9053,-0.1407,0.5843,0.5843
2.8297,-0.2122,0.5968,0.5968
2.7500,-0.2600,0.5991,0.5991
2.6700,-0.2918,0.5921,0.5921
2.5900,-0.3205,0.5883,0.5883
2.5100,-0.3457,0.5910,0.5910
2.4300,-0.3653,0.5957,0.5957
2.3500,-0.3642,0.5864,0.5864
2.2700,-0.3422,0.5618,0.5618
2.1900,-0.3221,0.5418,0.5418
2.1100,-0.3048,0.5248,0.5248
2.0300,-0.2892,0.5158,0.5158
1.9500,-0.2764,0.5237,0.5237
1.8700,-0.2693,0.5412,0.5412
1.7900,-0.2640,0.5411,0.5411
1.7100,-0.2523,0.5245,0.5245
1.6300,-0.2350,0.5237,0.5237
1.5500,-0.2090,0.5384,0.5384
1.4700,-0.1845,0.5569,0.5569
1.3900,-0.1579,0.5823,0.5823
1.3100,-0.1163,0.6191,0.6191
1.2300,-0.0788,0.6466,0.6466
1.1500,-0.0483,0.6726,0.6726
1.0700,-0.0120,0.7028,0.7028
0.9900,0.0290,0.7259,0.7259
0.9100,0.0690,0.7483,0.7483
0.8300,0.1048,0.7736,0.7736
0.7500,0.1409,0.7946,0.7946
0.6700,0.1636,0.7984,0.7984
0.5900,0.1607,0.7792,0.7792
0.5100,0.1442,0.7500,0.7500
0.4300,0.1287,0.7289,0.7289
0.3500,0.1113,0.7110,0.7110
0.2700,0.0938,0.6938,0.6938
0.1900,0.0794,0.6793,0.6793
0.1100,0.0646,0.6643,0.6643
0.0300,0.0497,0.6530,0.6530
-0.0500,0.0346,0.6504,0.6504
-0.1300,0.0236,0.6577,0.6577
-0.2100,0.0181,0.6695,0.6695
-0.2900,0.0125,0.6830,0.6830
-0.3700,0.0004,0.6871,0.6871
-0.4500,-0.0193,0.6857,0.6857
-0.5300,-0.0440,0.6831,0.6831
-0.6100,-0.0689,0.6720,0.6720
-0.6900,-0.1013,0.6526,0.6526
-0.7700,-0.1332,0.6421,0.6421
-0.8500,-0.1580,0.6511,0.6511
-0.9300,-0.1784,0.6710,0.6710
-1.0100,-0.2084,0.6829,0.6829
-1.0907,-0.2497,0.6851,0.6851
-1.1718,-0.3055,0.7006,0.7006
-1.2351,-0.3783,0.7187,0.7187
-1.2641,-0.4600,0.7124,0.7124
-1.2819,-0.5400,0.6920,0.6920
-1.3051,-0.6200,0.6813,0.6813
-1.3243,-0.7000,0.6761,0.6761
-1.3392,-0.7800,0.6754,0.6754
-1.3533,-0.8600,0.6835,0.6835
-1.3673,-0.9407,0.6971,0.6971
-1.3923,-1.0187,0.7223,0.7223
-1.4103,-1.0932,0.7403,0.7403
-1.4083,-1.1693,0.7383,0.7383
-1.3982,-1.2500,0.7282,0.7282
-1.3881,-1.3300,0.7178,0.7178
-1.3738,-1.4100,0.7048,0.7048
-1.3642,-1.4900,0.7035,0.7035
-1.3578,-1.5700,0.7106,0.7106
-1.3508,-1.6500,0.7196,0.7196
-1.3405,-1.7300,0.7320,0.7320
-1.3301,-1.8100,0.7441,0.7441
-1.3139,-1.8900,0.7494,0.7494
-1.2898,-1.9700,0.7572,0.7572
-1.2610,-2.0500,0.7703,0.7703
-1.2343,-2.1307,0.7704,0.7704
-1.1937,-2.2099,0.7395,0.7395
-1.1275,-2.2798,0.6978,0.6978
-1.0501,-2.3289,0.6797,0.6797
-0.9700,-2.3669,0.6660,0.6660
-0.8900,-2.4075,0.6332,0.6332
-0.8100,-2.4438,0.6021,0.6021
-0.7300,-2.4676,0.5883,0.5883
-0.6500,-2.4783,0.5825,0.5825
-0.5700,-2.4800,0.5800,0.5800
