# x_m,y_m,w_tr_right_m,w_tr_left_m
0.4315,28.5110,1.2563,1.2563
-0.0037,27.9906,1.2595,1.2595
-0.4389,27.4702,1.2583,1.2583
-0.8675,26.9498,1.2605,1.2605
-1.2864,26.4294,1.2539,1.2539
-1.6979,25.9090,1.2565,1.2565
-2.1607,25.3724,1.2645,1.2645
-2.6728,24.9058,1.2578,1.2578
-3.1976,24.6508,1.2183,1.2183
-3.7180,24.5638,1.2110,1.2110
-4.2384,24.5486,1.2305,1.2305
-4.7588,24.6125,1.2322,1.2322
-5.2792,24.7263,1.2456,1.2456
-5.7996,24.9036,1.2530,1.2530
-6.3327,25.1954,1.2673,1.2673
-6.8047,25.6395,1.2668,1.2668
-7.1248,26.1692,1.2591,1.2591
-7.3458,26.6896,1.2571,1.2571
-7.5787,27.2100,1.2590,1.2590
-7.8162,27.7304,1.2597,1.2597
-8.0528,28.2508,1.2574,1.2574
-8.2905,28.7712,1.2546,1.2546
-8.5230,29.2916,1.2558,1.2558
-8.7570,29.8120,1.2583,1.2583
-8.9915,30.3324,1.2606,1.2606
-9.2319,30.8528,1.2592,1.2592
-9.4699,31.3732,1.2585,1.2585
-9.7140,31.8936,1.2577,1.2577
-9.9938,32.4140,1.2563,1.2563
-10.3137,32.9344,1.2539,1.2539
-10.6859,33.4548,1.2594,1.2594
-11.1385,33.9805,1.2650,1.2650
-11.6489,34.4659,1.2615,1.2615
-12.1745,34.8722,1.2508,1.2508
-12.6949,35.2171,1.2518,1.2518
-13.2153,35.5063,1.2493,1.2493
-13.7357,35.7325,1.2455,1.2455
-14.2561,35.9207,1.2460,1.2460
-14.7765,36.0581,1.2333,1.2333
-15.2969,36.1486,1.2211,1.2211
-15.8173,36.2229,1.2295,1.2295
-16.3377,36.2388,1.2214,1.2214
-16.8581,36.2140,1.2258,1.2258
-17.3785,36.1382,1.2136,1.2136
-17.8989,36.0512,1.2254,1.2254
-18.4193,35.9190,1.2451,1.2451
-18.9397,35.7385,1.2507,1.2507
-19.4601,35.5230,1.2600,1.2600
-19.9805,35.2500,1.2591,1.2591
-20.5009,34.9253,1.2518,1.2518
-21.0213,34.5457,1.2540,1.2540
-21.5462,34.0971,1.2718,1.2718
-22.0475,33.5901,1.2725,1.2725
-22.4906,33.0645,1.2567,1.2567
-22.8667,32.5441,1.2554,1.2554
-23.1885,32.0237,1.2524,1.2524
-23.4817,31.5033,1.2575,1.2575
-23.7643,30.9829,1.2649,1.2649
-24.0326,30.4625,1.2696,1.2696
-24.2900,29.9421,1.2608,1.2608
-24.5340,29.4217,1.2556,1.2556
-24.7757,28.9013,1.2562,1.2562
-25.0223,28.3809,1.2586,1.2586
-25.2557,27.8605,1.2544,1.2544
-25.4909,27.3401,1.2558,1.2558
-25.7306,26.8197,1.2559,1.2559
-25.9681,26.2993,1.2506,1.2506
-26.2123,25.7789,1.2580,1.2580
-26.4639,25.2585,1.2662,1.2662
-26.7328,24.7381,1.2582,1.2582
-27.0313,24.2177,1.2556,1.2556
-27.3742,23.6973,1.2559,1.2559
-27.7656,23.1769,1.2592,1.2592
-28.2383,22.6565,1.2542,1.2542
-28.7623,22.1325,1.2514,1.2514
-29.2827,21.6539,1.2581,1.2581
-29.8031,21.2461,1.2537,1.2537
-30.3235,20.8944,1.2537,1.2537
-30.8439,20.5821,1.2586,1.2586
-31.3643,20.3045,1.2631,1.2631
-31.8847,20.0571,1.2602,1.2602
-32.4051,19.8473,1.2554,1.2554
-32.9255,19.6662,1.2539,1.2539
-33.4459,19.5186,1.2527,1.2527
-33.9663,19.3953,1.2494,1.2494
-34.4867,19.3063,1.2441,1.2441
-35.0071,19.2464,1.2499,1.2499
-35.5275,19.1959,1.2472,1.2472
-36.0479,19.1901,1.2329,1.2329
-36.5683,19.1931,1.2488,1.2488
-37.0887,19.2163,1.2566,1.2566
-37.6091,19.2650,1.2499,1.2499
-38.1295,19.3476,1.2504,1.2504
-38.6499,19.4155,1.2483,1.2483
-39.1703,19.5039,1.2505,1.2505
-39.6907,19.6263,1.2533,1.2533
-40.2111,19.7642,1.2573,1.2573
-40.7315,19.9227,1.2594,1.2594
-41.2519,20.1177,1.2602,1.2602
-41.7723,20.3527,1.2578,1.2578
-42.2927,20.6334,1.2579,1.2579
-42.8131,20.9614,1.2572,1.2572
-43.3335,21.3105,1.2586,1.2586
-43.8539,21.6623,1.2588,1.2588
-44.3743,22.0453,1.2568,1.2568
-44.8992,22.4832,1.2704,1.2704
-45.4004,22.9787,1.2715,1.2715
-45.8452,23.5021,1.2583,1.2583
-46.2336,24.0225,1.2579,1.2579
-46.5750,24.5429,1.2608,1.2608
-46.8877,25.0633,1.2589,1.2589
-47.1909,25.5837,1.2557,1.2557
-47.4893,26.1041,1.2575,1.2575
-47.7856,26.6245,1.2596,1.2596
-48.0848,27.1449,1.2574,1.2574
-48.3772,27.6653,1.2543,1.2543
-48.6702,28.1857,1.2579,1.2579
-48.9627,28.7061,1.2575,1.2575
-49.2557,29.2265,1.2587,1.2587
-49.5481,29.7469,1.2584,1.2584
-49.8385,30.2673,1.2578,1.2578
-50.1288,30.7877,1.2584,1.2584
-50.4213,31.3081,1.2590,1.2590
-50.7122,31.8285,1.2570,1.2570
-51.0006,32.3489,1.2578,1.2578
-51.2892,32.8693,1.2563,1.2563
-51.5808,33.3897,1.2563,1.2563
-51.8683,33.9101,1.2571,1.2571
-52.1628,34.4305,1.2575,1.2575
-52.4546,34.9509,1.2576,1.2576
-52.7461,35.4713,1.2563,1.2563
-53.0320,35.9917,1.2573,1.2573
-53.3262,36.5121,1.2577,1.2577
-53.6160,37.0325,1.2584,1.2584
-53.9117,37.5529,1.2572,1.2572
-54.2015,38.0733,1.2584,1.2584
-54.4954,38.5937,1.2579,1.2579
-54.7904,39.1141,1.2596,1.2596
-55.0934,39.6345,1.2575,1.2575
-55.4127,40.1549,1.2575,1.2575
-55.7569,40.6753,1.2568,1.2568
-56.1438,41.1957,1.2570,1.2570
-56.5594,41.7161,1.2549,1.2549
-56.9934,42.2365,1.2547,1.2547
-57.4361,42.7569,1.2626,1.2626
-57.8878,43.2825,1.2563,1.2563
-58.3696,43.7857,1.2589,1.2589
-58.8752,44.2614,1.2585,1.2585
-59.4008,44.7068,1.2582,1.2582
-59.9212,45.1225,1.2524,1.2524
-60.4416,45.5243,1.2558,1.2558
-60.9620,45.9349,1.2540,1.2540
-61.4824,46.3538,1.2550,1.2550
-62.0028,46.7209,1.2571,1.2571
-62.5232,46.9526,1.2169,1.2169
-63.0436,47.0397,1.1645,1.1645
-63.5640,47.0128,1.1828,1.1828
-64.0889,46.7872,1.2433,1.2433
-64.6011,46.3506,1.2717,1.2717
-64.9653,45.8143,1.2246,1.2246
-65.1173,45.2939,1.1841,1.1841
-65.1245,44.7735,1.2044,1.2044
-65.0410,44.2531,1.2444,1.2444
-64.8982,43.7327,1.2549,1.2549
-64.7333,43.2123,1.2556,1.2556
-64.5626,42.6919,1.2558,1.2558
-64.3869,42.1715,1.2573,1.2573
-64.2145,41.6511,1.2562,1.2562
-64.0422,41.1307,1.2551,1.2551
-63.8665,40.6103,1.2573,1.2573
-63.6941,40.0899,1.2562,1.2562
-63.5218,39.5695,1.2551,1.2551
-63.3461,39.0491,1.2573,1.2573
-63.1737,38.5287,1.2562,1.2562
-63.0014,38.0083,1.2551,1.2551
-62.8257,37.4879,1.2573,1.2573
-62.6533,36.9675,1.2562,1.2562
-62.4810,36.4471,1.2551,1.2551
-62.3053,35.9267,1.2573,1.2573
-62.1329,35.4063,1.2562,1.2562
-61.9606,34.8859,1.2551,1.2551
-61.7849,34.3655,1.2573,1.2573
-61.6125,33.8451,1.2562,1.2562
-61.4402,33.3247,1.2551,1.2551
-61.2645,32.8043,1.2573,1.2573
-61.0921,32.2839,1.2562,1.2562
-60.9198,31.7635,1.2551,1.2551
-60.7441,31.2431,1.2573,1.2573
-60.5717,30.7227,1.2562,1.2562
-60.3994,30.2023,1.2551,1.2551
-60.2237,29.6819,1.2573,1.2573
-60.0513,29.1615,1.2559,1.2559
-59.8784,28.6411,1.2519,1.2519
-59.7159,28.1207,1.2431,1.2431
-59.5541,27.6003,1.2397,1.2397
-59.3711,27.0799,1.2479,1.2479
-59.1594,26.5595,1.2502,1.2502
-58.9238,26.0391,1.2549,1.2549
-58.6552,25.5187,1.2570,1.2570
-58.3362,24.9983,1.2583,1.2583
-57.9620,24.4779,1.2564,1.2564
-57.5388,23.9575,1.2574,1.2574
-57.0918,23.4371,1.2605,1.2605
-56.6338,22.9167,1.2612,1.2612
-56.1806,22.3963,1.2613,1.2613
-55.7309,21.8759,1.2620,1.2620
-55.2786,21.3555,1.2601,1.2601
-54.8280,20.8351,1.2593,1.2593
-54.3812,20.3147,1.2599,1.2599
-53.9317,19.7943,1.2576,1.2576
-53.4820,19.2739,1.2559,1.2559
-53.0388,18.7535,1.2576,1.2576
-52.5966,18.2331,1.2615,1.2615
-52.1532,17.7127,1.2607,1.2607
-51.7035,17.1923,1.2553,1.2553
-51.2652,16.6719,1.2569,1.2569
-50.8283,16.1515,1.2577,1.2577
-50.3890,15.6311,1.2569,1.2569
-49.9519,15.1107,1.2583,1.2583
-49.5171,14.5903,1.2591,1.2591
-49.0845,14.0699,1.2569,1.2569
-48.6526,13.5495,1.2591,1.2591
-48.2161,13.0291,1.2591,1.2591
-47.7835,12.5087,1.2569,1.2569
-47.3516,11.9883,1.2591,1.2591
-46.9151,11.4679,1.2591,1.2591
-46.4825,10.9475,1.2569,1.2569
-46.0506,10.4271,1.2591,1.2591
-45.6141,9.9067,1.2591,1.2591
-45.1823,9.3863,1.2581,1.2581
-44.7449,8.8659,1.2575,1.2575
-44.3048,8.3455,1.2578,1.2578
-43.8706,7.8251,1.2587,1.2587
-43.4334,7.3047,1.2580,1.2580
-42.9956,6.7843,1.2573,1.2573
-42.5614,6.2639,1.2554,1.2554
-42.1431,5.7435,1.2549,1.2549
-41.7303,5.2231,1.2546,1.2546
-41.3597,4.7027,1.2558,1.2558
-41.0863,4.1823,1.2477,1.2477
-40.8956,3.6619,1.2400,1.2400
-40.7473,3.1415,1.2330,1.2330
-40.6241,2.6211,1.2325,1.2325
-40.5484,2.1007,1.2179,1.2179
-40.4962,1.5803,1.2207,1.2207
-40.4658,1.0599,1.2341,1.2341
-40.4869,0.5395,1.2231,1.2231
-40.5372,0.0191,1.2172,1.2172
-40.6086,-0.5013,1.2319,1.2319
-40.7147,-1.0217,1.2371,1.2371
-40.8545,-1.5421,1.2454,1.2454
-41.0409,-2.0625,1.2458,1.2458
-41.2517,-2.5829,1.2491,1.2491
-41.5050,-3.1033,1.2513,1.2513
-41.8085,-3.6237,1.2555,1.2555
