# x_m,y_m,w_tr_right_m,w_tr_left_m
4.9733,4.3292,0.7588,0.7588
4.9039,4.3948,0.7568,0.7568
4.8310,4.4607,0.7432,0.7432
4.7500,4.5204,0.7237,0.7237
4.6700,4.5750,0.7058,0.7058
4.5900,4.6285,0.6912,0.6912
4.5100,4.6801,0.6865,0.6865
4.4300,4.7238,0.6867,0.6867
4.3500,4.7669,0.6873,0.6873
4.2700,4.8066,0.6813,0.6813
4.1900,4.8474,0.6819,0.6819
4.1100,4.8818,0.6768,0.6768
4.0300,4.9068,0.6666,0.6666
3.9500,4.9312,0.6631,0.6631
3.8700,4.9564,0.6617,0.6617
3.7900,4.9719,0.6522,0.6522
3.7100,4.9833,0.6496,0.6496
3.6300,5.0032,0.6597,0.6597
3.5500,5.0290,0.6698,0.6698
3.4700,5.0458,0.6711,0.6711
3.3900,5.0685,0.6863,0.6863
3.3100,5.0897,0.7009,0.7009
3.2300,5.1206,0.6930,0.6930
3.1500,5.1563,0.6786,0.6786
3.0700,5.1787,0.6701,0.6701
2.9900,5.1890,0.6786,0.6786
2.9100,5.1947,0.6798,0.6798
2.8300,5.2122,0.6657,0.6657
2.7500,5.2394,0.6510,0.6510
2.6700,5.2684,0.6400,0.6400
2.5900,5.2997,0.6256,0.6256
2.5100,5.3277,0.6138,0.6138
2.4300,5.3424,0.6067,0.6067
2.3500,5.3508,0.5993,0.5993
2.2700,5.3549,0.5988,0.5988
2.1900,5.3643,0.5985,0.5985
2.1100,5.3727,0.5932,0.5932
2.0300,5.3781,0.5801,0.5801
1.9500,5.3808,0.5720,0.5720
1.8700,5.3792,0.5683,0.5683
1.7900,5.3817,0.5729,0.5729
1.7100,5.3960,0.5962,0.5962
1.6300,5.4085,0.6305,0.6305
1.5500,5.4128,0.6545,0.6545
1.4700,5.4228,0.6661,0.6661
1.3900,5.4310,0.6786,0.6786
1.3100,5.4307,0.6980,0.6980
1.2300,5.4276,0.7103,0.7103
1.1500,5.4155,0.7261,0.7261
1.0700,5.3996,0.7434,0.7434
0.9900,5.3820,0.7578,0.7578
0.9092,5.3558,0.7770,0.7770
0.8319,5.3077,0.8262,0.8262
0.7548,5.2444,0.8499,0.8499
0.6853,5.1763,0.8254,0.8254
0.6305,5.1016,0.7976,0.7976
0.5996,5.0200,0.8027,0.8027
0.5676,4.9400,0.7988,0.7988
0.5325,4.8600,0.7687,0.7687
0.5076,4.7792,0.7381,0.7381
0.4831,4.7019,0.7129,0.7129
0.4605,4.6275,0.6915,0.6915
0.4605,4.5508,0.6837,0.6837
0.4590,4.4700,0.6653,0.6653
0.4444,4.3900,0.6376,0.6376
0.4389,4.3100,0.6299,0.6299
0.4400,4.2300,0.6264,0.6264
0.4400,4.1500,0.6089,0.6089
0.4393,4.0700,0.5886,0.5886
0.4408,3.9900,0.5820,0.5820
0.4507,3.9100,0.5738,0.5738
