# x_m,y_m,w_tr_right_m,w_tr_left_m
4.2182,2.8400,0.5004,0.5004
4.2826,2.9200,0.5053,0.5053
4.3491,3.0000,0.5067,0.5067
4.4158,3.0800,0.5096,0.5096
4.4860,3.1600,0.5171,0.5171
4.5590,3.2400,0.5192,0.5192
4.6320,3.3200,0.5183,0.5183
4.7007,3.4000,0.5206,0.5206
4.7693,3.4807,0.5124,0.5124
4.8417,3.5482,0.4991,0.4991
4.9192,3.6097,0.4922,0.4922
5.0007,3.6740,0.4957,0.4957
5.0775,3.7423,0.5046,0.5046
5.1481,3.8151,0.5217,0.5217
5.2206,3.8862,0.5436,0.5436
5.2993,3.9486,0.5576,0.5576
5.3800,3.9957,0.5605,0.5605
5.4600,4.0342,0.5643,0.5643
5.5400,4.0724,0.5724,0.5724
5.6200,4.1093,0.5887,0.5887
5.7000,4.1405,0.6088,0.6088
5.7800,4.1735,0.6271,0.6271
5.8600,4.2081,0.6453,0.6453
5.9400,4.2350,0.6619,0.6619
6.0200,4.2597,0.6764,0.6764
6.1000,4.2805,0.6837,0.6837
6.1800,4.3032,0.6958,0.6958
6.2600,4.3302,0.7161,0.7161
6.3400,4.3537,0.7345,0.7345
6.4200,4.3791,0.7608,0.7608
6.5000,4.3890,0.7762,0.7762
6.5800,4.3743,0.7682,0.7682
6.6600,4.3513,0.7563,0.7563
6.7400,4.3291,0.7555,0.7555
6.8200,4.3041,0.7596,0.7596
6.9000,4.2774,0.7650,0.7650
6.9800,4.2495,0.7689,0.7689
7.0600,4.2133,0.7643,0.7643
7.1400,4.1643,0.7471,0.7471
7.2200,4.1131,0.7302,0.7302
7.3000,4.0623,0.7128,0.7128
7.3800,4.0089,0.6915,0.6915
7.4600,3.9606,0.6747,0.6747
7.5400,3.9186,0.6635,0.6635
7.6200,3.8727,0.6450,0.6450
7.7000,3.8225,0.6210,0.6210
7.7800,3.7743,0.6026,0.6026
7.8600,3.7282,0.5914,0.5914
7.9400,3.6785,0.5817,0.5817
8.0200,3.6236,0.5707,0.5707
8.1000,3.5690,0.5623,0.5623
8.1800,3.5125,0.5538,0.5538
8.2600,3.4551,0.5462,0.5462
8.3400,3.3926,0.5344,0.5344
8.4200,3.3294,0.5221,0.5221
8.5000,3.2680,0.5159,0.5159
8.5804,3.2031,0.5157,0.5157
8.6600,3.1318,0.5162,0.5162
8.7307,3.0579,0.5189,0.5189
8.8008,2.9808,0.5245,0.5245
8.8793,2.9003,0.5283,0.5283
8.9600,2.8252,0.5310,0.5310
9.0406,2.7548,0.5385,0.5385
9.1153,2.6791,0.5493,0.5493
9.1840,2.6032,0.5648,0.5648
9.2482,2.5286,0.5804,0.5804
9.3120,2.4539,0.6013,0.6013
9.3823,2.3834,0.6305,0.6305
9.4554,2.3172,0.6604,0.6604
9.5298,2.2530,0.6901,0.6901
9.6013,2.1880,0.7201,0.7201
9.6718,2.1228,0.7547,0.7547
9.7492,2.0538,0.7920,0.7920
9.8308,1.9883,0.8207,0.8207
9.9089,1.9224,0.8527,0.8527
9.9813,1.8549,0.8966,0.8966
10.0511,1.7875,0.9412,0.9412
10.1211,1.7228,0.9872,0.9872
10.1925,1.6578,1.0096,1.0096
10.2693,1.6172,0.9934,0.9934
10.3500,1.5994,0.9622,0.9622
10.4300,1.5925,0.9405,0.9405
10.5100,1.5853,0.9210,0.9210
10.5900,1.5810,0.9114,0.9114
10.6700,1.5850,0.9147,0.9147
10.7500,1.5901,0.9201,0.9201
10.8300,1.5900,0.9204,0.9204
10.9100,1.5900,0.9213,0.9213
10.9900,1.5900,0.9210,0.9210
11.0700,1.5900,0.9206,0.9206
11.1500,1.5893,0.9193,0.9193
11.2300,1.5906,0.9100,0.9100
11.3100,1.5981,0.8924,0.8924
11.3900,1.6075,0.8759,0.8759
11.4700,1.6107,0.8692,0.8692
11.5500,1.6100,0.8696,0.8696
11.6300,1.6100,0.8712,0.8712
11.7100,1.6100,0.8790,0.8790
11.7900,1.6099,0.8928,0.8928
11.8700,1.6146,0.9006,0.9006
11.9500,1.6196,0.8939,0.8939
12.0300,1.6246,0.8863,0.8863
12.1100,1.6297,0.8831,0.8831
12.1900,1.6293,0.8792,0.8792
12.2700,1.6325,0.8824,0.8824
12.3500,1.6415,0.8921,0.8921
12.4300,1.6532,0.9010,0.9010
12.5100,1.6640,0.9035,0.9035
12.5900,1.6772,0.9076,0.9076
12.6700,1.6868,0.9114,0.9114
12.7500,1.7146,0.9356,0.9356
12.8308,1.7747,0.9468,0.9468
12.9083,1.8425,0.9082,0.9082
12.9788,1.9095,0.8524,0.8524
13.0433,1.9896,0.8200,0.8200
13.1009,2.0700,0.7950,0.7950
13.1553,2.1500,0.7656,0.7656
13.2175,2.2300,0.7243,0.7243
13.2792,2.3100,0.6870,0.6870
13.3365,2.3900,0.6594,0.6594
13.3951,2.4700,0.6283,0.6283
13.4575,2.5500,0.5963,0.5963
13.5187,2.6300,0.5760,0.5760
13.5826,2.7100,0.5612,0.5612
13.6499,2.7900,0.5489,0.5489
13.7213,2.8700,0.5425,0.5425
13.7906,2.9500,0.5371,0.5371
13.8612,3.0300,0.5336,0.5336
13.9338,3.1100,0.5336,0.5336
14.0099,3.1908,0.5313,0.5313
14.0900,3.2681,0.5302,0.5302
14.1700,3.3430,0.5336,0.5336
14.2500,3.4164,0.5425,0.5425
14.3307,3.4857,0.5510,0.5510
14.4069,3.5489,0.5573,0.5573
14.4766,3.6206,0.5606,0.5606
14.5496,3.6906,0.5627,0.5627
14.6300,3.7366,0.5602,0.5602
14.7100,3.7670,0.5547,0.5547
14.7900,3.7938,0.5559,0.5559
14.8700,3.8201,0.5664,0.5664
14.9500,3.8481,0.5880,0.5880
15.0300,3.8766,0.6163,0.6163
15.1100,3.9031,0.6431,0.6431
15.1900,3.9339,0.6739,0.6739
15.2700,3.9659,0.7059,0.7059
15.3500,3.9912,0.7312,0.7312
15.4300,4.0117,0.7517,0.7517
15.5100,4.0335,0.7742,0.7742
15.5900,4.0571,0.7940,0.7940
15.6700,4.0800,0.8075,0.8075
15.7500,4.1046,0.8251,0.8251
15.8300,4.1145,0.8339,0.8339
15.9100,4.1040,0.8245,0.8245
15.9900,4.0883,0.8145,0.8145
16.0700,4.0725,0.8133,0.8133
16.1500,4.0558,0.8178,0.8178
16.2300,4.0383,0.8190,0.8190
16.3100,4.0214,0.8200,0.8200
16.3900,4.0017,0.8222,0.8222
16.4700,3.9739,0.8151,0.8151
16.5500,3.9429,0.8066,0.8066
16.6300,3.9146,0.8003,0.8003
16.7100,3.8821,0.7871,0.7871
16.7900,3.8495,0.7776,0.7776
16.8700,3.8164,0.7678,0.7678
16.9500,3.7837,0.7578,0.7578
17.0300,3.7522,0.7513,0.7513
17.1100,3.7146,0.7401,0.7401
17.1900,3.6766,0.7281,0.7281
17.2700,3.6405,0.7199,0.7199
17.3500,3.5998,0.7100,0.7100
17.4300,3.5604,0.7039,0.7039
17.5100,3.5183,0.6934,0.6934
17.5900,3.4777,0.6818,0.6818
17.6700,3.4355,0.6646,0.6646
17.7500,3.3929,0.6485,0.6485
17.8300,3.3532,0.6408,0.6408
17.9100,3.3149,0.6395,0.6395
17.9900,3.2738,0.6392,0.6392
18.0700,3.2271,0.6332,0.6332
18.1500,3.1784,0.6289,0.6289
18.2300,3.1291,0.6250,0.6250
18.3100,3.0790,0.6167,0.6167
18.3900,3.0316,0.6113,0.6113
18.4700,2.9843,0.6084,0.6084
18.5500,2.9334,0.6007,0.6007
18.6300,2.8825,0.5892,0.5892
18.7100,2.8353,0.5846,0.5846
18.7900,2.7845,0.5888,0.5888
18.8701,2.7230,0.5947,0.5947
18.9454,2.6491,0.6032,0.6032
19.0200,2.5746,0.6180,0.6180
19.0954,2.4993,0.6335,0.6335
19.1692,2.4197,0.6487,0.6487
19.2414,2.3432,0.6626,0.6626
19.3039,2.2687,0.6685,0.6685
19.3570,2.1907,0.6738,0.6738
19.3991,2.1100,0.6775,0.6775
19.4319,2.0300,0.6788,0.6788
19.4631,1.9500,0.6849,0.6849
19.4953,1.8700,0.6995,0.6995
19.5247,1.7900,0.7169,0.7169
19.5506,1.7100,0.7345,0.7345
19.5789,1.6300,0.7586,0.7586
19.6042,1.5500,0.7839,0.7839
19.6269,1.4700,0.8102,0.8102
19.6531,1.3900,0.8465,0.8465
19.6800,1.3100,0.8903,0.8903
19.7078,1.2300,0.9400,0.9400
19.7342,1.1500,0.9924,0.9924
19.7364,1.0700,1.0231,1.0231
19.7098,0.9900,1.0275,1.0275
19.6763,0.9100,1.0277,1.0277
19.6276,0.8300,1.0191,1.0191
19.5625,0.7500,0.9817,0.9817
19.4889,0.6684,0.9199,0.9199
19.4108,0.5963,0.8603,0.8603
19.3300,0.5453,0.8199,0.8199
19.2500,0.5192,0.8087,0.8087
19.1700,0.5007,0.8053,0.8053
19.0900,0.4762,0.7907,0.7907
19.0100,0.4592,0.7840,0.7840
18.9300,0.4463,0.7871,0.7871
18.8500,0.4257,0.7793,0.7793
18.7700,0.4031,0.7650,0.7650
18.6900,0.3902,0.7600,0.7600
18.6100,0.3793,0.7606,0.7606
18.5300,0.3563,0.7504,0.7504
18.4500,0.3412,0.7430,0.7430
18.3700,0.3346,0.7436,0.7436
18.2900,0.3311,0.7500,0.7500
18.2100,0.3288,0.7479,0.7479
18.1300,0.3193,0.7375,0.7375
18.0500,0.3109,0.7275,0.7275
17.9700,0.3094,0.7213,0.7213
17.8900,0.3027,0.7282,0.7282
17.8100,0.2919,0.7432,0.7432
17.7300,0.2772,0.7512,0.7512
17.6500,0.2633,0.7518,0.7518
17.5700,0.2589,0.7561,0.7561
17.4900,0.2600,0.7615,0.7615
17.4100,0.2608,0.7567,0.7567
17.3300,0.2577,0.7454,0.7454
17.2500,0.2423,0.7448,0.7448
17.1700,0.2244,0.7560,0.7560
17.0900,0.2192,0.7607,0.7607
17.0100,0.2146,0.7679,0.7679
16.9300,0.2107,0.7730,0.7730
16.8500,0.2076,0.7686,0.7686
16.7700,0.1978,0.7628,0.7628
16.6900,0.1824,0.7637,0.7637
16.6092,0.1732,0.7723,0.7723
16.5321,0.1558,0.7651,0.7651
16.4667,0.1007,0.7117,0.7117
16.3997,0.0232,0.6389,0.6389
16.3207,-0.0339,0.5992,0.5992
16.2400,-0.0663,0.5819,0.5819
16.1600,-0.0778,0.5758,0.5758
16.0800,-0.1012,0.5512,0.5512
16.0000,-0.1396,0.5103,0.5103
15.9200,-0.1713,0.4856,0.4856
15.8400,-0.1903,0.4772,0.4772
15.7600,-0.2064,0.4651,0.4651
15.6800,-0.2258,0.4445,0.4445
15.6000,-0.2396,0.4301,0.4301
15.5200,-0.2481,0.4256,0.4256
15.4400,-0.2626,0.4177,0.4177
15.3600,-0.2771,0.4131,0.4131
15.2800,-0.2890,0.4097,0.4097
15.2000,-0.3021,0.3990,0.3990
15.1200,-0.3136,0.3856,0.3856
15.0400,-0.3232,0.3705,0.3705
14.9600,-0.3344,0.3546,0.3546
14.8800,-0.3410,0.3548,0.3548
14.8000,-0.3454,0.3608,0.3608
14.7200,-0.3552,0.3596,0.3596
14.6400,-0.3655,0.3533,0.3533
14.5600,-0.3714,0.3446,0.3446
14.4800,-0.3700,0.3402,0.3402
14.4000,-0.3700,0.3398,0.3398
14.3200,-0.3700,0.3446,0.3446
14.2400,-0.3692,0.3488,0.3488
14.1600,-0.3725,0.3528,0.3528
14.0800,-0.3781,0.3581,0.3581
14.0000,-0.3808,0.3608,0.3608
