# x_m,y_m,w_tr_right_m,w_tr_left_m
9.0927,3.6100,0.7952,0.7952
9.0652,3.6900,0.7666,0.7666
9.0450,3.7700,0.7460,0.7460
9.0281,3.8500,0.7342,0.7342
9.0140,3.9300,0.7241,0.7241
9.0034,4.0100,0.7182,0.7182
8.9908,4.0900,0.7194,0.7194
8.9754,4.1700,0.7277,0.7277
8.9573,4.2500,0.7203,0.7203
8.9402,4.3300,0.6958,0.6958
8.9254,4.4100,0.6750,0.6750
8.9055,4.4900,0.6594,0.6594
8.8756,4.5700,0.6439,0.6439
8.8484,4.6500,0.6383,0.6383
8.8376,4.7300,0.6534,0.6534
8.8259,4.8100,0.6725,0.6725
8.8019,4.8900,0.6882,0.6882
8.7636,4.9700,0.6996,0.6996
8.7215,5.0500,0.7013,0.7013
8.6715,5.1322,0.7056,0.7056
8.6006,5.2078,0.6915,0.6915
8.5204,5.2463,0.6682,0.6682
8.4400,5.2495,0.6504,0.6504
8.3600,5.2483,0.6341,0.6341
8.2800,5.2459,0.6135,0.6135
8.2000,5.2399,0.5877,0.5877
8.1200,5.2321,0.5602,0.5602
8.0400,5.2325,0.5462,0.5462
7.9600,5.2387,0.5420,0.5420
7.8800,5.2407,0.5356,0.5356
7.8000,5.2400,0.5263,0.5263
7.7200,5.2400,0.5163,0.5163
7.6400,5.2400,0.5098,0.5098
7.5600,5.2400,0.5098,0.5098
7.4800,5.2400,0.5100,0.5100
7.4000,5.2400,0.5098,0.5098
7.3200,5.2400,0.5097,0.5097
7.2400,5.2416,0.5163,0.5163
7.1600,5.2356,0.5221,0.5221
7.0800,5.2242,0.5130,0.5130
7.0000,5.2144,0.4961,0.4961
6.9200,5.2020,0.4830,0.4830
6.8400,5.1871,0.4800,0.4800
6.7600,5.1772,0.4956,0.4956
6.6800,5.1636,0.5215,0.5215
6.6000,5.1519,0.5249,0.5249
6.5200,5.1331,0.5244,0.5244
6.4400,5.0960,0.5284,0.5284
6.3600,5.0603,0.5369,0.5369
6.2800,5.0371,0.5409,0.5409
6.2000,5.0227,0.5269,0.5269
6.1200,5.0195,0.4980,0.4980
6.0400,5.0200,0.4769,0.4769
5.9600,5.0200,0.4705,0.4705
5.8800,5.0200,0.4751,0.4751
5.8000,5.0207,0.4801,0.4801
5.7200,5.0187,0.4802,0.4802
5.6400,5.0132,0.4786,0.4786
5.5600,5.0093,0.4686,0.4686
5.4800,5.0100,0.4527,0.4527
5.4000,5.0100,0.4429,0.4429
5.3200,5.0100,0.4395,0.4395
5.2400,5.0100,0.4399,0.4399
5.1600,5.0095,0.4395,0.4395
5.0800,5.0131,0.4453,0.4453
5.0000,5.0211,0.4455,0.4455
4.9200,5.0279,0.4360,0.4360
4.8400,5.0308,0.4250,0.4250
4.7600,5.0300,0.4209,0.4209
4.6800,5.0300,0.4220,0.4220
4.6000,5.0300,0.4226,0.4226
4.5200,5.0300,0.4204,0.4204
4.4400,5.0296,0.4195,0.4195
4.3600,5.0307,0.4207,0.4207
4.2800,5.0353,0.4253,0.4253
4.2000,5.0423,0.4323,0.4323
4.1200,5.0512,0.4412,0.4412
4.0400,5.0640,0.4540,0.4540
3.9600,5.0761,0.4661,0.4661
3.8800,5.0866,0.4766,0.4766
3.8000,5.0966,0.4866,0.4866
3.7200,5.1071,0.4971,0.4971
3.6400,5.1195,0.5095,0.5095
3.5600,5.1372,0.5270,0.5270
3.4800,5.1566,0.5471,0.5471
3.4000,5.1766,0.5720,0.5720
3.3200,5.1988,0.6026,0.6026
3.2400,5.2216,0.6351,0.6351
3.1600,5.2424,0.6688,0.6688
3.0800,5.2572,0.6947,0.6947
3.0000,5.2709,0.7063,0.7063
2.9200,5.2756,0.7205,0.7205
2.8400,5.2587,0.7487,0.7487
2.7600,5.2261,0.7606,0.7606
2.6800,5.2016,0.7566,0.7566
2.6000,5.1760,0.7530,0.7530
2.5200,5.1394,0.7468,0.7468
2.4400,5.1076,0.7424,0.7424
2.3600,5.0783,0.7299,0.7299
2.2800,5.0462,0.7128,0.7128
2.2000,5.0143,0.7040,0.7040
2.1200,4.9799,0.7008,0.7008
2.0400,4.9530,0.7020,0.7020
1.9600,4.9289,0.6950,0.6950
1.8800,4.8966,0.6789,0.6789
1.8000,4.8627,0.6710,0.6710
1.7200,4.8339,0.6821,0.6821
1.6400,4.8080,0.6950,0.6950
1.5600,4.7836,0.6892,0.6892
1.4800,4.7541,0.6908,0.6908
1.3992,4.7049,0.7122,0.7122
1.3219,4.6562,0.7330,0.7330
1.2494,4.6094,0.7463,0.7463
1.1774,4.5558,0.7582,0.7582
1.1046,4.4977,0.7674,0.7674
1.0310,4.4416,0.7778,0.7778
0.9556,4.3761,0.7952,0.7952
0.8835,4.3051,0.7857,0.7857
0.8138,4.2301,0.7426,0.7426
0.7532,4.1500,0.7063,0.7063
0.7012,4.0700,0.6810,0.6810
0.6518,3.9900,0.6538,0.6538
0.6054,3.9100,0.6262,0.6262
0.5630,3.8300,0.6048,0.6048
0.5272,3.7500,0.5916,0.5916
0.5005,3.6700,0.5894,0.5894
0.4747,3.5900,0.5861,0.5861
0.4483,3.5100,0.5793,0.5793
0.4256,3.4300,0.5662,0.5662
0.4021,3.3500,0.5423,0.5423
0.3850,3.2700,0.5254,0.5254
0.3785,3.1900,0.5162,0.5162
0.3832,3.1100,0.5136,0.5136
0.3894,3.0300,0.5097,0.5097
0.3898,2.9500,0.4988,0.4988
0.3825,2.8700,0.4836,0.4836
0.3742,2.7900,0.4699,0.4699
0.3632,2.7100,0.4497,0.4497
0.3500,2.6300,0.4302,0.4302
0.3370,2.5500,0.4177,0.4177
0.3260,2.4700,0.4196,0.4196
0.3175,2.3900,0.4328,0.4328
0.3029,2.3100,0.4421,0.4421
0.2760,2.2300,0.4384,0.4384
0.2341,2.1500,0.4239,0.4239
0.1968,2.0700,0.4058,0.4058
0.1642,1.9900,0.3890,0.3890
0.1315,1.9100,0.3840,0.3840
0.1042,1.8300,0.3888,0.3888
0.0759,1.7500,0.4011,0.4011
0.0185,1.6700,0.4191,0.4191
-0.0497,1.5900,0.4480,0.4480
-0.1118,1.5100,0.4629,0.4629
-0.1621,1.4300,0.4666,0.4666
-0.2044,1.3500,0.4682,0.4682
-0.2438,1.2700,0.4720,0.4720
-0.2771,1.1900,0.4669,0.4669
-0.3012,1.1100,0.4601,0.4601
-0.3210,1.0300,0.4564,0.4564
-0.3369,0.9500,0.4550,0.4550
-0.3475,0.8700,0.4571,0.4571
-0.3611,0.7900,0.4735,0.4735
-0.3759,0.7100,0.4958,0.4958
-0.3790,0.6300,0.5115,0.5115
-0.3646,0.5500,0.5210,0.5210
-0.3416,0.4700,0.5331,0.5331
-0.3189,0.3900,0.5509,0.5509
-0.2883,0.3100,0.5601,0.5601
-0.2442,0.2292,0.5622,0.5622
-0.1889,0.1492,0.5746,0.5746
-0.1209,0.0967,0.5721,0.5721
-0.0404,0.0848,0.5397,0.5397
0.0400,0.0888,0.4959,0.4959
0.1200,0.0904,0.4625,0.4625
0.2000,0.0900,0.4338,0.4338
0.2800,0.0900,0.4144,0.4144
0.3600,0.0900,0.4038,0.4038
0.4400,0.0900,0.3997,0.3997
0.5200,0.0900,0.3999,0.3999
0.6000,0.0900,0.3996,0.3996
0.6800,0.0900,0.4008,0.4008
0.7600,0.0900,0.4075,0.4075
0.8400,0.0892,0.4156,0.4156
0.9200,0.0912,0.4235,0.4235
1.0000,0.0981,0.4324,0.4324
1.0800,0.1055,0.4361,0.4361
1.1600,0.1091,0.4311,0.4311
1.2400,0.1108,0.4292,0.4292
1.3200,0.1100,0.4300,0.4300
1.4000,0.1100,0.4300,0.4300
1.4800,0.1100,0.4295,0.4295
1.5600,0.1100,0.4328,0.4328
1.6400,0.1100,0.4382,0.4382
1.7200,0.1100,0.4406,0.4406
1.8000,0.1100,0.4400,0.4400
1.8800,0.1103,0.4397,0.4397
1.9600,0.1145,0.4482,0.4482
2.0400,0.1307,0.4705,0.4705
2.1200,0.1451,0.4858,0.4858
2.2000,0.1604,0.4866,0.4866
2.2800,0.1829,0.4851,0.4851
2.3600,0.1985,0.4859,0.4859
2.4400,0.2038,0.4852,0.4852
2.5200,0.2145,0.4766,0.4766
2.6000,0.2327,0.4719,0.4719
2.6800,0.2499,0.4759,0.4759
2.7600,0.2607,0.4828,0.4828
2.8400,0.2721,0.4880,0.4880
2.9200,0.2848,0.4860,0.4860
3.0000,0.2993,0.4817,0.4817
3.0800,0.3185,0.4795,0.4795
3.1600,0.3353,0.4841,0.4841
3.2400,0.3510,0.4907,0.4907
3.3200,0.3656,0.4946,0.4946
3.4000,0.3846,0.4982,0.4982
3.4800,0.4072,0.5013,0.5013
3.5600,0.4268,0.4982,0.4982
3.6400,0.4413,0.4912,0.4912
3.7200,0.4567,0.4877,0.4877
3.8000,0.4703,0.4832,0.4832
3.8800,0.4886,0.4860,0.4860
3.9600,0.5138,0.5004,0.5004
4.0400,0.5392,0.5179,0.5179
4.1200,0.5678,0.5397,0.5397
4.2000,0.6030,0.5642,0.5642
4.2800,0.6446,0.5892,0.5892
4.3600,0.6926,0.5978,0.5978
4.4400,0.7411,0.5803,0.5803
4.5200,0.7802,0.5614,0.5614
4.6000,0.8106,0.5529,0.5529
4.6800,0.8394,0.5578,0.5578
4.7600,0.8581,0.5620,0.5620
4.8400,0.8715,0.5489,0.5489
4.9200,0.8989,0.5426,0.5426
5.0000,0.9316,0.5535,0.5535
5.0800,0.9578,0.5670,0.5670
5.1600,0.9745,0.5694,0.5694
5.2400,1.0013,0.5717,0.5717
5.3200,1.0340,0.5799,0.5799
5.4000,1.0637,0.5855,0.5855
5.4800,1.0826,0.5662,0.5662
5.5600,1.0946,0.5337,0.5337
5.6400,1.0979,0.5117,0.5117
5.7200,1.1018,0.4994,0.4994
5.8000,1.1086,0.4910,0.4910
5.8800,1.1208,0.4792,0.4792
5.9600,1.1289,0.4711,0.4711
6.0400,1.1308,0.4687,0.4687
6.1200,1.1300,0.4720,0.4720
6.2000,1.1300,0.4789,0.4789
6.2800,1.1300,0.4784,0.4784
6.3600,1.1300,0.4714,0.4714
6.4400,1.1300,0.4696,0.4696
6.5200,1.1292,0.4692,0.4692
6.6000,1.1319,0.4719,0.4719
6.6800,1.1386,0.4786,0.4786
6.7600,1.1490,0.4890,0.4890
6.8400,1.1613,0.5013,0.5013
6.9200,1.1719,0.5119,0.5119
7.0000,1.1768,0.5173,0.5173
7.0800,1.1901,0.5295,0.5295
7.1600,1.2118,0.5385,0.5385
7.2400,1.2325,0.5362,0.5362
7.3200,1.2455,0.5334,0.5334
7.4000,1.2586,0.5377,0.5377
7.4800,1.2728,0.5466,0.5466
