# x_m,y_m,w_tr_right_m,w_tr_left_m
5.9300,1.9096,0.5153,0.5153
5.8500,1.9575,0.5257,0.5257
5.7700,2.0118,0.5347,0.5347
5.6893,2.0656,0.5382,0.5382
5.6113,2.1150,0.5439,0.5439
5.5368,2.1747,0.5639,0.5639
5.4607,2.2528,0.5803,0.5803
5.3800,2.3244,0.5730,0.5730
5.3000,2.3864,0.5648,0.5648
5.2200,2.4426,0.5575,0.5575
5.1399,2.5004,0.5410,0.5410
5.0646,2.5516,0.5317,0.5317
4.9897,2.6085,0.5313,0.5313
4.9100,2.6729,0.5348,0.5348
4.8300,2.7319,0.5345,0.5345
4.7500,2.7867,0.5363,0.5363
4.6700,2.8387,0.5332,0.5332
4.5900,2.8928,0.5373,0.5373
4.5100,2.9528,0.5556,0.5556
4.4300,3.0169,0.5634,0.5634
4.3500,3.0698,0.5626,0.5626
4.2700,3.1142,0.5670,0.5670
4.1900,3.1637,0.5651,0.5651
4.1100,3.2084,0.5637,0.5637
4.0300,3.2484,0.5598,0.5598
3.9500,3.2819,0.5549,0.5549
3.8700,3.3281,0.5585,0.5585
3.7900,3.3766,0.5574,0.5574
3.7100,3.4158,0.5516,0.5516
3.6300,3.4409,0.5656,0.5656
3.5500,3.4673,0.5817,0.5817
3.4700,3.5063,0.5837,0.5837
3.3900,3.5611,0.5686,0.5686
3.3100,3.6084,0.5540,0.5540
3.2300,3.6410,0.5593,0.5593
3.1500,3.6736,0.5652,0.5652
3.0700,3.7161,0.5678,0.5678
2.9900,3.7678,0.5728,0.5728
2.9100,3.8204,0.5663,0.5663
2.8300,3.8628,0.5554,0.5554
2.7500,3.8894,0.5490,0.5490
2.6700,3.9005,0.5365,0.5365
2.5900,3.9103,0.5242,0.5242
2.5100,3.9292,0.5094,0.5094
2.4300,3.9401,0.5004,0.5004
2.3500,3.9407,0.4993,0.4993
2.2700,3.9400,0.5000,0.5000
2.1900,3.9400,0.4998,0.4998
2.1100,3.9400,0.4996,0.4996
2.0300,3.9400,0.5042,0.5042
1.9500,3.9400,0.5197,0.5197
1.8700,3.9400,0.5429,0.5429
1.7900,3.9406,0.5651,0.5651
1.7100,3.9358,0.5860,0.5860
1.6300,3.9214,0.5931,0.5931
1.5493,3.8896,0.5787,0.5787
1.4713,3.8449,0.5590,0.5590
1.3968,3.7995,0.5336,0.5336
1.3207,3.7734,0.5234,0.5234
1.2400,3.7583,0.5341,0.5341
1.1600,3.7307,0.5398,0.5398
1.0800,3.6920,0.5480,0.5480
1.0000,3.6381,0.5452,0.5452
0.9199,3.5764,0.5228,0.5228
0.8446,3.5216,0.4934,0.4934
0.7697,3.4790,0.4695,0.4695
0.6900,3.4368,0.4523,0.4523
0.6100,3.3958,0.4451,0.4451
0.5300,3.3573,0.4396,0.4396
0.4500,3.3124,0.4364,0.4364
0.3700,3.2641,0.4433,0.4433
0.2900,3.2171,0.4451,0.4451
0.2100,3.1738,0.4330,0.4330
0.1300,3.1359,0.4204,0.4204
0.0500,3.1015,0.4167,0.4167
-0.0300,3.0752,0.4200,0.4200
-0.1100,3.0407,0.4218,0.4218
-0.1900,3.0037,0.4219,0.4219
-0.2700,2.9646,0.4268,0.4268
-0.3500,2.9257,0.4370,0.4370
-0.4300,2.8904,0.4466,0.4466
-0.5100,2.8543,0.4518,0.4518
-0.5900,2.8077,0.4653,0.4653
