# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.2100,3.3907,0.8203,0.8203
-3.1300,3.4576,0.8109,0.8109
-3.0500,3.5175,0.8079,0.8079
-2.9700,3.5863,0.8257,0.8257
-2.8900,3.6564,0.8504,0.8504
-2.8100,3.7260,0.8714,0.8714
-2.7300,3.7929,0.8813,0.8813
-2.6500,3.8561,0.8698,0.8698
-2.5700,3.9022,0.8500,0.8500
-2.4900,3.9335,0.8531,0.8531
-2.4100,3.9593,0.8621,0.8621
-2.3300,3.9879,0.8585,0.8585
-2.2500,4.0146,0.8424,0.8424
-2.1700,4.0428,0.8181,0.8181
-2.0900,4.0651,0.7949,0.7949
-2.0100,4.0894,0.7706,0.7706
-1.9300,4.1171,0.7429,0.7429
-1.8500,4.1301,0.7299,0.7299
-1.7700,4.1300,0.7307,0.7307
-1.6900,4.1313,0.7271,0.7271
-1.6100,4.1368,0.7128,0.7128
-1.5300,4.1407,0.7004,0.7004
-1.4500,4.1400,0.6999,0.6999
-1.3700,4.1407,0.7006,0.7006
-1.2900,4.1390,0.7011,0.7011
-1.2100,4.1386,0.6972,0.6972
-1.1300,4.1403,0.6927,0.6927
-1.0500,4.1383,0.6880,0.6880
-0.9700,4.1279,0.6779,0.6779
-0.8900,4.1195,0.6695,0.6695
-0.8100,4.1200,0.6701,0.6701
-0.7300,4.1208,0.6708,0.6708
-0.6500,4.1188,0.6647,0.6647
-0.5700,4.1117,0.6525,0.6525
-0.4900,4.1023,0.6426,0.6426
-0.4100,4.0928,0.6307,0.6307
-0.3300,4.0810,0.6137,0.6137
-0.2500,4.0661,0.5955,0.5955
-0.1700,4.0509,0.5805,0.5805
-0.0900,4.0391,0.5729,0.5729
-0.0100,4.0311,0.5780,0.5780
0.0700,4.0212,0.5903,0.5903
0.1500,4.0118,0.6058,0.6058
0.2300,4.0050,0.6199,0.6199
0.3100,3.9980,0.6244,0.6244
0.3900,3.9798,0.6177,0.6177
0.4700,3.9485,0.6001,0.6001
0.5500,3.9094,0.5709,0.5709
0.6300,3.8728,0.5540,0.5540
0.7100,3.8582,0.5645,0.5645
0.7900,3.8561,0.5846,0.5846
0.8700,3.8524,0.5717,0.5717
0.9500,3.8445,0.5468,0.5468
1.0300,3.8250,0.5461,0.5461
1.1100,3.7959,0.5613,0.5613
1.1900,3.7657,0.5617,0.5617
1.2700,3.7456,0.5513,0.5513
1.3500,3.7327,0.5445,0.5445
1.4300,3.7177,0.5380,0.5380
1.5100,3.7096,0.5386,0.5386
1.5900,3.7058,0.5409,0.5409
1.6700,3.6960,0.5445,0.5445
1.7500,3.6890,0.5435,0.5435
1.8300,3.6807,0.5393,0.5393
1.9100,3.6721,0.5391,0.5391
1.9900,3.6645,0.5425,0.5425
2.0700,3.6553,0.5424,0.5424
2.1500,3.6457,0.5436,0.5436
2.2300,3.6369,0.5435,0.5435
2.3100,3.6220,0.5327,0.5327
2.3900,3.6119,0.5244,0.5244
2.4700,3.6051,0.5267,0.5267
2.5500,3.5941,0.5308,0.5308
2.6300,3.5846,0.5362,0.5362
2.7100,3.5757,0.5408,0.5408
2.7900,3.5583,0.5433,0.5433
2.8700,3.5287,0.5430,0.5430
2.9500,3.5050,0.5530,0.5530
3.0300,3.4774,0.5516,0.5516
3.1100,3.4451,0.5367,0.5367
3.1900,3.4129,0.5236,0.5236
3.2700,3.3816,0.5187,0.5187
3.3500,3.3594,0.5228,0.5228
3.4300,3.3396,0.5268,0.5268
3.5100,3.3115,0.5236,0.5236
3.5900,3.2809,0.5283,0.5283
3.6700,3.2490,0.5389,0.5389
3.7500,3.2116,0.5476,0.5476
3.8300,3.1709,0.5458,0.5458
3.9100,3.1328,0.5396,0.5396
3.9900,3.0927,0.5494,0.5494
4.0700,3.0434,0.5760,0.5760
4.1500,2.9907,0.6033,0.6033
4.2300,2.9395,0.6199,0.6199
4.3105,2.8896,0.6319,0.6319
4.3861,2.8384,0.6403,0.6403
4.4607,2.7764,0.6467,0.6467
4.5396,2.7023,0.6510,0.6510
4.6202,2.6373,0.6516,0.6516
4.6943,2.5697,0.6488,0.6488
4.7569,2.4904,0.6464,0.6464
4.8168,2.4100,0.6381,0.6381
4.8683,2.3300,0.6225,0.6225
4.9050,2.2500,0.5955,0.5955
4.9301,2.1700,0.5720,0.5720
4.9464,2.0900,0.5633,0.5633
4.9600,2.0100,0.5507,0.5507
4.9704,1.9300,0.5328,0.5328
4.9704,1.8500,0.5301,0.5301
4.9700,1.7700,0.5315,0.5315
4.9700,1.6900,0.5306,0.5306
4.9700,1.6100,0.5299,0.5299
4.9700,1.5300,0.5300,0.5300
4.9692,1.4492,0.5292,0.5292
4.9725,1.3725,0.5325,0.5325
4.9791,1.2981,0.5388,0.5388
4.9747,1.2208,0.5348,0.5348
4.9536,1.1400,0.5215,0.5215
4.9302,1.0600,0.5074,0.5074
4.9093,0.9800,0.4923,0.4923
4.8856,0.9000,0.4811,0.4811
4.8575,0.8200,0.4794,0.4794
4.8384,0.7400,0.4933,0.4933
4.8169,0.6600,0.5149,0.5149
4.7676,0.5800,0.5281,0.5281
4.6981,0.5000,0.5346,0.5346
4.6279,0.4200,0.5382,0.5382
4.5634,0.3400,0.5397,0.5397
4.5143,0.2600,0.5364,0.5364
4.4627,0.1800,0.5437,0.5437
4.4103,0.1000,0.5502,0.5502
4.3587,0.0200,0.5512,0.5512
4.3054,-0.0604,0.5613,0.5613
4.2524,-0.1393,0.5812,0.5812
4.1917,-0.2139,0.6085,0.6085
4.1222,-0.2897,0.6233,0.6233
4.0479,-0.3654,0.6259,0.6259
3.9700,-0.4404,0.6320,0.6320
3.8925,-0.5162,0.6459,0.6459
3.8181,-0.5821,0.6630,0.6630
3.7408,-0.6420,0.6814,0.6814
3.6600,-0.6906,0.6866,0.6866
3.5800,-0.7207,0.6813,0.6813
3.5000,-0.7405,0.6758,0.6758
3.4200,-0.7583,0.6705,0.6705
3.3400,-0.7680,0.6577,0.6577
3.2600,-0.7736,0.6435,0.6435
3.1800,-0.7827,0.6383,0.6383
3.1000,-0.7921,0.6421,0.6421
3.0200,-0.7999,0.6501,0.6501
2.9400,-0.8120,0.6614,0.6614
2.8600,-0.8186,0.6611,0.6611
2.7800,-0.8250,0.6555,0.6555
2.7000,-0.8331,0.6551,0.6551
2.6200,-0.8446,0.6639,0.6639
2.5400,-0.8558,0.6776,0.6776
2.4600,-0.8646,0.6917,0.6917
2.3800,-0.8749,0.7050,0.7050
2.3000,-0.8866,0.7194,0.7194
2.2200,-0.8889,0.7324,0.7324
2.1400,-0.8839,0.7470,0.7470
2.0600,-0.8792,0.7710,0.7710
1.9800,-0.8680,0.7926,0.7926
1.9000,-0.8539,0.7918,0.7918
1.8200,-0.8472,0.7794,0.7794
1.7400,-0.8396,0.7705,0.7705
1.6600,-0.8127,0.7824,0.7824
1.5800,-0.7838,0.7944,0.7944
1.5000,-0.7584,0.7980,0.7980
1.4200,-0.7231,0.8166,0.8166
1.3400,-0.6776,0.8517,0.8517
1.2600,-0.6336,0.8843,0.8843
1.1800,-0.5857,0.8899,0.8899
1.1000,-0.5388,0.8767,0.8767
1.0200,-0.4910,0.8642,0.8642
0.9400,-0.4433,0.8573,0.8573
0.8592,-0.3996,0.8577,0.8577
0.7825,-0.3608,0.8638,0.8638
0.7081,-0.3096,0.8544,0.8544
0.6308,-0.2522,0.8296,0.8296
0.5500,-0.1959,0.7870,0.7870
0.4700,-0.1391,0.7342,0.7342
0.3900,-0.0847,0.6853,0.6853
0.3100,-0.0351,0.6412,0.6412
0.2300,0.0055,0.6042,0.6042
0.1500,0.0339,0.5792,0.5792
0.0700,0.0575,0.5669,0.5669
-0.0100,0.0751,0.5611,0.5611
-0.0900,0.0902,0.5526,0.5526
-0.1700,0.0990,0.5522,0.5522
-0.2500,0.1028,0.5564,0.5564
-0.3300,0.1106,0.5560,0.5560
-0.4100,0.1181,0.5519,0.5519
-0.4900,0.1205,0.5374,0.5374
-0.5700,0.1148,0.5173,0.5173
-0.6500,0.1059,0.5060,0.5060
-0.7300,0.0977,0.5058,0.5058
-0.8100,0.0881,0.5130,0.5130
-0.8900,0.0814,0.5311,0.5311
-0.9700,0.0794,0.5461,0.5461
-1.0500,0.0658,0.5444,0.5444
-1.1300,0.0391,0.5322,0.5322
-1.2100,0.0141,0.5189,0.5189
-1.2900,-0.0080,0.5126,0.5126
-1.3700,-0.0321,0.5118,0.5118
-1.4500,-0.0562,0.5066,0.5066
-1.5300,-0.0808,0.5008,0.5008
-1.6100,-0.1146,0.4966,0.4966
-1.6900,-0.1474,0.4970,0.4970
-1.7700,-0.1738,0.4999,0.4999
-1.8500,-0.2034,0.5015,0.5015
-1.9300,-0.2501,0.4918,0.4918
-2.0100,-0.2896,0.4889,0.4889
-2.0900,-0.3249,0.4908,0.4908
-2.1700,-0.3616,0.4950,0.4950
-2.2500,-0.3991,0.4960,0.4960
-2.3300,-0.4403,0.4842,0.4842
-2.4100,-0.4744,0.4814,0.4814
-2.4900,-0.5004,0.4824,0.4824
-2.5700,-0.5297,0.4673,0.4673
-2.6500,-0.5570,0.4493,0.4493
-2.7300,-0.5707,0.4452,0.4452
-2.8100,-0.5760,0.4472,0.4472
-2.8900,-0.5800,0.4403,0.4403
-2.9700,-0.5846,0.4329,0.4329
-3.0500,-0.5897,0.4297,0.4297
-3.1300,-0.5900,0.4359,0.4359
-3.2100,-0.5907,0.4459,0.4459
-3.2900,-0.5868,0.4549,0.4549
-3.3700,-0.5822,0.4534,0.4534
-3.4500,-0.5719,0.4500,0.4500
-3.5300,-0.5496,0.4624,0.4624
-3.6100,-0.5078,0.4967,0.4967
-3.6900,-0.4703,0.5237,0.5237
-3.7700,-0.4414,0.5370,0.5370
-3.8500,-0.4168,0.5382,0.5382
-3.9300,-0.3853,0.5433,0.5433
-4.0100,-0.3428,0.5589,0.5589
-4.0900,-0.2907,0.5819,0.5819
-4.1708,-0.2339,0.6046,0.6046
-4.2493,-0.1726,0.6332,0.6332
-4.3150,-0.1010,0.6617,0.6617
-4.3612,-0.0200,0.6711,0.6711
-4.4126,0.0600,0.6806,0.6806
-4.4692,0.1400,0.7096,0.7096
-4.5056,0.2200,0.7282,0.7282
-4.5246,0.3000,0.7328,0.7328
-4.5465,0.3800,0.7303,0.7303
-4.5666,0.4600,0.7188,0.7188
-4.5797,0.5400,0.7080,0.7080
-4.5797,0.6200,0.6945,0.6945
-4.5695,0.7000,0.6791,0.6791
-4.5528,0.7800,0.6647,0.6647
-4.5336,0.8600,0.6550,0.6550
-4.5203,0.9400,0.6497,0.6497
-4.5195,1.0200,0.6542,0.6542
-4.5159,1.1000,0.6636,0.6636
-4.5046,1.1800,0.6674,0.6674
-4.4844,1.2600,0.6624,0.6624
-4.4595,1.3400,0.6608,0.6608
-4.4343,1.4200,0.6705,0.6705
-4.4093,1.5000,0.6916,0.6916
-4.3867,1.5800,0.6997,0.6997
-4.3571,1.6600,0.6958,0.6958
-4.3126,1.7400,0.6984,0.6984
-4.2735,1.8200,0.7079,0.7079
-4.2375,1.9000,0.7138,0.7138
-4.1990,1.9800,0.7181,0.7181
-4.1561,2.0600,0.7246,0.7246
-4.1138,2.1400,0.7271,0.7271
-4.0714,2.2200,0.7276,0.7276
-4.0359,2.3000,0.7336,0.7336
-4.0009,2.3800,0.7377,0.7377
-3.9554,2.4600,0.7358,0.7358
-3.9023,2.5400,0.7366,0.7366
-3.8517,2.6200,0.7359,0.7359
-3.8034,2.7000,0.7346,0.7346
-3.7520,2.7800,0.7371,0.7371
-3.6947,2.8600,0.7442,0.7442
-3.6316,2.9400,0.7522,0.7522
-3.5737,3.0204,0.7551,0.7551
-3.5140,3.0994,0.7622,0.7622
-3.4404,3.1693,0.7771,0.7771
-3.3600,3.2398,0.7991,0.7991
-3.2545,3.3460,0.8161,0.8161
