# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.1751,0.5300,0.7465,0.7465
-1.2275,0.6100,0.7285,0.7285
-1.2749,0.6900,0.7172,0.7172
-1.3134,0.7700,0.7198,0.7198
-1.3468,0.8500,0.7240,0.7240
-1.3785,0.9300,0.7229,0.7229
-1.4133,1.0100,0.7142,0.7142
-1.4387,1.0900,0.6947,0.6947
-1.4518,1.1700,0.6655,0.6655
-1.4628,1.2500,0.6393,0.6393
-1.4709,1.3300,0.6130,0.6130
-1.4679,1.4100,0.5955,0.5955
-1.4620,1.4900,0.5896,0.5896
-1.4552,1.5700,0.5786,0.5786
-1.4499,1.6500,0.5545,0.5545
-1.4392,1.7300,0.5257,0.5257
-1.4240,1.8100,0.4987,0.4987
-1.4088,1.8900,0.4734,0.4734
-1.3873,1.9700,0.4467,0.4467
-1.3689,2.0500,0.4321,0.4321
-1.3526,2.1300,0.4250,0.4250
-1.3366,2.2100,0.4167,0.4167
-1.3264,2.2900,0.4169,0.4169
-1.3093,2.3700,0.4285,0.4285
-1.2931,2.4500,0.4327,0.4327
-1.2816,2.5300,0.4294,0.4294
-1.2645,2.6100,0.4183,0.4183
-1.2406,2.6900,0.4217,0.4217
-1.2180,2.7700,0.4348,0.4348
-1.2028,2.8500,0.4467,0.4467
-1.1845,2.9300,0.4669,0.4669
-1.1603,3.0100,0.4873,0.4873
-1.1405,3.0900,0.5007,0.5007
-1.1313,3.1700,0.5149,0.5149
-1.1206,3.2500,0.5394,0.5394
-1.1095,3.3300,0.5553,0.5553
-1.1029,3.4100,0.5545,0.5545
-1.0997,3.4900,0.5519,0.5519
-1.0868,3.5700,0.5589,0.5589
-1.0722,3.6500,0.5672,0.5672
-1.0683,3.7300,0.5648,0.5648
-1.0559,3.8100,0.5737,0.5737
-1.0377,3.8900,0.5967,0.5967
-1.0234,3.9700,0.6251,0.6251
-1.0048,4.0500,0.6640,0.6640
-0.9896,4.1305,0.7034,0.7034
-0.9655,4.2061,0.7567,0.7567
-0.9194,4.2807,0.8292,0.8292
-0.8490,4.3607,0.8551,0.8551
-0.7708,4.4321,0.8203,0.8203
-0.6900,4.4910,0.7831,0.7831
-0.6100,4.5355,0.7607,0.7607
-0.5300,4.5716,0.7434,0.7434
-0.4500,4.6029,0.7293,0.7293
-0.3700,4.6317,0.7091,0.7091
