# x_m,y_m,w_tr_right_m,w_tr_left_m
2.0060,2.3560,0.3731,0.3731
2.0218,2.4360,0.3679,0.3679
2.0433,2.5160,0.3639,0.3639
2.0654,2.5960,0.3483,0.3483
2.0780,2.6760,0.3273,0.3273
2.0810,2.7560,0.3096,0.3096
2.0861,2.8360,0.2867,0.2867
2.0905,2.9160,0.2630,0.2630
2.0900,2.9960,0.2424,0.2424
2.0907,3.0760,0.2307,0.2307
2.0887,3.1560,0.2282,0.2282
2.0834,3.2360,0.2224,0.2224
2.0740,3.3160,0.2181,0.2181
2.0619,3.3960,0.2225,0.2225
2.0488,3.4760,0.2319,0.2319
2.0345,3.5560,0.2453,0.2453
2.0169,3.6360,0.2631,0.2631
1.9965,3.7160,0.2828,0.2828
1.9717,3.7960,0.3117,0.3117
1.9441,3.8760,0.3507,0.3507
1.9110,3.9560,0.3982,0.3982
1.8799,4.0360,0.4439,0.4439
1.8512,4.1160,0.4882,0.4882
1.8256,4.1975,0.5306,0.5306
1.8009,4.2757,0.5446,0.5446
1.7503,4.3258,0.5248,0.5248
1.6712,4.3453,0.5021,0.5021
1.5900,4.3620,0.4944,0.4944
1.5100,4.3785,0.4900,0.4900
1.4300,4.3912,0.4839,0.4839
1.3500,4.4098,0.4712,0.4712
1.2700,4.4346,0.4515,0.4515
1.1900,4.4574,0.4339,0.4339
1.1100,4.4760,0.4219,0.4219
1.0300,4.4909,0.4164,0.4164
0.9500,4.5011,0.4178,0.4178
0.8700,4.5133,0.4153,0.4153
0.7900,4.5221,0.4127,0.4127
0.7100,4.5265,0.4063,0.4063
0.6300,4.5381,0.3944,0.3944
0.5500,4.5576,0.3779,0.3779
0.4700,4.5661,0.3740,0.3740
0.3900,4.5672,0.3780,0.3780
0.3100,4.5641,0.3722,0.3722
0.2300,4.5583,0.3616,0.3616
0.1500,4.5498,0.3538,0.3538
0.0700,4.5459,0.3494,0.3494
-0.0100,4.5460,0.3519,0.3519
-0.0900,4.5464,0.3523,0.3523
-0.1700,4.5457,0.3513,0.3513
-0.2500,4.5399,0.3559,0.3559
-0.3300,4.5290,0.3670,0.3670
-0.4100,4.5167,0.3793,0.3793
-0.4900,4.5038,0.3922,0.3922
-0.5707,4.4899,0.4069,0.4069
-0.6511,4.4751,0.4250,0.4250
-0.7102,4.4328,0.4247,0.4247
-0.7457,4.3587,0.3976,0.3976
-0.7718,4.2760,0.3733,0.3733
-0.7937,4.1960,0.3667,0.3667
-0.8183,4.1160,0.3658,0.3658
-0.8485,4.0360,0.3572,0.3572
-0.8807,3.9560,0.3390,0.3390
-0.9074,3.8760,0.3230,0.3230
-0.9309,3.7960,0.3075,0.3075
-0.9493,3.7160,0.2971,0.2971
-0.9627,3.6360,0.2969,0.2969
-0.9804,3.5560,0.2973,0.2973
-0.9989,3.4760,0.2937,0.2937
-1.0139,3.3960,0.2845,0.2845
-1.0275,3.3160,0.2742,0.2742
-1.0373,3.2360,0.2690,0.2690
-1.0474,3.1560,0.2673,0.2673
-1.0596,3.0760,0.2641,0.2641
-1.0771,2.9960,0.2526,0.2526
-1.0940,2.9160,0.2409,0.2409
-1.1058,2.8360,0.2338,0.2338
-1.1101,2.7560,0.2301,0.2301
-1.1100,2.6760,0.2300,0.2300
-1.1100,2.5960,0.2300,0.2300
-1.1100,2.5160,0.2300,0.2300
-1.1100,2.4360,0.2300,0.2300
-1.1100,2.3560,0.2300,0.2300
-1.1101,2.2760,0.2293,0.2293
-1.1051,2.1960,0.2374,0.2374
-1.0950,2.1160,0.2559,0.2559
-1.0862,2.0360,0.2762,0.2762
-1.0724,1.9560,0.3041,0.3041
-1.0544,1.8760,0.3336,0.3336
-1.0360,1.7960,0.3627,0.3627
-1.0182,1.7160,0.3980,0.3980
-0.9961,1.6360,0.4329,0.4329
-0.9768,1.5549,0.4550,0.4550
-0.9651,1.4752,0.4670,0.4670
-0.9269,1.4212,0.4667,0.4667
-0.8527,1.3951,0.4606,0.4606
-0.7700,1.3729,0.4561,0.4561
-0.6900,1.3412,0.4490,0.4490
-0.6100,1.2994,0.4417,0.4417
-0.5300,1.2545,0.4346,0.4346
-0.4500,1.2090,0.4274,0.4274
-0.3700,1.1663,0.4249,0.4249
-0.2900,1.1199,0.4292,0.4292
-0.2100,1.0644,0.4422,0.4422
-0.1300,1.0015,0.4598,0.4598
-0.0500,0.9409,0.4819,0.4819
0.0300,0.8837,0.5064,0.5064
0.1100,0.8154,0.5466,0.5466
0.1900,0.7414,0.5993,0.5993
0.2700,0.6792,0.6415,0.6415
0.3500,0.6224,0.6774,0.6774
0.4300,0.5524,0.7347,0.7347
0.5100,0.4802,0.7995,0.7995
0.5900,0.4430,0.8329,0.8329
0.6700,0.4381,0.8377,0.8377
0.7500,0.4353,0.8405,0.8405
0.8300,0.4357,0.8404,0.8404
0.9100,0.4306,0.8498,0.8498
0.9900,0.4259,0.8591,0.8591
1.0700,0.4260,0.8626,0.8626
1.1500,0.4260,0.8686,0.8686
1.2300,0.4260,0.8776,0.8776
1.3100,0.4260,0.8883,0.8883
1.3900,0.4256,0.9028,0.9028
1.4717,0.4230,0.8999,0.8999
1.5455,0.4519,0.8576,0.8576
1.5965,0.5226,0.8037,0.8037
1.6297,0.6060,0.7735,0.7735
1.6589,0.6860,0.7508,0.7508
1.6874,0.7660,0.7292,0.7292
1.7106,0.8460,0.7131,0.7131
1.7300,0.9260,0.6986,0.6986
1.7502,1.0060,0.6837,0.6837
1.7727,1.0860,0.6682,0.6682
1.7963,1.1660,0.6552,0.6552
1.8206,1.2460,0.6410,0.6410
1.8442,1.3260,0.6274,0.6274
1.8657,1.4060,0.6147,0.6147
1.8916,1.4860,0.5977,0.5977
1.9177,1.5660,0.5802,0.5802
1.9392,1.6460,0.5613,0.5613
1.9616,1.7261,0.5383,0.5383
1.9710,1.8014,0.5306,0.5306
1.9617,1.8763,0.5375,0.5375
1.9498,1.9560,0.5283,0.5283
1.9504,2.0360,0.4991,0.4991
1.9583,2.1160,0.4677,0.4677
1.9715,2.1960,0.4301,0.4301
1.9931,2.2978,0.3953,0.3953
