# x_m,y_m,w_tr_right_m,w_tr_left_m
2.2389,0.9845,0.7115,0.7115
2.3200,1.0342,0.7240,0.7240
2.4000,1.0879,0.7249,0.7249
2.4800,1.1410,0.7308,0.7308
2.5600,1.1840,0.7301,0.7301
2.6400,1.2136,0.7187,0.7187
2.7200,1.2402,0.7099,0.7099
2.8000,1.2702,0.7123,0.7123
2.8800,1.3076,0.7275,0.7275
2.9600,1.3416,0.7437,0.7437
3.0400,1.3731,0.7511,0.7511
3.1200,1.4071,0.7514,0.7514
3.2000,1.4307,0.7490,0.7490
3.2800,1.4415,0.7409,0.7409
3.3600,1.4587,0.7327,0.7327
3.4400,1.4814,0.7319,0.7319
3.5200,1.5007,0.7352,0.7352
3.6000,1.5296,0.7539,0.7539
3.6800,1.5703,0.7799,0.7799
3.7600,1.6058,0.7947,0.7947
3.8400,1.6257,0.7995,0.7995
3.9227,1.6428,0.7960,0.7960
3.9962,1.6768,0.7662,0.7662
4.0395,1.7396,0.7343,0.7343
4.0696,1.8193,0.7217,0.7217
4.1118,1.9000,0.7103,0.7103
4.1467,1.9800,0.7165,0.7165
4.1788,2.0608,0.7339,0.7339
4.2344,2.1383,0.7418,0.7418
4.3066,2.2039,0.7441,0.7441
4.3772,2.2700,0.7462,0.7462
4.4490,2.3415,0.7418,0.7418
4.5300,2.3914,0.7310,0.7310
4.6100,2.4443,0.7385,0.7385
4.6900,2.5167,0.7583,0.7583
4.7700,2.5895,0.7807,0.7807
4.8500,2.6518,0.7987,0.7987
4.9300,2.7124,0.8228,0.8228
5.0100,2.7588,0.8345,0.8345
5.0900,2.7932,0.8305,0.8305
5.1700,2.8259,0.8242,0.8242
5.2500,2.8574,0.8234,0.8234
5.3300,2.8907,0.8331,0.8331
5.4100,2.9276,0.8481,0.8481
5.4900,2.9578,0.8549,0.8549
5.5700,2.9895,0.8497,0.8497
5.6500,3.0278,0.8478,0.8478
5.7300,3.0651,0.8485,0.8485
5.8100,3.1006,0.8458,0.8458
5.8900,3.1388,0.8388,0.8388
