# x_m,y_m,w_tr_right_m,w_tr_left_m
2.2591,-8.3546,0.6572,0.6572
2.3271,-8.2797,0.6441,0.6441
2.3890,-8.2000,0.6221,0.6221
2.4515,-8.1200,0.5915,0.5915
2.5026,-8.0400,0.5763,0.5763
2.5417,-7.9600,0.5742,0.5742
2.5748,-7.8800,0.5753,0.5753
2.6147,-7.8000,0.5779,0.5779
2.6554,-7.7200,0.5810,0.5810
2.6902,-7.6400,0.5779,0.5779
2.7170,-7.5600,0.5658,0.5658
2.7411,-7.4800,0.5540,0.5540
2.7642,-7.4000,0.5488,0.5488
2.7856,-7.3200,0.5471,0.5471
2.8042,-7.2400,0.5489,0.5489
2.8254,-7.1600,0.5652,0.5652
2.8442,-7.0800,0.5896,0.5896
2.8453,-7.0000,0.6069,0.6069
2.8311,-6.9200,0.6195,0.6195
2.8170,-6.8400,0.6455,0.6455
2.8070,-6.7596,0.6706,0.6706
2.7928,-6.6780,0.6782,0.6782
2.7472,-6.6216,0.6665,0.6665
2.6922,-6.5731,0.6590,0.6590
2.6624,-6.5026,0.6632,0.6632
2.6330,-6.4193,0.6817,0.6817
2.5803,-6.3413,0.6822,0.6822
2.5172,-6.2668,0.6623,0.6623
2.4669,-6.1907,0.6468,0.6468
2.4307,-6.1100,0.6522,0.6522
2.3931,-6.0300,0.6553,0.6553
2.3403,-5.9500,0.6408,0.6408
2.2825,-5.8692,0.6292,0.6292
2.2227,-5.7912,0.6297,0.6297
2.1508,-5.7207,0.6270,0.6270
2.0830,-5.6495,0.6165,0.6165
2.0286,-5.5707,0.6092,0.6092
1.9813,-5.4900,0.6105,0.6105
1.9401,-5.4100,0.6073,0.6073
1.8996,-5.3300,0.5967,0.5967
1.8690,-5.2500,0.5906,0.5906
1.8527,-5.1700,0.5835,0.5835
1.8351,-5.0900,0.5748,0.5748
1.8172,-5.0100,0.5671,0.5671
1.8027,-4.9300,0.5608,0.5608
1.7899,-4.8500,0.5628,0.5628
1.7777,-4.7700,0.5699,0.5699
1.7641,-4.6900,0.5744,0.5744
1.7484,-4.6100,0.5820,0.5820
1.7272,-4.5300,0.6023,0.6023
1.7123,-4.4500,0.6176,0.6176
1.7184,-4.3700,0.6157,0.6157
1.7349,-4.2900,0.6045,0.6045
1.7552,-4.2100,0.5866,0.5866
1.7711,-4.1300,0.5617,0.5617
1.7858,-4.0500,0.5314,0.5314
1.8044,-3.9700,0.5052,0.5052
1.8273,-3.8900,0.4856,0.4856
1.8512,-3.8100,0.4770,0.4770
1.8763,-3.7300,0.4821,0.4821
1.8994,-3.6492,0.5020,0.5020
1.9391,-3.5725,0.5146,0.5146
2.0043,-3.4981,0.5116,0.5116
2.0726,-3.4208,0.5091,0.5091
2.1360,-3.3395,0.5198,0.5198
2.2090,-3.2652,0.5353,0.5353
2.2900,-3.2016,0.5416,0.5416
2.3700,-3.1444,0.5398,0.5398
2.4500,-3.0887,0.5436,0.5436
2.5300,-3.0261,0.5579,0.5579
2.6100,-2.9554,0.5658,0.5658
2.6900,-2.8835,0.5615,0.5615
2.7700,-2.8168,0.5553,0.5553
2.8500,-2.7485,0.5623,0.5623
2.9307,-2.6738,0.5743,0.5743
3.0099,-2.6064,0.5864,0.5864
3.0742,-2.5383,0.5960,0.5960
3.1287,-2.4608,0.6034,0.6034
3.1873,-2.3800,0.6099,0.6099
3.2539,-2.3000,0.6189,0.6189
3.3171,-2.2192,0.6265,0.6265
3.3754,-2.1425,0.6401,0.6401
3.4350,-2.0677,0.6625,0.6625
3.4902,-1.9915,0.6824,0.6824
3.5443,-1.9161,0.6998,0.6998
3.5919,-1.8405,0.7093,0.7093
3.6257,-1.7600,0.7107,0.7107
3.6552,-1.6800,0.7200,0.7200
3.6780,-1.6000,0.7272,0.7272
3.6975,-1.5200,0.7288,0.7288
3.7136,-1.4400,0.7293,0.7293
3.7263,-1.3600,0.7363,0.7363
3.7415,-1.2800,0.7513,0.7513
3.7573,-1.2000,0.7716,0.7716
3.7653,-1.1200,0.7917,0.7917
3.7758,-1.0400,0.8217,0.8217
3.7929,-0.9600,0.8653,0.8653
3.8128,-0.8793,0.9105,0.9105
3.8179,-0.8032,0.9343,0.9343
3.8034,-0.7287,0.9396,0.9396
3.7785,-0.6503,0.9440,0.9440
3.7369,-0.5707,0.9412,0.9412
3.6789,-0.4961,0.9350,0.9350
3.6199,-0.4205,0.9206,0.9206
3.5683,-0.3377,0.8774,0.8774
3.5018,-0.2691,0.8208,0.8208
3.4200,-0.2228,0.7885,0.7885
3.3400,-0.1865,0.7617,0.7617
3.2600,-0.1589,0.7383,0.7383
3.1800,-0.1464,0.7209,0.7209
3.1000,-0.1346,0.7047,0.7047
3.0200,-0.1164,0.6863,0.6863
2.9400,-0.1138,0.6837,0.6837
2.8600,-0.1187,0.6884,0.6884
2.7800,-0.1175,0.6918,0.6918
2.7000,-0.1109,0.6947,0.6947
2.6200,-0.1101,0.6881,0.6881
2.5400,-0.1170,0.6702,0.6702
2.4600,-0.1133,0.6626,0.6626
2.3800,-0.1033,0.6610,0.6610
2.3000,-0.0959,0.6459,0.6459
2.2200,-0.0858,0.6284,0.6284
2.1400,-0.0787,0.6178,0.6178
2.0600,-0.0800,0.6117,0.6117
1.9800,-0.0792,0.6020,0.6020
1.9000,-0.0825,0.6015,0.6015
1.8200,-0.0881,0.5982,0.5982
1.7400,-0.0908,0.5874,0.5874
1.6600,-0.0900,0.5800,0.5800
1.5800,-0.0900,0.5797,0.5797
1.5000,-0.0900,0.5800,0.5800
1.4200,-0.0900,0.5800,0.5800
1.3400,-0.0900,0.5807,0.5807
1.2600,-0.0900,0.5804,0.5804
1.1800,-0.0900,0.5832,0.5832
1.1000,-0.0900,0.5923,0.5923
1.0200,-0.0908,0.6014,0.6014
0.9400,-0.0875,0.6035,0.6035
0.8600,-0.0819,0.5985,0.5985
0.7800,-0.0797,0.5919,0.5919
0.7000,-0.0769,0.5877,0.5877
0.6200,-0.0680,0.5848,0.5848
0.5400,-0.0561,0.5838,0.5838
0.4600,-0.0490,0.5890,0.5890
0.3800,-0.0500,0.5937,0.5937
0.3000,-0.0500,0.5906,0.5906
0.2200,-0.0504,0.5886,0.5886
0.1400,-0.0500,0.5779,0.5779
0.0600,-0.0407,0.5734,0.5734
-0.0200,-0.0308,0.5787,0.5787
-0.1000,-0.0293,0.5802,0.5802
-0.1800,-0.0300,0.5834,0.5834
-0.2600,-0.0307,0.5876,0.5876
-0.3400,-0.0268,0.5964,0.5964
-0.4200,-0.0213,0.6064,0.6064
-0.5000,-0.0201,0.6128,0.6128
-0.5800,-0.0179,0.6202,0.6202
-0.6600,-0.0112,0.6346,0.6346
-0.7400,-0.0036,0.6568,0.6568
-0.8200,0.0050,0.6868,0.6868
-0.9000,0.0099,0.7149,0.7149
-0.9800,0.0113,0.7370,0.7370
-1.0600,0.0176,0.7571,0.7571
-1.1400,0.0211,0.7680,0.7680
-1.2200,0.0027,0.7890,0.7890
-1.3000,-0.0266,0.8216,0.8216
-1.3800,-0.0599,0.8435,0.8435
-1.4600,-0.1025,0.8456,0.8456
-1.5400,-0.1565,0.8430,0.8430
-1.6208,-0.2090,0.8118,0.8118
-1.7006,-0.2665,0.7459,0.7459
-1.7644,-0.3381,0.6912,0.6912
-1.8140,-0.4200,0.6536,0.6536
-1.8440,-0.5000,0.6302,0.6302
-1.8519,-0.5800,0.6339,0.6339
-1.8497,-0.6600,0.6586,0.6586
-1.8638,-0.7400,0.6668,0.6668
