# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.0279,4.3944,0.6248,0.6248
-0.9530,4.4597,0.6044,0.6044
-0.8822,4.5157,0.5869,0.5869
-0.8108,4.5647,0.5749,0.5749
-0.7300,4.6116,0.5768,0.5768
-0.6500,4.6567,0.5703,0.5703
-0.5700,4.6855,0.5479,0.5479
-0.4900,4.7100,0.5333,0.5333
-0.4100,4.7448,0.5368,0.5368
-0.3300,4.7699,0.5450,0.5450
-0.2500,4.7928,0.5502,0.5502
-0.1700,4.8219,0.5513,0.5513
-0.0900,4.8566,0.5599,0.5599
-0.0100,4.8943,0.5876,0.5876
0.0700,4.9199,0.6031,0.6031
0.1500,4.9432,0.5987,0.5987
0.2300,4.9738,0.5934,0.5934
0.3100,5.0153,0.6109,0.6109
0.3904,5.0561,0.6270,0.6270
0.4614,5.1089,0.6192,0.6192
0.5311,5.1741,0.5960,0.5960
0.6093,5.2138,0.5751,0.5751
0.6900,5.2245,0.5526,0.5526
0.7697,5.2513,0.5427,0.5427
0.8446,5.3091,0.5611,0.5611
0.9213,5.3658,0.5775,0.5775
0.9943,5.3993,0.5757,0.5757
1.0632,5.4439,0.5717,0.5717
1.1385,5.4880,0.5604,0.5604
1.2200,5.5026,0.5377,0.5377
1.3000,5.5166,0.5131,0.5131
1.3797,5.5296,0.5020,0.5020
1.4546,5.5586,0.5211,0.5211
1.5299,5.5974,0.5542,0.5542
1.6100,5.6330,0.5722,0.5722
1.6900,5.6564,0.5783,0.5783
1.7700,5.6762,0.5895,0.5895
1.8500,5.7051,0.5989,0.5989
1.9300,5.7327,0.6054,0.6054
2.0100,5.7691,0.6055,0.6055
2.0900,5.8121,0.6083,0.6083
2.1700,5.8584,0.6199,0.6199
2.2500,5.9056,0.6243,0.6243
2.3300,5.9489,0.6181,0.6181
2.4100,5.9835,0.6149,0.6149
2.4900,6.0156,0.6126,0.6126
2.5700,6.0601,0.6253,0.6253
2.6515,6.1141,0.6421,0.6421
2.7266,6.1613,0.6226,0.6226
2.7893,6.2204,0.5920,0.5920
2.8326,6.3018,0.5625,0.5625
2.8802,6.3672,0.5378,0.5378
2.9470,6.3934,0.5352,0.5352
3.0300,6.4052,0.5270,0.5270
3.1100,6.4254,0.5016,0.5016
3.1900,6.4418,0.4894,0.4894
3.2700,6.4566,0.4892,0.4892
3.3508,6.4697,0.5004,0.5004
3.4275,6.5021,0.5408,0.5408
3.5031,6.5380,0.5986,0.5986
3.5728,6.5766,0.6355,0.6355
3.6426,6.6064,0.6467,0.6467
3.7188,6.6379,0.6496,0.6496
3.8000,6.6671,0.6470,0.6470
3.8800,6.7060,0.6350,0.6350
3.9600,6.7352,0.6268,0.6268
4.0400,6.7575,0.6292,0.6292
4.1200,6.7778,0.6288,0.6288
4.2000,6.7900,0.6153,0.6153
4.2800,6.8071,0.6047,0.6047
4.3600,6.8396,0.6184,0.6184
4.4400,6.8657,0.6362,0.6362
4.5200,6.8795,0.6433,0.6433
4.6000,6.8760,0.6286,0.6286
4.6800,6.8629,0.6007,0.6007
4.7600,6.8533,0.5739,0.5739
4.8400,6.8428,0.5495,0.5495
4.9200,6.8296,0.5292,0.5292
5.0000,6.8163,0.5176,0.5176
5.0800,6.8058,0.5177,0.5177
5.1600,6.7949,0.5270,0.5270
5.2400,6.7817,0.5434,0.5434
5.3200,6.7656,0.5633,0.5633
5.4000,6.7433,0.5803,0.5803
5.4800,6.7023,0.5832,0.5832
5.5600,6.6504,0.5817,0.5817
5.6400,6.5959,0.5713,0.5713
5.7200,6.5407,0.5525,0.5525
5.8007,6.4864,0.5442,0.5442
5.8787,6.4257,0.5459,0.5459
5.9551,6.3595,0.5414,0.5414
6.0260,6.3031,0.5371,0.5371
6.0805,6.2393,0.5355,0.5355
6.1290,6.1615,0.5378,0.5378
6.1918,6.0885,0.5319,0.5319
6.2562,6.0210,0.5176,0.5176
6.3293,5.9648,0.5115,0.5115
6.4073,5.9068,0.5097,0.5097
6.4787,5.8316,0.4956,0.4956
6.5404,5.7500,0.4859,0.4859
6.5989,5.6700,0.4745,0.4745
6.6587,5.5900,0.4554,0.4554
6.7027,5.5100,0.4517,0.4517
6.7431,5.4300,0.4555,0.4555
6.7964,5.3500,0.4616,0.4616
6.8598,5.2700,0.4696,0.4696
6.9153,5.1893,0.4705,0.4705
6.9672,5.1113,0.4739,0.4739
7.0213,5.0368,0.4849,0.4849
