# x_m,y_m,w_tr_right_m,w_tr_left_m
14.3962,-26.4261,1.1273,1.1273
13.8370,-26.2164,1.1054,1.1054
13.2777,-25.9367,1.1054,1.1054
12.7184,-25.6571,1.1054,1.1054
12.1591,-25.5173,1.0694,1.0694
11.5998,-25.3774,1.1054,1.1054
11.0406,-25.2376,1.1273,1.1273
10.4813,-25.1677,1.1207,1.1207
9.9220,-25.0978,1.1186,1.1186
9.3627,-25.0279,1.1054,1.1054
8.8034,-24.8881,1.1207,1.1207
8.2442,-24.8182,1.1273,1.1273
7.6849,-24.7483,1.1273,1.1273
7.1256,-24.6783,1.1273,1.1273
6.5663,-24.6084,1.1207,1.1207
6.0070,-24.5385,1.1207,1.1207
5.4478,-24.4686,1.1186,1.1186
4.8885,-24.3987,1.1186,1.1186
4.3292,-24.3288,1.1186,1.1186
3.7699,-24.2589,1.1054,1.1054
3.2106,-24.1191,1.1186,1.1186
2.6514,-24.0492,1.1207,1.1207
2.0921,-23.9792,1.1273,1.1273
1.5328,-23.9093,1.1273,1.1273
0.9735,-23.8394,1.1207,1.1207
0.4142,-23.7695,1.1186,1.1186
-0.1450,-23.6996,1.1186,1.1186
-0.7043,-23.6297,1.1186,1.1186
-1.2636,-23.5598,1.1054,1.1054
-1.8229,-23.4200,1.1186,1.1186
-2.3822,-23.3501,1.1207,1.1207
-2.9414,-23.2801,1.1273,1.1273
-3.5007,-23.2102,1.1273,1.1273
-4.0600,-23.1403,1.1207,1.1207
-4.6193,-23.0704,1.1186,1.1186
-5.1786,-23.0005,1.1186,1.1186
-5.7378,-22.9306,1.1186,1.1186
-6.2971,-22.8607,1.1054,1.1054
-6.8564,-22.7209,1.1186,1.1186
-7.4157,-22.6510,1.1207,1.1207
-7.9750,-22.5810,1.1273,1.1273
-8.5342,-22.5111,1.1273,1.1273
-9.0935,-22.4412,1.1207,1.1207
-9.6528,-22.3713,1.1207,1.1207
-10.2121,-22.3014,1.1186,1.1186
-10.7714,-22.2315,1.1186,1.1186
-11.3306,-22.1616,1.1054,1.1054
-11.8899,-22.0917,1.1054,1.1054
-12.4492,-21.9519,1.1207,1.1207
-13.0085,-21.8819,1.1207,1.1207
-13.5678,-21.8120,1.1273,1.1273
-14.1270,-21.7421,1.1273,1.1273
-14.6863,-21.6722,1.1207,1.1207
-15.2456,-21.6023,1.1186,1.1186
-15.8049,-21.5324,1.1186,1.1186
-16.3642,-21.4625,1.1186,1.1186
-16.9234,-21.3926,1.1054,1.1054
-17.4827,-21.2528,1.1273,1.1273
-18.0420,-21.1129,1.0694,1.0694
-18.6013,-20.9731,1.0943,1.0943
-19.1606,-20.6935,1.1381,1.1381
-19.4402,-20.1342,1.1054,1.1054
-19.5800,-19.5749,1.0853,1.0853
-19.6499,-19.0156,1.1186,1.1186
-19.7198,-18.4564,1.1186,1.1186
-19.7898,-17.8971,1.1186,1.1186
-19.7898,-17.3378,1.1207,1.1207
-19.8597,-16.7785,1.1186,1.1186
-19.8597,-16.2192,1.1273,1.1273
-19.9296,-15.6600,1.1186,1.1186
-19.9995,-15.1007,1.0853,1.0853
-19.9995,-14.5414,1.1186,1.1186
-20.0694,-13.9821,1.1186,1.1186
-20.0694,-13.4228,1.1207,1.1207
-20.1393,-12.8636,1.1273,1.1273
-20.2092,-12.3043,1.1207,1.1207
-20.2791,-11.7450,1.1207,1.1207
-20.3490,-11.1857,1.1207,1.1207
-20.4189,-10.6264,1.1273,1.1273
-20.4889,-10.0672,1.1273,1.1273
-20.5588,-9.5079,1.1273,1.1273
-20.6287,-8.9486,1.1207,1.1207
-20.7685,-8.3893,1.0853,1.0853
-20.8384,-7.8300,1.1186,1.1186
-20.9782,-7.2708,1.0694,1.0694
-21.1880,-6.7115,1.1054,1.1054
-21.6773,-6.4318,1.0010,1.0010
-22.2366,-6.2920,1.0487,1.0487
-22.7959,-6.4318,1.0648,1.0648
-23.3552,-6.7814,1.1273,1.1273
-23.7047,-7.3407,1.1054,1.1054
-24.1242,-7.8999,1.1273,1.1273
-24.5436,-8.4592,1.1273,1.1273
-25.0330,-8.9486,1.1054,1.1054
-25.5923,-9.0884,1.0010,1.0010
-26.1516,-9.1583,1.0853,1.0853
-26.7108,-9.0185,1.1294,1.1294
-27.2701,-8.7389,1.0920,1.0920
-27.8294,-8.3893,1.0648,1.0648
-28.3887,-8.1796,1.0853,1.0853
-28.9480,-8.1097,1.0579,1.0579
-29.5072,-7.9699,1.1273,1.1273
-30.0665,-7.8999,1.1207,1.1207
-30.6258,-7.8999,1.1186,1.1186
-31.1851,-7.8300,1.1186,1.1186
-31.7444,-7.7601,1.1273,1.1273
-32.3036,-7.6902,1.1186,1.1186
-32.8629,-7.6203,1.1186,1.1186
-33.4222,-7.5504,1.1207,1.1207
-33.9815,-7.4106,1.1294,1.1294
-34.5408,-7.2008,1.1273,1.1273
-35.1000,-6.8513,1.1054,1.1054
-35.3797,-6.2920,1.0393,1.0393
-35.4496,-5.7327,1.0487,1.0487
-35.4496,-5.1735,1.0694,1.0694
-35.3797,-4.6142,1.1054,1.1054
-35.2399,-4.0549,1.1273,1.1273
-35.0301,-3.4956,1.0943,1.0943
-34.8204,-2.9363,1.1273,1.1273
-34.6107,-2.3771,1.1273,1.1273
-34.2611,-1.8178,1.1273,1.1273
-33.9116,-1.2585,1.1381,1.1381
-33.4921,-0.6992,1.1273,1.1273
-33.0727,-0.1399,1.1381,1.1381
-32.5833,0.4193,1.1381,1.1381
-32.0240,0.9786,1.1381,1.1381
-31.4647,1.4680,1.1381,1.1381
-30.9054,1.9574,1.1273,1.1273
-30.3462,2.3069,1.1273,1.1273
-29.7869,2.5866,1.0943,1.0943
-29.2276,2.8662,1.1294,1.1294
-28.6683,3.0060,1.0648,1.0648
-28.1090,3.2157,1.1273,1.1273
-27.5498,3.2857,1.0694,1.0694
-26.9905,3.4255,1.1207,1.1207
-26.4312,3.4954,1.1207,1.1207
-25.8719,3.4954,1.1186,1.1186
-25.3126,3.5653,1.1186,1.1186
-24.7534,3.5653,1.1186,1.1186
-24.1941,3.5653,1.1186,1.1186
-23.6348,3.4954,1.0487,1.0487
-23.0755,3.4954,1.0853,1.0853
-22.5162,3.4255,1.1054,1.1054
-21.9570,3.3556,1.1186,1.1186
-21.3977,3.2857,1.1273,1.1273
-20.8384,3.2157,1.1207,1.1207
-20.2791,3.0759,1.1054,1.1054
-19.7198,3.0060,1.1186,1.1186
-19.1606,2.9361,1.1186,1.1186
-18.6013,2.8662,1.1207,1.1207
-18.0420,2.7963,1.1273,1.1273
-17.4827,2.7264,1.1207,1.1207
-16.9234,2.5866,1.1054,1.1054
-16.3642,2.5166,1.1186,1.1186
-15.8049,2.4467,1.1207,1.1207
-15.2456,2.3768,1.1273,1.1273
-14.6863,2.2370,1.0853,1.0853
-14.1270,2.1671,1.1054,1.1054
-13.5678,2.0972,1.1207,1.1207
-13.0085,2.0273,1.1273,1.1273
-12.4492,1.8875,1.0853,1.0853
-11.8899,1.8175,1.1186,1.1186
-11.3306,1.7476,1.1207,1.1207
-10.7714,1.6078,1.0694,1.0694
-10.2121,1.5379,1.1054,1.1054
-9.6528,1.4680,1.1207,1.1207
-9.0935,1.3981,1.1273,1.1273
-8.5342,1.2583,1.1054,1.1054
-7.9750,1.1884,1.1186,1.1186
-7.4157,1.1184,1.1273,1.1273
-6.8564,0.9786,1.0853,1.0853
-6.2971,0.9087,1.1186,1.1186
-5.7378,0.8388,1.1207,1.1207
-5.1786,0.7689,1.1273,1.1273
-4.6193,0.6291,1.1054,1.1054
-4.0600,0.5592,1.1186,1.1186
-3.5007,0.4893,1.1273,1.1273
-2.9414,0.3494,1.0694,1.0694
-2.3822,0.2795,1.1054,1.1054
-1.8229,0.2096,1.1186,1.1186
-1.2636,0.1397,1.1207,1.1207
-0.7043,0.0698,1.1273,1.1273
-0.1450,-0.0700,1.0853,1.0853
0.4142,-0.1399,1.1054,1.1054
0.9735,-0.2098,1.1186,1.1186
1.5328,-0.2798,1.1207,1.1207
2.0921,-0.3497,1.1273,1.1273
2.6514,-0.4196,1.1273,1.1273
3.2106,-0.4895,1.1207,1.1207
3.7699,-0.6293,1.1054,1.1054
4.3292,-0.6992,1.1186,1.1186
4.8885,-0.7691,1.1186,1.1186
5.4478,-0.8390,1.1207,1.1207
6.0070,-0.9089,1.1273,1.1273
6.5663,-0.9789,1.1273,1.1273
7.1256,-1.0488,1.1207,1.1207
7.6849,-1.1187,1.1186,1.1186
8.2442,-1.2585,1.1054,1.1054
8.8034,-1.3284,1.1186,1.1186
9.3627,-1.3983,1.1186,1.1186
9.9220,-1.4682,1.1186,1.1186
10.4813,-1.5381,1.1207,1.1207
11.0406,-1.6080,1.1273,1.1273
11.5998,-1.6780,1.1273,1.1273
12.1591,-1.7479,1.1207,1.1207
12.7184,-1.8178,1.1186,1.1186
13.2777,-1.9576,1.1054,1.1054
13.8370,-2.0275,1.1186,1.1186
14.3962,-2.0974,1.1186,1.1186
14.9555,-2.1673,1.1186,1.1186
15.5148,-2.2372,1.1207,1.1207
16.0741,-2.3071,1.1273,1.1273
16.6334,-2.3771,1.1273,1.1273
17.1926,-2.4470,1.1207,1.1207
17.7519,-2.5169,1.1207,1.1207
18.3112,-2.6567,1.1054,1.1054
