# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.3420,0.8040,0.5780,0.5780
-0.3300,0.7200,0.5792,0.5792
-0.3060,0.6240,0.5806,0.5806
-0.2820,0.5280,0.5909,0.5909
-0.2340,0.4320,0.5958,0.5958
-0.1740,0.3360,0.5978,0.5978
-0.0780,0.2520,0.5742,0.5742
0.0180,0.1800,0.5641,0.5641
0.1140,0.1200,0.5640,0.5640
0.2100,0.0840,0.5280,0.5280
0.3060,0.0600,0.5040,0.5040
0.4020,0.0480,0.4920,0.4920
0.4980,0.0360,0.4854,0.4854
0.5940,0.0360,0.4921,0.4921
0.6900,0.0360,0.4921,0.4921
0.7860,0.0360,0.4920,0.4920
0.8820,0.0360,0.4801,0.4801
0.9780,0.0240,0.4920,0.4920
1.0740,0.0360,0.4837,0.4837
1.1700,0.0600,0.4819,0.4819
1.2660,0.0720,0.5011,0.5011
1.3620,0.0960,0.5105,0.5105
1.4580,0.1320,0.5206,0.5206
1.5540,0.1800,0.5304,0.5304
1.6380,0.2400,0.5431,0.5431
1.7340,0.3120,0.5359,0.5359
1.8060,0.4080,0.4991,0.4991
1.8540,0.5040,0.4782,0.4782
1.8900,0.6000,0.4705,0.4705
1.9140,0.6960,0.4455,0.4455
1.9260,0.7920,0.4320,0.4320
1.9380,0.8880,0.4227,0.4227
1.9380,0.9840,0.4166,0.4166
1.9380,1.0800,0.4080,0.4080
1.9380,1.1760,0.4166,0.4166
1.9380,1.2720,0.4200,0.4200
1.9380,1.3680,0.4200,0.4200
1.9380,1.4640,0.4283,0.4283
1.9380,1.5600,0.4569,0.4569
1.9260,1.6560,0.4991,0.4991
1.9140,1.7520,0.5326,0.5326
1.8420,1.8240,0.4972,0.4972
1.7460,1.8480,0.4484,0.4484
1.6500,1.8600,0.4207,0.4207
1.5540,1.8720,0.4080,0.4080
1.4580,1.8840,0.3960,0.3960
1.3620,1.9080,0.3737,0.3737
1.2660,1.9200,0.3768,0.3768
1.1700,1.9200,0.4034,0.4034
1.0740,1.9320,0.3909,0.3909
0.9780,1.9320,0.3728,0.3728
0.8820,1.9560,0.3814,0.3814
0.7860,1.9560,0.3720,0.3720
0.6900,1.9680,0.3840,0.3840
0.5940,1.9680,0.3887,0.3887
0.4980,1.9800,0.4256,0.4256
0.4020,1.9920,0.4727,0.4727
0.3300,2.0280,0.5315,0.5315
0.3060,2.1240,0.4631,0.4631
0.2820,2.2200,0.3842,0.3842
0.2700,2.3160,0.3220,0.3220
