# x_m,y_m,w_tr_right_m,w_tr_left_m
5.9600,3.2160,0.7292,0.7292
5.8800,3.2571,0.7179,0.7179
5.8000,3.2907,0.7144,0.7144
5.7200,3.3203,0.7098,0.7098
5.6400,3.3479,0.7087,0.7087
5.5600,3.3727,0.7106,0.7106
5.4800,3.4000,0.7069,0.7069
5.4000,3.4269,0.7025,0.7025
5.3200,3.4530,0.7045,0.7045
5.2400,3.4749,0.7029,0.7029
5.1600,3.4917,0.6928,0.6928
5.0800,3.5047,0.6786,0.6786
5.0000,3.5119,0.6599,0.6599
4.9200,3.5227,0.6458,0.6458
4.8400,3.5362,0.6427,0.6427
4.7600,3.5435,0.6438,0.6438
4.6800,3.5498,0.6495,0.6495
4.6000,3.5599,0.6599,0.6599
4.5200,3.5744,0.6744,0.6744
4.4400,3.5873,0.6873,0.6873
4.3600,3.5988,0.6988,0.6988
4.2800,3.6117,0.7117,0.7117
4.2000,3.6252,0.7252,0.7252
4.1200,3.6385,0.7385,0.7385
4.0400,3.6549,0.7549,0.7549
3.9600,3.6715,0.7715,0.7715
3.8800,3.6834,0.7834,0.7834
3.8000,3.6961,0.7961,0.7961
3.7188,3.7080,0.8100,0.8100
3.6403,3.7184,0.8191,0.8191
3.5835,3.7610,0.8138,0.8138
3.5455,3.8381,0.7937,0.7937
3.5089,3.9200,0.7771,0.7771
3.4714,4.0000,0.7710,0.7710
3.4337,4.0800,0.7749,0.7749
3.3900,4.1619,0.7844,0.7844
3.3340,4.2381,0.7903,0.7903
3.2614,4.2878,0.7768,0.7768
3.1800,4.3120,0.7487,0.7487
3.1000,4.3351,0.7252,0.7252
3.0200,4.3585,0.7117,0.7117
2.9400,4.3806,0.7066,0.7066
2.8600,4.4044,0.7130,0.7130
2.7800,4.4165,0.7170,0.7170
2.7000,4.4132,0.7150,0.7150
2.6200,4.4021,0.7141,0.7141
2.5400,4.3905,0.7218,0.7218
2.4600,4.3813,0.7407,0.7407
2.3800,4.3686,0.7631,0.7631
2.3000,4.3522,0.7878,0.7878
2.2200,4.3406,0.7980,0.7980
2.1388,4.3213,0.7995,0.7995
2.0607,4.2743,0.8200,0.8200
1.9996,4.2016,0.8507,0.8507
1.9550,4.1200,0.8611,0.8611
1.9121,4.0400,0.8570,0.8570
1.8644,3.9600,0.8691,0.8691
1.8083,3.8763,0.8987,0.8987
1.7455,3.8209,0.9483,0.9483
1.6713,3.8034,1.0222,1.0222
1.5900,3.7913,1.0740,1.0740
1.5100,3.7677,1.0780,1.0780
1.4300,3.7534,1.0679,1.0679
1.3500,3.7237,1.0580,1.0580
1.2700,3.6707,1.0391,1.0391
1.1900,3.6140,1.0185,1.0185
1.1100,3.5609,1.0011,1.0011
1.0300,3.5163,0.9892,0.9892
0.9500,3.4793,0.9844,0.9844
0.8700,3.4337,0.9745,0.9745
0.7900,3.3826,0.9593,0.9593
0.7100,3.3383,0.9444,0.9444
