# x_m,y_m,w_tr_right_m,w_tr_left_m
1.7372,1.7474,0.4338,0.4338
1.6756,1.7944,0.4292,0.4292
1.6079,1.8382,0.4263,0.4263
1.5348,1.8788,0.4243,0.4243
1.4564,1.9154,0.4223,0.4223
1.3719,1.9468,0.4207,0.4207
1.2814,1.9723,0.4195,0.4195
1.1857,1.9913,0.4177,0.4177
1.0859,2.0033,0.4160,0.4160
0.9828,2.0082,0.4156,0.4156
0.8780,2.0060,0.4160,0.4160
0.7734,1.9968,0.4166,0.4166
0.6696,1.9810,0.4195,0.4195
0.5668,1.9593,0.4268,0.4268
0.4668,1.9324,0.4392,0.4392
0.3690,1.9011,0.4537,0.4537
0.2777,1.8616,0.4690,0.4690
0.1901,1.8148,0.4829,0.4829
0.1059,1.7602,0.4969,0.4969
0.0254,1.6978,0.5116,0.5116
-0.0501,1.6274,0.5259,0.5259
-0.1191,1.5493,0.5390,0.5390
-0.1803,1.4641,0.5520,0.5520
-0.2325,1.3720,0.5652,0.5652
-0.2749,1.2741,0.5769,0.5769
-0.3068,1.1715,0.5857,0.5857
-0.3276,1.0657,0.5910,0.5910
-0.3369,0.9587,0.5928,0.5928
-0.3348,0.8526,0.5921,0.5921
-0.3212,0.7500,0.5891,0.5891
-0.2963,0.6532,0.5852,0.5852
-0.2607,0.5638,0.5816,0.5816
-0.2150,0.4814,0.5783,0.5783
-0.1599,0.4051,0.5734,0.5734
-0.0967,0.3347,0.5667,0.5667
-0.0263,0.2697,0.5590,0.5590
0.0510,0.2105,0.5505,0.5505
0.1347,0.1571,0.5416,0.5416
0.2237,0.1096,0.5333,0.5333
0.3176,0.0686,0.5269,0.5269
0.4169,0.0346,0.5218,0.5218
0.5205,0.0084,0.5171,0.5171
0.6259,-0.0096,0.5141,0.5141
0.7322,-0.0189,0.5130,0.5130
0.8393,-0.0193,0.5116,0.5116
0.9465,-0.0107,0.5094,0.5094
1.0515,0.0066,0.5071,0.5071
1.1525,0.0323,0.5050,0.5050
1.2481,0.0657,0.5033,0.5033
1.3384,0.1062,0.5019,0.5019
1.4237,0.1528,0.4996,0.4996
1.5039,0.2056,0.4960,0.4960
1.5787,0.2641,0.4912,0.4912
1.6475,0.3278,0.4850,0.4850
1.7120,0.3971,0.4789,0.4789
1.7690,0.4755,0.4737,0.4737
1.8217,0.5611,0.4709,0.4709
1.8690,0.6533,0.4692,0.4692
1.9095,0.7504,0.4677,0.4677
1.9425,0.8506,0.4658,0.4658
1.9462,1.0241,0.4638,0.4638
1.9383,1.1783,0.4611,0.4611
1.9208,1.3128,0.4575,0.4575
1.8961,1.4276,0.4533,0.4533
1.8669,1.5226,0.4495,0.4495
1.8358,1.5987,0.4467,0.4467
1.8054,1.6572,0.4443,0.4443
1.7782,1.6994,0.4421,0.4421
1.7565,1.7273,0.4401,0.4401
1.7423,1.7427,0.4378,0.4378
