# MPC Raceline Trajectory — generated by Raceline-Optimization
# Columns: s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-7.7931369,6.9233588,3.1279530,-0.1654839,4.6217812,-0.8286179
0.1999800,-7.7969170,6.7257442,3.1263634,0.1222873,4.5857875,-1.2456489
0.3999601,-7.7964166,6.5264585,-3.1171526,0.2516202,4.5311408,-0.4984372
0.5999401,-7.7860906,6.3262249,-3.0616578,0.2906414,4.5090889,-0.4044807
0.7999201,-7.7640519,6.1258186,-3.0022039,0.2974699,4.4911141,-0.4044807
0.9999002,-7.7305887,5.9295188,-2.9433701,0.2948987,4.4730672,-0.3016672
1.1998802,-7.6856586,5.7354605,-2.8849434,0.2911029,4.4595600,-0.1881773
1.3998602,-7.6289913,5.5426812,-2.8264759,0.2895908,4.4511136,-0.1348007
1.5998402,-7.5612665,5.3536999,-2.7685048,0.2890991,4.4450531,-0.1083900
1.7998203,-7.4833635,5.1703727,-2.7111621,0.2863566,4.4401740,-0.0409182
1.9998003,-7.3944216,4.9904773,-2.6537164,0.2847548,4.4383307,-0.0043505
2.1997803,-7.2957392,4.8165816,-2.5972871,0.2803147,4.4381347,0.0836369
2.3997604,-7.1875565,4.6485985,-2.5418848,0.2723591,4.4419017,0.2305567
2.5997404,-7.0698438,4.4860401,-2.4881155,0.2635822,4.4522696,0.3775742
2.7997204,-6.9446257,4.3309320,-2.4372823,0.2467319,4.4691967,0.6713037
2.9997005,-6.8113380,4.1815393,-2.3895167,0.2283288,4.4991348,0.9721933
3.1996805,-6.6715535,4.0385626,-2.3462318,0.2049082,4.5421418,1.3588038
3.3996605,-6.5261119,3.9014929,-2.3078490,0.1772170,4.6015779,1.8228922
3.5996405,-6.3754974,3.7693150,-2.2753182,0.1477649,4.6801286,2.3241738
3.7996206,-6.2216593,3.6421167,-2.2492134,0.1134184,4.7784077,2.9524116
3.9996006,-6.0644034,3.5179933,-2.2298680,0.0802814,4.9004109,3.5905563
4.1995806,-5.9056060,3.3967607,-2.2168088,0.0506325,5.0448098,4.2010342
4.3995607,-5.7452911,3.2769311,-2.2092884,0.0291460,5.2086805,4.6652022
4.5995407,-5.5843846,3.1581546,-2.2043858,0.0199214,5.3848163,4.7185245
4.7995207,-5.4229386,3.0399796,-2.2011484,0.0135094,5.5572896,4.6806791
4.9995008,-5.2612279,2.9222832,-2.1989054,0.0089287,5.7232467,4.6431373
5.1994808,-5.0992039,2.8047990,-2.1976074,0.0039691,5.8832493,4.6058966
5.3994608,-4.9373203,2.6876123,-2.1973204,-0.0010590,6.0377808,4.5689546
5.5994409,-4.7750923,2.5701344,-2.1979019,-0.0047647,6.1872608,4.5323089
5.7994209,-4.6132947,2.4527333,-2.1991919,-0.0069863,6.3320564,4.4959571
5.9994009,-4.4514407,2.3349655,-2.2003706,-0.0047815,6.4724912,4.4598969
6.1993809,-4.2897078,2.2170514,-2.2010501,-0.0015038,6.6088518,4.4241259
6.3993610,-4.1283696,2.0993534,-2.2009127,0.0029272,6.7413942,4.3886418
6.5993410,-3.9663325,1.9812888,-2.1999104,0.0069644,6.8703477,4.3534423
6.7993210,-3.8051093,1.8641612,-2.1981229,0.0106650,6.9959189,4.3185251
6.9993011,-3.6426629,1.7466460,-2.1960067,0.0104297,7.1182946,4.2838880
7.1992811,-3.4805197,1.6298649,-2.1939442,0.0103224,7.2376448,4.2495287
7.3992611,-3.3181830,1.5134530,-2.1918667,0.0104792,7.3541243,4.2154450
7.5992412,-3.1551513,1.3970587,-2.1897634,0.0104865,7.4678748,4.1816346
7.7992212,-2.9924702,1.2814286,-2.1876760,0.0104275,7.5790264,4.1480954
7.9992012,-2.8290723,1.1658010,-2.1855955,0.0103553,7.6876988,4.1148253
8.1991812,-2.6655324,1.0505805,-2.1835350,0.0102288,7.7940028,4.0818219
8.3991613,-2.5021890,0.9359972,-2.1815111,0.0100517,7.8980406,4.0490833
8.5991413,-2.3379391,0.8212693,-2.1795200,0.0098192,7.9999073,4.0166073
8.7991213,-2.1737967,0.7070958,-2.1775834,0.0095388,8.0996913,3.9843917
8.9991014,-2.0097054,0.5934211,-2.1757116,0.0092089,8.1974750,3.9524346
9.1990814,-1.8448386,0.4796575,-2.1739055,0.0088179,8.2933354,3.9207337
9.3990614,-1.6800853,0.3664006,-2.1721852,0.0083795,8.3873446,3.8892871
9.5990415,-1.5153313,0.2535489,-2.1705598,0.0078929,8.4795701,3.8580927
9.7990215,-1.3499612,0.1406579,-2.1690333,0.0073484,8.5700754,3.8271486
9.9990015,-1.1846586,0.0281688,-2.1676218,0.0067597,8.6589202,3.7964526
10.1989816,-1.0193547,-0.0839950,-2.1663339,0.0061282,8.7461607,3.7660028
10.3989616,-0.8536054,-0.1961648,-2.1651751,0.0054473,8.8318502,3.7357972
10.5989416,-0.6878700,-0.3080622,-2.1641568,0.0047289,8.9160388,3.7058339
10.7989216,-0.5221270,-0.4197369,-2.1632863,0.0039766,8.9987740,3.6761110
10.9989017,-0.3561532,-0.5313756,-2.1625694,0.0031880,9.0801008,3.6466264
11.1988817,-0.1901416,-0.6428861,-2.1620129,0.0023711,9.1600620,3.6173783
11.3988617,-0.0241336,-0.7542800,-2.1616223,0.0015318,9.2386981,3.5883648
11.5988418,0.1419514,-0.8656520,-2.1614019,0.0006710,9.3160477,3.5595840
11.7988218,0.3080554,-0.9770044,-2.1613552,-0.0002067,9.3921476,3.5310340
11.9988018,0.4741340,-1.0883499,-2.1614849,-0.0010942,9.4670328,3.5027130
12.1987819,0.6402189,-1.1997522,-2.1617933,-0.0019886,9.5407366,3.4746192
12.3987619,0.8062157,-1.3111912,-2.1622809,-0.0028880,9.6132910,3.4467507
12.5987419,0.9721610,-1.4227346,-2.1629475,-0.0037793,9.6847265,3.4191058
12.7987220,1.1380966,-1.5344538,-2.1637917,-0.0046635,9.7550721,3.3916825
12.9987020,1.3038119,-1.6462497,-2.1648197,-0.0056176,9.8243559,3.3644792
13.1986820,1.4694347,-1.7582530,-2.1660129,-0.0061728,9.8926047,3.3374941
13.3986620,1.6350224,-1.8705304,-2.1672783,-0.0064085,9.9598439,3.3107254
