# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,-7.7289513,6.8863738,3.1019755,0.1914123,4.8655959,-1.2840343,1.8262,0.1750
0.4998214,-7.7232395,6.3901234,-3.0758964,0.2281741,4.7318546,-1.0115850,1.4534,0.5259
0.9996427,-7.6618094,5.8969818,-2.9574181,0.2533835,4.6237673,-0.4458585,1.0069,0.9776
1.4994641,-7.5366522,5.4087919,-2.8211357,0.2853763,4.5753169,-0.4115401,0.6420,1.3605
1.9992854,-7.3481412,4.9523697,-2.6782354,0.2923673,4.5301360,-0.4115401,0.3883,1.6384
2.4991068,-7.0905463,4.5203624,-2.5294503,0.2875900,4.4844999,-0.1869379,0.2762,1.7586
2.9989281,-6.7791739,4.1345856,-2.3997600,0.2371697,4.4636160,0.8751195,0.1964,1.8470
3.4987495,-6.4205238,3.7844726,-2.2937617,0.1712836,4.5605564,2.0204426,0.1824,1.8713
3.9985708,-6.0353250,3.4677867,-2.2314378,0.0819552,4.7768604,3.6723258,0.1750,1.8787
4.4983922,-5.6349601,3.1658360,-2.2072098,0.0264724,5.1467863,4.7675577,0.1750,1.8668
4.9982135,-5.2325168,2.8711007,-2.2008384,-0.0002238,5.5906407,4.6732233,0.1751,1.8580
5.4980349,-4.8277307,2.5747360,-2.2059655,-0.0138867,5.9938983,4.5795424,0.1752,1.8529
5.9978562,-4.4281120,2.2781792,-2.2122862,-0.0115727,6.3643321,4.4877395,0.1793,1.8388
6.4976776,-4.0251675,1.9755128,-2.2175791,-0.0092530,6.7075226,4.3977769,0.1928,1.8034
6.9974989,-3.6298625,1.6757343,-2.2214098,-0.0062541,7.0275931,4.3096177,0.2060,1.7693
