s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,-20.3312330,-69.8511842,0.7853394,-0.3421995,4.0168923,0.1548941,0.4506,1.2139
0.2999809,-20.5317868,-69.6285949,0.6806680,-0.3567995,4.0284432,-0.3212955,0.4381,0.9698
0.5999617,-20.7074999,-69.3857262,0.5710974,-0.3741677,4.0044462,-0.3215693,0.4256,0.7257
0.8999426,-20.8546806,-69.1252279,0.4573078,-0.3717683,3.9802839,-0.2074986,0.3953,0.5409
1.1999234,-20.9720008,-68.8510599,0.3538411,-0.3220525,3.9646146,0.6227205,0.3506,0.4039
1.4999043,-21.0631968,-68.5641448,0.2640029,-0.2754542,4.0114558,1.2447569,0.3057,0.2677
1.7998851,-21.1300266,-68.2724450,0.1896166,-0.2127241,4.1034844,2.0803546,0.2474,0.2134
2.0998660,-21.1781236,-67.9775241,0.1374809,-0.1369713,4.2528481,3.1599371,0.1890,0.1591
2.3998469,-21.2144310,-67.6775450,0.1070076,-0.0655920,4.4701855,4.2885836,0.1457,0.1228
2.6998277,-21.2440132,-67.3810141,0.0929406,-0.0387037,4.7492678,4.6747003,0.1353,0.1256
2.9998086,-21.2702432,-67.0831519,0.0834009,-0.0252071,5.0358898,4.7914401,0.1249,0.1285
3.2997894,-21.2945397,-66.7810189,0.0777381,-0.0123136,5.3136490,4.7337928,0.1280,0.1386
3.5997703,-21.3170224,-66.4856244,0.0739758,-0.0151274,5.5744920,4.6768390,0.1484,0.1578
3.8997511,-21.3383854,-66.1872099,0.0687174,-0.0199376,5.8207289,4.6205705,0.1689,0.1771
4.1997320,-21.3582780,-65.8837434,0.0619767,-0.0243071,6.0541763,4.3740500,0.1873,0.1913
4.4997129,-21.3755564,-65.5874296,0.0544358,-0.0261216,6.2671615,4.1863688,0.2025,0.1978
4.7996937,-21.3906344,-65.2889092,0.0464319,-0.0274222,6.4644392,4.0160389,0.2178,0.2042
5.0996746,-21.4034312,-64.9859166,0.0379239,-0.0286775,6.6481910,3.8461674,0.2314,0.2096
5.3996554,-21.4134845,-64.6869444,0.0293452,-0.0280222,6.8195305,3.7641909,0.2373,0.2101
5.6996363,-21.4210149,-64.3886900,0.0212158,-0.0265063,6.9831488,3.7295411,0.2432,0.2106
5.9996171,-21.4262302,-64.0870317,0.0134264,-0.0251582,7.1415649,3.6941163,0.2491,0.2111
6.2995980,-21.4291555,-63.7853792,0.0060560,-0.0232359,7.2950858,3.6962138,0.2499,0.2094
6.5995789,-21.4299766,-63.4873510,-0.0003871,-0.0200417,7.4455265,3.7772876,0.2496,0.2072
6.8995597,-21.4290021,-63.1869818,-0.0059517,-0.0170433,7.5961893,3.8594363,0.2493,0.2051
7.1995406,-21.4264666,-62.8845717,-0.0106731,-0.0142087,7.7471031,3.9436689,0.2472,0.2023
7.4995214,-21.4226898,-62.5857536,-0.0144405,-0.0109718,7.8983325,4.0489908,0.2425,0.1984
7.7995023,-21.4179176,-62.2860978,-0.0172497,-0.0077946,8.0506457,4.0002761,0.2378,0.1946
8.0994832,-21.4124230,-61.9853237,-0.0191277,-0.0047052,8.1983479,3.9521476,0.2331,0.1907
8.3994640,-21.4065017,-61.6846518,-0.0201438,-0.0025998,8.3417052,3.9045980,0.2269,0.1857
8.6994449,-21.4003550,-61.3847882,-0.0208089,-0.0018378,8.4809584,3.8576206,0.2206,0.1805
8.9994257,-21.3940383,-61.0847087,-0.0212475,-0.0010864,8.6163263,3.8112083,0.2143,0.1753
9.2994066,-21.3876259,-60.7847333,-0.0214613,-0.0003384,8.7480088,3.7653544,0.2079,0.1702
9.5993874,-21.3811695,-60.4842629,-0.0214830,0.0001685,8.8761888,3.7200523,0.2016,0.1653
9.8993683,-21.3747363,-60.1841638,-0.0213603,0.0006500,9.0010342,3.6752951,0.1953,0.1603
10.1993492,-21.3683722,-59.8845616,-0.0210929,0.0011356,9.1226999,3.6310765,0.1889,0.1553
10.4993300,-21.3621063,-59.5847916,-0.0206885,0.0014602,9.2413289,3.5873899,0.1828,0.1507
10.7993109,-21.3559586,-59.2844489,-0.0202407,0.0015211,9.3570538,3.5442288,0.1768,0.1461
11.0992917,-21.3499581,-58.9846082,-0.0197753,0.0015821,9.4699978,3.5015871,0.1708,0.1416
11.3992726,-21.3441092,-58.6852472,-0.0192925,0.0016431,9.5802754,3.4594584,0.1649,0.1371
11.6992534,-21.3383883,-58.3848922,-0.0187966,0.0016531,9.6879935,3.4178365,0.1595,0.1328
11.9992343,-21.3328218,-58.0848192,-0.0182999,0.0016570,9.7932522,3.3767155,0.1541,0.1286
12.2992152,-21.3274124,-57.7851826,-0.0178027,0.0016607,9.8961452,3.3360891,0.1486,0.1243
12.5991960,-21.3221487,-57.4853471,-0.0173037,0.0016720,9.9967602,3.2959516,0.1435,0.1202
12.8991769,-21.3170284,-57.1850948,-0.0167984,0.0016937,10.0951800,3.2562969,0.1385,0.1162
13.1991577,-21.3120674,-56.8852423,-0.0162872,0.0017151,10.1914824,3.2171194,0.1335,0.1122
13.4991386,-21.3072667,-56.5857745,-0.0157703,0.0017363,10.2857407,3.1784132,0.1287,0.1083
13.7991194,-21.3026083,-56.2854203,-0.0152458,0.0017557,10.3780243,3.1401727,0.1242,0.1046
14.0991003,-21.2981131,-55.9853949,-0.0147162,0.0017748,10.4683987,3.1023923,0.1198,0.1008
14.3990812,-21.2937826,-55.6857131,-0.0141814,0.0017936,10.5569261,3.0650664,0.1154,0.0971
14.6990620,-21.2896096,-55.3857572,-0.0136404,0.0018144,10.6436653,3.0281896,0.1114,0.0936
14.9990429,-21.2855972,-55.0856040,-0.0130924,0.0018368,10.7286723,2.9917565,0.1075,0.0901
15.2990237,-21.2817541,-54.7857525,-0.0125382,0.0018589,10.8120002,2.9557617,0.1035,0.0866
15.5990046,-21.2780804,-54.4860782,-0.0119779,0.0018790,10.8936996,2.9202000,0.0999,0.0833
15.8989854,-21.2745688,-54.1858411,-0.0114128,0.0018848,10.9738188,2.8850662,0.0966,0.0801
16.1989663,-21.2712300,-53.8858626,-0.0108465,0.0018903,11.0524038,2.8503550,0.0933,0.0768
16.4989472,-21.2680638,-53.5861279,-0.0102791,0.0018955,11.1294983,2.8160615,0.0908,0.0743
16.7989280,-21.2650645,-53.2860795,-0.0097149,0.0018502,11.2051445,2.7821806,0.0929,0.0763
17.0989089,-21.2622316,-52.9860164,-0.0091697,0.0017832,11.2793823,2.7487073,0.0951,0.0782
17.3988897,-21.2595611,-52.6861529,-0.0086451,0.0017156,11.3522501,2.7156367,0.0973,0.0802
17.6988706,-21.2570448,-52.3862958,-0.0081410,0.0016437,11.4237849,2.6829640,0.0998,0.0823
17.9988514,-21.2546744,-52.0861893,-0.0076599,0.0015624,11.4940218,2.6506844,0.1024,0.0846
18.2988323,-21.2524458,-51.7862382,-0.0072035,0.0014806,11.5629947,2.6187932,0.1051,0.0868
18.5988132,-21.2503514,-51.4864276,-0.0067719,0.0013983,11.6307361,2.5872857,0.1076,0.0889
18.8987940,-21.2483811,-51.1863627,-0.0063649,0.0013145,11.6972772,2.5561572,0.1098,0.0907
19.1987749,-21.2465295,-50.8863653,-0.0059832,0.0012301,11.7626481,2.5254033,0.1121,0.0925
19.4987557,-21.2447892,-50.5864611,-0.0056270,0.0011453,11.8268777,2.4950193,0.1143,0.0943
19.7987366,-21.2431516,-50.2865019,-0.0052940,0.0010883,11.8899938,2.4650010,0.1161,0.0965
20.0987174,-21.2416118,-49.9864819,-0.0049720,0.0010584,11.9520232,2.4353438,0.1178,0.0987
20.3986983,-21.2401676,-49.6865256,-0.0046590,0.0010284,12.0129918,2.4060434,0.1195,0.1009
20.6986792,-21.2388161,-49.3866061,-0.0043550,0.0009996,12.0729245,2.3770955,0.1210,0.1022
20.9986600,-21.2375541,-49.0865660,-0.0040581,0.0009799,12.1318453,2.3484959,0.1223,0.1026
21.2986409,-21.2363805,-48.7865833,-0.0037671,0.0009601,12.1897776,2.3202404,0.1235,0.1031
21.5986217,-21.2352936,-48.4866574,-0.0034821,0.0009404,12.2467438,2.2923248,0.1247,0.1036
21.8986026,-21.2342909,-48.1866488,-0.0032031,0.0009191,12.3027656,2.2647452,0.1255,0.1045
22.1985834,-21.2333710,-47.8866442,-0.0029306,0.0008973,12.3578640,2.2374973,0.1263,0.1054
22.4985643,-21.2325320,-47.5866943,-0.0026648,0.0008754,12.4120592,2.2105772,0.1271,0.1063
22.7985452,-21.2317717,-47.2867360,-0.0024055,0.0008539,12.4653711,2.1839811,0.1276,0.1070
23.0985260,-21.2310882,-46.9867119,-0.0021524,0.0008331,12.5178186,2.1577049,0.1280,0.1076
23.3985069,-21.2304797,-46.6867399,-0.0019056,0.0008123,12.5694201,2.1317449,0.1284,0.1082
23.6984877,-21.2299444,-46.3868192,-0.0016651,0.0007915,12.6201936,2.1060972,0.1286,0.1087
23.9984686,-21.2294801,-46.0867845,-0.0014307,0.0007709,12.6701565,2.0807581,0.1286,0.1092
24.2984495,-21.2290853,-45.7867929,-0.0012025,0.0007503,12.7193254,2.0557238,0.1286,0.1096
24.5984303,-21.2287581,-45.4868503,-0.0009805,0.0007297,12.7677169,2.0309907,0.1286,0.1100
24.8984112,-21.2284965,-45.1868619,-0.0007647,0.0007093,12.8153467,2.0065552,0.1283,0.1102
25.1983920,-21.2282987,-44.8868526,-0.0005549,0.0006892,12.8622303,1.9824137,0.1279,0.1103
25.4983729,-21.2281629,-44.5868902,-0.0003512,0.0006689,12.9083826,1.9585627,0.1276,0.1104
25.7983537,-21.2280874,-44.2869434,-0.0001536,0.0006488,12.9538181,1.9349986,0.1271,0.1105
26.0983346,-21.2280702,-43.9869183,0.0000381,0.0006289,12.9985510,1.9117180,0.1264,0.1104
26.3983155,-21.2281096,-43.6869381,0.0002237,0.0006090,13.0425951,1.8887175,0.1257,0.1104
26.6982963,-21.2282038,-43.3870024,0.0004034,0.0005891,13.0859636,1.8659938,0.1250,0.1103
26.9982772,-21.2283510,-43.0869894,0.0005772,0.0005694,13.1286697,1.8435434,0.1241,0.1101
27.2982580,-21.2285495,-42.7869931,0.0007451,0.0005498,13.1707260,1.8213631,0.1232,0.1099
27.5982389,-21.2287974,-42.4870395,0.0009070,0.0005302,13.2121449,1.7994497,0.1222,0.1097
27.8982197,-21.2290931,-42.1870653,0.0010632,0.0005108,13.2529383,1.7778000,0.1211,0.1093
28.1982006,-21.2294347,-41.8870545,0.0012135,0.0004914,13.2931180,1.7564107,0.1199,0.1090
28.4981815,-21.2298206,-41.5870846,0.0013580,0.0004721,13.3326953,1.7352788,0.1187,0.1086
28.7981623,-21.2302488,-41.2871457,0.0014967,0.0004528,13.3716815,1.7144011,0.1175,0.1082
29.0981432,-21.2307180,-40.9871215,0.0016297,0.0004338,13.4100873,1.6937746,0.1161,0.1077
29.3981240,-21.2312261,-40.6871367,0.0017570,0.0004147,13.4479233,1.6733962,0.1148,0.1072
29.6981049,-21.2317715,-40.3871908,0.0018785,0.0003957,13.4851998,1.6532631,0.1134,0.1067
29.9980857,-21.2323526,-40.0871937,0.0019944,0.0003768,13.5219270,1.6333722,0.1118,0.1060
30.2980666,-21.2329676,-39.7871953,0.0021046,0.0003580,13.5581145,1.6137205,0.1103,0.1054
30.5980475,-21.2336147,-39.4872344,0.0022092,0.0003392,13.5937721,1.5943053,0.1088,0.1048
30.8980283,-21.2342924,-39.1872703,0.0023081,0.0003204,13.6289091,1.5751238,0.1072,0.1041
31.1980092,-21.2349990,-38.8872595,0.0024015,0.0003019,13.6635345,1.5561729,0.1055,0.1033
31.4979900,-21.2357326,-38.5872847,0.0024892,0.0002833,13.6976575,1.5374501,0.1039,0.1026
31.7979709,-21.2364917,-38.2873455,0.0025714,0.0002647,13.7312866,1.5189526,0.1022,0.1019
32.0979517,-21.2372748,-37.9873288,0.0026481,0.0002464,13.7644304,1.5006776,0.1005,0.1010
32.3979326,-21.2380800,-37.6873413,0.0027192,0.0002280,13.7970973,1.4826224,0.0987,0.1002
32.6979135,-21.2389056,-37.3873880,0.0027849,0.0002096,13.8292954,1.4647845,0.0970,0.0994
32.9978943,-21.2397502,-37.0874024,0.0028450,0.0001914,13.8610326,1.4471613,0.0952,0.0986
33.2978752,-21.2406121,-36.7874032,0.0028997,0.0001732,13.8923168,1.4297500,0.0934,0.0977
33.5978560,-21.2414894,-36.4874369,0.0029489,0.0001551,13.9231556,1.4125482,0.0917,0.0969
33.8978369,-21.2423806,-36.1874797,0.0029927,0.0001369,13.9535564,1.3955534,0.0899,0.0960
34.1978177,-21.2432844,-35.8874698,0.0030311,0.0001190,13.9835266,1.3787631,0.0881,0.0951
34.4977986,-21.2441987,-35.5874916,0.0030641,0.0001010,14.0130732,1.3621747,0.0863,0.0941
34.7977795,-21.2451221,-35.2875446,0.0030917,0.0000830,14.0422033,1.3457860,0.0845,0.0932
35.0977603,-21.2460531,-34.9875405,0.0031139,0.0000652,14.0709237,1.3295944,0.0828,0.0923
35.3977412,-21.2469899,-34.6875513,0.0031308,0.0000474,14.0992411,1.3135976,0.0811,0.0914
35.6977220,-21.2479309,-34.3875920,0.0031423,0.0000296,14.1271620,1.2977933,0.0793,0.0904
35.9977029,-21.2488746,-34.0876145,0.0031486,0.0000118,14.1546930,1.2821791,0.0780,0.0898
36.2976837,-21.2498194,-33.7876153,0.0031495,-0.0000058,14.1818402,1.2667528,0.0767,0.0893
36.5976646,-21.2507636,-33.4876447,0.0031451,-0.0000235,14.2086099,1.2515121,0.0755,0.0888
36.8976455,-21.2517057,-33.1876911,0.0031353,-0.0000412,14.2350081,1.2364548,0.0752,0.0891
37.1976263,-21.2526442,-32.8876830,0.0031204,-0.0000585,14.2610406,1.2215786,0.0761,0.0907
37.4976072,-21.2535773,-32.5877021,0.0031002,-0.0000759,14.2867134,1.2068814,0.0770,0.0922
37.7975880,-21.2545036,-32.2877481,0.0030748,-0.0000933,14.3120321,1.1923610,0.0780,0.0938
38.0975689,-21.2554216,-31.9877535,0.0030442,-0.0001111,14.3370023,1.1780154,0.0789,0.0952
38.3975497,-21.2563295,-31.6877634,0.0030082,-0.0001290,14.3616294,1.1638423,0.0798,0.0966
38.6975306,-21.2572258,-31.3877986,0.0029668,-0.0001470,14.3859188,1.1498397,0.0807,0.0980
38.9975115,-21.2581089,-31.0878262,0.0029202,-0.0001616,14.4098757,1.1360056,0.0816,0.0992
39.2974923,-21.2589776,-30.7878280,0.0028703,-0.0001711,14.4335054,1.1223380,0.0824,0.1004
39.5974732,-21.2598308,-30.4878537,0.0028176,-0.0001806,14.4568129,1.1088348,0.0832,0.1016
39.8974540,-21.2606676,-30.1879001,0.0027620,-0.0001913,14.4798031,1.0954940,0.0841,0.1027
40.1974349,-21.2614869,-29.8878955,0.0026975,-0.0002387,14.5024809,1.0823138,0.0849,0.1037
40.4974158,-21.2622847,-29.5879128,0.0026187,-0.0002861,14.5248511,1.0692921,0.0856,0.1047
40.7973966,-21.2630566,-29.2879514,0.0025258,-0.0003335,14.5469183,1.0564272,0.0864,0.1056
41.0973775,-21.2637988,-28.9879643,0.0024215,-0.0003525,14.5686873,1.0437169,0.0872,0.1064
41.3973583,-21.2645093,-28.6879747,0.0023150,-0.0003576,14.5901624,1.0311597,0.0879,0.1072
41.6973392,-21.2651875,-28.3880043,0.0022069,-0.0003627,14.6113482,1.0187534,0.0886,0.1080
41.9973200,-21.2658332,-28.0880333,0.0020975,-0.0003645,14.6322489,1.0064965,0.0893,0.1086
42.2973009,-21.2664461,-27.7880381,0.0019890,-0.0003589,14.6528689,0.9943870,0.0898,0.1092
42.5972818,-21.2670267,-27.4880603,0.0018822,-0.0003533,14.6732124,0.9824232,0.0904,0.1098
42.8972626,-21.2675755,-27.1880995,0.0017771,-0.0003476,14.6932834,0.9706034,0.0909,0.1104
43.1972435,-21.2680930,-26.8881026,0.0016736,-0.0003423,14.7130861,0.9589257,0.0914,0.1108
43.4972243,-21.2685797,-26.5881189,0.0015717,-0.0003369,14.7326244,0.9473886,0.0918,0.1113
43.7972052,-21.2690361,-26.2881504,0.0014714,-0.0003316,14.7519022,0.9359903,0.0923,0.1117
44.0971860,-21.2694627,-25.9881677,0.0013728,-0.0003262,14.7709234,0.9247291,0.0927,0.1120
44.3971669,-21.2698599,-25.6881794,0.0012757,-0.0003209,14.7896916,0.9136034,0.0931,0.1123
44.6971478,-21.2702282,-25.3882045,0.0011803,-0.0003155,14.8082108,0.9026115,0.0935,0.1126
44.9971286,-21.2705682,-25.0882326,0.0010864,-0.0003102,14.8264843,0.8917519,0.0938,0.1128
45.2971095,-21.2708802,-24.7882411,0.0009942,-0.0003049,14.8445160,0.8810230,0.0941,0.1130
45.5970903,-21.2711648,-24.4882613,0.0009035,-0.0002996,14.8623092,0.8704231,0.0944,0.1131
45.8970712,-21.2714224,-24.1882926,0.0008144,-0.0002943,14.8798675,0.8599508,0.0947,0.1132
46.1970520,-21.2716535,-23.8883035,0.0007269,-0.0002890,14.8971941,0.8496044,0.0949,0.1132
46.4970329,-21.2718587,-23.5883201,0.0006410,-0.0002838,14.9142926,0.8393826,0.0951,0.1132
46.7970138,-21.2720383,-23.2883460,0.0005567,-0.0002785,14.9311661,0.8292837,0.0953,0.1132
47.0969946,-21.2721928,-22.9883658,0.0004739,-0.0002732,14.9478179,0.8193063,0.0955,0.1131
47.3969755,-21.2723228,-22.6883801,0.0003928,-0.0002680,14.9642511,0.8094490,0.0955,0.1130
47.6969563,-21.2724286,-22.3884021,0.0003131,-0.0002628,14.9804690,0.7997102,0.0956,0.1129
47.9969372,-21.2725108,-22.0884275,0.0002351,-0.0002576,14.9964744,0.1762686,0.0957,0.1127
48.2969180,-21.2725698,-21.7884408,0.0001586,-0.0002524,15.0000000,0.0000000,0.0957,0.1125
