# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,-6.4427007,6.6409977,-3.1321576,0.1198897,5.5152092,1.7432726,1.8308,0.1750
0.4993861,-6.4225446,6.1440089,-3.0691992,0.1289672,5.6708610,1.2076945,1.6541,0.3558
0.9987723,-6.3712859,5.6528877,-3.0051533,0.1388997,5.7762338,0.6965457,1.4448,0.5693
1.4981584,-6.2840368,5.1543740,-2.9301838,0.1546032,5.8361432,0.0510942,1.2148,0.8033
1.9975445,-6.1625618,4.6792866,-2.8513362,0.1668317,5.8405135,-0.3749519,0.9898,1.0297
2.4969307,-5.9974403,4.2023931,-2.7644117,0.1752895,5.8083653,-0.5903082,0.7882,1.2326
2.9963168,-5.7946122,3.7492711,-2.6767590,0.1784257,5.7573886,-0.5790939,0.6042,1.4180
3.4957029,-5.5496723,3.3113818,-2.5863913,0.1779143,5.7069379,-0.4476388,0.4702,1.5510
3.9950891,-5.2687297,2.8997286,-2.4996632,0.1706528,5.6676319,-0.1258771,0.3448,1.6750
4.4944752,-4.9524597,2.5118941,-2.4163511,0.1574524,5.6565298,0.3204649,0.2798,1.7398
4.9938613,-4.6082243,2.1515928,-2.3434394,0.1357534,5.6847516,0.9648813,0.2160,1.8035
5.4932475,-4.2382412,1.8135750,-2.2806673,0.1113137,5.7688904,1.6280864,0.1963,1.8232
5.9926336,-3.8528523,1.4988266,-2.2331961,0.0801491,5.9081456,2.5023099,0.1765,1.8428
6.4920197,-3.4510303,1.1967437,-2.1999458,0.0535692,6.1159972,3.2461116,0.1750,1.8452
6.9914059,-3.0459217,0.9090488,-2.1783170,0.0338083,6.3755430,3.8106512,0.1750,1.8461
7.4907920,-2.6306787,0.6246126,-2.1659679,0.0155113,6.6673474,4.4085524,0.1750,1.8479
7.9901781,-2.2185021,0.3474091,-2.1604373,0.0069362,6.9897540,4.3202541,0.1750,1.8501
8.4895643,-1.8018469,0.0692873,-2.1590031,-0.0011439,7.2918867,4.2337244,0.1750,1.8523
8.9889504,-1.3867385,-0.2080875,-2.1611806,-0.0069815,7.5762879,4.1489277,0.1750,1.8543
9.4883365,-0.9722729,-0.4871224,-2.1659013,-0.0119047,7.8449966,4.0331652,0.1754,1.8557
9.9877227,-0.5588993,-0.7689944,-2.1728539,-0.0144257,8.0976654,3.7391220,0.1791,1.8520
10.4871088,-0.1481972,-1.0533361,-2.1797613,-0.0132490,8.3250656,3.6919158,0.1828,1.8483
10.9864949,0.2605776,-1.3403665,-2.1861051,-0.0120493,8.5436584,3.6566904,0.1896,1.8405
11.4858811,0.6688442,-1.6306370,-2.1913384,-0.0088498,8.7547873,3.7629753,0.1975,1.8313
11.9852672,1.0738281,-1.9212798,-2.1949565,-0.0056590,8.9668643,3.6876072,0.2073,1.8199
12.4846533,1.4801470,-2.2146473,-2.1971414,-0.0032762,9.1699365,3.6137486,0.2197,1.8055
12.9840395,1.8842217,-2.5074020,-2.1982406,-0.0011109,9.3646702,3.5413694,0.2322,1.7911
13.4834256,2.2882691,-2.8004888,-2.1983681,-0.0000181,9.5516527,3.4704398,0.2454,1.7775
13.9828117,2.6929930,-3.0940917,-2.1984384,-0.0002655,9.7314052,3.4009309,0.2585,1.7639
14.4821979,3.0958871,-3.3864487,-2.1986288,-0.0004277,9.9043931,3.3328141,0.2713,1.7517
