# 3e5f4de1-19d8-46f7-bd85-4ab533b05186
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -42.6561171; 34.9136881; 0.3467766; -0.1606085; 6.3817033; -6.2342533
0.1999306; -42.7207843; 35.1017757; 0.3158294; -0.1515518; 6.1833082; -6.9474763
0.3998613; -42.7803299; 35.2937516; 0.2857943; -0.1491959; 5.9544331; -7.4154375
0.5997919; -42.8338590; 35.4866897; 0.2551917; -0.1577122; 5.7000111; -7.5255995
0.7997226; -42.8814147; 35.6819642; 0.2221341; -0.1706849; 5.4296345; -7.5186619
0.9996532; -42.9219770; 35.8774716; 0.1863881; -0.1893234; 5.1453386; -7.4247651
1.1995839; -42.9554772; 36.0769353; 0.1455902; -0.2146977; 4.8482608; -7.1297275
1.3995145; -42.9797529; 36.2730224; 0.0993540; -0.2558480; 4.5447476; -6.7982739
1.5994452; -42.9943171; 36.4750684; 0.0427552; -0.3100635; 4.2351345; -6.3347745
1.7993758; -42.9960691; 36.6771718; -0.0279156; -0.3878457; 3.9247080; -5.9735392
1.9993065; -42.9820071; 36.8766296; -0.1162539; -0.4831021; 3.6075956; -5.3046394
2.1992371; -42.9494279; 37.0726185; -0.2087001; -0.3030370; 3.3005493; -0.2167173
2.3991677; -42.9116375; 37.2629473; -0.1304897; 1.1103946; 3.2873955; -0.2167173
2.5990984; -42.8978752; 37.4589082; -0.0750006; -0.6020841; 3.2741888; 5.0850205
2.7990290; -42.8682672; 37.6585120; -0.2266966; -0.8622496; 3.5712204; 0.7474460
2.9989597; -42.8068844; 37.8500790; -0.3864979; -0.7141370; 3.6128230; 2.4169863
3.1988903; -42.7183453; 38.0314507; -0.5136889; -0.5028219; 3.7441887; 1.1733831
3.3988210; -42.6117670; 38.2040150; -0.5759277; -0.0070316; 3.8063289; -0.2882264
3.5987516; -42.5094284; 38.3723752; -0.4880523; 0.8349052; 3.7911593; -0.2882264
3.7986823; -42.4223766; 38.5505845; -0.4857690; -0.7534852; 3.7759288; 0.9711650
3.9986129; -42.3191564; 38.7178224; -0.6146575; -0.5811643; 3.8270053; 3.1945821
