# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,3.5604899,0.7094702,2.6219346,-0.0692711,3.4790094,4.9188594,0.7504,0.4418
0.0499329,3.5358605,0.6666277,2.6173882,-0.1143981,3.5489057,-3.5120571,0.7298,0.4373
0.0998658,3.5108394,0.6236688,2.6106185,-0.1575147,3.4991424,-3.8891837,0.7091,0.4328
0.1497986,3.4852920,0.5805880,2.6016999,-0.1980973,3.4431964,-3.5169763,0.6885,0.4283
0.1997315,3.4591076,0.5374182,2.5907350,-0.2358865,3.3918101,-3.0942357,0.6678,0.4238
0.2496644,3.4330341,0.4955551,2.5780177,-0.2796041,3.3459479,-2.6942206,0.6466,0.4237
0.2995973,3.4061478,0.4536907,2.5630326,-0.3226058,3.3054965,-2.3081471,0.6251,0.4253
0.3495302,3.3783771,0.4119446,2.5457865,-0.3652219,3.2704438,-1.9286259,0.6036,0.4269
0.3994631,3.3496507,0.3704364,2.5262769,-0.4076853,3.2408639,-1.6498807,0.5821,0.4285
0.4493959,3.3205461,0.3301586,2.5051790,-0.4408251,3.2153432,-1.3659840,0.5613,0.4328
0.4993288,3.2904831,0.2904209,2.4823842,-0.4742790,3.1940596,-1.0632148,0.5418,0.4423
0.5492617,3.2593710,0.2512599,2.4577979,-0.5090456,3.1773949,-0.7373307,0.5224,0.4517
0.5991946,3.2271769,0.2127933,2.4313624,-0.5451545,3.1657865,-0.6076160,0.5029,0.4611
0.6491275,3.1940127,0.1752917,2.4035178,-0.5613747,3.1561882,-0.5261222,0.4835,0.4705
0.6990604,3.1598376,0.1387686,2.3751773,-0.5724692,3.1478536,-0.3971729,0.4938,0.4896
0.7489932,3.1246577,0.1032665,2.3462000,-0.5877550,3.1415472,-0.2161683,0.5050,0.5089
0.7989261,3.0885356,0.0688933,2.3164211,-0.6073798,3.1381094,-0.1970865,0.5161,0.5282
0.8488590,3.0511390,0.0354111,2.2855947,-0.6104976,3.1349719,-0.1970865,0.5272,0.5475
0.8987919,3.0125093,0.0029052,2.2551723,-0.5955760,3.1318311,-0.0383198,0.5312,0.5648
0.9487248,2.9732529,-0.0281674,2.2256044,-0.5865228,3.1312201,0.0527990,0.5324,0.5813
0.9986577,2.9335451,-0.0577515,2.1966594,-0.5835689,3.1320620,0.0785779,0.5335,0.5979
1.0485905,2.8927026,-0.0863767,2.1676142,-0.5726181,3.1333145,0.1813522,0.5346,0.6144
1.0985234,2.8500246,-0.1144911,2.1393113,-0.5349045,3.1362032,0.5415608,0.5114,0.6077
1.1484563,2.8074452,-0.1409155,2.1134415,-0.4974129,3.1448138,0.8823336,0.4747,0.5882
1.1983892,2.7651737,-0.1657263,2.0899785,-0.4597236,3.1587923,1.2127995,0.4380,0.5686
1.2483221,2.7217788,-0.1898926,2.0683169,-0.4024776,3.1779059,1.7328228,0.4013,0.5491
1.2982550,2.6769827,-0.2136761,2.0502589,-0.3057635,3.2050173,-0.9473330,0.4211,0.5621
1.3481878,2.6327878,-0.2362809,2.0378711,-0.1901619,3.1902240,-4.2455725,0.4517,0.5812
1.3981207,2.5890898,-0.2581197,2.0317005,-0.0602521,3.1230661,-4.8410970,0.4822,0.6004
1.4480536,2.5450387,-0.2798986,2.0273403,-0.1450689,3.0446810,-3.9327569,0.4846,0.5903
1.4979865,2.5006273,-0.3014637,2.0174437,-0.2529210,2.9794856,-3.2771125,0.4191,0.5097
1.5479194,2.4552074,-0.3228200,2.0024788,-0.3385175,2.9240491,-2.7720383,0.3535,0.4291
1.5978523,2.4097390,-0.3432730,1.9839721,-0.4102229,2.8763225,-2.2062117,0.2880,0.3484
1.6477851,2.3653063,-0.3621946,1.9621464,-0.4911614,2.8377643,-1.7374834,0.3665,0.3755
1.6977180,2.3189983,-0.3806104,1.9358768,-0.5610238,2.8070253,-1.3420393,0.4649,0.4174
1.7476509,2.2707752,-0.3982208,1.9054774,-0.6214401,2.7830500,-1.1936316,0.5633,0.4593
1.7975838,2.2229256,-0.4140048,1.8731237,-0.6503006,2.7615511,-1.1926782,0.6316,0.4733
1.8475167,2.1759705,-0.4278309,1.8411253,-0.6584094,2.7399009,-1.1645647,0.6472,0.4385
1.8974496,2.1276627,-0.4403607,1.8078982,-0.6743079,2.7185946,-1.0654982,0.6628,0.4037
1.9473824,2.0781822,-0.4514164,1.7731501,-0.6974649,2.6989535,-0.9566033,0.6785,0.3689
1.9973153,2.0281174,-0.4607521,1.7369220,-0.7216148,2.6811971,-0.9553918,0.6956,0.3503
2.0472482,1.9790258,-0.4680800,1.7009628,-0.7287843,2.6633451,-0.9233917,0.7137,0.3426
2.0971811,1.9293998,-0.4736540,1.6641955,-0.7451598,2.6459765,-0.8051083,0.7318,0.3349
2.1471140,1.8794433,-0.4773846,1.6262630,-0.7706748,2.6307393,-0.6120300,0.7499,0.3272
2.1970469,1.8293598,-0.4791825,1.5868043,-0.8055098,2.6190968,-0.5186036,0.7575,0.3202
2.2469797,1.7791176,-0.4789575,1.5456876,-0.8252085,2.6091910,-0.4576256,0.7560,0.3138
2.2969126,1.7290059,-0.4766547,1.5039426,-0.8396675,2.6004185,-0.3629814,0.7546,0.3074
2.3468455,1.6792418,-0.4722654,1.4615473,-0.8581563,2.5934392,-0.2311033,0.7531,0.3010
2.3967784,1.6299480,-0.4657826,1.4183344,-0.8807170,2.5889858,-0.1341467,0.7540,0.2978
2.4467113,1.5809893,-0.4571484,1.3739672,-0.8969346,2.5863973,-0.1341467,0.7630,0.3055
2.4966442,1.5320040,-0.4462339,1.3292801,-0.8832634,2.5838062,-0.0305927,0.7720,0.3133
2.5465770,1.4837607,-0.4332216,1.2855402,-0.8669243,2.5832149,0.0811980,0.7810,0.3210
2.5965099,1.4362832,-0.4181860,1.2428148,-0.8484542,2.5847839,0.1974063,0.7900,0.3287
2.6464428,1.3895952,-0.4012020,1.2011524,-0.8283829,2.5885946,0.3147788,0.8033,0.3438
2.6963757,1.3435531,-0.3822827,1.1611497,-0.7748473,2.5946595,0.6485233,0.8185,0.3618
2.7463086,1.2982469,-0.3615898,1.1240701,-0.7133581,2.6071101,1.0149848,0.8337,0.3799
2.7962415,1.2536183,-0.3392560,1.0900673,-0.6489491,2.6264777,1.3849628,0.8489,0.3980
2.8461743,1.2095912,-0.3154077,1.0592194,-0.5830680,2.6526771,1.7560178,0.8636,0.4164
2.8961072,1.1666879,-0.2905317,1.0321900,-0.4980547,2.6855282,2.2633720,0.8716,0.4387
2.9460401,1.1246260,-0.2647398,1.0101127,-0.3968718,2.7272871,2.8988703,0.8796,0.4610
2.9959730,1.0827218,-0.2378971,0.9928741,-0.2963991,2.7798549,3.5545834,0.8876,0.4833
3.0459059,1.0407762,-0.2101422,0.9804426,-0.1987257,2.8429868,4.2317009,0.8956,0.5056
3.0958387,0.9987998,-0.1817567,0.9727547,-0.1043765,2.9163635,4.9417008,0.9032,0.5270
3.1457716,0.9583291,-0.1540820,0.9700703,-0.0063799,2.9997805,5.1195451,0.9098,0.5470
3.1957045,0.9173945,-0.1260707,0.9720704,0.0860534,3.0838207,4.9909293,0.9164,0.5669
3.2456374,0.8759189,-0.0979492,0.9786116,0.1742773,3.1636013,-1.2570101,0.9231,0.5869
3.2955703,0.8338250,-0.0699442,0.9895890,0.2594132,3.1436986,-3.0412698,0.9297,0.6068
3.3455032,0.7915569,-0.0426124,1.0045917,0.3289263,3.0950157,-2.6501632,0.8675,0.5673
3.3954360,0.7493396,-0.0162850,1.0222140,0.3796917,3.0519603,-2.2506244,0.7689,0.4962
3.4453689,0.7064614,0.0093397,1.0424910,0.4325396,3.0149132,-1.8309148,0.6702,0.4251
3.4953018,0.6629485,0.0340818,1.0655213,0.4881295,2.9844356,-1.3789315,0.5716,0.3540
3.5452347,0.6188271,0.0577614,1.0914243,0.5470224,2.9612747,-1.1296189,0.4729,0.2829
3.5951676,0.5740158,0.0802550,1.1200175,0.5826911,2.9421654,-1.0294768,0.5114,0.3787
3.6451005,0.5285794,0.1014253,1.1496813,0.6011614,2.9246415,-0.9092462,0.5558,0.4817
3.6950333,0.4826443,0.1211677,1.1802419,0.6216036,2.9090764,-0.7676214,0.6002,0.5847
3.7449662,0.4362593,0.1394196,1.2117778,0.6439907,2.8958705,-0.6030356,0.6446,0.6876
3.7948991,0.3894733,0.1561184,1.2443657,0.6682718,2.8854538,-0.5421254,0.6660,0.7631
3.8448320,0.3417009,0.1713963,1.2782547,0.6798782,2.8760570,-0.5052391,0.6347,0.7752
3.8947649,0.2934331,0.1850370,1.3125667,0.6884144,2.8672718,-0.4556417,0.6034,0.7873
3.9446978,0.2449218,0.1969576,1.3471968,0.6982007,2.8593259,-0.3923926,0.5721,0.7995
3.9946306,0.1962291,0.2071400,1.3822005,0.7092401,2.8524653,-0.3174770,0.5407,0.8116
4.0445635,0.1473773,0.2155718,1.4176613,0.7211795,2.8469024,-0.3006410,0.5190,0.8206
4.0944964,0.0975150,0.2223420,1.4540671,0.7258714,2.8416244,-0.2747585,0.5012,0.8283
4.1444293,0.0476586,0.2272688,1.4905715,0.7314942,2.8367923,-0.2387731,0.4833,0.8361
4.1943622,-0.0021262,0.2303558,1.5272211,0.7380935,2.8325863,-0.1915923,0.4655,0.8438
4.2442951,-0.0517736,0.2316064,1.5640638,0.7457043,2.8292069,-0.1643910,0.4527,0.8512
4.2942279,-0.1016222,0.2310122,1.6014148,0.7506009,2.8263040,-0.1636229,0.4590,0.8575
4.3441608,-0.1517874,0.2285284,1.6391206,0.7508740,2.8234118,-0.1738826,0.4653,0.8637
4.3940937,-0.2016064,0.2241778,1.6766981,0.7520399,2.8203350,-0.1730306,0.4716,0.8699
4.4440266,-0.2510123,0.2179877,1.7141955,0.7542052,2.8172698,-0.1588465,0.4779,0.8762
4.4939595,-0.2999382,0.2099856,1.7516643,0.7574661,2.8144531,-0.1588465,0.4837,0.8754
4.5438924,-0.3491555,0.2000152,1.7896428,0.7541213,2.8116335,-0.1200704,0.4894,0.8731
4.5938252,-0.3978746,0.1882106,1.8273535,0.7505153,2.8095003,-0.0823245,0.4950,0.8707
4.6437581,-0.4458981,0.1746473,1.8647411,0.7480318,2.8080368,-0.0564067,0.5007,0.8683
4.6936910,-0.4931635,0.1593759,1.9018635,0.7468321,2.8070335,-0.0426270,0.5033,0.8609
4.7436239,-0.5400250,0.1422867,1.9390842,0.7438378,2.8062752,-0.0157814,0.5033,0.8493
4.7935568,-0.5865790,0.1233174,1.9763132,0.7374158,2.8059944,0.0359864,0.5033,0.8377
4.8434897,-0.6321621,0.1027470,2.0130585,0.7322518,2.8066347,0.0739419,0.5033,0.8261
4.8934225,-0.6767212,0.0806458,2.0493836,0.7285493,2.8079499,0.0975796,0.5071,0.8131
4.9433554,-0.7202646,0.0570493,2.0854092,0.7262003,2.8096845,0.1088282,0.5163,0.7982
4.9932883,-0.7637198,0.0314199,2.1218864,0.7199620,2.8116179,0.1500326,0.5255,0.7832
5.0432212,-0.8059472,0.0044076,2.1578473,0.7149390,2.8142812,0.1787284,0.5347,0.7683
5.0931541,-0.8469083,-0.0239062,2.1933535,0.7113526,2.8174505,0.1940784,0.5400,0.7413
5.1430870,-0.8865647,-0.0534399,2.2284736,0.7094177,2.8208880,0.1952990,0.5399,0.6979
5.1930198,-0.9258445,-0.0849138,2.2641382,0.7075081,2.8243429,0.1963048,0.5398,0.6546
5.2429527,-0.9639047,-0.1177005,2.2996438,0.7061605,2.8278114,0.1928178,0.5398,0.6112
5.2928856,-1.0004880,-0.1515388,2.3348246,0.7058997,2.8312140,0.1809245,0.5097,0.5455
5.3428185,-1.0355726,-0.1863495,2.3697343,0.7069289,2.8344031,0.1595394,0.4563,0.4624
5.3927514,-1.0699370,-0.2229343,2.4052066,0.7053532,2.8372123,0.1606404,0.4028,0.3793
