# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,3.5701543,0.5885202,2.4344139,-0.4024612,3.7441243,-0.3224475,0.7974,0.3678
0.0998534,3.5039785,0.5142281,2.3930021,-0.4269277,3.7355149,-0.2787114,0.7305,0.3736
0.1997069,3.4343082,0.4423967,2.3498395,-0.4317040,3.7280572,-0.2787114,0.6637,0.3793
0.2995603,3.3621353,0.3741091,2.3073549,-0.4248019,3.7205847,-0.1580216,0.6056,0.4244
0.3994137,3.2863300,0.3082578,2.2647385,-0.4220336,3.7163412,-0.1057495,0.5484,0.4729
0.4992672,3.2082778,0.2460186,2.2233911,-0.4084702,3.7134988,0.0906268,0.5119,0.5236
0.5991206,3.1275090,0.1868546,2.1826825,-0.4019411,3.7159349,0.1730260,0.4787,0.5746
0.6989741,3.0441499,0.1307858,2.1434808,-0.3812631,3.7205815,-0.5966616,0.4602,0.6126
0.7988275,2.9593469,0.0783463,2.1059196,-0.3647956,3.7045336,-1.2060499,0.4442,0.6484
0.8986809,2.8717102,0.0284378,2.0719995,-0.3079005,3.6718814,-2.0491094,0.4312,0.6970
0.9985344,2.7836389,-0.0181838,2.0445586,-0.2292073,3.6157283,-3.1786404,0.4113,0.7378
1.0983878,2.6944842,-0.0628652,2.0286783,-0.0794462,3.5268534,-4.9847108,0.3239,0.6966
1.1982412,2.6055470,-0.1066005,2.0300595,0.1087776,3.3827820,-4.0282319,0.2966,0.6923
1.2980947,2.5175142,-0.1510648,2.0494200,0.2053918,3.2617095,-4.0276715,0.3772,0.7547
1.3979481,2.4306320,-0.1964111,2.0472673,-0.2190680,3.1359839,-2.1594078,0.3103,0.6499
1.4978015,2.3415475,-0.2406763,2.0132377,-0.4284904,3.0664550,-1.2298626,0.1751,0.4679
1.5976550,2.2499919,-0.2814467,1.9643769,-0.5409511,3.0261418,-1.0065837,0.3672,0.5275
1.6975084,2.1560771,-0.3173436,1.9068599,-0.5775714,2.9927433,-0.9836084,0.5263,0.5592
1.7973618,2.0607294,-0.3475762,1.8485772,-0.5926957,2.9597431,-0.8995516,0.5662,0.4897
1.8972153,1.9627445,-0.3723107,1.7871412,-0.6144814,2.9292375,-0.8416062,0.6065,0.4350
1.9970687,1.8645969,-0.3907257,1.7250767,-0.6332458,2.9004065,-0.5666331,0.6478,0.4165
2.0969222,1.7650384,-0.4029155,1.6594168,-0.6747393,2.8808328,-0.4367709,0.6837,0.3962
2.1967756,1.6649025,-0.4083738,1.5907049,-0.6975070,2.8656537,-0.1640217,0.6996,0.3694
2.2966290,1.5655706,-0.4068555,1.5197229,-0.7335667,2.8599327,-0.1640217,0.7160,0.3432
2.3964825,1.4655198,-0.3980371,1.4462662,-0.7241708,2.8542002,-0.0627924,0.7554,0.3495
2.4963359,1.3673556,-0.3821649,1.3749564,-0.7098936,2.8520026,0.0626696,0.7947,0.3559
2.5961893,1.2703446,-0.3593785,1.3061143,-0.6598476,2.8541959,0.4612303,0.8413,0.3712
2.6960428,1.1749968,-0.3302739,1.2443522,-0.5757318,2.8702866,1.0915957,0.8905,0.3899
2.7958962,1.0820152,-0.2960058,1.1935968,-0.4245364,2.9080138,2.2403061,0.9348,0.4103
2.8957496,0.9900070,-0.2576310,1.1608942,-0.2330700,2.9839485,3.7462012,0.9707,0.4334
2.9956031,0.8986032,-0.2169726,1.1465471,-0.0578169,3.1067815,5.1064420,1.0065,0.4565
3.0954565,0.8079666,-0.1760030,1.1484929,0.0939865,3.2667847,-1.1859804,0.8983,0.3417
3.1953100,0.7156505,-0.1353120,1.1651095,0.2277668,3.2303303,-3.2825513,0.7875,0.2245
3.2951634,0.6237415,-0.0971883,1.1912507,0.2979258,3.1272170,-2.7561784,0.7901,0.2658
3.3950168,0.5301210,-0.0615840,1.2247440,0.3715326,3.0379365,-2.3986246,0.8756,0.4229
3.4948703,0.4352974,-0.0294919,1.2651329,0.4316375,2.9580461,-2.0646404,0.9336,0.5569
3.5947237,0.3393924,-0.0015888,1.3112067,0.4920485,2.8875099,-1.7632164,0.8624,0.5823
3.6945771,0.2421500,0.0215819,1.3635512,0.5506073,2.8258781,-1.5231064,0.7912,0.6077
3.7944306,0.1436420,0.0393902,1.4212171,0.6028752,2.7715361,-1.2212960,0.7367,0.6265
3.8942840,0.0449961,0.0511503,1.4840736,0.6625673,2.7271801,-1.0490861,0.6866,0.6435
3.9941374,-0.0553922,0.0564495,1.5527534,0.7050165,2.6884943,-0.8005741,0.6533,0.6614
4.0939909,-0.1547370,0.0546817,1.6252654,0.7556699,2.6585939,-0.6574620,0.6412,0.6804
4.1938443,-0.2545843,0.0453608,1.7030172,0.7902244,2.6337847,-0.4948743,0.6330,0.6975
4.2936977,-0.3527318,0.0282969,1.7834323,0.8251328,2.6149554,-0.3912335,0.6476,0.7035
4.3935512,-0.4494488,0.0031401,1.8674935,0.8497699,2.5999730,-0.3230159,0.6623,0.7095
4.4934046,-0.5436207,-0.0301093,1.9532171,0.8679528,2.5875377,-0.2663295,0.6635,0.6994
4.5932581,-0.6344238,-0.0713256,2.0408548,0.8832768,2.5772395,-0.2620151,0.6634,0.6877
4.6931115,-0.7215650,-0.1205679,2.1295647,0.8907859,2.5670678,-0.2170247,0.6643,0.6620
4.7929649,-0.8035649,-0.1770793,2.2191089,0.9034230,2.5586121,-0.1901779,0.6656,0.6317
4.8928184,-0.8806627,-0.2411930,2.3100528,0.9127027,2.5511794,-0.1299978,0.6842,0.5825
4.9926718,-0.9510905,-0.3115747,2.4019568,0.9255610,2.5460861,-0.1299978,0.7107,0.5246
5.0925252,-1.0151624,-0.3886822,2.4945494,0.9240845,2.5409827,-0.0959150,0.6496,0.3855
5.1923787,-1.0716009,-0.4710299,2.5864023,0.8859910,2.5372107,0.1673945,0.5504,0.2111
5.2922321,-1.1204803,-0.5578113,2.6688837,0.7664855,2.5437901,0.9104099,0.5884,0.2368
5.3920855,-1.1628809,-0.6487192,2.7392811,0.6323473,2.5792796,1.6597841,0.6621,0.3148
