# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,0.2468001,28.5968484,2.8290894,-0.1300012,5.5169585,-2.3200222,1.0559,1.4569
0.2999655,0.1518666,28.3216973,2.7888153,-0.1467528,5.3893392,-1.9766070,1.1473,1.3669
0.5999310,0.0421306,28.0434086,2.7422784,-0.1644726,5.2781767,-1.6068591,1.2388,1.2769
0.8998966,-0.0840168,27.7649831,2.6891275,-0.1833967,5.1860529,-1.4271002,1.3303,1.1869
1.1998621,-0.2235463,27.4976039,2.6315368,-0.1956709,5.1028407,-1.3090038,1.3857,1.1325
1.4998276,-0.3770930,27.2413043,2.5716422,-0.2058085,5.0253031,-1.0927116,1.4202,1.0986
1.7997931,-0.5474591,26.9931231,2.5076939,-0.2195520,4.9596491,-0.7734107,1.4546,1.0648
2.0997586,-0.7346341,26.7558459,2.4388265,-0.2366177,4.9126496,-0.7717571,1.4772,1.0425
2.3997242,-0.9371250,26.5334139,2.3671615,-0.2403858,4.8652981,-0.7071364,1.4262,1.0910
2.6996897,-1.1549196,26.3264434,2.2939058,-0.2477340,4.8215031,-0.5318004,1.3751,1.1396
2.9996552,-1.3867223,26.1368708,2.2181702,-0.2585495,4.7883033,-0.4543173,1.3241,1.1882
3.2996207,-1.6335219,25.9651536,2.1388266,-0.2648388,4.7597573,-0.4543173,1.2301,1.2839
3.5995862,-1.8951234,25.8125522,2.0590236,-0.2627594,4.7310390,-0.3301237,1.1103,1.4078
3.8995518,-2.1653488,25.6824367,1.9799261,-0.2654007,4.7100615,-0.3940802,0.9905,1.5318
4.1995173,-2.4414125,25.5755168,1.9002974,-0.2733702,4.6848968,-0.4401389,0.8670,1.6533
4.4994828,-2.7361086,25.4883403,1.8169604,-0.2669565,4.6566302,-0.2235839,0.7289,1.7652
4.7994483,-3.0327959,25.4263577,1.7367086,-0.2636418,4.6422053,-0.3879585,0.5908,1.8770
5.0994138,-3.3247585,25.3890845,1.6586007,-0.2685573,4.6170685,-0.6925560,0.4528,1.9889
5.3993794,-3.6313273,25.3749338,1.5751704,-0.2707641,4.5718526,-0.7522688,0.4088,2.0369
5.6993449,-3.9404319,25.3865328,1.4912368,-0.2742479,4.5222258,-0.4052290,0.3675,2.0830
5.9993104,-4.2254479,25.4208156,1.4098707,-0.2969207,4.4952661,-0.4052290,0.3265,2.1290
6.2992759,-4.5335142,25.4861262,1.3143872,-0.2915592,4.4681437,-0.2211309,0.3091,2.1552
6.5992414,-4.8155277,25.5722856,1.2381749,-0.2083706,4.4532735,1.4699759,0.2917,2.1814
6.8992070,-5.0849099,25.6718358,1.2048079,-0.0060400,4.5512118,2.6056180,0.2800,2.2027
7.1991725,-5.3596834,25.7724730,1.2487799,0.2693395,4.7198220,-0.4467257,0.2800,2.2142
7.4991380,-5.6175582,25.8530552,1.2684946,-0.1027018,4.6913447,3.2983139,0.2800,2.2257
7.7991035,-5.9258513,25.9584643,1.2075155,-0.2309203,4.8977011,-0.0202267,0.3266,2.1895
8.0990690,-6.1792444,26.0635758,1.1497347,-0.1907221,4.8964621,0.9465847,0.3833,2.1430
8.3990345,-6.4501443,26.1939345,1.0958184,-0.1712601,4.9541121,1.3045469,0.4594,2.0736
8.6990001,-6.7384216,26.3524280,1.0407102,-0.1655241,5.0324810,1.3000879,0.5995,1.9285
8.9989656,-6.9813414,26.5023762,0.9954223,-0.1531414,5.1093863,1.4786051,0.7395,1.7835
9.2989311,-7.2275702,26.6700504,0.9507598,-0.1477177,5.1954681,1.4713718,0.8910,1.6284
9.5988966,-7.4740337,26.8545950,0.9054077,-0.1476552,5.2797359,1.3250184,1.0644,1.4540
9.8988621,-7.7107381,27.0492177,0.8599196,-0.1463625,5.3544869,1.2287646,1.2379,1.2797
10.1988277,-7.9318441,27.2479917,0.8174836,-0.1396198,5.4228871,1.3043769,1.4054,1.1114
10.4987932,-8.1467937,27.4581281,0.7761444,-0.1358855,5.4945646,1.2921646,1.5246,0.9922
10.7987587,-8.3542588,27.6783092,0.7352487,-0.1349053,5.5646608,1.2016327,1.6438,0.8730
11.0987242,-8.5523030,27.9064557,0.6947058,-0.1311563,5.6290627,1.2087149,1.7630,0.7539
11.3986897,-8.7403984,28.1412661,0.6564559,-0.1232280,5.6931092,1.3560323,1.8518,0.6641
11.6986553,-8.9192669,28.3823467,0.6205532,-0.1160876,5.7641147,1.4767105,1.9185,0.5956
11.9986208,-9.0889922,28.6285691,0.5868036,-0.1097389,5.8404574,1.5726587,1.9853,0.5272
12.2985863,-9.2518743,28.8823338,0.5550042,-0.0992986,5.9206782,1.8161794,2.0521,0.4587
12.5985518,-9.4074817,29.1415241,0.5270550,-0.0855783,6.0119890,2.1820449,2.0887,0.4237
12.8985173,-9.5550938,29.4024021,0.5034610,-0.0718067,6.1198929,2.5595530,2.1199,0.3948
13.1984829,-9.6956352,29.6636876,0.4842165,-0.0578488,6.2440887,2.9626943,2.1511,0.3658
13.4984484,-9.8346327,29.9332051,0.4687660,-0.0441733,6.3848302,3.3817270,2.1819,0.3373
13.7984139,-9.9696040,30.2037220,0.4575543,-0.0298009,6.5417780,3.8664877,2.1911,0.3277
14.0983794,-10.1003369,30.4717131,0.4509319,-0.0144040,6.7167317,4.3952978,2.2002,0.3181
14.3983449,-10.2287871,30.7378941,0.4491006,0.0025698,6.9102359,2.9766585,2.2094,0.3085
14.6983105,-10.3612769,31.0117572,0.4531961,0.0246517,7.0382633,-4.6918230,2.2176,0.2997
14.9982760,-10.4940083,31.2809782,0.4640715,0.0480524,6.8353771,-3.6701420,2.2223,0.2941
15.2982415,-10.6290231,31.5452057,0.4819168,0.0723857,6.6723720,-2.8970820,2.2269,0.2885
15.5982070,-10.7715518,31.8098930,0.5069788,0.0925812,6.5408332,-2.2220575,2.2315,0.2829
15.8981725,-10.9219803,32.0714895,0.5376868,0.1111993,6.4381222,-1.4903641,2.2336,0.2800
16.1981381,-11.0793959,32.3252317,0.5738457,0.1312507,6.3683045,-0.9091078,2.2329,0.2800
16.4981036,-11.2464959,32.5724061,0.6159732,0.1472943,6.3253379,-0.8930666,2.2322,0.2800
16.7980691,-11.4271812,32.8158955,0.6609430,0.1494277,6.2828434,-0.8470766,2.2315,0.2800
17.0980346,-11.6162632,33.0480739,0.7060990,0.1522952,6.2422699,-0.7721134,2.2345,0.2815
17.3980001,-11.8133472,33.2688293,0.7516961,0.1558331,6.2050559,-0.7721134,2.2379,0.2831
17.6979657,-12.0264842,33.4862737,0.7990670,0.1553135,6.1676174,-0.6708738,2.2413,0.2848
17.9979312,-12.2463089,33.6904260,0.8456093,0.1549793,6.1349023,-0.5877125,2.2417,0.2857
18.2978967,-12.4718830,33.8813101,0.8913978,0.1549625,6.1060986,-0.5253739,2.2374,0.2854
18.5978622,-12.7129975,34.0668342,0.9385282,0.1548300,6.0802345,-0.4653102,2.2331,0.2852
18.8978277,-12.9591369,34.2385137,0.9849845,0.1547777,6.0572351,-0.4145725,2.2289,0.2849
19.1977933,-13.2087339,34.3960308,1.0306895,0.1549592,6.0366698,-0.3777039,2.2263,0.2843
19.4977588,-13.4735148,34.5463954,1.0780035,0.1557216,6.0178722,-0.3656553,2.2236,0.2838
19.7977243,-13.7405366,34.6818498,1.1247031,0.1561410,5.9996182,-0.3421921,2.2210,0.2832
20.0976898,-14.0113057,34.8037106,1.1711013,0.1563774,5.9824850,-0.3144829,2.2188,0.2823
20.3976553,-14.2929856,34.9149149,1.2184741,0.1562958,5.9666958,-0.6120723,2.2166,0.2813
20.6976209,-14.5753028,35.0113145,1.2649781,0.1552973,5.9358451,-1.2318791,2.2144,0.2804
