# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,10.9502823,15.6942936,2.5125202,0.0081304,10.1913956,3.0726973,0.5853,1.1937
0.2998570,10.7733908,15.4505949,2.5148955,0.0076424,10.2814048,3.0723481,0.5315,1.1389
0.5997139,10.5976759,15.2073437,2.5171138,0.0071403,10.3706226,3.0753195,0.4776,1.0840
0.8995709,10.4230665,14.9645305,2.5191726,0.0066246,10.4591647,3.0815760,0.4237,1.0292
1.1994278,10.2485000,14.7207581,2.5210821,0.0061267,10.5471413,3.0692074,0.4218,1.0243
1.4992848,10.0740077,14.4761404,2.5228511,0.0056463,10.6340414,3.0322961,0.4789,1.0764
1.7991417,9.9004509,14.2319602,2.5244695,0.0051562,10.7192046,2.9958286,0.5360,1.1285
2.0989987,9.7276401,13.9880336,2.5259365,0.0046610,10.8026842,2.9597997,0.5931,1.1806
2.3988557,9.5541247,13.7423843,2.5272704,0.0042081,10.8845312,2.9242042,0.6397,1.2203
2.6987126,9.3813877,13.4971800,2.5284636,0.0037468,10.9647939,2.8890367,0.6860,1.2597
2.9985696,9.2093708,13.2524150,2.5295146,0.0032774,11.0435185,2.8542921,0.7322,1.2990
3.2984265,9.0370657,13.0067273,2.5304293,0.0028270,11.1207491,2.8199654,0.7078,1.2672
3.5982835,8.8649079,12.7608060,2.5312114,0.0023828,11.1965277,2.7860515,0.6135,1.1650
3.8981405,8.6933092,12.5153103,2.5318578,0.0019323,11.2708946,2.7525455,0.5192,1.0629
4.1979974,8.5218745,12.2697467,2.5323686,0.0014834,11.3438885,2.7194424,0.4309,0.9667
4.4978544,8.3500615,12.0234078,2.5327487,0.0010471,11.4155461,2.6867374,0.4346,0.9623
4.7977113,8.1786451,11.7774728,2.5329966,0.0006062,11.4859030,2.6544258,0.4383,0.9578
5.0975683,8.0075690,11.5319310,2.5331116,0.0001611,11.5549930,2.6225027,0.4421,0.9534
5.3974252,7.8359298,11.2855556,2.5330940,-0.0002780,11.6228488,2.5909636,0.4362,0.9401
5.6972822,7.6644594,11.0394663,2.5329445,-0.0007195,11.6895018,2.5598038,0.4251,0.9218
5.9971392,7.4931624,10.7937388,2.5326625,-0.0011635,11.7549820,2.5290187,0.4139,0.9035
6.2969961,7.3216016,10.5478159,2.5322465,-0.0016125,11.8193185,2.4986038,0.3958,0.8783
6.5968531,7.1498392,10.3018575,2.5316949,-0.0020649,11.8825392,2.4685547,0.3553,0.8309
6.8967100,6.9780778,10.0562248,2.5310081,-0.0025182,11.9446709,2.4388670,0.3147,0.7835
7.1965670,6.8061627,9.8107670,2.5301853,-0.0029771,12.0057397,2.4095364,0.2742,0.7361
7.4964240,6.6338646,9.5652291,2.5292212,-0.0034508,12.0657705,2.3805585,0.2325,0.6877
7.7962809,6.4613891,9.3199787,2.5281157,-0.0039235,12.1247875,2.3519290,0.1907,0.6391
8.0961379,6.2886756,9.0750027,2.5268690,-0.0043945,12.1828140,2.3236439,0.1488,0.5905
8.3959948,6.1155932,8.8301898,2.5254761,-0.0048984,12.2398725,2.2618540,0.1330,0.5567
8.6958518,5.9421445,8.5856213,2.5239320,-0.0054012,12.2951594,2.1519949,0.1491,0.5410
8.9957087,5.7682698,8.3412919,2.5222373,-0.0059002,12.3475311,2.0430596,0.1652,0.5253
9.2955657,5.5940481,8.0973877,2.5204074,-0.0062588,12.3970471,1.9561491,0.1794,0.5114
9.5954227,5.4193687,7.8538099,2.5184904,-0.0065315,12.4442720,1.8830489,0.1627,0.5279
9.8952796,5.2440987,7.6104165,2.5164911,-0.0067991,12.4895635,1.8112807,0.1461,0.5443
10.1951366,5.0683544,7.3674100,2.5144266,-0.0067527,12.5329744,1.7894137,0.1294,0.5607
10.4949935,4.8923295,7.1250412,2.5125175,-0.0059943,12.5757140,1.8805889,0.1303,0.5598
10.7948505,4.7156690,6.8827142,2.5108336,-0.0052362,12.6204754,1.9719513,0.1401,0.5500
11.0947074,4.5383981,6.6403509,2.5093750,-0.0044796,12.6672414,2.0634407,0.1499,0.5402
11.3945644,4.3614005,6.3990358,2.5081842,-0.0034711,12.7159931,2.0574235,0.1629,0.5385
11.6944214,4.1838844,6.1575406,2.5072956,-0.0024601,12.7644171,2.0326802,0.1854,0.5600
11.9942783,4.0058573,5.9157246,2.5067078,-0.0014563,12.8120791,2.0082345,0.2078,0.5815
12.2941353,3.8281389,5.6745493,2.5064155,-0.0005163,12.8589944,1.9840828,0.2302,0.6030
12.5939922,3.6504680,5.4335167,2.5063955,0.0003803,12.9051780,1.9602215,0.2601,0.6386
12.8938492,3.4724019,5.1918905,2.5066429,0.0012661,12.9506445,1.9366472,0.2915,0.6770
13.1937062,3.2943863,4.9501405,2.5071569,0.0022102,12.9954079,1.9133564,0.3228,0.7154
13.4935631,3.1173002,4.7093162,2.5079889,0.0033528,13.0394821,1.8903457,0.3498,0.7486
13.7934201,2.9399102,4.4675707,2.5091629,0.0044727,13.0828804,1.8020533,0.3700,0.7735
14.0932770,2.7622307,4.2247478,2.5106740,0.0055663,13.1241181,1.5871922,0.3902,0.7984
14.3931340,2.5860923,3.9832187,2.5122692,0.0048157,13.1603320,1.6927912,0.4104,0.8233
14.6929909,2.4099926,3.7410105,2.5135493,0.0037379,13.1988457,1.8064934,0.4216,0.8357
14.9928479,2.2335352,3.4977370,2.5145133,0.0026811,13.2398228,1.7847679,0.4320,0.8469
15.2927049,2.0574071,3.2545059,2.5151523,0.0014697,13.2801829,1.7633037,0.4423,0.8581
15.5925618,1.8819860,3.0120285,2.5153732,0.0000113,13.3199375,1.7420976,0.4114,0.8292
15.8924188,1.7061222,2.7689372,2.5151602,-0.0014286,13.3590978,-8.9131054,0.3213,0.7428
16.1922757,1.5298057,2.5254403,2.5145156,-0.0028575,13.1575143,-8.7529210,0.2312,0.6563
16.4921327,1.3538290,2.2828375,2.5135312,-0.0036544,12.9565016,-8.5490336,0.1411,0.5699
16.7919896,1.1774991,2.0403074,2.5123251,-0.0043906,12.7571140,-8.3534591,0.1286,0.5608
17.0918466,1.0007624,1.7978896,2.5108967,-0.0051331,12.5592306,-8.2812649,0.1268,0.5624
17.3917036,0.8236017,1.5556717,2.5092903,-0.0051206,12.3599305,-8.2820826,0.1250,0.5640
17.6915605,0.6460741,1.3137234,2.5079226,-0.0039954,12.1573436,-8.3741539,0.1241,0.5650
17.9914175,0.4683903,1.0721697,2.5068929,-0.0028719,11.9490128,-8.4538543,0.1250,0.5645
18.2912744,0.2906978,0.8310394,2.5062011,-0.0017463,11.7349483,-8.5221677,0.1259,0.5641
18.5911314,0.1123113,0.5892253,2.5058931,-0.0002695,11.5151270,-8.3977863,0.1267,0.5637
18.8909884,-0.0658605,0.3477431,2.5060407,0.0012564,11.2943296,-8.1169167,0.1262,0.5643
19.1908453,-0.2435685,0.1066993,2.5066475,0.0027999,11.0767347,-7.8590515,0.1253,0.5652
19.4907023,-0.4213095,-0.1348133,2.5077172,0.0042962,10.8618999,-7.6252403,0.1245,0.5662
19.7905592,-0.5991578,-0.3771254,2.5092222,0.0057226,10.6493149,-7.4034287,0.1270,0.5706
20.0904162,-0.7760777,-0.6190427,2.5111541,0.0071742,10.4387723,-7.1929798,0.1402,0.5859
20.3902731,-0.9519314,-0.8605889,2.5135178,0.0086542,10.2300654,-7.0265915,0.1533,0.6012
20.6901301,-1.1284952,-1.1044308,2.5163013,0.0098326,10.0219905,-6.8696560,0.1665,0.6165
20.9899871,-1.3037864,-1.3480276,2.5194303,0.0110247,9.8142990,-6.7210281,0.1929,0.6431
21.2898440,-1.4776584,-1.5913434,2.5229085,0.0122408,9.6067565,-6.5470219,0.2243,0.6739
21.5897010,-1.6511814,-1.8360662,2.5267988,0.0138629,9.4001825,-6.3587005,0.2557,0.7047
21.8895579,-1.8239718,-2.0819205,2.5312565,0.0158110,9.1951090,-6.1834147,0.2685,0.7167
22.1894149,-1.9949945,-2.3277296,2.5362858,0.0177847,8.9912040,-5.9658127,0.2234,0.6696
22.4892719,-2.1644805,-2.5741176,2.5419230,0.0204959,8.7899925,-5.5347841,0.1783,0.6226
22.7891288,-2.3333568,-2.8229361,2.5489636,0.0263449,8.5991094,-5.1351714,0.1332,0.5755
23.0889858,-2.4997535,-3.0723243,2.5577464,0.0322574,8.4181380,-4.7648283,0.2073,0.6311
23.3888427,-2.6632803,-3.3226133,2.5682800,0.0382158,8.2466668,-4.3868340,0.3128,0.7137
23.6886997,-2.8246349,-3.5758760,2.5807221,0.0447284,8.0855840,-4.0290226,0.4183,0.7963
23.9885566,-2.9824148,-3.8310232,2.5951341,0.0513585,7.9347595,-3.6959183,0.4952,0.8433
24.2884136,-3.1359609,-4.0880864,2.6115049,0.0579845,7.7938382,-3.3837266,0.5250,0.8318
24.5882706,-3.2851414,-4.3479908,2.6298739,0.0646126,7.6625483,-3.0896450,0.5549,0.8202
24.8881275,-3.4293816,-4.6109589,2.6502479,0.0712365,7.5406726,-2.8149249,0.5848,0.8086
25.1879845,-3.5678816,-4.8767716,2.6725837,0.0777817,7.4278929,-2.5465118,0.6247,0.7695
25.4878414,-3.7001028,-5.1456455,2.6968625,0.0844285,7.3243713,-2.2544698,0.6646,0.7303
25.7876984,-3.8254449,-5.4177109,2.7232424,0.0916774,7.2314852,-1.9766311,0.7044,0.6911
26.0875553,-3.9433679,-5.6933533,2.7517980,0.0987749,7.1490534,-1.7142971,0.7560,0.6231
26.3874123,-4.0532338,-5.9727774,2.7824927,0.1056291,7.0767844,-1.4677486,0.8137,0.5399
26.6872693,-4.1537585,-6.2542819,2.8150495,0.1121712,7.0143173,-1.2260659,0.8714,0.4567
26.9871262,-4.2449845,-6.5396430,2.8496182,0.1185555,6.9617066,-0.9913380,0.9167,0.3736
27.2869832,-4.3262581,-6.8289701,2.8861782,0.1246821,6.9188756,-0.9485689,0.9352,0.2910
27.5868401,-4.3963347,-7.1196660,2.9239941,0.1268446,6.8776427,-0.9485689,0.9538,0.2083
