# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,10.9215062,-65.8208983,-0.4052776,0.0033355,11.7903653,2.5123119,0.2800,0.8543
0.2998818,11.0395574,-65.5452869,-0.4039962,0.0052117,11.8540924,2.4497435,0.3571,0.9462
0.5997636,11.1571930,-65.2694560,-0.4021523,0.0070860,11.9159042,2.1465033,0.4342,1.0380
0.8996454,11.2742619,-64.9933292,-0.3997463,0.0089575,11.9698023,1.8434237,0.5112,1.1298
1.1995272,11.3905632,-64.7169438,-0.3967450,0.0112007,12.0158972,1.4874702,0.5239,1.1519
1.4994090,11.5059318,-64.4401772,-0.3930170,0.0136647,12.0529630,-5.5210309,0.4926,1.1263
1.7992908,11.6201879,-64.1628853,-0.3885495,0.0161271,11.9148061,-6.2061629,0.4613,1.1007
2.0991727,11.7331075,-63.8850293,-0.3833446,0.0185621,11.7575666,-5.8828513,0.4457,1.0899
2.3990545,11.8444527,-63.6066158,-0.3774248,0.0209231,11.6065522,-5.5751342,0.4934,1.1384
2.6989363,11.9540619,-63.3274758,-0.3707957,0.0232876,11.4616007,-5.2817894,0.5411,1.1870
2.9988181,12.0617272,-63.0475556,-0.3634564,0.0256557,11.3225644,-5.0132694,0.5887,1.2355
3.2986999,12.1672341,-62.7668219,-0.3554188,0.0279351,11.1889986,-4.7572662,0.6246,1.2572
3.5985817,12.2703819,-62.4852236,-0.3467001,0.0302115,11.0607619,-4.5111995,0.6577,1.2728
3.8984635,12.3709651,-62.2027277,-0.3372980,0.0324980,10.9377694,-4.2807591,0.6908,1.2885
4.1983453,12.4688059,-61.9192207,-0.3272113,0.0347394,10.8197669,-4.0640868,0.7154,1.2866
4.4982271,12.5636964,-61.6346829,-0.3164616,0.0369419,10.7065338,-3.8537822,0.7294,1.2630
4.7981089,12.6554033,-61.3491900,-0.3050517,0.0391618,10.5980426,-3.6508898,0.7433,1.2394
5.0979907,12.7437365,-61.0626889,-0.2929760,0.0413840,10.4942287,-3.4632427,0.7558,1.2111
5.3978725,12.8285712,-60.7748987,-0.2802379,0.0435307,10.3947924,-3.2790596,0.7534,1.1357
5.6977544,12.9096036,-60.4861576,-0.2668582,0.0457021,10.2997596,-3.0980505,0.7510,1.0603
5.9976362,12.9866320,-60.1964832,-0.2528310,0.0478961,10.2091601,-2.9397647,0.7486,0.9849
6.2975180,13.0595588,-59.9054719,-0.2381515,0.0499200,10.1224397,-2.7890843,0.6503,0.8119
6.5973998,13.1281098,-59.6134416,-0.2228791,0.0519106,10.0394719,-2.6393140,0.5197,0.6059
6.8972816,13.1920641,-59.3205745,-0.2070160,0.0539286,9.9603228,-2.5170977,0.3891,0.4000
7.1971634,13.2512891,-59.0266446,-0.1905560,0.0557030,9.8842484,-2.4361147,0.3314,0.2912
7.4970452,13.3056365,-58.7315526,-0.1736351,0.0570858,9.8100598,-2.3548252,0.3753,0.3182
7.7969270,13.3548867,-58.4357928,-0.1563081,0.0584946,9.7378096,-2.2741059,0.4192,0.3451
8.0968088,13.3989146,-58.1394122,-0.1385671,0.0599192,9.6675234,-2.2116692,0.4774,0.3840
8.3966906,13.4376776,-57.8417883,-0.1203957,0.0611709,9.5986734,-2.1484649,0.6635,0.5305
8.6965724,13.4709467,-57.5437301,-0.1018587,0.0624498,9.5313147,-2.0847552,0.8496,0.6770
8.9964542,13.4986086,-57.2453281,-0.0829487,0.0637526,9.4654952,-2.0228619,1.0357,0.8235
9.2963360,13.5205831,-56.9461650,-0.0636290,0.0650527,9.4011893,-1.9608672,1.0991,0.8553
9.5962179,13.5367161,-56.6466180,-0.0439172,0.0663705,9.3384315,-1.8979450,1.1308,0.8574
9.8960997,13.5468768,-56.3470277,-0.0238207,0.0677141,9.2772833,-1.8349316,1.1625,0.8594
10.1959815,13.5509546,-56.0472663,-0.0033165,0.0690730,9.2177796,-1.7716241,1.1820,0.8568
10.4958633,13.5488202,-55.7472410,0.0176136,0.0704483,9.1599620,-1.7069265,1.1893,0.8495
10.7957451,13.5403524,-55.4475235,0.0389467,0.0718514,9.1039086,-1.6423026,1.1966,0.8422
11.0956269,13.5254403,-55.1482324,0.0606913,0.0732635,9.0496496,-1.6423026,1.1594,0.7998
11.3955087,13.5039413,-54.8489489,0.0827612,0.0738446,8.9950634,-1.5974033,0.9598,0.6300
11.6953905,13.4758331,-54.5503738,0.1049984,0.0744570,8.9416498,-1.5564026,0.7602,0.4601
11.9952723,13.4410844,-54.2526508,0.1274123,0.0750982,8.8892985,-1.5188499,0.5606,0.2903
12.2951541,13.3996302,-53.9555874,0.1497902,0.0733771,8.8379113,-1.2977383,0.5764,0.3392
12.5950359,13.3516473,-53.6594943,0.1713854,0.0706163,8.7937671,-1.0115236,0.6061,0.4023
12.8949177,13.2974328,-53.3646352,0.1921486,0.0679026,8.7592046,-0.7483118,0.6358,0.4654
13.1947996,13.2372136,-53.0708757,0.2120932,0.0649295,8.7335477,-0.4820644,0.6687,0.5287
13.4946814,13.1712405,-52.7781361,0.2310557,0.0614558,8.7169794,-0.1935398,0.7032,0.5921
13.7945632,13.0999397,-52.4868982,0.2489661,0.0580153,8.7103187,0.0769476,0.7376,0.6556
14.0944450,13.0236422,-52.1971598,0.2658381,0.0546139,8.7129675,0.3315647,0.7832,0.7405
14.3943268,12.9424267,-51.9080621,0.2817298,0.0512284,8.7243718,0.5744076,0.8454,0.8574
14.6942086,12.8568788,-51.6205924,0.2965884,0.0478525,8.7440935,0.8079683,0.9075,0.9743
14.9940904,12.7673343,-51.3347551,0.3104181,0.0444899,8.7717593,1.0337902,0.9468,1.0649
15.2939722,12.6737834,-51.0495254,0.3232737,0.0411715,8.8070308,1.2511619,0.8427,0.9912
15.5938540,12.5767515,-50.7655790,0.3351303,0.0378509,8.8495307,1.4652676,0.7386,0.9176
15.8937358,12.4766616,-50.4831984,0.3459713,0.0345176,8.8990453,1.6783485,0.6344,0.8439
16.1936176,12.3735659,-50.2016218,0.3558127,0.0310682,8.9554240,1.9000583,0.6547,0.8907
16.4934994,12.2677288,-49.9206943,0.3646007,0.0274719,9.0188250,2.1343201,0.6934,0.9554
16.7933812,12.1597572,-49.6411061,0.3722915,0.0238431,9.0895155,2.3732966,0.7321,1.0200
17.0932631,12.0498665,-49.3624875,0.3788953,0.0205140,9.1674811,2.5905984,0.6655,0.9576
17.3931449,11.9380170,-49.0839658,0.3847412,0.0184320,9.2518353,2.7057810,0.5284,0.8098
17.6930267,11.8247542,-48.8063728,0.3899499,0.0163079,9.3391266,2.8285879,0.3912,0.6620
17.9929085,11.7102150,-48.5295268,0.3945133,0.0141500,9.4295159,2.9587697,0.3505,0.6213
18.2927903,11.5944282,-48.2530079,0.3984994,0.0124643,9.5231472,3.0509531,0.5177,0.8115
18.5926721,11.4775934,-47.9768864,0.4019854,0.0107867,9.6187412,3.1466628,0.6848,1.0016
18.8925539,11.3598125,-47.7010190,0.4049678,0.0090974,9.7163489,3.2479405,0.8448,1.1845
19.1924357,11.2414173,-47.4257958,0.4074523,0.0075222,9.8160803,3.3429331,0.6733,1.0298
19.4923175,11.1223712,-47.1507691,0.4094781,0.0059984,9.9176813,3.3275320,0.5018,0.8751
19.7921993,11.0026682,-46.8755836,0.4110499,0.0044786,10.0177909,3.2875107,0.3303,0.7204
20.0920811,10.8826974,-46.6007961,0.4121978,0.0034456,10.1157236,3.2479706,0.3709,0.7496
20.3919629,10.7625958,-46.3264889,0.4131658,0.0030194,10.2115562,3.2089062,0.4995,0.8551
20.6918448,10.6420048,-46.0517408,0.4140080,0.0025953,10.3053610,3.1703115,0.6281,0.9606
20.9917266,10.5210848,-45.7768255,0.4147250,0.0022072,10.3972064,3.1321811,0.7262,1.0428
21.2916084,10.4004525,-45.5030604,0.4153526,0.0019896,10.4871574,3.0945093,0.7727,1.0855
21.5914902,10.2793671,-45.2287102,0.4159169,0.0017739,10.5752751,3.0572906,0.8192,1.1282
21.8913720,10.1578357,-44.9537460,0.4164180,0.0015604,10.6616179,3.0205195,0.8652,1.1702
22.1912538,10.0367393,-44.6801103,0.4168432,0.0012716,10.7462409,2.9841906,0.8765,1.1594
22.4911356,9.9153688,-44.4061373,0.4171796,0.0009743,10.8291968,2.9482987,0.8879,1.1486
22.7910174,9.7936105,-44.1315058,0.4174281,0.0006807,10.9105355,2.9128385,0.8992,1.1378
23.0908992,9.6720299,-43.8574256,0.4175844,0.0003370,10.9903048,2.8778048,0.8497,1.0824
23.3907810,9.5505913,-43.5837398,0.4176274,-0.0000490,11.0685501,2.8431925,0.7648,1.0009
23.6906628,9.4288617,-43.3093875,0.4175553,-0.0004302,11.1453150,2.8089964,0.6799,0.9195
23.9905446,9.3070463,-43.0347461,0.4173689,-0.0008239,11.2206408,2.7752116,0.6155,0.8532
24.2904265,9.1857949,-42.7611924,0.4170525,-0.0012903,11.2945673,2.7418332,0.6201,0.8379
24.5903083,9.0643813,-42.4869865,0.4165962,-0.0017521,11.3671325,2.7088562,0.6248,0.8226
24.8901901,8.9428540,-42.2121335,0.4160008,-0.0022094,11.4383729,2.6762759,0.6294,0.8073
25.1900719,8.8219177,-41.9381249,0.4152635,-0.0027266,11.5083234,2.6440874,0.7009,0.8765
25.4899537,8.7011415,-41.6638728,0.4143669,-0.0032563,11.5770176,2.6122860,0.7883,0.9659
25.7898355,8.5804134,-41.3890024,0.4133103,-0.0037824,11.6444875,2.5808672,0.8757,1.0553
26.0897173,8.4600536,-41.1141234,0.4120954,-0.0043296,11.7107643,2.5498262,0.9369,1.1088
26.3895991,8.3402709,-40.8395925,0.4107112,-0.0049121,11.7758776,2.5191586,0.9528,1.1004
26.6894809,8.2207140,-40.5644748,0.4091507,-0.0054923,11.8398561,2.4189344,0.9688,1.0920
26.9893627,8.1014457,-40.2887787,0.4074139,-0.0060709,11.9009656,2.2999330,0.9847,1.0836
27.2892445,7.9830272,-40.0136719,0.4055031,-0.0066901,11.9587791,2.1753323,0.8079,0.9360
27.5891263,7.8650421,-39.7380517,0.4034043,-0.0073102,12.0132045,2.0509497,0.6123,0.7749
27.8890081,7.7475376,-39.4618816,0.4011172,-0.0079301,12.0642931,1.9270662,0.4167,0.6138
28.1888900,7.6307698,-39.1856204,0.3986447,-0.0085645,12.1120994,1.8016548,0.3851,0.5968
28.4887718,7.5147860,-38.9092370,0.3959806,-0.0092125,12.1566245,1.6749709,0.5597,0.7608
28.7886536,7.3994795,-38.6323261,0.3931199,-0.0098616,12.1978730,1.5489928,0.7343,0.9248
29.0885354,7.2849340,-38.3549329,0.3900627,-0.0105135,12.2358954,1.4235993,0.9088,1.0888
29.3884172,7.1714105,-38.0775378,0.3868113,-0.0111826,12.2707358,1.2967605,0.7782,0.9402
29.6882990,7.0587630,-37.7996288,0.3833574,-0.0118536,12.3023863,1.1709088,0.6360,0.7798
29.9881808,6.9470586,-37.5212075,0.3797004,-0.0125269,12.3308952,1.0461150,0.4939,0.6194
30.2880626,6.8364388,-37.2424631,0.3758418,-0.0132097,12.3563101,0.9214288,0.4282,0.5493
30.5879444,6.7269407,-36.9633252,0.3717776,-0.0138990,12.3786525,0.7974297,0.4469,0.5790
30.8878262,6.6185833,-36.6836721,0.3675055,-0.0145906,12.3979558,0.6748854,0.4656,0.6087
31.1877080,6.5114410,-36.4035219,0.3630251,-0.0152887,12.4142692,0.5532685,0.4842,0.6384
31.4875898,6.4056167,-36.1229686,0.3583325,-0.0160109,12.4276268,0.4300109,0.5012,0.6802
31.7874717,6.3011291,-35.8418797,0.3534228,-0.0167339,12.4379988,0.3088471,0.5182,0.7221
32.0873535,6.1980437,-35.5602432,0.3482956,-0.0174579,12.4454429,0.1899004,0.5352,0.7641
32.3872353,6.0964481,-35.2781095,0.3429506,-0.0181948,12.4500179,0.0713975,0.5450,0.7782
32.6871171,5.9963948,-34.9954294,0.3373833,-0.0189371,12.4517375,-0.0453259,0.5469,0.7616
32.9869989,5.8979388,-34.7121583,0.3315929,-0.0196787,12.4506458,-0.1592327,0.5488,0.7449
33.2868807,5.8011598,-34.4283215,0.3255793,-0.0204559,12.4468100,-0.2758388,0.5508,0.7283
33.5867625,5.7061578,-34.1439958,0.3193124,-0.0213524,12.4401624,-0.4078791,0.6341,0.7843
33.8866443,5.6129516,-33.8589876,0.3127766,-0.0222373,12.4303262,-0.5344711,0.7202,0.8428
34.1865261,5.5216103,-33.5732452,0.3059746,-0.0231091,12.4174254,-0.6553385,0.8063,0.9013
34.4864079,5.4323253,-33.2870891,0.2988188,-0.0248470,12.4015888,-0.9056590,0.7812,0.8550
34.7862897,5.3451617,-33.0002336,0.2910670,-0.0268644,12.3796698,-1.1904561,0.6186,0.6792
35.0861715,5.2602664,-32.7125311,0.2827062,-0.0288800,12.3507988,-1.4644291,0.4559,0.5034
35.3860533,5.1778596,-32.4240817,0.2737665,-0.0302839,12.3151907,-1.6343618,0.2933,0.3276
35.6859352,5.0981162,-32.1350856,0.2647057,-0.0301655,12.2753285,-1.5671801,0.3098,0.3444
35.9858170,5.0209625,-31.8452766,0.2556743,-0.0300657,12.2369830,-1.5050331,0.3422,0.3784
36.2856988,4.9464089,-31.5547185,0.2466681,-0.0299844,12.2000446,-1.4476923,0.3746,0.4124
36.5855806,4.8744757,-31.2635379,0.2377435,-0.0294347,12.1644077,-1.3229069,0.4618,0.4906
36.8854624,4.8051212,-30.9717559,0.2290136,-0.0287837,12.1317511,-1.1878196,0.6373,0.6403
37.1853442,4.7382975,-30.6794273,0.2204780,-0.0281479,12.1023540,-1.0599169,0.8129,0.7900
37.4852260,4.6739351,-30.3865054,0.2121315,-0.0274880,12.0760620,-0.9330366,0.9885,0.9397
37.7851078,4.6119630,-30.0929364,0.2039933,-0.0267615,12.0528699,-0.8008874,1.0070,0.9430
38.0849896,4.5523804,-29.7990310,0.1960752,-0.0260488,12.0329269,-0.6752105,0.9964,0.9193
38.3848714,4.4951321,-29.5048604,0.1883737,-0.0253496,12.0160876,-0.5555828,0.9859,0.8956
38.6847532,4.4400331,-29.2097922,0.1808791,-0.0245755,12.0022141,-0.4289410,0.9860,0.8877
