# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,-53.9043219,21.6984642,0.4459001,0.0026089,13.7670527,1.4992298,0.9205,1.2667
0.2998000,-54.0334582,21.9683652,0.4466066,0.0021143,13.7996622,1.4812030,0.8364,1.1483
0.5996000,-54.1629841,22.2386412,0.4471666,0.0016229,13.8318042,1.4633929,0.7523,1.0300
0.8994001,-54.2928747,22.5093396,0.4475805,0.0011352,13.8634865,1.4457970,0.6682,0.9117
1.1992001,-54.4225451,22.7793431,0.4478502,0.0006714,13.8947169,1.4284126,0.6914,0.9271
1.4990001,-54.5522828,23.0493474,0.4479836,0.0002200,13.9255030,1.4112373,0.7739,1.0165
1.7988001,-54.6822766,23.3198390,0.4479823,-0.0002272,13.9558522,1.3942685,0.8565,1.1060
2.0986002,-54.8121865,23.5902030,0.4478484,-0.0006593,13.9857719,1.3775037,0.9214,1.1744
2.3984002,-54.9418096,23.8601065,0.4475893,-0.0010706,14.0152690,1.3609405,0.9389,1.1862
2.6982002,-55.0715637,24.1305051,0.4472069,-0.0014787,14.0443507,1.3445765,0.9564,1.1980
2.9980002,-55.2013675,24.4013151,0.4467021,-0.0018659,14.0730236,1.3284092,0.9739,1.2098
3.2978003,-55.3305903,24.6712920,0.4461265,-0.0019801,14.1012946,1.3124363,0.7733,1.0178
3.5976003,-55.4598468,24.9417513,0.4455158,-0.0020940,14.1291700,1.2966555,0.5434,0.7985
3.8974003,-55.5891183,25.2126792,0.4448702,-0.0022076,14.1566564,1.2810644,0.3136,0.5792
4.1972003,-55.7179777,25.4831907,0.4442728,-0.0015603,14.1837599,1.2656608,0.2338,0.4813
4.4970003,-55.8467098,25.7537598,0.4439478,-0.0006105,14.2104869,1.2504424,0.3171,0.5154
4.7968004,-55.9755504,26.0246849,0.4439064,0.0003334,14.2368431,1.2354070,0.4004,0.5494
5.0966004,-56.1043993,26.2955575,0.4441526,0.0013764,14.2628346,1.2205524,0.4849,0.5876
5.3964004,-56.2331842,26.5660048,0.4447499,0.0026104,14.2884672,1.2058764,0.5876,0.6862
5.6962004,-56.3623143,26.8366315,0.4457169,0.0038387,14.3137465,1.1049013,0.6903,0.7847
5.9960005,-56.4918822,27.1073732,0.4470528,0.0050618,14.3368699,0.8376509,0.7930,0.8833
6.2958005,-56.6215920,27.3773574,0.4487562,0.0063121,14.3543754,0.5674298,0.7755,0.8693
6.5956005,-56.7519106,27.6472996,0.4508353,0.0075595,14.3662216,0.3010005,0.6903,0.7917
6.8954005,-56.8829443,27.9171590,0.4532898,0.0088038,14.3725017,0.0389839,0.6051,0.7142
7.1952005,-57.0146031,28.1864935,0.4561162,0.0100569,14.3733148,-0.2205588,0.5380,0.6413
7.4950006,-57.1470290,28.4553402,0.4593190,0.0113163,14.3687136,-0.4765971,0.5410,0.5863
7.7948006,-57.2804480,28.7239008,0.4629011,0.0125745,14.3587661,-0.7270522,0.5440,0.5314
8.0946006,-57.4149107,28.9920198,0.4668615,0.0138336,14.3435778,-0.9718711,0.5470,0.4764
8.3944006,-57.5503597,29.2593332,0.4711967,0.0150996,14.3232500,-1.2118450,0.5752,0.4979
8.6942007,-57.6870782,29.5261495,0.4759135,0.0163664,14.2978623,-1.4452806,0.6112,0.5428
8.9940007,-57.8251585,29.7923958,0.4810123,0.0176345,14.2675253,-1.6718484,0.6471,0.5877
9.2938007,-57.9645699,30.0577661,0.4864887,0.0189044,14.2323518,-1.8913099,0.6714,0.6031
9.5936007,-58.1054891,30.3223537,0.4923465,0.0201773,14.1924560,-2.1035249,0.6708,0.5557
9.8934008,-58.2480399,30.5861462,0.4985878,0.0214534,14.1479516,-2.3082040,0.6703,0.5083
10.1932008,-58.3922824,30.8490119,0.5052121,0.0227313,14.0989551,-2.5047795,0.6697,0.4609
10.4930008,-58.5382839,31.1108365,0.5122182,0.0240114,14.0455925,-2.6930662,0.6214,0.4063
10.7928008,-58.6861804,31.3716279,0.5196096,0.0252967,13.9879915,-2.8733910,0.5661,0.3507
11.0926008,-58.8360583,31.6313034,0.5273875,0.0265869,13.9262709,-3.0454884,0.5107,0.2952
11.3924009,-58.9879962,31.8897750,0.5355113,0.0275958,13.8605536,-3.1541383,0.4955,0.2545
11.6922009,-59.1420617,32.1469712,0.5439356,0.0286030,13.7921617,-3.2556135,0.5361,0.2345
11.9920009,-59.2983139,32.4028152,0.5526623,0.0296177,13.7212120,-3.3516742,0.5767,0.2146
12.2918009,-59.4568563,32.6573068,0.5616403,0.0299793,13.6477835,-3.3192007,0.6173,0.1946
12.5916010,-59.6176876,32.9103777,0.5706074,0.0298321,13.5746750,-3.1925131,0.8050,0.3758
12.8914010,-59.7807363,33.1619388,0.5795297,0.0296953,13.5039835,-3.0720639,0.9980,0.5642
13.1912010,-59.9459980,33.4120085,0.5884104,0.0295229,13.4356079,-2.9493125,1.1909,0.7525
13.4910010,-60.1135775,33.6607743,0.5972033,0.0291081,13.3696355,-2.7874846,1.2950,0.8433
13.7908011,-60.2832477,33.9079594,0.6058692,0.0287015,13.3069822,-2.6333300,1.3140,0.8409
14.0906011,-60.4549521,34.1535525,0.6144102,0.0283034,13.2475217,-2.4864813,1.3330,0.8384
14.3904011,-60.6288883,34.3978962,0.6228413,0.0279200,13.1911310,-2.3476743,1.3507,0.8356
14.6902011,-60.8048411,34.6407425,0.6311578,0.0275439,13.1376661,-2.2152283,1.3447,0.8251
14.9900011,-60.9826778,34.8819712,0.6393568,0.0271727,13.0870173,-2.0884302,1.3386,0.8147
15.2898012,-61.1625004,35.1217798,0.6474471,0.0268166,13.0390873,-1.9687440,1.3326,0.8042
15.5896012,-61.3443910,35.3603251,0.6554412,0.0264805,12.9937423,-1.8566729,1.2915,0.7496
15.8894012,-61.5280379,35.5972481,0.6633288,0.0261450,12.9508331,-1.7485986,1.2265,0.6649
16.1892012,-61.7134014,35.8325551,0.6711104,0.0258103,12.9102912,-1.6443760,1.1615,0.5803
16.4890013,-61.9008758,36.0667889,0.6788119,0.0255306,12.8720492,-1.5528039,1.1178,0.5114
16.7888013,-62.0900225,36.2994381,0.6864247,0.0252483,12.8358322,-1.4638607,1.2158,0.5465
17.0886013,-62.2808026,36.5305015,0.6939475,0.0249621,12.8015959,-1.3771854,1.3137,0.5817
17.3884013,-62.4734017,36.7602449,0.7013922,0.0247238,12.7693029,-1.3011670,1.4116,0.6168
17.6882013,-62.6677450,36.9886087,0.7087747,0.0245136,12.7387173,-1.2321257,1.4261,0.6039
17.9880014,-62.8636787,37.2154425,0.7160898,0.0242946,12.7096867,-1.1638230,1.3976,0.5663
18.2878014,-63.0612241,37.4408043,0.7233344,0.0239940,12.6822043,-1.0845273,1.3690,0.5287
18.5876014,-63.2604495,37.6648155,0.7304412,0.0234158,12.6565408,-0.9632609,1.3369,0.4824
18.8874014,-63.4612364,37.8874162,0.7373721,0.0228221,12.6337031,-0.8433908,1.2880,0.3955
19.1872015,-63.6635708,38.1086701,0.7441239,0.0222141,12.6136734,-0.7249690,1.2391,0.3086
19.4870015,-63.8672412,38.3284541,0.7504835,0.0199836,12.5964306,-0.3526799,1.1901,0.2217
19.7868015,-64.0722829,38.5470773,0.7560943,0.0174551,12.5880339,0.0564381,1.2521,0.2745
20.0866015,-64.2785836,38.7647486,0.7609498,0.0149265,12.5893780,0.4559352,1.3662,0.3931
20.3864016,-64.4856022,38.9812298,0.7650352,0.0122917,12.6002308,0.8646844,1.4804,0.5117
20.6862016,-64.6932164,39.1967413,0.7682986,0.0095166,12.6207877,1.2899546,1.5628,0.5938
20.9860016,-64.9018850,39.4121153,0.7707351,0.0067350,12.6513927,1.7123005,1.4806,0.4866
21.2858016,-65.1114115,39.6275018,0.7723465,0.0042600,12.6919042,2.0696972,1.3983,0.3793
21.5856016,-65.3196682,39.8409796,0.7737270,0.0049929,12.7406995,1.9343296,1.3161,0.2721
21.8854017,-65.5291596,40.0550832,0.7753291,0.0056994,12.7861350,1.7897898,1.3438,0.2870
22.1852017,-65.7400446,40.2698747,0.7771475,0.0063766,12.8280320,1.6507014,1.4402,0.3783
22.4850017,-65.9500773,40.4829838,0.7791243,0.0067337,12.8665522,1.5654399,1.5367,0.4696
22.7848017,-66.1603628,40.6954921,0.7811673,0.0069335,12.9029766,1.5070191,1.6296,0.5576
23.0846018,-66.3721214,40.9086014,0.7832808,0.0071368,12.9379447,1.4486117,1.6286,0.5586
23.3844018,-66.5847890,41.1217088,0.7854597,0.0073124,12.9714687,1.3954470,1.6275,0.5597
23.6842018,-66.7961361,41.3325687,0.7876453,0.0073302,13.0036807,-7.6163762,1.6265,0.5607
23.9840018,-67.0087724,41.5437865,0.7898457,0.0073545,12.8268832,-8.0233340,1.6264,0.5608
24.2838019,-67.2226512,41.7553022,0.7920624,0.0073853,12.6379642,-7.9772666,1.6276,0.5596
24.5836019,-67.4362137,41.9655713,0.7942691,0.0072916,12.4472877,-7.9410242,1.6288,0.5584
24.8834019,-67.6499486,42.1750930,0.7964267,0.0071283,12.2545311,-7.9017953,1.6300,0.5572
25.1832019,-67.8647018,42.3847151,0.7985429,0.0069769,12.0596690,-7.8603119,1.6330,0.5542
25.4830019,-68.0803390,42.5943192,0.8006197,0.0068338,11.8626545,-7.8284981,1.6364,0.5508
25.7828020,-68.2953522,42.8024627,0.8026312,0.0066115,11.6631301,-7.7935037,1.6398,0.5474
26.0826020,-68.5111231,43.0105136,0.8045809,0.0063997,11.4610479,-7.7556016,1.6435,0.5437
26.3824020,-68.7275677,43.2184138,0.8064710,0.0061977,11.2563475,-7.7205471,1.6492,0.5380
26.6822020,-68.9443460,43.4258608,0.8082986,0.0059594,11.0488062,-7.6898461,1.6548,0.5324
26.9820021,-69.1612821,43.6327177,0.8100410,0.0056676,10.8381404,-7.6559551,1.6604,0.5268
27.2818021,-69.3786413,43.8392739,0.8116975,0.0053827,10.6242542,-7.6190958,1.6489,0.4809
27.5816021,-69.5963425,44.0454874,0.8132697,0.0051043,10.4070345,-7.6060047,1.6184,0.3906
27.8814021,-69.8144671,44.2514727,0.8147289,0.0045733,10.1855685,-7.5941256,1.5879,0.3004
28.1812021,-70.0328102,44.4570985,0.8160119,0.0039824,9.9595365,-7.5769144,1.5574,0.2102
28.4810022,-70.2512501,44.6623238,0.8171171,0.0033929,9.7287846,-7.5533061,1.6088,0.2363
28.7808022,-70.4698491,44.8672805,0.8180459,0.0028176,9.4931705,-7.5198041,1.6783,0.2879
29.0806022,-70.6890123,45.0724176,0.8188143,0.0023011,9.2526435,-7.4822504,1.7478,0.3396
29.3804022,-70.9080681,45.2771707,0.8194265,0.0017823,9.0069448,-7.4407156,1.8068,0.3804
29.6802023,-71.1269709,45.4815618,0.8198823,0.0012608,8.7557753,-7.3864356,1.8166,0.3706
29.9800023,-71.3462404,45.6861396,0.8201926,0.0008600,8.4990996,-7.3235540,1.8265,0.3607
30.2798023,-71.5656859,45.8907754,0.8204034,0.0005445,8.2367160,-7.2588010,1.8364,0.3508
30.5796023,-71.7848974,46.0951260,0.8205191,0.0002271,7.9681311,-7.1814033,1.8529,0.3343
30.8794024,-72.0038658,46.2992222,0.8205393,-0.0000923,7.6931881,-7.0846427,1.8747,0.3125
31.1792024,-72.2232369,46.5037030,0.8204789,-0.0003102,7.4119627,-6.9908503,1.8964,0.2908
31.4790024,-72.4424695,46.7080928,0.8203534,-0.0005276,7.1235859,-6.8999910,1.9182,0.2690
31.7788024,-72.6616758,46.9125230,0.8201628,-0.0007438,6.8270229,-6.7207527,1.9294,0.2578
32.0786024,-72.8808057,47.1169809,0.8197713,-0.0031258,6.5252186,-6.4477731,1.9402,0.2470
32.3784025,-73.0996979,47.3216215,0.8180310,-0.0084868,6.2219284,-6.2174901,1.9510,0.2362
32.6782025,-73.3182126,47.5269533,0.8146839,-0.0138367,5.9147600,-6.0272798,1.9615,0.2257
32.9780025,-73.5359761,47.7332876,0.8097309,-0.0191839,5.6009310,-5.2799314,1.9717,0.2155
33.2778025,-73.7534348,47.9420356,0.8004949,-0.0455837,5.3107985,-4.5464380,1.9819,0.2053
33.5776026,-73.9676242,48.1533834,0.7820769,-0.0771039,5.0476268,-3.9070643,1.9921,0.1951
33.8774026,-74.1756224,48.3683563,0.7540773,-0.1105163,4.8099751,-3.2765807,1.9933,0.1939
34.1772026,-74.3768284,48.5906140,0.7154977,-0.1486913,4.6012197,-2.4973988,1.9933,0.1939
34.4770026,-74.5708983,48.8255488,0.6628541,-0.1980874,4.4355138,-1.6021342,1.9933,0.1939
34.7768027,-74.7475705,49.0676412,0.5951573,-0.2550683,4.3258690,-0.4875182,1.9725,0.2147
35.0766027,-74.9024280,49.3176406,0.5108600,-0.3193062,4.2919491,-0.3852573,1.9271,0.2601
35.3764027,-75.0377616,49.5901280,0.4109312,-0.3287284,4.2649533,-0.3783233,1.8817,0.3055
35.6762027,-75.1442858,49.8720011,0.3116083,-0.3309268,4.2382760,-0.3559404,1.7942,0.3434
35.9760027,-75.2209126,50.1572474,0.2129195,-0.3380365,4.2130229,-0.3559404,1.5825,0.3591
36.2758028,-75.2698249,50.4570269,0.1119911,-0.3132591,4.1876175,0.1549846,1.3708,0.3748
36.5756028,-75.2900662,50.7605655,0.0234131,-0.2692873,4.1986985,0.8991914,1.2226,0.4977
36.8754028,-75.2859268,51.0538714,-0.0496887,-0.2294163,4.2624200,1.4675774,1.1696,0.7812
37.1752028,-75.2614617,51.3508212,-0.1132999,-0.1979119,4.3644225,1.8241279,1.1166,1.0648
37.4750029,-75.2199284,51.6452119,-0.1640048,-0.1375510,4.4879762,-3.5052697,0.7887,1.3249
37.7748029,-75.1663043,51.9388717,-0.1932201,-0.0575478,4.2473722,-3.2453288,0.4536,1.5844
38.0746029,-75.1070338,52.2204746,-0.2285037,-0.1912120,4.0117666,-1.7364546,0.3186,1.3237
38.3744029,-75.0292543,52.5091827,-0.3034015,-0.3032873,3.8798316,-0.8929111,0.1996,1.0216
38.6742030,-74.9208246,52.8015585,-0.4106381,-0.3718370,3.8102105,-0.8035892,0.7464,0.8738
38.9740030,-74.7891882,53.0644532,-0.5172467,-0.3601066,3.7464479,-1.0988416,1.3265,0.7337
39.2738030,-74.6255912,53.3182726,-0.6291378,-0.3864403,3.6574590,-0.3605748,1.6006,0.5569
39.5736030,-74.4324575,53.5520658,-0.7548951,-0.4485550,3.6277824,-0.2607842,1.7504,0.3652
39.8734030,-74.2108302,53.7569519,-0.8945970,-0.4613809,3.6061668,-0.2607842,1.8882,0.1939
40.1732031,-73.9649971,53.9278627,-1.0314694,-0.4516277,3.5844209,-0.0601937,1.9256,0.1939
40.4730031,-73.6992980,54.0636544,-1.1646114,-0.4400515,3.5793828,0.1051444,1.9631,0.1939
40.7728031,-73.4194189,54.1633036,-1.2899269,-0.3826539,3.5881786,0.8151321,1.9824,0.2048
41.0726031,-73.1291145,54.2308194,-1.3900192,-0.2896047,3.6556502,1.8617964,1.9263,0.2609
41.3724032,-72.8309799,54.2733154,-1.4640991,-0.2039095,3.8052742,2.7569909,1.8702,0.3170
41.6722032,-72.5300455,54.2973895,-1.5144239,-0.1396563,4.0166160,3.4233693,1.8069,0.3637
41.9720032,-72.2306682,54.3084686,-1.5516557,-0.1089667,4.2644878,3.6536573,1.6662,0.3089
42.2718032,-71.9307378,54.3097625,-1.5798009,-0.0788016,4.5140436,3.9856716,1.5255,0.2541
42.5716032,-71.6308023,54.3039622,-1.5989798,-0.0491166,4.7714147,4.4252462,1.3848,0.1993
