s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,4.7554039,4.1144938,0.6397862,-0.0507022,3.8835658,4.9328576,1.0613,0.4563
0.0499927,4.7261208,4.1539090,0.6385635,0.0004090,3.9465551,4.9876612,1.0530,0.4603
0.0999854,4.6963829,4.1939354,0.6397889,0.0477325,4.0092381,4.9104085,1.0446,0.4643
0.1499781,4.6658855,4.2347794,0.6433044,0.0888341,4.0700073,4.1962822,1.0362,0.4683
0.1999709,4.6366555,4.2735651,0.6486848,0.1317772,4.1212288,3.4212274,1.0228,0.4720
0.2499636,4.6064420,4.3131209,0.6561973,0.1689715,4.1625232,2.7248392,1.0016,0.4752
0.2999563,4.5750753,4.3534698,0.6656704,0.2007439,4.1951214,2.1141774,0.9804,0.4785
0.3499490,4.5443797,4.3921469,0.6762462,0.2271517,4.2202406,1.5971691,0.9592,0.4817
0.3999417,4.5132774,4.4304480,0.6880316,0.2499823,4.2391183,-0.9605685,0.9380,0.4872
0.4499344,4.4809544,4.4692528,0.7011742,0.2699506,4.2277750,-1.2731737,0.9169,0.4937
0.4999271,4.4477596,4.5080124,0.7153980,0.2864018,4.2126930,-1.1220672,0.8959,0.5003
0.5499198,4.4154851,4.5446276,0.7296303,0.2966651,4.1993562,-0.9767353,0.8748,0.5068
0.5999126,4.3820335,4.5814776,0.7446421,0.3064927,4.1877121,-0.8354383,0.8582,0.5197
0.6499053,4.3473849,4.6184849,0.7604222,0.3159592,4.1777268,-0.7270525,0.8427,0.5340
0.6998980,4.3122537,4.6548252,0.7766094,0.3234328,4.1690175,-0.6750554,0.8272,0.5483
0.7498907,4.2775382,4.6895970,0.7926024,0.3276189,4.1609147,-0.6128116,0.8117,0.5626
0.7998834,4.2417451,4.7243037,0.8090520,0.3323192,4.1535453,-0.5405315,0.7959,0.5761
0.8498761,4.2048771,4.7588779,0.8259780,0.3375033,4.1470343,-0.4784379,0.7802,0.5893
0.8998688,4.1673588,4.7928769,0.8432002,0.3420094,4.1412627,-0.4712604,0.7644,0.6025
0.9498615,4.1302869,4.8253364,0.8600814,0.3433161,4.1355698,-0.4495304,0.7486,0.6158
0.9998543,4.0922664,4.8575007,0.8772287,0.3454417,4.1301321,-0.4137207,0.7295,0.6289
1.0498470,4.0533130,4.8893150,0.8946725,0.3483371,4.1251212,-0.3641659,0.7089,0.6419
1.0998397,4.0134427,4.9207246,0.9124421,0.3519594,4.1207055,-0.3638228,0.6882,0.6549
1.1498324,3.9740222,4.9506697,0.9298739,0.3520820,4.1162892,-0.3740760,0.6676,0.6679
1.1998251,3.9339021,4.9800551,0.9473945,0.3526678,4.1117435,-0.3654898,0.6469,0.6817
1.2498178,3.8929889,5.0089288,0.9650863,0.3540515,4.1072973,-0.3407456,0.6263,0.6967
1.2998105,3.8513051,5.0372492,0.9829797,0.3561971,4.1031477,-0.3369412,0.6057,0.7116
1.3498032,3.8093471,5.0646710,1.0008805,0.3570975,4.0990404,-0.3369412,0.5851,0.7265
1.3997960,3.7672615,5.0911181,1.0186092,0.3563676,4.0949289,-0.3119961,0.5650,0.7416
