s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,9.3303275,3.5708137,-0.0445457,0.4109875,3.3216562,-1.6341593,0.5611,1.0293
0.0499557,9.3320175,3.6199943,-0.0240629,0.4216900,3.2969879,-1.5671930,0.5392,1.0301
0.0999114,9.3326876,3.6696497,-0.0028259,0.4338106,3.2731558,-1.4857692,0.5173,1.0309
0.1498670,9.3322800,3.7197052,0.0192229,0.4473310,3.2504005,-1.3897029,0.4953,1.0317
0.1998227,9.3307369,3.7700862,0.0421412,0.4622349,3.2289714,-1.3308638,0.4734,1.0326
0.2497784,9.3280269,3.8203183,0.0657589,0.4736633,3.2083155,-1.3290768,0.4578,1.0317
0.2997341,9.3241796,3.8698381,0.0893345,0.4758868,3.1875536,-1.3673421,0.4486,1.0293
0.3496897,9.3191389,3.9194614,0.1131596,0.4796643,3.1660520,-1.3923517,0.4394,1.0268
0.3996454,9.3128884,3.9691225,0.1372950,0.4849509,3.1440060,-1.4039377,0.4302,1.0243
0.4496011,9.3054114,4.0187559,0.1618005,0.4917103,3.1216188,-1.4012693,0.4210,1.0218
0.4995568,9.2967335,4.0680774,0.1865378,0.4929677,3.0991130,-1.4525500,0.4234,1.0201
0.5495124,9.2868717,4.1170267,0.2110438,0.4888307,3.0756097,-1.5608904,0.4272,1.0184
0.5994681,9.2758077,4.1657628,0.2354035,0.4862536,3.0501516,-1.6585103,0.4311,1.0167
0.6494238,9.2635595,4.2142265,0.2596786,0.4852280,3.0228663,-1.7456407,0.4349,1.0150
0.6993795,9.2501452,4.2623584,0.2839309,0.4857547,2.9938790,-1.8221245,0.4367,1.0091
0.7493351,9.2355264,4.3102764,0.3082977,0.4868901,2.9633191,-1.8970709,0.4328,0.9913
0.7992908,9.2197367,4.3578418,0.3327433,0.4888269,2.9311638,-1.9692277,0.4289,0.9734
0.8492465,9.2028238,4.4049054,0.3572655,0.4920518,2.8974080,-2.0346782,0.4251,0.9556
0.8992022,9.1848070,4.4514159,0.3819164,0.4965919,2.8621121,-2.0937130,0.4212,0.9378
0.9491578,9.1657056,4.4973217,0.4067488,0.5024794,2.8253318,-2.0002175,0.4205,0.9210
0.9991135,9.1452157,4.5432560,0.4326990,0.5339889,2.7897411,-1.7932494,0.4211,0.9045
1.0490692,9.1235243,4.5885722,0.4605036,0.5733192,2.7574426,-1.5668865,0.4218,0.8881
1.0990249,9.1006554,4.6330213,0.4902015,0.6153468,2.7289082,-1.3183294,0.4224,0.8716
1.1489805,9.0765676,4.6765059,0.5218910,0.6600435,2.7046670,-1.0602521,0.4311,0.8556
1.1989362,9.0511540,4.7190345,0.5557506,0.7052452,2.6850126,-0.9399716,0.4627,0.8404
