s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,6.0041441,1.9741997,0.9880624,-0.1560754,4.8149598,1.9166562,0.4200,0.6106
0.0499399,5.9624751,2.0018952,0.9803464,-0.1523525,4.8347982,1.9699628,0.4231,0.6163
0.0998799,5.9210641,2.0298763,0.9728256,-0.1486074,4.8551038,2.0243202,0.4262,0.6220
0.1498198,5.8799069,2.0581332,0.9655004,-0.1448425,4.8758817,2.0797255,0.4293,0.6278
0.1997598,5.8389993,2.0866559,0.9583714,-0.1410601,4.8971364,2.1361821,0.4324,0.6335
0.2496997,5.7982247,2.1155140,0.9514683,-0.1339296,4.9188725,2.2743328,0.4349,0.6391
0.2996397,5.7576072,2.1446708,0.9450109,-0.1243597,4.9419092,2.4730752,0.4368,0.6446
0.3495796,5.7172146,2.1740481,0.9390397,-0.1147390,4.9668377,2.6747407,0.4387,0.6502
0.3995196,5.6770334,2.2036251,0.9335559,-0.1050708,4.9936590,2.8798223,0.4406,0.6557
0.4494595,5.6370152,2.2334067,0.9285565,-0.0954327,5.0223765,3.0869469,0.4437,0.6607
0.4993995,5.5970276,2.2634630,0.9240162,-0.0860830,5.0529783,3.2900609,0.4544,0.6616
0.5493394,5.5572135,2.2936578,0.9199492,-0.0766894,5.0853909,3.4981123,0.4650,0.6624
0.5992793,5.5175599,2.3239708,0.9163567,-0.0672513,5.1196281,3.7116901,0.4757,0.6633
0.6492193,5.4780536,2.3543818,0.9132400,-0.0577672,5.1557071,3.9314250,0.4863,0.6642
0.6991592,5.4385153,2.3849995,0.9105809,-0.0486625,5.1936486,4.1464552,0.4864,0.6616
0.7490992,5.3990605,2.4157065,0.9083740,-0.0396102,5.2333673,4.3659223,0.4826,0.6578
0.7990391,5.3597162,2.4464526,0.9066231,-0.0305065,5.2748650,4.5932082,0.4789,0.6540
0.8489791,5.3204699,2.4772185,0.9053299,-0.0213481,5.3181736,4.7328281,0.4751,0.6502
0.8989190,5.2812023,2.5080686,0.9044907,-0.0124221,5.3624327,4.7233486,0.4695,0.6465
0.9488590,5.2418812,2.5390004,0.9040850,-0.0037842,5.4062419,4.7138880,0.4605,0.6429
0.9987989,5.2026228,2.5698949,0.9041130,0.0049155,5.4496123,4.7044464,0.4515,0.6392
1.0487389,5.1634153,2.6007337,0.9045764,0.0136813,5.4925544,2.3981676,0.4425,0.6356
1.0986788,5.1242127,2.6315253,0.9054782,0.0224230,5.5143162,-5.6854609,0.4338,0.6322
1.1486188,5.0848036,2.6624080,0.9068051,0.0305944,5.4625836,-5.4496638,0.4342,0.6327
1.1985587,5.0454124,2.6931796,0.9085401,0.0388392,5.4125325,-5.2199959,0.4345,0.6332
1.2484986,5.0060286,2.7238225,0.9106854,0.0471613,5.3641528,-4.9959195,0.4348,0.6337
1.2984386,4.9666417,2.7543194,0.9132436,0.0555645,5.3174377,-4.7959981,0.4352,0.6342
1.3483785,4.9269872,2.7848482,0.9162223,0.0633689,5.2722025,-4.6041081,0.4341,0.6358
1.3983185,4.8872577,2.8152345,0.9195852,0.0711172,5.2284091,-4.4159105,0.4325,0.6378
1.4482584,4.8474962,2.8454218,0.9233307,0.0789521,5.1860583,-4.2310253,0.4309,0.6399
1.4981984,4.8076940,2.8753939,0.9274615,0.0868763,5.1451537,-4.0623339,0.4293,0.6419
1.5481383,4.7676479,2.9052784,0.9319956,0.0943879,5.1055716,-3.9060782,0.4286,0.6447
1.5980783,4.7273942,2.9350230,0.9368999,0.1016029,5.0672204,-3.7517451,0.4288,0.6484
1.6480182,4.6870745,2.9645010,0.9421566,0.1089103,5.0301092,-3.5990762,0.4290,0.6521
1.6979582,4.6466815,2.9936970,0.9477687,0.1163117,4.9942490,-3.4557169,0.4292,0.6558
1.7478981,4.6060810,3.0226861,0.9537554,0.1234907,4.9595732,-3.3287813,0.4312,0.6591
1.7978380,4.5651425,3.0515366,0.9601063,0.1301392,4.9259404,-3.2025278,0.4379,0.6617
1.8477780,4.5241099,3.0800556,0.9667774,0.1368825,4.8933649,-3.0767904,0.4446,0.6642
1.8977179,4.4829776,3.1082289,0.9737718,0.1437207,4.8618629,-2.9547992,0.4512,0.6667
1.9476579,4.4416805,3.1360826,0.9811028,0.1505104,4.8314165,-2.8523323,0.4570,0.6692
1.9975978,4.3999261,3.1637906,0.9887964,0.1565662,4.8018429,-2.7497194,0.4560,0.6716
2.0475378,4.3580561,3.1911051,0.9967767,0.1627157,4.7731597,-2.6468625,0.4549,0.6740
2.0974777,4.3160672,3.2180134,1.0050467,0.1689582,4.7453857,-2.5436685,0.4539,0.6764
2.1474177,4.2739560,3.2445027,1.0136095,0.1752922,4.7185404,-2.4618257,0.4529,0.6787
2.1973576,4.2312876,3.2708245,1.0225338,0.1807427,4.6924127,-2.3793433,0.4496,0.6794
2.2472976,4.1884893,3.2966946,1.0317108,0.1862828,4.6670214,-2.2961485,0.4463,0.6800
2.2972375,4.1455602,3.3221015,1.0411434,0.1919120,4.6423862,-2.2121949,0.4431,0.6806
2.3471774,4.1024990,3.3470337,1.0508344,0.1976280,4.6185274,-2.1456634,0.4398,0.6812
2.3971174,4.0589007,3.3717060,1.0608607,0.2025808,4.5952679,-2.0803641,0.4375,0.6824
2.4470573,4.0151183,3.3958997,1.0711174,0.2075178,4.5726032,-2.0140924,0.4354,0.6835
2.4969973,3.9712010,3.4195768,1.0815961,0.2125394,4.5505530,-1.9468324,0.4332,0.6847
