s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,-3.1420133,3.3601386,-1.0880396,-0.2885097,3.7447077,1.6730687,0.7500,0.8847
0.0499003,-3.0969800,3.3833270,-1.1024678,-0.2810659,3.7669363,1.7271739,0.7381,0.8952
0.0998005,-3.0520507,3.4056624,-1.1163717,-0.2730405,3.7897470,1.7905307,0.7263,0.9056
0.1497008,-3.0072445,3.4271798,-1.1297323,-0.2644411,3.8132503,1.8631996,0.7144,0.9161
0.1996011,-2.9625808,3.4479142,-1.1425309,-0.2552726,3.8375547,1.9453202,0.7026,0.9265
0.2495014,-2.9166531,3.4685293,-1.1551964,-0.2483622,3.8627672,1.9949774,0.6967,0.9514
0.2994016,-2.8705807,3.4885220,-1.1675006,-0.2415024,3.8884534,2.0452567,0.6914,0.9780
0.3493019,-2.8247032,3.5077754,-1.1793334,-0.2340390,3.9146121,2.1062386,0.6862,1.0045
0.3992022,-2.7790298,3.5263237,-1.1906746,-0.2259748,3.9413693,2.1781004,0.6809,1.0310
0.4491025,-2.7322574,3.5447077,-1.2018635,-0.2197558,3.9688496,2.2225801,0.6696,1.0541
0.4990027,-2.6853514,3.5625492,-1.2127400,-0.2135889,3.9966964,2.2678945,0.6577,1.0768
0.5489030,-2.6386749,3.5797357,-1.2231979,-0.2067988,4.0249123,2.3250122,0.6458,1.0995
0.5988033,-2.5922271,3.5962999,-1.2332160,-0.1993904,4.0536350,2.3941081,0.6339,1.1222
0.6487035,-2.5446554,3.6127331,-1.2431216,-0.1944594,4.0830001,2.4238789,0.6156,1.1270
0.6986038,-2.4971636,3.6286216,-1.2527332,-0.1892904,4.1125168,2.4594101,0.5972,1.1314
0.7485041,-2.4498956,3.6439406,-1.2619985,-0.1835398,4.1422512,2.5066965,0.5788,1.1359
0.7984044,-2.4026703,3.6587722,-1.2709308,-0.1776899,4.1723392,2.5576019,0.5629,1.1403
0.8483046,-2.3545623,3.6734129,-1.2797838,-0.1743245,4.2028163,2.5665730,0.5629,1.1445
0.8982049,-2.3066515,3.6875376,-1.2883968,-0.1704539,4.2331796,2.5861434,0.5629,1.1487
0.9481052,-2.2589210,3.7011699,-1.2967517,-0.1660855,4.2635558,2.6163819,0.5629,1.1529
0.9980055,-2.2109007,3.7144570,-1.3049269,-0.1628741,4.2940686,2.6269933,0.5580,1.1530
1.0479057,-2.1625214,3.7274205,-1.3130414,-0.1610752,4.3244884,2.6126756,0.5432,1.1450
1.0978060,-2.1142715,3.7399340,-1.3210170,-0.1588657,4.3545317,2.6073434,0.5284,1.1369
1.1477063,-2.0661299,3.7520144,-1.3288390,-0.1562504,4.3843085,2.6110580,0.5137,1.1288
1.1976066,-2.0175146,3.7638112,-1.3366458,-0.1561462,4.4139264,2.5671469,0.4970,1.1185
1.2475068,-1.9688894,3.7752093,-1.3444445,-0.1561022,4.4428537,2.5228726,0.4789,1.1064
1.2974071,-1.9203085,3.7861988,-1.3522117,-0.1557225,4.4710997,2.4861102,0.4607,1.0943
1.3473074,-1.8716421,3.7968117,-1.3599568,-0.1556066,4.4987607,2.4448432,0.4426,1.0822
1.3972076,-1.8227637,3.8070738,-1.3677489,-0.1563774,4.5257977,2.3861939,0.4352,1.0714
1.4471079,-1.7738644,3.8169425,-1.3755631,-0.1568601,4.5520312,2.3341751,0.4300,1.0609
1.4970082,-1.7249237,3.8264218,-1.3833886,-0.1570514,4.5775474,2.2889548,0.4247,1.0505
1.5469085,-1.6758972,3.8355207,-1.3911820,-0.1551570,4.6024318,2.2886260,0.4202,1.0398
1.5968087,-1.6267861,3.8442427,-1.3988586,-0.1526089,4.6271789,2.3031637,0.4218,1.0273
1.6467090,-1.5775801,3.8525957,-1.4064069,-0.1498306,4.6519503,2.3235986,0.4235,1.0148
1.6966093,-1.5283276,3.8605782,-1.4138104,-0.1470360,4.6768086,2.3453298,0.4252,1.0023
1.7465096,-1.4791036,3.8681861,-1.4210724,-0.1445336,4.7017660,2.3615390,0.4277,0.9909
1.7964098,-1.4297407,3.8754518,-1.4282179,-0.1418626,4.7267628,2.3824254,0.4318,0.9815
1.8463101,-1.3802255,3.8823819,-1.4352406,-0.1390333,4.7518474,2.4078113,0.4358,0.9721
1.8962104,-1.3308693,3.8889408,-1.4421081,-0.1370287,4.7770655,2.4153294,0.4399,0.9627
1.9461106,-1.2814404,3.8951663,-1.4488898,-0.1352068,4.8022293,2.4194800,0.4451,0.9545
1.9960109,-1.2318262,3.9010755,-1.4555975,-0.1332702,4.8273048,2.4271170,0.4510,0.9471
2.0459112,-1.1821312,3.9066589,-1.4622122,-0.1313787,4.8523292,2.4345135,0.4568,0.9396
2.0958115,-1.1327085,3.9118839,-1.4687082,-0.1300288,4.8773010,2.4298329,0.4627,0.9322
2.1457117,-1.0830766,3.9168064,-1.4751582,-0.1286018,4.9020979,2.4277296,0.4655,0.9231
2.1956120,-1.0332278,3.9214272,-1.4815590,-0.1271016,4.9267486,2.4281275,0.4680,0.9139
2.2455123,-0.9835728,3.9257122,-1.4878583,-0.1257584,4.9512807,2.4253963,0.4705,0.9047
2.2954126,-0.9339864,3.9296786,-1.4940836,-0.1245262,4.9756644,2.4206071,0.4731,0.8952
2.3453128,-0.8841714,3.9333523,-1.5002721,-0.1232528,4.9998814,2.4175122,0.4768,0.8837
2.3952131,-0.8341230,3.9367329,-1.5064220,-0.1219405,5.0239510,2.4160597,0.4806,0.8723
2.4451134,-0.7845711,3.9397771,-1.5124441,-0.1206650,5.0478914,2.4143231,0.4843,0.8608
2.4950137,-0.7348436,3.9425328,-1.5184217,-0.1193823,5.0717017,2.4134102,0.4873,0.8514
2.5449139,-0.6848812,3.9450029,-1.5243613,-0.1180886,5.0953918,2.4134143,0.4886,0.8466
2.5948142,-0.6348553,3.9471798,-1.5302417,-0.1167526,5.1189723,2.4151500,0.4899,0.8417
2.6447145,-0.5852528,3.9490492,-1.5360009,-0.1152985,5.1424616,2.4206301,0.4911,0.8368
2.6946147,-0.5354192,3.9506411,-1.5417135,-0.1138577,5.1658970,2.4263800,0.4917,0.8277
2.7445150,-0.4853547,3.9519553,-1.5473799,-0.1124306,5.1892818,2.4323845,0.4915,0.8140
2.7944153,-0.4354199,3.9529851,-1.5529587,-0.1108855,5.2126192,2.4422043,0.4913,0.8003
2.8443156,-0.3857423,3.9537351,-1.5584256,-0.1091925,5.2359462,2.4567045,0.4912,0.7865
2.8942158,-0.3358433,3.9542172,-1.5638329,-0.1075325,5.2593072,2.4709327,0.4899,0.7699
2.9441161,-0.2857242,3.9544318,-1.5691814,-0.1059049,5.2826994,2.4848914,0.4879,0.7515
2.9940164,-0.2358711,3.9543814,-1.5744179,-0.1040731,5.3061197,2.5052290,0.4860,0.7331
3.0439167,-0.1861539,3.9540735,-1.5795434,-0.1021168,5.3296275,2.5297625,0.4840,0.7146
3.0938169,-0.1362294,3.9535104,-1.5845940,-0.1002073,5.3532608,2.5536389,0.4847,0.7003
3.1437172,-0.0861000,3.9526935,-1.5895710,-0.0983435,5.3770118,2.5768778,0.4865,0.6876
3.1936175,-0.0363083,3.9516374,-1.5944183,-0.0962141,5.4008731,2.6085399,0.4883,0.6750
3.2435177,0.0134158,3.9503444,-1.5991484,-0.0939892,5.4249206,2.6437513,0.4900,0.6623
3.2934180,0.0633304,3.9488125,-1.6037877,-0.0918196,5.4491845,2.6780836,0.4992,0.6616
3.3433183,0.1134326,3.9470444,-1.6083376,-0.0897039,5.4736538,2.7115727,0.5107,0.6645
3.3932186,0.1631872,3.9450654,-1.6127469,-0.0873013,5.4983181,2.7545049,0.5221,0.6675
3.4431188,0.2128911,3.9428719,-1.6170282,-0.0848136,5.5232602,2.8008821,0.5336,0.6704
3.4930191,0.2627680,3.9404595,-1.6212025,-0.0823856,5.5485072,2.8463181,0.5420,0.6723
3.5429194,0.3128148,3.9378321,-1.6252716,-0.0800153,5.5740467,2.8908644,0.5496,0.6739
3.5928197,0.3625553,3.9350214,-1.6291949,-0.0773781,5.5998667,2.9446906,0.5572,0.6754
3.6427199,0.4122194,3.9320230,-1.6329764,-0.0746409,5.6260455,3.0026967,0.5648,0.6770
3.6926202,0.4620394,3.9288291,-1.6366356,-0.0719641,5.6526152,3.0598502,0.5697,0.6574
3.7425205,0.5120121,3.9254448,-1.6401742,-0.0693455,5.6795628,3.1162184,0.5738,0.6312
3.7924207,0.5617585,3.9219026,-1.6435648,-0.0665151,5.7068760,3.1805966,0.5779,0.6051
3.8423210,0.6113713,3.9182047,-1.6467999,-0.0635465,5.7346194,3.2507428,0.5821,0.5789
3.8922213,0.6611239,3.9143379,-1.6498981,-0.0606364,5.7628366,3.3202657,0.5897,0.5620
3.9421216,0.7110135,3.9103083,-1.6528614,-0.0577826,5.7915153,3.3892486,0.5988,0.5490
3.9920218,0.7607811,3.9061438,-1.6556752,-0.0547963,5.8206442,3.4640974,0.6080,0.5360
4.0419221,0.8103390,3.9018605,-1.6583216,-0.0516186,5.8502664,3.5469799,0.6171,0.5230
4.0918224,0.8600222,3.8974377,-1.6608182,-0.0484956,5.8804428,3.6295995,0.6168,0.5162
4.1417227,0.9098281,3.8928823,-1.6631666,-0.0454251,5.9111626,3.7120567,0.6107,0.5133
4.1916229,0.9596281,3.8882133,-1.6653625,-0.0423128,5.9424161,-1.2549995,0.6047,0.5104
4.2415232,1.0091348,3.8834665,-1.6673831,-0.0389517,5.9318681,-5.3347902,0.5987,0.5074
4.2914235,1.0587540,3.8786117,-1.6692423,-0.0356404,5.8868196,-5.4596550,0.6019,0.5023
4.3413238,1.1084832,3.8736569,-1.6709417,-0.0323764,5.8403568,-5.5795266,0.6143,0.4950
4.3912240,1.1583201,3.8686097,-1.6724826,-0.0291575,5.7924889,-5.6944219,0.6267,0.4878
4.4411243,1.2077879,3.8635273,-1.6738450,-0.0256444,5.7432240,-5.8155208,0.6391,0.4805
4.4910246,1.2573545,3.8583708,-1.6750363,-0.0221732,5.6924713,-5.9312874,0.6483,0.4718
4.5409248,1.3070200,3.8531485,-1.6760578,-0.0187435,5.6402379,-6.0416884,0.6517,0.4607
4.5908251,1.3567825,3.8478688,-1.6769107,-0.0153528,5.5865302,-6.1467326,0.6551,0.4495
4.6407254,1.4063429,3.8425719,-1.6776149,-0.0132662,5.5313536,-6.2076902,0.6585,0.4383
4.6906257,1.4558748,3.8372448,-1.6782369,-0.0117087,5.4750655,-6.2501777,0.6613,0.4287
4.7405259,1.5054934,3.8318792,-1.6787827,-0.0101687,5.4178013,-6.2901797,0.6609,0.4266
4.7904262,1.5551955,3.8264789,-1.6792529,-0.0086450,5.3595529,-6.2738599,0.6605,0.4244
4.8403265,1.6048455,3.8210624,-1.6796783,-0.0103071,5.3008181,-6.0903080,0.6601,0.4222
4.8902268,1.6543678,3.8156333,-1.6803530,-0.0167685,5.2431724,-5.9154872,0.6597,0.4200
4.9401270,1.7039541,3.8101553,-1.6813500,-0.0231952,5.1865680,-5.7487749,0.6596,0.4214
4.9900273,1.7535954,3.8046130,-1.6826686,-0.0295961,5.1309606,-5.5870633,0.6595,0.4227
5.0399276,1.8032722,3.7989924,-1.6843079,-0.0360779,5.0763338,-5.3856107,0.6594,0.4241
5.0898278,1.8527967,3.7932979,-1.6863140,-0.0444034,5.0231144,-5.1924456,0.6593,0.4255
5.1397281,1.9023455,3.7874894,-1.6887369,-0.0527302,4.9712643,-5.0068030,0.6586,0.4264
