# a553c45e-d909-4d2d-b594-f108e50c2435
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.6676598; -14.4776967; 0.1548444; -0.3525316; 5.6171656; 0.2439913
0.1998112; -0.6918827; -14.2790354; 0.0897111; -0.2959478; 5.6258381; 1.9985424
0.3996224; -0.7043115; -14.0799527; 0.0371963; -0.2297974; 5.6963775; 3.8926603
0.5994337; -0.7076046; -13.8802063; -0.0019857; -0.1625036; 5.8313215; 4.6180954
0.7992449; -0.7043684; -13.6803929; -0.0284389; -0.1029041; 5.9874707; 4.5810868
0.9990561; -0.6970165; -13.4807362; -0.0435515; -0.0565932; 6.1384453; 4.5443748
1.1988673; -0.6873436; -13.2811710; -0.0525386; -0.0333552; 6.2846277; 4.5079570
1.3986785; -0.6763073; -13.0816394; -0.0574641; -0.0172813; 6.4263540; 4.4718310
1.5984898; -0.6645844; -12.8821955; -0.0594904; -0.0034913; 6.5639218; 4.4359946
1.7983010; -0.6527148; -12.6827388; -0.0589886; 0.0085212; 6.6975960; 4.4004453
1.9981122; -0.6411580; -12.4832592; -0.0566304; 0.0130909; 6.8276137; 4.3651810
2.1979234; -0.6301227; -12.2837709; -0.0538398; 0.0144397; 6.9541882; 4.3301992
2.3977347; -0.6196531; -12.0842332; -0.0510265; 0.0137191; 7.0775122; 4.2954978
2.5975459; -0.6097308; -11.8846740; -0.0483577; 0.0129948; 7.1977605; 4.2610744
2.7973571; -0.6003265; -11.6850859; -0.0458337; 0.0122691; 7.3150924; 4.2269269
2.9971683; -0.5914117; -11.4854767; -0.0434541; 0.0115495; 7.4296535; 4.1930531
3.1969795; -0.5829575; -11.2858470; -0.0412180; 0.0108364; 7.5415774; 4.1594507
3.3967908; -0.5749352; -11.0861909; -0.0391234; 0.0101295; 7.6509868; 4.1261177
3.5966020; -0.5673175; -10.8865301; -0.0371686; 0.0094374; 7.7579951; 4.0930517
3.7964132; -0.5600761; -10.6868483; -0.0353516; 0.0087541; 7.8627072; 4.0602507
3.9962244; -0.5531840; -10.4871522; -0.0336698; 0.0080796; 7.9652201; 4.0277126
4.1960356; -0.5466145; -10.2874491; -0.0321213; 0.0074205; 8.0656243; 3.9954352
4.3958469; -0.5403410; -10.0877329; -0.0307040; 0.0067690; 8.1640040; 3.9634166
4.5956581; -0.5343378; -9.8880137; -0.0294157; 0.0061262; 8.2604377; 3.9316544
4.7954693; -0.5285788; -9.6882776; -0.0282548; 0.0054947; 8.3549990; 3.9001469
4.9952805; -0.5230394; -9.4885426; -0.0272197; 0.0048689; 8.4477568; 3.8688918
5.1950918; -0.5176944; -9.2888065; -0.0263087; 0.0042500; 8.5387757; 3.8378872
5.3949030; -0.5125187; -9.0890503; -0.0255206; 0.0036388; 8.6281166; 3.8071311
5.5947142; -0.5074886; -8.8893081; -0.0248544; 0.0030318; 8.7158368; 3.7766214
5.7945254; -0.5025794; -8.6895579; -0.0243086; 0.0024312; 8.8019904; 3.7463563
5.9943366; -0.4977671; -8.4897945; -0.0238823; 0.0018374; 8.8866283; 3.7163336
6.1941479; -0.4930286; -8.2900514; -0.0235743; 0.0012487; 8.9697989; 3.6865516
6.3939591; -0.4883396; -8.0902915; -0.0233824; 0.0006723; 9.0515480; 3.6570083
6.5937703; -0.4836775; -7.8905326; -0.0233052; 0.0001018; 9.1319190; 3.6277017
6.7935815; -0.4790199; -7.6907878; -0.0233415; -0.0004583; 9.2109530; 3.5986299
6.9933927; -0.4743437; -7.4910275; -0.0234844; -0.0009724; 9.2886893; 3.5697911
7.1932040; -0.4696291; -7.2912845; -0.0237319; -0.0015167; 9.3651651; 3.5411835
7.3930152; -0.4648536; -7.0915277; -0.0240909; -0.0020528; 9.4404160; 3.5128051
7.5928264; -0.4599980; -6.8917797; -0.0245244; -0.0022866; 9.5144758; 3.4846541
7.7926376; -0.4550494; -6.6920651; -0.0250733; -0.0037826; 9.5873769; 3.4567287
7.9924489; -0.4499467; -6.4922814; -0.0260826; -0.0063014; 9.6591502; 3.4290271
8.1922601; -0.4446039; -6.2927149; -0.0275019; -0.0079048; 9.7298252; 3.4015475
8.3920713; -0.4389434; -6.0930270; -0.0292111; -0.0089375; 9.7994302; 3.3742881
8.5918825; -0.4329207; -5.8931336; -0.0310450; -0.0094028; 9.8679924; 3.3472472
