# f7e8801e-c5dc-4854-ba0f-99ba34c4556d
# 013041ec29f5170e5997f3747b19cd81602b2b3c
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.6676598; -14.4776967; 0.1548444; -0.3525316; 3.9719359; 0.1219957
0.1998112; -0.6918827; -14.2790354; 0.0897111; -0.2959478; 3.9780683; 0.9992712
0.3996224; -0.7043115; -14.0799527; 0.0371963; -0.2297974; 4.0279472; 1.9463302
0.5994337; -0.7076046; -13.8802063; -0.0019857; -0.1625036; 4.1233670; 2.8961362
0.7992449; -0.7043684; -13.6803929; -0.0284389; -0.1029041; 4.2613984; 3.7671499
0.9990561; -0.6970165; -13.4807362; -0.0435515; -0.0565932; 4.4345185; 4.4927473
1.1988673; -0.6873436; -13.2811710; -0.0525386; -0.0333552; 4.6325324; 4.8538312
1.3986785; -0.6763073; -13.0816394; -0.0574641; -0.0172813; 4.8373605; 4.8307475
1.5984898; -0.6645844; -12.8821955; -0.0594904; -0.0034913; 5.0329446; 4.7920348
1.7983010; -0.6527148; -12.6827388; -0.0589886; 0.0085212; 5.2197257; 4.7536323
1.9981122; -0.6411580; -12.4832592; -0.0566304; 0.0130909; 5.3986290; 4.7155375
2.1979234; -0.6301227; -12.2837709; -0.0538398; 0.0144397; 5.5704245; 4.6777481
2.3977347; -0.6196531; -12.0842332; -0.0510265; 0.0137191; 5.7357617; 4.6402615
2.5975459; -0.6097308; -11.8846740; -0.0483577; 0.0129948; 5.8951942; 4.6030752
2.7973571; -0.6003265; -11.6850859; -0.0458337; 0.0122691; 6.0491989; 4.5661870
2.9971683; -0.5914117; -11.4854767; -0.0434541; 0.0115495; 6.1981899; 4.5295944
3.1969795; -0.5829575; -11.2858470; -0.0412180; 0.0108364; 6.3425299; 4.4932951
3.3967908; -0.5749352; -11.0861909; -0.0391234; 0.0101295; 6.4825386; 4.4572866
3.5966020; -0.5673175; -10.8865301; -0.0371686; 0.0094374; 6.6184997; 4.4215667
3.7964132; -0.5600761; -10.6868483; -0.0353516; 0.0087541; 6.7506663; 4.3861331
3.9962244; -0.5531840; -10.4871522; -0.0336698; 0.0080796; 6.8792655; 4.3509834
4.1960356; -0.5466145; -10.2874491; -0.0321213; 0.0074205; 7.0045017; 4.3161154
4.3958469; -0.5403410; -10.0877329; -0.0307040; 0.0067690; 7.1265602; 4.2815269
4.5956581; -0.5343378; -9.8880137; -0.0294157; 0.0061262; 7.2456093; 4.2472155
4.7954693; -0.5285788; -9.6882776; -0.0282548; 0.0054947; 7.3618026; 4.2131791
4.9952805; -0.5230394; -9.4885426; -0.0272197; 0.0048689; 7.4752805; 4.1794154
5.1950918; -0.5176944; -9.2888065; -0.0263087; 0.0042500; 7.5861721; 4.1459223
5.3949030; -0.5125187; -9.0890503; -0.0255206; 0.0036388; 7.6945962; 4.1126977
5.5947142; -0.5074886; -8.8893081; -0.0248544; 0.0030318; 7.8006626; 4.0797392
5.7945254; -0.5025794; -8.6895579; -0.0243086; 0.0024312; 7.9044729; 4.0470450
5.9943366; -0.4977671; -8.4897945; -0.0238823; 0.0018374; 8.0061215; 4.0146127
6.1941479; -0.4930286; -8.2900514; -0.0235743; 0.0012487; 8.1056962; 3.9824403
6.3939591; -0.4883396; -8.0902915; -0.0233824; 0.0006723; 8.2032788; 3.9505257
6.5937703; -0.4836775; -7.8905326; -0.0233052; 0.0001018; 8.2989459; 3.9188669
6.7935815; -0.4790199; -7.6907878; -0.0233415; -0.0004583; 8.3927689; 3.8874618
6.9933927; -0.4743437; -7.4910275; -0.0234844; -0.0009724; 8.4848151; 3.8563084
7.1932040; -0.4696291; -7.2912845; -0.0237319; -0.0015167; 8.5751475; 3.8254047
7.3930152; -0.4648536; -7.0915277; -0.0240909; -0.0020528; 8.6638255; -4.2699876
7.5928264; -0.4599980; -6.8917797; -0.0245244; -0.0022866; 8.5647819; -7.1470828
7.7926376; -0.4550494; -6.6920651; -0.0250733; -0.0037826; 8.3963893; -6.9314174
7.9924489; -0.4499467; -6.4922814; -0.0260826; -0.0063014; 8.2297876; -6.7898606
8.1922601; -0.4446039; -6.2927149; -0.0275019; -0.0079048; 8.0632514; -6.6929841
8.3920713; -0.4389434; -6.0930270; -0.0292111; -0.0089375; 7.8956543; -6.6357338
8.5918825; -0.4329207; -5.8931336; -0.0310450; -0.0094028; 7.7259024; -6.5357111
8.7916937; -0.4265287; -5.6935874; -0.0330425; -0.0106678; 7.5549819; -6.4421385
8.9915050; -0.4197031; -5.4938104; -0.0353057; -0.0119413; 7.3826370; -6.3603606
9.1913162; -0.4124021; -5.2940807; -0.0378100; -0.0131183; 7.2084385; -6.2810372
9.3911274; -0.4045814; -5.0944778; -0.0405539; -0.0143704; 7.0321791; -6.2075428
9.5909386; -0.3961815; -4.8947551; -0.0435542; -0.0156349; 6.8535297; -6.1425510
9.7907498; -0.3871623; -4.6951571; -0.0467992; -0.0168512; 6.6720437; -6.0860649
9.9905611; -0.3774696; -4.4955595; -0.0502848; -0.0180084; 6.4872212; -6.0342069
10.1903723; -0.3670580; -4.2959867; -0.0539977; -0.0191912; 6.2986217; -5.9689275
10.3901835; -0.3558792; -4.0964703; -0.0580014; -0.0208868; 6.1063342; -5.8655028
10.5899947; -0.3438645; -3.8969870; -0.0624118; -0.0239025; 5.9112884; -5.7315449
10.7898060; -0.3308996; -3.6976374; -0.0676224; -0.0282750; 5.7142696; -5.6078273
10.9896172; -0.3167976; -3.4982306; -0.0737384; -0.0329489; 5.5146952; -5.5042822
11.1894284; -0.3013909; -3.2990287; -0.0807952; -0.0376245; 5.3115185; -5.4248621
11.3892396; -0.2844887; -3.0999607; -0.0887615; -0.0421365; 5.1033648; -5.1580257
11.5890508; -0.2658638; -2.9009042; -0.0982958; -0.0551605; 4.8972512; -4.6329921
11.7888621; -0.2450640; -2.7022898; -0.1111185; -0.0818207; 4.7044258; -3.3317438
11.9886733; -0.2208455; -2.5039544; -0.1341128; -0.1483339; 4.5607217; -2.2741856
12.1884845; -0.1907957; -2.3064976; -0.1698758; -0.2073616; 4.4599738; -1.3807049
12.3882957; -0.1525731; -2.1103390; -0.2168193; -0.2589050; 4.3976819; -0.9994509
12.5881069; -0.1043461; -1.9161890; -0.2709645; -0.2840712; 4.3520343; -0.6987821
12.7879182; -0.0450201; -1.7246703; -0.3304583; -0.3041342; 4.3198326; -0.3712419
12.9877294; 0.0253025; -1.5385741; -0.3928415; -0.3241036; 4.3026268; -0.3712419
13.1875406; 0.1083450; -1.3551853; -0.4573997; -0.3195428; 4.2853519; -0.2364271
13.3873518; 0.2027222; -1.1780004; -0.5208772; -0.3037172; 4.2743139; 0.0847883
13.5871631; 0.3066022; -1.0085545; -0.5778093; -0.2634393; 4.2782756; 0.8110496
13.7869743; 0.4187533; -0.8450809; -0.6217529; -0.1711228; 4.3159884; 1.9385971
13.9867855; 0.5375896; -0.6843663; -0.6490447; -0.0928775; 4.4048227; -2.6541675
14.1865967; 0.6587095; -0.5282607; -0.6752410; -0.2024692; 4.2827325; -1.3880576
14.3864079; 0.7862458; -0.3763618; -0.7240936; -0.2793393; 4.2174754; -0.8691899
14.5862192; 0.9239248; -0.2296806; -0.7846193; -0.3142555; 4.1760928; -0.6085957
14.7860304; 1.0703749; -0.0921411; -0.8495580; -0.3335702; 4.1468714; -0.6068947
14.9858416; 1.2241126; 0.0341879; -0.9163775; -0.3373547; 4.1175252; -0.5619368
15.1856528; 1.3877956; 0.1510577; -0.9854389; -0.3451127; 4.0901652; -0.5523532
15.3854640; 1.5581966; 0.2557295; -1.0546298; -0.3500395; 4.0630922; -0.4713146
15.5852753; 1.7359791; 0.3484374; -1.1258534; -0.3588133; 4.0398479; -0.3246782
15.7850865; 1.9189954; 0.4277012; -1.1988152; -0.3705849; 4.0237572; -0.3246782
15.9848977; 2.1078013; 0.4935162; -1.2713774; -0.3534607; 4.0076019; 0.0010362
16.1847089; 2.3003452; 0.5457740; -1.3390768; -0.3213221; 4.0076536; 0.5170693
16.3845202; 2.4959622; 0.5856225; -1.3992719; -0.2814703; 4.0333509; 1.0948346
16.5843314; 2.6936829; 0.6144350; -1.4516051; -0.2422578; 4.0872289; 1.6179753
16.7841426; 2.8925129; 0.6336427; -1.4960439; -0.2021542; 4.1655755; 2.1442488
16.9839538; 3.0920127; 0.6448120; -1.5323185; -0.1609188; 4.2671899; 2.7046920
17.1837650; 3.2917212; 0.6495419; -1.5606494; -0.1228362; 4.3920115; 3.2436908
17.3835763; 3.4915349; 0.6493598; -1.5817352; -0.0924657; 4.5371816; 3.6836782
17.5833875; 3.6913291; 0.6454639; -1.5981707; -0.0720403; 4.6966049; 3.9685857
17.7831987; 3.8909849; 0.6386771; -1.6108245; -0.0550343; 4.8625131; 4.2246212
17.9830099; 4.0906051; 0.6296931; -1.6201600; -0.0381904; 5.0331190; 4.5245494
18.1828211; 4.2901521; 0.6191876; -1.6260490; -0.0207675; 5.2096447; 4.7557407
18.3826324; 4.4896007; 0.6078495; -1.6286042; -0.0051881; 5.3889608; 4.7176290
18.5824436; 4.6891045; 0.5962991; -1.6282105; 0.0068469; 5.5611302; 4.6798228
18.7822548; 4.8885858; 0.5849886; -1.6265700; 0.0095700; 5.7268081; 4.6423196
18.9820660; 5.0880656; 0.5740539; -1.6245329; 0.0101781; 5.8865530; 4.6051168
19.1818773; 5.2876560; 0.5635197; -1.6225305; 0.0098798; 6.0408455; 4.5682123
19.3816885; 5.4871740; 0.5533851; -1.6205712; 0.0097363; 6.1901030; 4.5316034
19.5814997; 5.6867467; 0.5436370; -1.6186340; 0.0096957; 6.3346906; 4.4952880
19.7813109; 5.8863986; 0.5342730; -1.6166925; 0.0097354; 6.4749304; 4.4592636
19.9811221; 6.0859682; 0.5253028; -1.6147279; 0.0099345; 6.6111077; 4.4235278
20.1809334; 6.2856159; 0.5167263; -1.6127194; 0.0102021; 6.7434773; 4.3880785
20.3807446; 6.4852759; 0.5085573; -1.6106459; 0.0105525; 6.8722675; 4.3529132
20.5805558; 6.6849443; 0.5008101; -1.6084929; 0.0110101; 6.9976841; 4.3180298
20.7803670; 6.8846366; 0.4935020; -1.6062439; 0.0115188; 7.1199132; 4.2834259
20.9801782; 7.0843303; 0.4866543; -1.6038848; 0.0120973; 7.2391241; 4.2490993
21.1799895; 7.2840785; 0.4802883; -1.6014049; 0.0127333; 7.3554709; 4.2150477
21.3798007; 7.4837823; 0.4744324; -1.5987945; 0.0134063; 7.4690950; 4.1333642
21.5796119; 7.6835493; 0.4691104; -1.5960440; 0.0141240; 7.5788631; 4.0368730
21.7794231; 7.8833433; 0.4643520; -1.5931476; 0.0148670; 7.6845553; 3.9378634
21.9792344; 8.0830331; 0.4601896; -1.5901020; 0.0156335; 7.7862731; 3.8364379
22.1790456; 8.2828983; 0.4566482; -1.5868981; 0.0164260; 7.8841091; 3.7324689
22.3788568; 8.4827035; 0.4537641; -1.5835357; 0.0172212; 7.9781423; 3.6274356
22.5786680; 8.6823901; 0.4515687; -1.5800176; 0.0180151; 8.0684793; 1.9862606
22.7784792; 8.8823280; 0.4500837; -1.5764399; 0.0177452; 8.1175189; -6.1522411
22.9782905; 9.0821101; 0.4493057; -1.5730176; 0.0152721; 7.9646431; -6.3039193
23.1781017; 9.2818402; 0.4491308; -1.5705075; 0.0098465; 7.8048928; -6.6230849
23.3779129; 9.4817800; 0.4493460; -1.5691337; 0.0038330; 7.6334539; -6.8967734
23.5777241; 9.6814945; 0.4497124; -1.5690384; -0.0038993; 7.4507391; -6.2981523
23.7775353; 9.8812491; 0.4499156; -1.5708701; -0.0144276; 7.2798784; -5.9878357
23.9773466; 10.0807178; 0.4495657; -1.5744106; -0.0202939; 7.1136317; -5.7968116
24.1771578; 10.2805102; 0.4484081; -1.5789056; -0.0242614; 6.9489007; -5.6855605
