# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,0.1288819,-15.6581195,-2.4891424,0.2200069,4.8993136,0.2377654,1.3473,0.1750
0.1997047,0.2534762,-15.8140398,-2.4459511,0.2116243,4.9089958,0.4169746,1.5039,0.1839
0.3994094,0.3846477,-15.9647061,-2.4050495,0.1968906,4.9259297,0.7358982,1.6574,0.1938
0.5991141,0.5205553,-16.1088456,-2.3661166,0.1960862,4.9556743,0.6918880,1.4595,0.3163
0.7988188,0.6639957,-16.2495408,-2.3271034,0.1915212,4.9834781,0.7455318,1.2617,0.4388
0.9985235,0.8102704,-16.3823832,-2.2889337,0.1958312,5.0132651,0.5742087,1.2044,0.5925
1.1982282,0.9642197,-16.5116088,-2.2491530,0.1996120,5.0360869,0.4288056,1.1471,0.7463
1.3979329,1.1211796,-16.6330346,-2.2091804,0.2036872,5.0530625,0.2871314,1.0316,0.8684
1.5976376,1.2842755,-16.7489413,-2.1679551,0.2083148,5.0643976,0.1427832,0.9119,0.9881
1.7973423,1.4520926,-16.8579745,-2.1258821,0.2114055,5.0700249,0.0503121,0.8001,1.0999
1.9970470,1.6232880,-16.9592019,-2.0836279,0.2136370,5.0720062,-0.0117443,0.6906,1.2094
2.1967518,1.8012539,-17.0543950,-2.0402083,0.2163275,5.0715438,-0.0798498,0.5940,1.3060
2.3964565,1.9795467,-17.1400978,-1.9975907,0.2147334,5.0683985,-0.0313616,0.5093,1.3907
2.5961612,2.1639648,-17.2192165,-1.9545522,0.2143631,5.0671627,-0.0189110,0.4312,1.4688
2.7958659,2.3504846,-17.2899371,-1.9120000,0.2106377,5.0664173,0.0784843,0.3898,1.5102
2.9955706,2.5396552,-17.3527113,-1.8705876,0.2050693,5.0695100,0.2143597,0.3485,1.5515
3.1952753,2.7331549,-17.4082086,-1.8297805,0.2001216,5.0779473,0.3226654,0.3082,1.5937
3.3949800,2.9256689,-17.4552294,-1.7913173,0.1882064,5.0906212,0.6030663,0.2686,1.6362
3.5946847,3.1217707,-17.4954015,-1.7547575,0.1772293,5.1142248,0.8400117,0.2315,1.6785
3.7943894,3.3189996,-17.5285670,-1.7204776,0.1635505,5.1469218,1.1361835,0.2253,1.7191
3.9940941,3.5161689,-17.5551484,-1.6897147,0.1458770,5.1908194,1.5290695,0.2191,1.7598
4.1937988,3.7158017,-17.5761557,-1.6621236,0.1292075,5.2493172,1.8870636,0.2113,1.7749
4.3935035,3.9143065,-17.5918890,-1.6384014,0.1075590,5.3206242,2.3874123,0.2009,1.7494
4.5932082,4.1134821,-17.6033828,-1.6192335,0.0847959,5.4094913,2.9318350,0.1905,1.7238
4.7929129,4.3143178,-17.6115519,-1.6043937,0.0630482,5.5166656,3.4709163,0.1840,1.7160
4.9926176,4.5129035,-17.6171312,-1.5941234,0.0404661,5.6409144,4.0742734,0.1800,1.7200
5.1923223,4.7126920,-17.6211312,-1.5882342,0.0186151,5.7833571,4.6292670,0.1760,1.7240
5.3920270,4.9131071,-17.6243946,-1.5865816,0.0004626,5.9410598,4.5921887,0.1854,1.7146
5.5917317,5.1121362,-17.6275521,-1.5868605,-0.0032485,6.0934682,4.5554073,0.1995,1.7005
5.7914364,5.3120605,-17.6308533,-1.5878748,-0.0068827,6.2409797,4.5189206,0.2136,1.6864
5.9911411,5.5120823,-17.6344302,-1.5895583,-0.0089109,6.3839429,4.4827261,0.2130,1.6870
6.1908459,5.7113898,-17.6383399,-1.5912271,-0.0078375,6.5226659,4.4468215,0.2090,1.6910
6.3905506,5.9113090,-17.6425747,-1.5926894,-0.0067937,6.6574223,4.4112044,0.2051,1.6949
6.5902553,6.1111625,-17.6470800,-1.5939527,-0.0059353,6.7884570,4.3758727,0.2005,1.6995
6.7899600,6.3107155,-17.6518157,-1.5950728,-0.0052917,6.9159897,4.3408239,0.1959,1.7041
6.9896647,6.5105164,-17.6567687,-1.5960679,-0.0046687,7.0402187,4.3060559,0.1913,1.7087
7.1893694,6.7102356,-17.6619052,-1.5969149,-0.0036187,7.1613238,4.2715663,0.1863,1.7137
7.3890741,6.9098496,-17.6671829,-1.5974986,-0.0022275,7.2794686,4.2373530,0.1812,1.7188
7.5887788,7.1095090,-17.6725508,-1.5978047,-0.0008374,7.3948023,4.2034137,0.1761,1.7239
7.7884835,7.3090759,-17.6779590,-1.5980485,-0.0026977,7.5074619,4.1697463,0.1837,1.7163
7.9881882,7.5086560,-17.6834764,-1.5989364,-0.0061942,7.6175731,4.1363485,0.1947,1.7053
8.1878929,7.7083661,-17.6892446,-1.6005219,-0.0096733,7.7252519,4.1032182,0.2057,1.6943
8.3875976,7.9080173,-17.6953981,-1.6028173,-0.0133660,7.8306054,3.9507699,0.2159,1.6841
8.5873023,8.1076595,-17.7020850,-1.6058655,-0.0171613,7.9307222,-2.6919548,0.2258,1.6742
8.7870070,8.3072022,-17.7094535,-1.6096758,-0.0210157,7.8626435,-5.7311123,0.2357,1.6643
8.9867117,8.5070531,-17.7176725,-1.6142391,-0.0245702,7.7157050,-5.5362049,0.2321,1.6679
9.1864164,8.7066160,-17.7268619,-1.6195030,-0.0281447,7.5710561,-5.3506880,0.2231,1.6769
9.3861211,8.9056775,-17.7371492,-1.6254773,-0.0318198,7.4285783,-5.3504765,0.2142,1.6858
9.5858258,9.1056331,-17.7487328,-1.6318298,-0.0314496,7.2833196,-5.3952415,0.2028,1.6972
9.7855305,9.3049362,-17.7615370,-1.6380596,-0.0309447,7.1338513,-5.4452497,0.1905,1.7095
9.9852352,9.5036318,-17.7755342,-1.6441656,-0.0291870,6.9797529,-5.5522694,0.1782,1.7218
10.1849399,9.7035509,-17.7907108,-1.6484352,-0.0133417,6.8190411,-6.3132839,0.1893,1.7107
10.3846447,9.9025131,-17.8063486,-1.6494902,0.0028466,6.6315712,-6.0245449,0.2087,1.6913
10.5843494,10.1012345,-17.8218526,-1.6472714,0.0194630,6.4475947,-5.3468316,0.2281,1.6719
10.7840541,10.3012401,-17.8366712,-1.6416594,0.0366163,6.2798011,-4.7100650,0.2207,1.6793
10.9837588,10.5000798,-17.8499396,-1.6326035,0.0544017,6.1281855,-4.1612936,0.2074,1.6926
11.1834635,10.6994727,-17.8610719,-1.6199702,0.0712815,5.9910432,-3.6991850,0.1940,1.7060
11.3831682,10.8997011,-17.8693896,-1.6041343,0.0869083,5.8664392,-3.2416098,0.1871,1.7129
11.5828729,11.0984198,-17.8741923,-1.5852419,0.1033372,5.7550308,-2.7812714,0.1804,1.7196
11.7825776,11.2988442,-17.8748971,-1.5628087,0.1206089,5.6576951,-2.3044711,0.1759,1.7241
11.9822823,11.4987640,-17.8707689,-1.5368807,0.1389225,5.5757588,-1.8084007,0.1805,1.7195
12.1819870,11.6967384,-17.8611964,-1.5074423,0.1580858,5.5106074,-1.5030427,0.1851,1.7149
12.3816917,11.8974317,-17.8451679,-1.4743198,0.1711281,5.4558651,-1.1605322,0.1981,1.7019
12.5813964,12.0953571,-17.8225100,-1.4388433,0.1852065,5.4132187,-0.8954929,0.2186,1.6814
12.7811011,12.2925907,-17.7925191,-1.4005628,0.1964038,5.3800807,-0.7513271,0.2392,1.6608
12.9808058,12.4894889,-17.7546216,-1.3605061,0.2032840,5.3521194,-0.5698983,0.3170,1.6216
13.1805105,12.6823707,-17.7093212,-1.3194667,0.2111361,5.3308122,-0.5695476,0.3978,1.5814
13.3802152,12.8762317,-17.6551096,-1.2767416,0.2126905,5.3094328,-0.5610704,0.4691,1.5309
13.5799199,13.0656662,-17.5933215,-1.2342157,0.2142932,5.2882870,-0.5537333,0.5306,1.4694
13.7796246,13.2526053,-17.5233772,-1.1913167,0.2141125,5.2673345,-0.4968921,0.5954,1.3984
13.9793293,13.4372270,-17.4451380,-1.1487073,0.2109272,5.2484616,-0.3626744,0.6809,1.2681
14.1790340,13.6159359,-17.3603803,-1.1072545,0.2080828,5.2346436,-0.2512758,0.7665,1.1378
14.3787387,13.7945433,-17.2664062,-1.0658424,0.2021771,5.2250485,-0.0671471,0.8736,1.0264
14.5784435,13.9659087,-17.1672010,-1.0264216,0.1958990,5.2224815,0.1100449,0.9830,0.9170
14.7781482,14.1357319,-17.0598096,-0.9875589,0.1909682,5.2266879,0.2352534,1.1167,0.7825
14.9778529,14.2996063,-16.9472118,-0.9502370,0.1839680,5.2356689,0.4073170,1.2575,0.6408
