# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,-0.0023730,1.2194189,1.3175533,-0.6245786,2.8007982,-0.4720627,0.1468,1.0568
0.0998720,-0.0977826,1.2475216,1.2493430,-0.7333192,2.7839143,-0.4535591,0.1556,1.0229
0.1997440,-0.1909299,1.2824017,1.1755769,-0.7441713,2.7675952,-0.3665729,0.1488,0.9910
0.2996161,-0.2815416,1.3242434,1.1005064,-0.7626264,2.7543352,-0.2542159,0.1383,0.9635
0.3994881,-0.3689700,1.3730219,1.0229154,-0.7825403,2.7451019,-0.1505118,0.1300,0.9419
0.4993601,-0.4525055,1.4286395,0.9435707,-0.7994116,2.7396205,-0.1505118,0.1251,0.9273
0.5992321,-0.5306882,1.4901317,0.8655400,-0.7721069,2.7341282,0.0782391,0.1265,0.9159
0.6991041,-0.6041725,1.5576967,0.7895906,-0.7463439,2.7369846,0.2588521,0.1318,0.8912
0.7989761,-0.6726098,1.6307751,0.7159927,-0.7239917,2.7464138,0.3878246,0.1418,0.8515
0.8988482,-0.7353913,1.7083785,0.6447322,-0.7053899,2.7604808,0.4719368,0.1571,0.7969
0.9987202,-0.7925385,1.7901830,0.5750935,-0.6896535,2.7775027,0.5249505,0.1769,0.7311
1.0985922,-0.8440268,1.8759245,0.5066666,-0.6779974,2.7963148,0.5416774,0.1962,0.6625
1.1984642,-0.8895201,1.9648170,0.4395691,-0.6669786,2.8155947,0.5535027,0.2139,0.5946
1.2983362,-0.9289900,2.0565261,0.3734657,-0.6561769,2.8351600,0.5643705,0.2297,0.5300
1.3982083,-0.9623956,2.1507212,0.3082694,-0.6477165,2.8549715,0.5570993,0.2437,0.4747
1.4980803,-0.9896181,2.2467952,0.2441139,-0.6381288,2.8743937,0.5620064,0.2545,0.4319
1.5979523,-1.0106744,2.3444515,0.1807945,-0.6282420,2.8938550,0.5709166,0.2632,0.4008
1.6978243,-1.0255546,2.4432040,0.1184423,-0.6199989,2.9134917,0.5669577,0.2701,0.3811
1.7976963,-1.0343006,2.5427147,0.0570567,-0.6098123,2.9328621,0.5820959,0.2743,0.3717
1.8975684,-1.0369701,2.6426217,-0.0034529,-0.5997457,2.9526176,0.5966217,0.2761,0.3700
1.9974404,-1.0336556,2.7423400,-0.0628678,-0.5911048,2.9727298,0.5991195,0.2764,0.3754
2.0973124,-1.0244499,2.8418814,-0.1213941,-0.5805708,2.9927901,0.6203327,0.2751,0.3881
2.1971844,-1.0094811,2.9407349,-0.1789973,-0.5705616,3.0134201,0.6368013,0.2709,0.4097
2.2970564,-0.9889613,3.0383025,-0.2354516,-0.5617345,3.0344518,0.6429554,0.2608,0.4390
2.3969284,-0.9629384,3.1348226,-0.2910836,-0.5519317,3.0555399,0.6597612,0.2477,0.4757
2.4968005,-0.9316026,3.2298402,-0.3458586,-0.5420796,3.0770290,-0.0556803,0.2330,0.5212
2.5966725,-0.8952771,3.3227399,-0.3994696,-0.5328716,3.0752213,-1.1299916,0.2187,0.5773
2.6965445,-0.8541110,3.4134826,-0.4522017,-0.5261461,3.0383016,-1.2998126,0.2058,0.6458
2.7964165,-0.8080009,3.5024040,-0.5043212,-0.5127356,2.9952708,-1.5667369,0.1926,0.7180
2.8962885,-0.7575700,3.5885279,-0.5552463,-0.5166892,2.9425670,-1.6982553,0.1783,0.7909
2.9961606,-0.7028437,3.6718323,-0.6075049,-0.5352749,2.8843516,-1.6103896,0.1629,0.8617
3.0960326,-0.6437308,3.7521039,-0.6625486,-0.5689044,2.8280415,-1.4546908,0.1470,0.9272
3.1959046,-0.5799568,3.8291116,-0.7214771,-0.6097979,2.7761939,-1.2418665,0.1333,0.9817
3.2957766,-0.5116730,3.9020157,-0.7847069,-0.6579416,2.7311531,-0.9573848,0.1267,1.0171
3.3956486,-0.4387885,3.9702375,-0.8530821,-0.7138674,2.6959164,-0.5985784,0.1250,1.0409
3.4955207,-0.3612543,4.0330710,-0.9274505,-0.7756658,2.6736497,-0.2018156,0.1272,1.0519
3.5953927,-0.2791126,4.0897046,-1.0079456,-0.8357695,2.6661004,-0.1419733,0.1337,1.0485
3.6952647,-0.1924779,4.1394159,-1.0919715,-0.8474896,2.6607768,-0.1419733,0.1456,1.0301
3.7951367,-0.1019671,4.1816735,-1.1753659,-0.8138935,2.6554425,0.1195270,0.1582,0.9960
3.8950087,-0.0083287,4.2164362,-1.2545701,-0.7716461,2.6599341,0.3985276,0.1686,0.9529
3.9948807,0.0876353,4.2438599,-1.3296717,-0.7319564,2.6748557,0.6194799,0.1755,0.9061
4.0947528,0.1852823,4.2642055,-1.4003486,-0.6922791,2.6978863,0.8152229,0.1793,0.8603
4.1946248,0.2842069,4.2777545,-1.4687220,-0.6758339,2.7278978,0.8216049,0.1812,0.8205
4.2944968,0.3838370,4.2845801,-1.5360637,-0.6758052,2.7578138,0.7076209,0.1837,0.7924
4.3943688,0.4837728,4.2846906,-1.6031464,-0.6674637,2.7833218,0.6738870,0.1915,0.7879
4.4942408,0.5835583,4.2781344,-1.6694197,-0.6554640,2.8073983,0.6759191,0.1991,0.8049
4.5941129,0.6827079,4.2650475,-1.7343361,-0.6384909,2.8313417,0.7207816,0.2019,0.8367
4.6939849,0.7807801,4.2456604,-1.7972003,-0.6140229,2.8566532,0.8256403,0.1972,0.8781
4.7938569,0.8774331,4.2203062,-1.8568712,-0.5755244,2.8853742,1.0415856,0.1855,0.9268
4.8937289,0.9724358,4.1894612,-1.9116300,-0.5142137,2.9212044,1.4408658,0.1712,0.9823
4.9936009,1.0657816,4.1538029,-1.9579551,-0.4058921,2.9700571,2.1286788,0.1591,1.0481
5.0934730,1.1575206,4.1144675,-1.9912278,-0.2528136,3.0407943,-3.8372860,0.1489,1.1220
5.1933450,1.2476751,4.0730929,-2.0106651,-0.2484246,2.9120363,-1.9828799,0.1391,1.1966
5.2932170,1.3368409,4.0293642,-2.0475066,-0.5169828,2.8432177,-0.5759878,0.1298,1.2629
5.3930890,1.4241082,3.9809968,-2.1093134,-0.7007064,2.8229128,-0.1591653,0.1250,1.2963
5.4929610,1.5078150,3.9267671,-2.1828362,-0.7559489,2.8172760,-0.1591653,0.1293,1.2766
5.5928330,1.5871814,3.8664764,-2.2575920,-0.7336763,2.8116280,0.0415763,0.1440,1.2048
5.6927051,1.6620183,3.8004602,-2.3291334,-0.6996149,2.8131044,0.3048632,0.1663,1.0927
5.7925771,1.7322603,3.7291578,-2.3977837,-0.6718628,2.8239071,0.4823477,0.1955,0.9600
5.8924491,1.7977755,3.6530009,-2.4642413,-0.6524271,2.8409149,0.5725458,0.2319,0.8295
5.9923211,1.8576276,3.5734764,-2.5283487,-0.6379137,2.8609718,0.6144336,0.2726,0.7073
6.0921931,1.9123892,3.4901820,-2.5914778,-0.6284334,2.8823409,0.6124426,0.3157,0.5969
6.1920652,1.9620619,3.4031618,-2.6542891,-0.6247027,2.9034843,0.5645627,0.3591,0.4998
6.2919372,2.0060980,3.3134071,-2.7166452,-0.6242064,2.9228392,0.4960951,0.3983,0.4184
6.3918092,2.0443419,3.2213692,-2.7789012,-0.6248059,2.9397417,0.4270729,0.4339,0.3544
6.4916812,2.0769027,3.1267194,-2.8417089,-0.6292132,2.9542150,0.3335987,0.4657,0.3079
6.5915532,2.1033891,3.0304206,-2.9047446,-0.6341429,2.9654714,0.2469835,0.4943,0.2806
6.6914253,2.1237150,2.9327077,-2.9683171,-0.6386697,2.9737778,0.1746778,0.5213,0.2787
6.7912973,2.1377940,2.8336717,-3.0325696,-0.6454527,2.9796384,0.0914727,0.5435,0.2990
6.8911693,2.1454475,2.7341780,-3.0971334,-0.6493410,2.9827028,0.0447208,0.5600,0.3259
6.9910413,2.1466379,2.6343008,3.1209142,-0.6529523,2.9841999,-0.0353924,0.5705,0.3574
7.0909133,2.1413076,2.5345041,3.0554789,-0.6571940,2.9830152,-0.3232590,0.5742,0.3938
7.1907853,2.1294681,2.4353953,2.9899361,-0.6562437,2.9721727,-0.3729757,0.5706,0.4387
7.2906574,2.1111442,2.3371935,2.9242926,-0.6561336,2.9596133,-0.4179420,0.5610,0.4896
7.3905294,2.0864371,2.2404367,2.8589087,-0.6539908,2.9454761,-0.4852522,0.5450,0.5461
7.4904014,2.0554570,2.1454635,2.7937406,-0.6492415,2.9289765,-0.5875650,0.5204,0.6084
7.5902734,2.0184047,2.0527529,2.7290678,-0.6458890,2.9088727,-0.6841501,0.4872,0.6777
7.6901454,1.9754213,1.9625441,2.6649085,-0.6390799,2.8852878,-0.8257448,0.4465,0.7552
7.7900175,1.9267657,1.8752654,2.6012459,-0.6334118,2.8565623,-0.9740729,0.4000,0.8421
7.8898895,1.8727939,1.7914024,2.5383181,-0.6295518,2.8223010,-1.1216151,0.3511,0.9397
7.9897615,1.8134181,1.7107676,2.4755283,-0.6252944,2.7823276,-1.2930529,0.3018,1.0464
8.0896335,1.7492728,1.6341985,2.4129681,-0.6252261,2.7355196,-1.4499883,0.2538,1.1566
8.1895055,1.6805697,1.5618837,2.3505890,-0.6278913,2.6820590,-1.6062630,0.2099,1.2682
8.2893776,1.6070009,1.4935986,2.2872650,-0.6338486,2.6215643,-1.7660347,0.1733,1.3787
8.3892496,1.5296996,1.4304997,2.2232125,-0.6499371,2.5533986,-1.8845358,0.1463,1.4839
8.4891216,1.4487651,1.3727527,2.1573699,-0.6786688,2.4785923,-1.9510521,0.1286,1.5759
8.5889936,1.3630138,1.3199672,2.0871252,-0.7200687,2.3986889,-1.8816157,0.1251,1.6506
8.6888656,1.2740762,1.2737589,2.0117300,-0.7858560,2.3190229,-1.6171242,0.1359,1.7123
8.7887376,1.1821265,1.2348695,1.9283990,-0.8871159,2.2483007,-1.0558988,0.1467,1.7471
8.8886097,1.0871160,1.2043290,1.8325957,-1.0407297,2.2008968,-0.0967504,0.1599,1.7523
8.9884817,0.9892347,1.1838361,1.7182208,-1.2436209,2.1965021,-0.0967504,0.1743,1.7253
9.0883537,0.8902709,1.1755587,1.5902801,-1.2236541,2.1920985,0.0236171,0.1880,1.6715
9.1882257,0.7917556,1.1768275,1.5672724,0.8322015,2.1931743,1.9006422,0.1997,1.6002
9.2880977,0.6922335,1.1733036,1.6318706,0.2198781,2.2780815,4.7548379,0.2140,1.5239
9.3879698,0.5929613,1.1671368,1.6259180,-0.2628924,2.4777824,4.2628805,0.2383,1.4563
9.4878418,0.4926413,1.1633207,1.5886859,-0.4501006,2.6440293,2.7132041,0.2548,1.3918
9.5877138,0.3925130,1.1639240,1.5397498,-0.5190377,2.7446014,1.9391143,0.2635,1.3290
