# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,1.8651908,0.4584929,-0.8147353,0.3410388,3.2245683,2.2454204,0.6882,0.4015
0.0498997,1.9024606,0.4942621,-0.7971859,0.3364329,3.2591306,2.2134258,0.6554,0.3345
0.0997993,1.9379593,0.5295142,-0.7807222,0.3195173,3.2928453,2.3180912,0.6226,0.2675
0.1496990,1.9720174,0.5644173,-0.7658117,0.2897495,3.3277882,2.5691876,0.5898,0.2005
0.1995986,2.0060568,0.6003080,-0.7522631,0.2626790,3.3660923,2.7964773,0.5794,0.1644
0.2494983,2.0399711,0.6370134,-0.7397389,0.2371766,3.4072957,3.0136455,0.6514,0.2417
0.2993979,2.0732423,0.6738856,-0.7287449,0.2044827,3.4511482,3.3256786,0.7234,0.3191
0.3492976,2.1060037,0.7109410,-0.7193808,0.1859355,3.4989033,3.4782159,0.7954,0.3964
0.3991972,2.1383618,0.7482329,-0.7098773,0.1982513,3.5481612,3.2516634,0.8107,0.4247
0.4490969,2.1707221,0.7862762,-0.6997646,0.2058892,3.5936001,3.0821851,0.7819,0.4147
0.4989965,2.2030466,0.8250820,-0.6892683,0.2111576,3.6361465,2.9430286,0.7531,0.4048
0.5488962,2.2337908,0.8627979,-0.6783447,0.2369915,3.6763125,2.5259663,0.7243,0.3948
0.5987959,2.2647362,0.9016763,-0.6660172,0.2583607,3.7104398,2.1669706,0.7035,0.4047
0.6486955,2.2958622,0.9418397,-0.6524373,0.2753624,3.7394686,1.8690147,0.6831,0.4158
0.6985952,2.3256874,0.9814416,-0.6384471,0.2889443,3.7643262,1.6214545,0.6628,0.4268
0.7484948,2.3546544,1.0210662,-0.6239611,0.3010288,3.7857591,1.3982585,0.6421,0.4393
0.7983945,2.3836347,1.0619774,-0.6085934,0.3117563,3.8041447,1.1982087,0.6204,0.4557
0.8482941,2.4125563,1.1042039,-0.5923884,0.3212472,3.8198295,1.0200490,0.5986,0.4721
0.8981938,2.4396445,1.1451493,-0.5765158,0.3245589,3.8331316,0.9366458,0.5769,0.4885
0.9480934,2.4662171,1.1867451,-0.5604259,0.3275030,3.8453055,0.8608997,0.5525,0.5052
0.9979931,2.4925360,1.2294630,-0.5439043,0.3311595,3.8564610,0.7766586,0.5254,0.5222
1.0478928,2.5185298,1.2732798,-0.5269249,0.3354804,3.8664973,0.6848395,0.4984,0.5393
1.0977924,2.5430463,1.3162364,-0.5103194,0.3349403,3.8753255,0.6686514,0.4714,0.5563
1.1476921,2.5668438,1.3595863,-0.4937801,0.3341809,3.8839257,0.6564173,0.4500,0.5749
1.1975917,2.5901764,1.4038169,-0.4770597,0.3347385,3.8923500,0.6247639,0.4322,0.5945
1.2474914,2.6129898,1.4488851,-0.4601103,0.3365363,3.9003512,0.5752923,0.4143,0.6141
1.2973910,2.6348442,1.4939351,-0.4432292,0.3362985,3.9077044,0.5584511,0.3964,0.6337
1.3472907,2.6557114,1.5388500,-0.4266355,0.3340245,3.9148291,0.5734406,0.3863,0.6534
1.3971903,2.6759663,1.5844121,-0.4100100,0.3330478,3.9221315,0.5682017,0.3819,0.6731
1.4470900,2.6955734,1.6305737,-0.3933048,0.3333143,3.9293539,0.5440640,0.3774,0.6927
1.4969896,2.7144830,1.6772515,-0.3764863,0.3345467,3.9362570,0.5057826,0.3730,0.7124
1.5468893,2.7323609,1.7235913,-0.3599539,0.3313282,3.9426635,0.5379139,0.3658,0.7312
1.5967890,2.7495284,1.7703721,-0.3435015,0.3291606,3.9494657,0.5528616,0.3546,0.7487
1.6466886,2.7659671,1.8175492,-0.3270896,0.3280160,3.9564447,0.5515101,0.3433,0.7661
1.6965883,2.7816588,1.8650777,-0.3106793,0.3278756,3.9633943,0.5345578,0.3321,0.7836
