# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,2.3650263,0.9553830,-0.9656367,-0.0970922,4.3295987,3.8040539,0.6328,0.8153
0.0499358,2.4069655,0.9842408,-0.9705863,-0.0973298,4.3732530,3.7550044,0.6326,0.8136
0.0998716,2.4485267,1.0125380,-0.9754820,-0.0973760,4.4159212,3.7100831,0.6325,0.8119
0.1498074,2.4897208,1.0402929,-0.9803158,-0.0972190,4.4576779,3.6696915,0.6323,0.8102
0.1997432,2.5305587,1.0675238,-0.9850796,-0.0968474,4.4985987,3.6342322,0.6322,0.8085
0.2496790,2.5727081,1.0953355,-0.9900165,-0.0991435,4.5387605,3.5445007,0.6371,0.8010
0.2996149,2.6148342,1.1228306,-0.9950751,-0.1019680,4.5775913,3.4431201,0.6443,0.7911
0.3495507,2.6566126,1.1497961,-1.0002143,-0.1047327,4.6149986,3.3422781,0.6515,0.7811
0.3994865,2.6980600,1.1762449,-1.0054301,-0.1074233,4.6510225,3.2424201,0.6586,0.7711
0.4494223,2.7407408,1.2031596,-1.0109710,-0.1125359,4.6857055,3.0888895,0.6679,0.7633
0.4993581,2.7833627,1.2297008,-1.0167601,-0.1180682,4.7185091,2.9248126,0.6786,0.7570
0.5492939,2.8256918,1.2557147,-1.0227631,-0.1235841,4.7493615,2.7600487,0.6894,0.7507
0.5992297,2.8678339,1.2812599,-1.0289885,-0.1291897,4.7782931,2.5924667,0.7001,0.7444
0.6491655,2.9111905,1.3071595,-1.0357156,-0.1372133,4.8053094,2.3685542,0.7125,0.7424
0.6991013,2.9543248,1.3325243,-1.0427804,-0.1451468,4.8298602,2.1462820,0.7259,0.7430
0.7490371,2.9972739,1.3573641,-1.0501754,-0.1529292,4.8519999,1.9276581,0.7393,0.7436
0.7989729,3.0405103,1.3819336,-1.0579774,-0.1611962,4.8717985,1.6981435,0.7526,0.7443
0.8489087,3.0843424,1.4063765,-1.0662959,-0.1702429,4.8891735,1.4511516,0.7592,0.7367
0.8988446,3.1281140,1.4302994,-1.0750037,-0.1788083,4.9039725,1.2175847,0.7641,0.7271
0.9487804,3.1718767,1.4537144,-1.0840791,-0.1867912,4.9163552,1.0004500,0.7690,0.7175
0.9987162,3.2161286,1.4768642,-1.0936103,-0.1949016,4.9265064,0.7829411,0.7742,0.7076
1.0486520,3.2605967,1.4995789,-1.1035289,-0.2021850,4.9344360,0.5887915,0.7860,0.6911
1.0985878,3.3052437,1.5218201,-1.1137717,-0.2083116,4.9403909,0.4261871,0.7978,0.6747
1.1485236,3.3500666,1.5435712,-1.1242743,-0.2128009,4.9446968,0.3067040,0.8097,0.6583
1.1984594,3.3950175,1.5647998,-1.1349106,-0.2148694,4.9477931,0.2489344,0.8213,0.6460
1.2483952,3.4403594,1.5856229,-1.1456526,-0.2154709,4.9503049,0.2283527,0.8328,0.6413
1.2983310,3.4861676,1.6060655,-1.1564459,-0.2146231,4.9526078,0.2437779,0.8442,0.6365
1.3482668,3.5315991,1.6257601,-1.1670402,-0.2132674,4.9550652,0.2713502,0.8557,0.6318
1.3982026,3.5772873,1.6449954,-1.1775521,-0.2105583,4.9577990,0.3316148,0.8455,0.6181
1.4481384,3.6236715,1.6639536,-1.1880007,-0.2062214,4.9611380,0.4307206,0.8239,0.5996
1.4980743,3.6706802,1.6826003,-1.1982867,-0.1992021,4.9654715,0.5940557,0.8023,0.5811
