s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,2.4123616,0.8637843,-1.0982895,0.0703357,5.0200631,3.7220999,0.5297,0.9184
0.0499102,2.4575855,0.8870016,-1.0947022,0.0707649,5.0569333,3.6775414,0.5264,0.9249
0.0998203,2.5021762,0.9100956,-1.0911426,0.0709656,5.0931000,3.6389948,0.5230,0.9313
0.1497305,2.5461702,0.9330785,-1.0876202,0.0709234,5.1286366,3.6070437,0.5197,0.9378
0.1996406,2.5896040,0.9559627,-1.0841446,0.0706252,5.1636198,3.5822379,0.5164,0.9442
0.2495508,2.6341507,0.9796331,-1.0806249,0.0687085,5.1981294,3.6016033,0.5162,0.9387
0.2994610,2.6783961,1.0033398,-1.0772347,0.0663192,5.2325962,3.6351115,0.5169,0.9299
0.3493711,2.7221271,1.0269576,-1.0740036,0.0636501,5.2671549,3.6778182,0.5176,0.9211
0.3992813,2.7653709,1.0504885,-1.0709414,0.0607002,5.3018904,3.7300115,0.5183,0.9123
0.4491914,2.8095724,1.0747135,-1.0679830,0.0565581,5.3368879,3.8179203,0.5250,0.9070
0.4991016,2.8534374,1.0989164,-1.0652623,0.0519942,5.3724742,3.9204523,0.5336,0.9030
0.5490117,2.8968759,1.1230312,-1.0627992,0.0470950,5.4087725,4.0355830,0.5422,0.8989
0.5989219,2.9400495,1.1471308,-1.0605986,0.0418515,5.4458840,4.1640429,0.5507,0.8948
0.6488321,2.9839321,1.1717462,-1.0586361,0.0361006,5.4839136,4.3112603,0.5631,0.8956
0.6987422,3.0274721,1.1962732,-1.0569818,0.0300496,5.5230119,4.4716719,0.5760,0.8970
0.7486524,3.0707060,1.2207131,-1.0556453,0.0237246,5.5632746,4.6450685,0.5888,0.8984
0.7985625,3.1139964,1.2452522,-1.0546256,0.0173797,5.6047922,4.6700462,0.6011,0.8985
0.8484727,3.1575482,1.2699894,-1.0539097,0.0111690,5.6462254,4.6606980,0.6091,0.8902
0.8983829,3.2009023,1.2946464,-1.0535111,0.0047889,5.6872747,4.6513684,0.6171,0.8818
0.9482930,3.2441014,1.3192288,-1.0534342,-0.0017176,5.7279486,4.6420576,0.6251,0.8734
0.9982032,3.2874741,1.3439053,-1.0536672,-0.0074016,5.7682551,4.6327654,0.6350,0.8591
1.0481133,3.3308705,1.3685741,-1.0541718,-0.0128161,5.8082020,4.6234918,0.6472,0.8377
1.0980235,3.3742435,1.3931928,-1.0549456,-0.0182086,5.8477970,4.6142367,0.6594,0.8164
1.1479337,3.4176168,1.4177598,-1.0559845,-0.0230148,5.8870471,4.5073680,0.6715,0.7950
1.1978438,3.4609321,1.4422295,-1.0571713,-0.0246763,5.9251372,4.4296588,0.6866,0.7841
1.2477540,3.5043709,1.4666985,-1.0584402,-0.0262013,5.9623335,4.3556679,0.7023,0.7753
1.2976641,3.5479877,1.4911928,-1.0597860,-0.0275751,5.9986836,4.2861233,0.7179,0.7665
1.3475743,3.5914233,1.5155067,-1.0611903,-0.0288618,6.0342396,4.2188936,0.7321,0.7596
1.3974844,3.6347601,1.5396839,-1.0626530,-0.0300606,6.0690344,4.1541375,0.7408,0.7601
1.4473946,3.6784143,1.5639525,-1.0641811,-0.0311013,6.1031013,4.0945957,0.7494,0.7606
