# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,1.3096609,4.2121803,-0.6356146,-0.3712774,3.1561504,-2.3908566,0.8745,0.4200
0.0499506,1.3396927,4.2520934,-0.6546584,-0.3912715,3.1180820,-2.2835601,0.8784,0.4200
0.0999013,1.3704987,4.2914119,-0.6747067,-0.4114923,3.0812830,-2.1797632,0.8823,0.4200
0.1498519,1.4021057,4.3300882,-0.6957690,-0.4318703,3.0457419,-2.0799145,0.8861,0.4200
0.1998025,1.4345404,4.3680746,-0.7178518,-0.4523161,3.0114378,-1.9542005,0.8900,0.4200
0.2497532,1.4678501,4.4053455,-0.7410130,-0.4759937,2.9788472,-1.7927357,0.8928,0.4239
0.2997038,1.5020546,4.4418306,-0.7655118,-0.5039566,2.9486326,-1.6202215,0.8943,0.4324
0.3496544,1.5371442,4.4774186,-0.7914278,-0.5333546,2.9210567,-1.4355586,0.8958,0.4409
0.3996050,1.5731294,4.5120204,-0.8188175,-0.5641416,2.8964043,-1.2394398,0.8973,0.4495
0.4495557,1.6100245,4.5455503,-0.8477381,-0.5960204,2.8749498,-1.1577602,0.8988,0.4580
0.4995063,1.6481507,4.5781855,-0.8780983,-0.6142170,2.8547635,-1.0558010,0.8831,0.4705
0.5494569,1.6871725,4.6095578,-0.9093556,-0.6346826,2.8362297,-0.9324031,0.8671,0.4830
0.5994076,1.7270544,4.6395885,-0.9416004,-0.6574028,2.8197607,-0.7861246,0.8511,0.4955
0.6493582,1.7677609,4.6681992,-0.9749221,-0.6823418,2.8058004,-0.7064049,0.8351,0.5080
0.6993088,1.8097204,4.6956047,-1.0096380,-0.6985503,2.7931962,-0.6635701,0.8192,0.5304
0.7492595,1.8527860,4.7216247,-1.0450558,-0.7099021,2.7813043,-0.5837044,0.8033,0.5584
0.7992101,1.8964992,4.7459534,-1.0809447,-0.7255446,2.7708015,-0.4624589,0.7875,0.5865
0.8491607,1.9407594,4.7685291,-1.1174766,-0.7457040,2.7624519,-0.3469919,0.7716,0.6145
0.8991113,1.9858335,4.7894522,-1.1551061,-0.7642154,2.7561704,-0.3436550,0.7206,0.6126
0.9490620,2.0327712,4.8090916,-1.1939094,-0.7620995,2.7499353,-0.3780600,0.6281,0.5754
0.9990126,2.0798774,4.8266988,-1.2323337,-0.7672172,2.7430595,-0.3021129,0.5356,0.5382
1.0489632,2.1269609,4.8422676,-1.2706729,-0.7803604,2.7375525,-0.1499842,0.4431,0.5011
1.0989139,2.1738491,4.8557973,-1.3092593,-0.8022237,2.7348145,-0.1499842,0.4197,0.5237
1.1488645,2.2241923,4.8681790,-1.3495984,-0.7541996,2.7320737,0.2207993,0.4754,0.6149
1.1988151,2.2737781,4.8783592,-1.3866350,-0.7093841,2.7361076,0.5392229,0.5310,0.7060
1.2487658,2.3223258,4.8865450,-1.4205295,-0.6677584,2.7459341,0.8137929,0.5867,0.7971
1.2987164,2.3705135,4.8930585,-1.4520218,-0.6248036,2.7606979,1.0852524,0.5880,0.8342
1.3486670,2.4227145,4.8984546,-1.4828930,-0.5483023,2.7802645,1.6066836,0.5620,0.8440
1.3986176,2.4726750,4.9022043,-1.5080761,-0.4524774,2.8089821,2.2715518,0.5359,0.8539
1.4485683,2.5202295,4.9047196,-1.5268586,-0.3299733,2.8490896,3.1587238,0.5104,0.8637
1.4985189,2.5712281,4.9066110,-1.5387805,-0.1180919,2.9039408,4.8350379,0.5061,0.8766
1.5484695,2.6212299,4.9081825,-1.5374322,0.1861411,2.9859502,4.1615899,0.5018,0.8896
1.5984202,2.6693156,4.9101357,-1.5201407,0.5375628,3.0547744,0.7965223,0.4975,0.9025
1.6483708,2.7181424,4.9132690,-1.4939076,0.4893035,3.0677712,1.2063298,0.4863,0.9083
1.6983214,2.7675313,4.9176239,-1.4729341,0.3516788,3.0873506,2.4567472,0.4678,0.9067
1.7482721,2.8177985,4.9229456,-1.4589852,0.1968845,3.1268460,3.8789615,0.4493,0.9050
1.7982227,2.8651187,4.9284225,-1.4533281,0.0481394,3.1882094,5.0961629,0.4307,0.9034
1.8481733,2.9149071,4.9343065,-1.4539597,-0.0675092,3.2670770,5.0653742,0.4325,0.9090
1.8981239,2.9671872,4.9403037,-1.4599904,-0.1569643,3.3436252,4.0209720,0.4362,0.9153
1.9480746,3.0145985,4.9453847,-1.4683692,-0.1932394,3.4031646,3.5297419,0.4398,0.9216
1.9980252,3.0638496,4.9501958,-1.4787274,-0.2245314,3.4545847,3.0810861,0.4423,0.9224
2.0479758,3.1148205,4.9545942,-1.4909438,-0.2524312,3.4988512,2.6642537,0.4409,0.9038
2.0979265,3.1654921,4.9583118,-1.5043271,-0.2683582,3.5366823,2.3925111,0.4394,0.8852
2.1478771,3.2143102,4.9612396,-1.5174706,-0.2695769,3.5703133,2.3080417,0.4379,0.8666
2.1978277,3.2641762,4.9635636,-1.5310119,-0.2733379,3.6024593,2.1924504,0.4364,0.8449
2.2477784,3.3149428,4.9652291,-1.5450432,-0.2795174,3.6327320,2.0466408,0.4346,0.8174
2.2977290,3.3655078,4.9661709,-1.5593361,-0.2828366,3.6607655,1.9409090,0.4329,0.7899
2.3476796,3.4150168,4.9663932,-1.5732537,-0.2798253,3.6871538,1.9231174,0.4311,0.7623
2.3976302,3.4649558,4.9659219,-1.5872074,-0.2793938,3.7131152,1.8714526,0.4304,0.7380
2.4475809,3.5152036,4.9647437,-1.6012915,-0.2814397,3.7382062,1.7868779,0.4319,0.7211
2.4975315,3.5655512,4.9628489,-1.6155701,-0.2848286,3.7620070,1.6850958,0.4334,0.7042
2.5474821,3.6154804,4.9602560,-1.6297855,-0.2841238,3.7843150,1.6438648,0.4349,0.6873
2.5974328,3.6653923,4.9569520,-1.6440179,-0.2852309,3.8059511,1.5778758,0.4374,0.6717
2.6473834,3.7151996,4.9529404,-1.6583362,-0.2881658,3.8266037,1.4867778,0.4477,0.6670
2.6973340,3.7648153,4.9482248,-1.6728103,-0.2929816,3.8459624,1.3697653,0.4579,0.6624
2.7472847,3.8148856,4.9427232,-1.6877064,-0.2985765,3.8637117,1.2434067,0.4682,0.6578
2.7972353,3.8646998,4.9364912,-1.7028616,-0.3054175,3.8797533,1.1008529,0.4784,0.6531
2.8471859,3.9141021,4.9295419,-1.7182990,-0.3137111,3.8939007,0.9393068,0.4890,0.6463
2.8971365,3.9630325,4.9218789,-1.7340733,-0.3235699,3.9059314,0.7575786,0.4996,0.6391
2.9470872,4.0124168,4.9133268,-1.7505496,-0.3334401,3.9156077,0.5802424,0.5103,0.6318
2.9970378,4.0617084,4.9039395,-1.7674882,-0.3414209,3.9230027,0.4369267,0.5209,0.6246
3.0469884,4.1105187,4.8937777,-1.7846721,-0.3475949,3.9285621,0.3258622,0.5223,0.6125
3.0969391,4.1589082,4.8828279,-1.8020307,-0.3518260,3.9327031,0.2484554,0.5151,0.5959
3.1468897,4.2072280,4.8710072,-1.8191760,-0.3264680,3.9358576,0.6320450,0.5079,0.5793
3.1968403,4.2554622,4.8583747,-1.8343288,-0.2808927,3.9438708,1.3190474,0.5006,0.5627
3.2467910,4.3035461,4.8450595,-1.8471605,-0.2332113,3.9605418,2.0273165,0.5025,0.5521
3.2967416,4.3515992,4.8311484,-1.8576076,-0.1843642,3.9860285,2.7521260,0.5392,0.5640
3.3466922,4.3992856,4.8168659,-1.8656291,-0.1397237,4.0203686,3.4174631,0.5759,0.5759
3.3966428,4.4467895,4.8022770,-1.8715613,-0.0992370,4.0626067,4.0311379,0.6127,0.5878
3.4465935,4.4944720,4.7873748,-1.8755285,-0.0597948,4.1118717,4.6499655,0.6494,0.5997
3.4965441,4.5423607,4.7722504,-1.8775616,-0.0213738,4.1679762,4.9516305,0.6704,0.5958
3.5464947,4.5900242,4.7571406,-1.8776990,0.0156642,4.2269019,4.9417106,0.6905,0.5909
3.5964454,4.6374214,4.7421555,-1.8760285,0.0513862,4.2849018,-2.6988881,0.7105,0.5860
3.6463960,4.6850724,4.7272242,-1.8725855,0.0863729,4.2533235,-4.2209523,0.7305,0.5811
3.6963466,4.7329878,4.7124372,-1.8673897,0.1207405,4.2034608,-3.6853981,0.7368,0.5755
3.7462973,4.7809853,4.6979422,-1.8604927,0.1538385,4.1594358,-3.2011142,0.7368,0.5697
3.7962479,4.8287720,4.6839104,-1.8520577,0.1848770,4.1208144,-2.7254436,0.7367,0.5638
3.8461985,4.8768135,4.6702836,-1.8420481,0.2160310,4.0876443,-2.2514572,0.7367,0.5580
3.8961491,4.9250946,4.6571506,-1.8304538,0.2474596,4.0600385,-1.7785773,0.7334,0.5547
3.9460998,4.9735938,4.6446016,-1.8172617,0.2789375,4.0380974,-1.4426943,0.7262,0.5545
3.9960504,5.0221402,4.6327572,-1.8027490,0.3020283,4.0202119,-1.0903620,0.7189,0.5543
4.0460010,5.0708674,4.6216454,-1.7870611,0.3258894,4.0066413,-0.7175195,0.7116,0.5542
4.0959517,5.1197490,4.6113328,-1.7701670,0.3505908,3.9976861,-0.3198437,0.6970,0.5477
4.1459023,5.1687583,4.6018865,-1.7520334,0.3761864,3.9936876,-0.3198437,0.6533,0.5161
