s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,2.1679015,-8.1417826,-0.8613247,0.2037110,3.0589388,-3.3439189,0.8616,0.4350
0.0499073,2.2053996,-8.1091941,-0.8484266,0.3144104,3.0038866,-2.5414416,0.8430,0.4315
0.0998147,2.2424653,-8.0759527,-0.8302206,0.4144311,2.9613614,-1.9041610,0.8243,0.4280
0.1497220,2.2791347,-8.0416742,-0.8072589,0.4974464,2.9290951,-1.2886418,0.8057,0.4246
0.1996294,2.3141574,-8.0072748,-0.7808393,0.5775465,2.9070557,-0.7135626,0.7876,0.4221
0.2495367,2.3487470,-7.9713022,-0.7501516,0.6509122,2.8947795,-0.1709598,0.7707,0.4215
0.2994441,2.3826979,-7.9335976,-0.7154089,0.7170833,2.8918306,-0.1673659,0.7537,0.4208
0.3493514,2.4142169,-7.8960075,-0.6801390,0.7189091,2.8889408,-0.1673659,0.7367,0.4202
0.3992588,2.4448240,-7.8567532,-0.6443626,0.7183999,2.8860480,-0.1507801,0.7244,0.4272
0.4491661,2.4744750,-7.8157596,-0.6080418,0.7171889,2.8834395,-0.1295977,0.7142,0.4376
0.4990734,2.5020249,-7.7746441,-0.5727613,0.7058952,2.8811955,-0.0263088,0.7040,0.4481
0.5489808,2.5281493,-7.7325448,-0.5381233,0.6925424,2.8807397,0.0864079,0.6938,0.4586
0.5988881,2.5531780,-7.6889130,-0.5035918,0.6806383,2.8822363,0.1791526,0.6911,0.4631
0.6487955,2.5766808,-7.6444842,-0.4696523,0.6697601,2.8853368,0.2571857,0.6887,0.4674
0.6987028,2.5982489,-7.6002018,-0.4369109,0.6599130,2.8897818,0.3217095,0.6863,0.4717
0.7486102,2.6186292,-7.5546271,-0.4041798,0.6515036,2.8953325,0.3703703,0.6827,0.4748
0.7985175,2.6377563,-7.5077980,-0.3714092,0.6443160,2.9017096,0.4060630,0.6736,0.4727
0.8484248,2.6550061,-7.4613369,-0.3396593,0.6366120,2.9086852,0.4443143,0.6646,0.4707
0.8983322,2.6707726,-7.4143827,-0.3083062,0.6295592,2.9162988,0.4751749,0.6555,0.4686
0.9482395,2.6852262,-7.3664004,-0.2769099,0.6236184,2.9244193,0.4951714,0.6482,0.4667
0.9981469,2.6983131,-7.3174321,-0.2454297,0.6186253,2.9328576,0.5063061,0.6442,0.4649
1.0480542,2.7095417,-7.2695291,-0.2151008,0.6143366,2.9414606,0.5111359,0.6403,0.4631
1.0979616,2.7194015,-7.2208585,-0.1846795,0.6109618,2.9501202,0.5081421,0.6363,0.4613
1.1478689,2.7278586,-7.1714063,-0.1540946,0.6083635,2.9587040,0.4988819,0.6388,0.4619
1.1977763,2.7348517,-7.1213218,-0.1233805,0.6061281,2.9671072,0.4872696,0.6502,0.4660
1.2476836,2.7401817,-7.0723987,-0.0937099,0.5997684,2.9752919,0.5131125,0.6617,0.4702
1.2975909,2.7440953,-7.0228736,-0.0640574,0.5940467,2.9838864,0.5323111,0.6731,0.4743
1.3474983,2.7465619,-6.9727871,-0.0343985,0.5888745,2.9927764,0.5460088,0.6799,0.4808
1.3974056,2.7475507,-6.9221795,-0.0047113,0.5841655,3.0018678,0.5552560,0.6805,0.4906
1.4473130,2.7470683,-6.8728464,0.0243536,0.5946379,3.0110850,0.4268185,0.6810,0.5004
1.4972203,2.7451189,-6.8231835,0.0542166,0.6073083,3.0181510,0.2852136,0.6816,0.5102
1.5471277,2.7416408,-6.7732443,0.0849746,0.6217528,3.0228636,0.1353644,0.6646,0.5026
1.5970350,2.7365721,-6.7231152,0.1167011,0.6378002,3.0250976,-0.0201606,0.6168,0.4642
1.6469423,2.7299934,-6.6737903,0.1483945,0.6303070,3.0247650,0.0497201,0.5689,0.4258
1.6968497,2.7218765,-6.6247277,0.1794087,0.6173769,3.0255852,0.1648565,0.5211,0.3875
1.7467570,2.7122106,-6.5757212,0.2099756,0.6068615,3.0283033,0.2508005,0.4843,0.3681
1.7966644,2.7010186,-6.5268474,0.2401894,0.5986895,3.0324338,0.3102529,0.4848,0.4129
1.8465717,2.6883995,-6.4784561,0.2698689,0.5831105,3.0375356,0.4348341,0.4854,0.4577
1.8964791,2.6744441,-6.4306742,0.2982347,0.5567710,3.0446716,0.6528225,0.4859,0.5025
1.9463864,2.6591328,-6.3831883,0.3253855,0.5317922,3.0553538,0.8484181,0.4867,0.5473
1.9962938,2.6425329,-6.3360331,0.3513763,0.5082313,3.0691809,1.0236253,0.5148,0.5933
2.0462011,2.6247179,-6.2892587,0.3762545,0.4854098,3.0857809,1.1869569,0.5429,0.6394
2.0961084,2.6058511,-6.2431091,0.3996459,0.4530391,3.1049186,1.4391419,0.5711,0.6855
2.1460158,2.5859291,-6.1973582,0.4214621,0.4214796,3.1279653,1.6799663,0.5992,0.7315
2.1959231,2.5650370,-6.1520110,0.4417361,0.3907766,3.1546557,1.9114798,0.5982,0.7469
2.2458305,2.5432603,-6.1070725,0.4605019,0.3609325,3.1847522,2.1357944,0.5844,0.7487
2.2957378,2.5206605,-6.0624996,0.4777121,0.3258874,3.2180475,2.4174956,0.5705,0.7504
2.3456452,2.4973402,-6.0183048,0.4930524,0.2881281,3.2553236,2.7341597,0.5567,0.7522
2.3955525,2.4734086,-5.9744913,0.5065002,0.2506393,3.2969745,3.0575589,0.5464,0.7528
2.4454598,2.4489631,-5.9310375,0.5180667,0.2133572,3.3429373,3.3915818,0.5441,0.7508
2.4953672,2.4240398,-5.8878172,0.5277773,0.1753902,3.3931932,3.7497090,0.5418,0.7488
2.5452745,2.3986259,-5.8446248,0.5355594,0.1351244,3.4479031,4.1552393,0.5395,0.7467
2.5951819,2.3729879,-5.8017179,0.5413012,0.0945433,3.5075333,4.5901404,0.5372,0.7447
2.6450892,2.3472263,-5.7590627,0.5449926,0.0535018,3.5722476,5.0440985,0.5296,0.7471
2.6949966,2.3214418,-5.7166250,0.5466184,0.0118316,3.6420363,5.0340021,0.5213,0.7502
2.7449039,2.2953155,-5.6736834,0.5462231,-0.0273924,3.7103767,5.0239259,0.5131,0.7532
2.7948113,2.2693280,-5.6308371,0.5438565,-0.0672702,3.7773479,-0.6995830,0.5048,0.7563
2.8447186,2.2436181,-5.5881250,0.5394857,-0.1083326,3.7680935,-4.1983451,0.4941,0.7608
2.8946259,2.2182841,-5.5455195,0.5330705,-0.1508027,3.7120711,-3.7683149,0.4803,0.7672
2.9445333,2.1929913,-5.5022477,0.5245417,-0.1865556,3.6610571,-3.4010505,0.4666,0.7736
2.9944406,2.1680304,-5.4586105,0.5143550,-0.2189953,3.6143968,-3.0269837,0.4528,0.7799
3.0443480,2.1437308,-5.4150268,0.5025862,-0.2530170,3.5723559,-2.6416089,0.4397,0.7860
3.0942553,2.1201675,-5.3714847,0.4891831,-0.2887666,3.5352589,-2.2970946,0.4374,0.7859
3.1441627,2.0970475,-5.3272562,0.4738880,-0.3218690,3.5026806,-2.0005588,0.4352,0.7858
3.1940700,2.0744360,-5.2822461,0.4569373,-0.3514324,3.4740591,-1.6882699,0.4330,0.7857
3.2439773,2.0528151,-5.2372477,0.4386271,-0.3823663,3.4497206,-1.3574704,0.4308,0.7856
3.2938847,2.0322387,-5.1922518,0.4189162,-0.4146561,3.4300258,-1.1298656,0.4284,0.7808
3.3437920,2.0124463,-5.1465032,0.3975248,-0.4380083,3.4135465,-1.0381427,0.4260,0.7742
3.3936994,1.9934618,-5.0998408,0.3751681,-0.4497007,3.3983345,-0.9354290,0.4236,0.7676
3.4436067,1.9757027,-5.0532046,0.3524189,-0.4621691,3.3845691,-0.8206237,0.4211,0.7610
3.4935141,1.9591780,-5.0066215,0.3292504,-0.4754474,3.3724469,-0.7902178,0.4214,0.7513
3.5434214,1.9435729,-4.9590969,0.3052338,-0.4813197,3.3607324,-0.7884529,0.4241,0.7388
3.5933288,1.9290331,-4.9109227,0.2810144,-0.4812959,3.3490033,-0.8250651,0.4268,0.7263
3.6432361,1.9157958,-4.8629114,0.2570399,-0.4815041,3.3366854,-0.8608126,0.4295,0.7138
3.6931434,1.9038341,-4.8151038,0.2332989,-0.4820169,3.3237852,-0.8942097,0.4327,0.7041
3.7430508,1.8927840,-4.7659563,0.2090215,-0.4815758,3.3103312,-0.9397030,0.4366,0.6978
3.7929581,1.8829715,-4.7167814,0.1849034,-0.4802239,3.2961336,-0.9972088,0.4404,0.6915
3.8428655,1.8744311,-4.6679101,0.1611261,-0.4781665,3.2809999,-1.0652527,0.4442,0.6852
3.8927728,1.8670635,-4.6189318,0.1375007,-0.4765121,3.2647561,-1.1324952,0.4484,0.6835
3.9426802,1.8607603,-4.5689691,0.1134873,-0.4768753,3.2473979,-1.1793081,0.4530,0.6864
3.9925875,1.8557012,-4.5193465,0.0897265,-0.4755394,3.2292229,-1.2460595,0.4577,0.6893
4.0424948,1.8518486,-4.4700490,0.0662796,-0.4725044,3.2099074,-1.3298886,0.4623,0.6921
4.0924022,1.8491268,-4.4201002,0.0425286,-0.4792237,3.1891634,-1.3188924,0.4664,0.7037
4.1423095,1.8476034,-4.3701497,0.0183888,-0.4863402,3.1684568,-1.3177940,0.4703,0.7194
4.1922169,1.8472923,-4.3204104,-0.0059135,-0.4902595,3.1476314,-1.2791036,0.4742,0.7351
4.2421242,1.8481931,-4.2707167,-0.0304277,-0.5027672,3.1272847,-1.0721835,0.4781,0.7508
4.2920316,1.8503435,-4.2209486,-0.0561571,-0.5294996,3.1101270,-0.9060603,0.4817,0.7417
4.3419389,1.8538103,-4.1711886,-0.0831426,-0.5516439,3.0955536,-0.7801124,0.4853,0.7314
4.3918463,1.8586602,-4.1213959,-0.1111893,-0.5692503,3.0829508,-0.5306861,0.4889,0.7210
4.4417536,1.8648387,-4.0724211,-0.1400429,-0.5987180,3.0743479,-0.3313460,0.4893,0.7074
4.4916609,1.8725288,-4.0232534,-0.1704448,-0.6219146,3.0689643,-0.1884972,0.4825,0.6862
4.5415683,1.8818401,-3.9738351,-0.2021634,-0.6383164,3.0658974,-0.1884972,0.4757,0.6650
4.5914756,1.8925508,-3.9254912,-0.2338901,-0.6382951,3.0628275,-0.1759104,0.4689,0.6439
4.6413830,1.9047254,-3.8777201,-0.2650969,-0.6269734,3.0599598,-0.0583420,0.4579,0.6245
4.6912903,1.9186067,-3.8295705,-0.2961408,-0.6113585,3.0590081,0.0915435,0.4450,0.6059
4.7411977,1.9342442,-3.7810167,-0.3268464,-0.5921898,3.0605012,0.2653204,0.4320,0.5873
4.7911050,1.9505531,-3.7351087,-0.3559188,-0.6014249,3.0648247,0.1623599,0.4198,0.5696
4.8410123,1.9685246,-3.6888992,-0.3859924,-0.6117673,3.0674675,0.0549732,0.4168,0.5651
4.8909197,1.9882234,-3.6425018,-0.4171101,-0.6229535,3.0683617,-0.0538100,0.4138,0.5606
4.9408270,2.0095074,-3.5964591,-0.4489912,-0.6313580,3.0674864,-0.1294387,0.4108,0.5560
4.9907344,2.0314936,-3.5525726,-0.4798214,-0.6253252,3.0653797,-0.0643344,0.4119,0.5561
5.0406417,2.0551262,-3.5088298,-0.5108273,-0.6223743,3.0643321,-0.0324810,0.4206,0.5646
5.0905491,2.0804030,-3.4653385,-0.5421203,-0.6221848,3.0638031,-0.0286198,0.4293,0.5731
5.1404564,2.1072032,-3.4223897,-0.5736625,-0.6226228,3.0633368,-0.0308955,0.4380,0.5816
5.1903638,2.1345750,-3.3814114,-0.6040221,-0.6098765,3.0628335,0.0906589,0.4472,0.5805
5.2402711,2.1634233,-3.3409245,-0.6340711,-0.5993409,3.0643103,0.1838878,0.4568,0.5690
5.2901784,2.1937168,-3.3009940,-0.6638909,-0.5908658,3.0673038,0.2522564,0.4665,0.5576
5.3400858,2.2254238,-3.2616845,-0.6935592,-0.5843145,3.0714054,0.2986761,0.4762,0.5461
5.3899931,2.2576159,-3.2240698,-0.7219929,-0.5623147,3.0762548,0.4888500,0.4866,0.5399
5.4399005,2.2909382,-3.1872635,-0.7493329,-0.5392165,3.0841754,0.6801466,0.4981,0.5407
5.4898078,2.3254616,-3.1511306,-0.7757308,-0.5174608,3.0951618,0.8505993,0.5095,0.5414
5.5397152,2.3611353,-3.1156824,-0.8012359,-0.4970567,3.1088469,1.0021665,0.5210,0.5422
5.5896225,2.3974037,-3.0813946,-0.8254568,-0.4693302,3.1248936,1.2211884,0.5322,0.5414
5.6395298,2.4341953,-3.0482030,-0.8478445,-0.4344843,3.1443366,1.5060525,0.5421,0.5336
5.6894372,2.4719153,-3.0156234,-0.8686542,-0.4007529,3.1681507,1.7762916,0.5520,0.5258
5.7393445,2.5105036,-2.9836209,-0.8879233,-0.3682035,3.1960098,2.0341573,0.5620,0.5180
5.7892519,2.5498686,-2.9521855,-0.9056774,-0.3364722,3.2276179,2.2858880,0.5719,0.5103
5.8391592,2.5890197,-2.9219785,-0.9212683,-0.2943275,3.2627722,2.6531995,0.5794,0.5106
5.8890666,2.6288184,-2.8921883,-0.9348761,-0.2533557,3.3031063,3.0169657,0.5862,0.5132
5.9389739,2.6692001,-2.8627501,-0.9465371,-0.2135618,3.3483800,3.3807875,0.5931,0.5158
5.9888813,2.7101006,-2.8335989,-0.9562873,-0.1749102,3.3983968,3.7483447,0.5999,0.5184
6.0387886,2.7510623,-2.8049423,-0.9640635,-0.1347114,3.4530046,4.1547014,0.6038,0.5210
6.0886959,2.7918996,-2.7767788,-0.9696863,-0.0921813,3.5125405,4.6152541,0.5984,0.5238
6.1386033,2.8330465,-2.7486794,-0.9732393,-0.0506193,3.5775146,4.6859485,0.5931,0.5267
6.1885106,2.8744397,-2.7205649,-0.9747506,-0.0099576,3.6422984,-5.8754295,0.5877,0.5295
6.2384180,2.9160163,-2.6923564,-0.9742462,0.0298777,3.5608824,-5.4083074,0.5823,0.5323
6.2883253,2.9571739,-2.6643427,-0.9717887,0.0687923,3.4842581,-4.9871466,0.5786,0.5393
6.3382327,2.9981963,-2.6362153,-0.9674128,0.1070514,3.4120762,-4.6046156,0.5760,0.5489
6.3881400,3.0391991,-2.6077787,-0.9611261,0.1448346,3.3440478,-4.2552674,0.5733,0.5586
6.4380473,3.0801132,-2.5789628,-0.9529405,0.1822347,3.2799265,-3.9345840,0.5707,0.5682
6.4879547,3.1208698,-2.5496975,-0.9428648,0.2193182,3.2195013,-3.5992623,0.5680,0.5779
6.5378620,3.1610705,-2.5201558,-0.9309148,0.2599850,3.1632150,-3.2740037,0.5648,0.5913
6.5877694,3.2009253,-2.4900639,-0.9168943,0.3016898,3.1111309,-2.9540007,0.5616,0.6050
6.6376767,3.2403312,-2.4593674,-0.9007576,0.3446387,3.0633777,-2.6337254,0.5583,0.6187
6.6875841,3.2791745,-2.4280202,-0.8824521,0.3891059,3.0201653,-2.3273236,0.5551,0.6325
6.7374914,3.3173978,-2.3959272,-0.8618930,0.4332199,2.9814589,-2.1179832,0.5504,0.6469
6.7873988,3.3551458,-2.3628155,-0.8392896,0.4674094,2.9457922,-1.8957088,0.5406,0.6641
6.8373061,3.3919946,-2.3289318,-0.8149946,0.5035670,2.9134982,-1.6580046,0.5308,0.6813
