s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,-0.8583307,4.2794912,-0.6382844,-0.4452263,3.1303409,1.4407073,0.4200,0.8272
0.0499681,-0.8281540,4.3192395,-0.6603887,-0.4396191,3.1532544,1.4294693,0.4204,0.8054
0.0999362,-0.7971261,4.3583015,-0.6820598,-0.4282683,3.1758257,1.4782854,0.4208,0.7835
0.1499043,-0.7651757,4.3968055,-0.7030915,-0.4115888,3.1990003,1.5827438,0.4211,0.7617
0.1998724,-0.7327068,4.4343380,-0.7232256,-0.4031753,3.2236279,1.6019011,0.4266,0.7423
0.2498406,-0.6994384,4.4712736,-0.7431504,-0.3981315,3.2483634,1.5873683,0.4377,0.7255
0.2998087,-0.6651194,4.5078854,-0.7629615,-0.3911275,3.2726901,1.5960457,0.4488,0.7087
0.3497768,-0.6301222,4.5437830,-0.7823809,-0.3852414,3.2969688,1.5944438,0.4599,0.6919
0.3997449,-0.5949649,4.5784865,-0.8014006,-0.3846325,3.3210459,1.5365780,0.4690,0.6654
0.4497130,-0.5587247,4.6129167,-0.8205948,-0.3831702,3.3440851,1.4907883,0.4780,0.6383
0.4996811,-0.5213722,4.6470588,-0.8399308,-0.3808782,3.3662872,1.4566866,0.4870,0.6111
0.5496492,-0.4842150,4.6797447,-0.8587018,-0.3776450,3.3878407,1.4354296,0.4984,0.5869
0.5996173,-0.4463248,4.7118374,-0.8773762,-0.3745611,3.4089465,1.4142165,0.5149,0.5696
0.6495855,-0.4073820,4.7435896,-0.8961248,-0.3717309,3.4296134,1.3917349,0.5315,0.5522
0.6995536,-0.3676120,4.7747943,-0.9148472,-0.3683878,3.4498308,1.3770312,0.5481,0.5349
0.7495217,-0.3282626,4.8045176,-0.9328286,-0.3610246,3.4697187,1.4122212,0.5656,0.5200
0.7994898,-0.2879651,4.8338391,-0.9506542,-0.3544746,3.4899971,1.4382184,0.5838,0.5069
0.8494579,-0.2467382,4.8627314,-0.9683505,-0.3486753,3.5105285,1.4558565,0.6020,0.4938
0.8994260,-0.2050762,4.8908520,-0.9857290,-0.3413502,3.5311900,1.4935479,0.6202,0.4807
0.9493941,-0.1635952,4.9178347,-1.0023381,-0.3301031,3.5522616,1.5815276,0.6370,0.4794
0.9993622,-0.1213166,4.9443594,-1.0185525,-0.3197944,3.5744390,1.6578942,0.6534,0.4817
