s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,3.8178653,5.0599977,-0.5768693,-0.4045783,3.7896704,-0.4767946,0.4200,0.6078
0.0499914,3.8455768,5.1016564,-0.5971068,-0.4044374,3.7833756,-0.4973578,0.4313,0.6094
0.0999827,3.8741383,5.1427636,-0.6173570,-0.4047299,3.7767981,-0.5125196,0.4427,0.6110
0.1499741,3.9035349,5.1832948,-0.6376383,-0.4054531,3.7700080,-0.5221772,0.4540,0.6126
0.1999655,3.9337517,5.2232252,-0.6579687,-0.4066043,3.7630774,-0.5241690,0.4653,0.6143
0.2499569,3.9647737,5.2625302,-0.6783664,-0.4081806,3.7561076,-0.5161044,0.4766,0.6159
0.2999482,3.9965861,5.3011850,-0.6988494,-0.4101791,3.7492322,-0.5018181,0.4880,0.6175
0.3499396,4.0291738,5.3391651,-0.7194357,-0.4125966,3.7425351,-0.4811611,0.4993,0.6191
0.3999310,4.0625220,5.3764458,-0.7401431,-0.4154293,3.7361024,-0.4539727,0.5106,0.6207
0.4499223,4.0966157,5.4130024,-0.7609892,-0.4186734,3.7300231,-0.4200783,0.5220,0.6223
0.4999137,4.1314400,5.4488101,-0.7819915,-0.4223239,3.7243887,-0.3792886,0.5333,0.6240
0.5499051,4.1669800,5.4838445,-0.8031673,-0.4263754,3.7192942,-0.3313981,0.5446,0.6256
0.5998965,4.2032207,5.5180807,-0.8245337,-0.4308213,3.7148371,-0.2761845,0.5559,0.6272
0.6498878,4.2401471,5.5514941,-0.8461077,-0.4356539,3.7111186,-0.2761845,0.5677,0.6277
0.6998792,4.2780102,5.5842876,-0.8679191,-0.4339504,3.7073963,-0.2401872,0.5799,0.6272
0.7498706,4.3165969,5.6162666,-0.8895838,-0.4306013,3.7041562,-0.1833320,0.5921,0.6266
0.7998619,4.3558286,5.6473775,-0.9110587,-0.4271586,3.7016811,-0.1278980,0.6043,0.6261
0.8498533,4.3956863,5.6776198,-0.9323431,-0.4236448,3.6999534,-0.0740760,0.6165,0.6256
0.8998447,4.4361510,5.7069927,-0.9534375,-0.4200813,3.6989524,-0.0220341,0.6287,0.6250
0.9498361,4.4772035,5.7354955,-0.9743427,-0.4164889,3.6986546,0.0280798,0.6409,0.6245
0.9998274,4.5188248,5.7631276,-0.9950603,-0.4128871,3.6990341,0.0761371,0.6531,0.6240
1.0498188,4.5609958,5.7898882,-1.0155926,-0.4092945,3.7000630,0.1220262,0.6653,0.6234
1.0998102,4.6036975,5.8157768,-1.0359425,-0.4057285,3.7017113,0.1656517,0.6775,0.6229
1.1498015,4.6469107,5.8407925,-1.0561134,-0.4022055,3.7039477,0.2069319,0.6897,0.6224
1.1997929,4.6906165,5.8649348,-1.0761092,-0.3987410,3.7067396,0.2457984,0.7019,0.6218
1.2497843,4.7347957,5.8882030,-1.0959345,-0.3953491,3.7100531,0.2821938,0.7141,0.6213
1.2997757,4.7794293,5.9105963,-1.1155941,-0.3920431,3.7138536,0.3160714,0.7218,0.6189
1.3497670,4.8243956,5.9320671,-1.1349960,-0.3859283,3.7181057,0.3875825,0.7250,0.6147
1.3997584,4.8697417,5.9526583,-1.1540376,-0.3787311,3.7233133,0.4716255,0.7283,0.6105
1.4497498,4.9154867,5.9723984,-1.1727265,-0.3714697,3.7296402,0.5538286,0.7316,0.6063
1.4997412,4.9616140,5.9912984,-1.1910624,-0.3641742,3.7370563,0.6340344,0.7348,0.6021
1.5497325,5.0081069,6.0093694,-1.2090459,-0.3568724,3.7455283,0.7121136,0.7381,0.5979
1.5997239,5.0549488,6.0266223,-1.2266787,-0.3495899,3.7550208,0.7879616,0.7414,0.5937
1.6497153,5.1021232,6.0430683,-1.2439629,-0.3423499,3.7654965,0.8614959,0.7446,0.5895
1.6997066,5.1496133,6.0587182,-1.2609017,-0.3351734,3.7769165,0.9326532,0.7479,0.5854
