s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,-2.7980024,-0.6581225,-0.5697878,0.0192524,3.1926566,5.0955938,0.5100,0.3854
0.0499970,-2.7712091,-0.6162573,-0.5688234,0.0195524,3.2714806,5.0853760,0.5101,0.3945
0.0999941,-2.7443591,-0.5742135,-0.5678403,0.0198629,3.3482970,5.0751786,0.5101,0.4036
0.1499911,-2.7174593,-0.5319994,-0.5668381,0.0201842,3.4232412,5.0650017,0.5102,0.4127
0.1999881,-2.6905165,-0.4896233,-0.5658162,0.0205168,3.4964340,5.0548452,0.5102,0.4218
0.2499852,-2.6637387,-0.4474108,-0.5647872,0.0205271,3.5679833,5.0447091,0.5159,0.4335
0.2999822,-2.6370599,-0.4052592,-0.5637676,0.0203537,3.6379865,5.0345933,0.5266,0.4475
0.3499792,-2.6103631,-0.3629840,-0.5627537,0.0202094,3.7065314,5.0244978,0.5373,0.4615
0.3999763,-2.5836573,-0.3205996,-0.5617443,0.0200936,3.7736978,5.0144226,0.5480,0.4756
0.4499733,-2.5569797,-0.2781654,-0.5607394,0.0200157,3.8395583,5.0043675,0.5587,0.4896
0.4999703,-2.5304449,-0.2358643,-0.5597402,0.0200086,3.9041791,4.9943326,0.5740,0.5003
0.5499673,-2.5039258,-0.1934941,-0.5587398,0.0200224,3.9676212,4.9843178,0.5893,0.5110
0.5999644,-2.4774295,-0.1510660,-0.5577375,0.0200569,4.0299405,4.9743231,0.6046,0.5217
0.6499614,-2.4509630,-0.1085908,-0.5567324,0.0201121,4.0911885,4.9643485,0.6200,0.5323
0.6999584,-2.4245472,-0.0661017,-0.5557216,0.0203412,4.1514129,4.9543938,0.6265,0.5343
0.7499555,-2.3981809,-0.0235957,-0.5546965,0.0206533,4.2106577,4.9444591,0.6208,0.5242
0.7999525,-2.3718651,0.0189267,-0.5536554,0.0209851,4.2689642,4.9345443,0.6152,0.5141
0.8499495,-2.3456067,0.0614561,-0.5525978,0.0213372,4.3263703,4.9246495,0.6096,0.5040
0.8999466,-2.3193888,0.1040215,-0.5515213,0.0218139,4.3829118,4.9147744,0.6039,0.4939
0.9499436,-2.2931653,0.1467004,-0.5504079,0.0226460,4.4386219,4.9049192,0.5960,0.4825
0.9999406,-2.2670196,0.1893608,-0.5492535,0.0234991,4.4935317,4.8950837,0.5877,0.4709
1.0499377,-2.2409583,0.2319962,-0.5480575,0.0243748,4.5476704,4.8852679,0.5794,0.4592
1.0999347,-2.2149876,0.2745997,-0.5468190,0.0252747,4.6010656,2.6348348,0.5710,0.4475
1.1499317,-2.1889636,0.3174125,-0.5455206,0.0266590,4.6296082,-5.8302112,0.5636,0.4372
1.1999288,-2.1630023,0.3602509,-0.5441468,0.0281967,4.5662113,-5.8032084,0.5588,0.4308
1.2499258,-2.1371515,0.4030430,-0.5426981,0.0297620,4.5022216,-5.7774136,0.5541,0.4245
