# MPC Raceline Trajectory — generated by Raceline-Optimization
# Columns: s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,14.4455132,-26.2693907,1.2992509,0.0036910,8.5189273,3.8446767
0.1998878,14.2528071,-26.2158152,1.3000131,0.0039311,8.6086660,3.8138543
0.3997757,14.0601915,-26.1624277,1.3008146,0.0039975,8.6967704,3.7832791
0.5996635,13.8676300,-26.1092205,1.3016007,0.0038711,8.7832955,3.7529490
0.7995513,13.6748364,-26.0561107,1.3023780,0.0039062,8.8682928,3.7228620
0.9994392,13.4821044,-26.0031798,1.3031630,0.0039561,8.9518113,3.6930162
1.1993270,13.2893791,-25.9504146,1.3039598,0.0040186,9.0338975,3.6634097
1.3992148,13.0964937,-25.8977724,1.3047749,0.0041347,9.1145952,3.6340405
1.5991027,12.9036305,-25.8453075,1.3056138,0.0042703,9.1939462,3.6049068
1.7989905,12.7107452,-25.7930134,1.3064827,0.0044256,9.2719901,3.5760067
1.9988783,12.5177535,-25.7408740,1.3073868,0.0046183,9.3487647,3.5473382
2.1987662,12.3247477,-25.6889219,1.3083297,0.0048256,9.4243059,3.5188996
2.3986540,12.1316911,-25.6371558,1.3093164,0.0050474,9.4986479,3.4906889
2.5985418,11.9385737,-25.5855824,1.3103502,0.0052952,9.5718234,3.4627045
2.7984297,11.7454094,-25.5342154,1.3114337,0.0055526,9.6438638,3.4349443
2.9983175,11.5521676,-25.4830575,1.3125703,0.0058189,9.7147988,3.4074068
3.1982053,11.3588972,-25.4321324,1.3137616,0.0061012,9.7846571,3.3800899
3.3980932,11.1655542,-25.3814404,1.3150094,0.0063883,9.8534660,3.3529921
3.5979810,10.9721105,-25.3309859,1.3163157,0.0066795,9.9212518,3.3261116
3.7978688,10.7786577,-25.2808048,1.3176805,0.0069785,9.9880396,3.2994465
3.9977567,10.5851133,-25.2308879,1.3191052,0.0072782,10.0538537,3.2373154
4.1976445,10.3914483,-25.1812404,1.3205903,0.0075783,10.1180123,3.1712244
4.3975323,10.1977860,-25.1319061,1.3221350,0.0078795,10.1804691,3.1049698
4.5974201,10.0040165,-25.0828693,1.3237398,0.0081784,10.2412520,3.0389446
4.7973080,9.8101102,-25.0341350,1.3254047,0.0084749,10.3003951,2.9731890
4.9971958,9.6162143,-24.9857524,1.3271276,0.0087678,10.3579317,2.9078548
5.1970836,9.4221969,-24.9377005,1.3289091,0.0090562,10.4138964,2.8430765
5.3969715,9.2280300,-24.8899844,1.3307483,0.0093404,10.4683251,2.7788515
5.5968593,9.0338802,-24.8426567,1.3326426,0.0096175,10.5212522,2.7155177
5.7967471,8.8395938,-24.7956912,1.3345922,0.0098889,10.5727170,2.6529706
5.9966350,8.6451494,-24.7490942,1.3365962,0.0101551,10.6227557,2.5911752
