# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,14.6075677,-25.7193976,1.2050073,0.0444910,9.1985930,0.5386293,0.3902,1.8624
0.1999348,14.4204584,-25.6486782,1.2138409,0.0438242,9.2102928,0.5812892,0.3832,1.8547
0.3998697,14.2328451,-25.5796411,1.2225316,0.0431162,9.2229027,0.6266641,0.3792,1.8451
0.5998045,14.0446611,-25.5122297,1.2310786,0.0423990,9.2364776,0.6720183,0.3789,1.8331
0.7997394,13.8558204,-25.4463841,1.2394885,0.0417057,9.2510128,0.7145717,0.4034,1.8074
0.9996742,13.6665267,-25.3821459,1.2477558,0.0410135,9.2664434,0.7563663,0.4311,1.7797
1.1996091,13.4766775,-25.3194502,1.2558877,0.0403309,9.2827486,0.7967102,0.4601,1.7507
1.3995439,13.2862989,-25.2582780,1.2638849,0.0396590,9.2998926,0.8355871,0.4918,1.7190
1.5994788,13.0955206,-25.1986419,1.2717450,0.0389900,9.3178392,0.8737194,0.5218,1.6878
1.7994136,12.9042035,-25.1404706,1.2794763,0.0383341,9.3365680,0.9102702,0.5458,1.6593
1.9993485,12.7124651,-25.0837730,1.2870756,0.0376849,9.3560404,0.9458460,0.5369,1.6484
2.1992833,12.5203760,-25.0285420,1.2945433,0.0370389,9.3762309,0.9807969,0.5194,1.6443
2.3992182,12.3277699,-24.9747033,1.3018877,0.0364077,9.3971218,1.0141410,0.5087,1.6443
2.5991530,12.1348334,-24.9222836,1.3091036,0.0357805,9.4186741,1.0468865,0.5123,1.6551
2.7990879,11.9415704,-24.8712567,1.3161935,0.0351579,9.4408707,1.0790094,0.5222,1.6698
2.9990227,11.7478563,-24.8215648,1.3231637,0.0345485,9.4636939,1.1097644,0.5319,1.6812
3.1989576,11.5538679,-24.7732282,1.3300096,0.0339421,9.4871104,1.1401127,0.5413,1.6893
3.3988924,11.3595661,-24.7262115,1.3367351,0.0333419,9.5111072,1.1697929,0.5483,1.6962
3.5988273,11.1648951,-24.6804771,1.3433434,0.0327521,9.5356660,1.1984487,0.5409,1.7081
3.7987621,10.9699864,-24.6360316,1.3498319,0.0321651,9.5607609,1.2267941,0.5251,1.7228
3.9986970,10.7747808,-24.5928371,1.3562048,0.0315854,9.5863813,1.2544551,0.5042,1.7391
4.1986318,10.5792752,-24.5508695,1.3624632,0.0310137,9.6125088,1.2813802,0.4862,1.7546
4.3985667,10.3835646,-24.5101257,1.3686060,0.0304446,9.6391239,1.3080823,0.4693,1.7696
4.5985015,10.1875757,-24.4705670,1.3746371,0.0298834,9.6662181,1.3341080,0.4532,1.7838
4.7984364,9.9913455,-24.4321785,1.3805565,0.0293282,9.6937734,1.3596393,0.4362,1.7924
4.9983712,9.7949391,-24.3949498,1.3863640,0.0287755,9.7217756,1.3850276,0.4197,1.8001
5.1983061,9.5982749,-24.3588431,1.3920633,0.0282308,9.7502180,1.4097674,0.4051,1.8062
5.3982409,9.4014182,-24.3238485,1.3976536,0.0276906,9.7790835,1.4342146,0.4256,1.7964
