# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; 3.525; -0.135; 3.527
3.0; 0.073; 3.483; -0.143; 3.485
6.0; 0.146; 3.441; -0.152; 3.445
9.0; 0.218; 3.401; -0.162; 3.405
12.0; 0.290; 3.362; -0.173; 3.366
15.0; 0.362; 3.323; -0.185; 3.328
18.0; 0.433; 3.286; -0.197; 3.292
21.0; 0.504; 3.249; -0.211; 3.256
24.0; 0.574; 3.213; -0.225; 3.221
27.0; 0.644; 3.178; -0.241; 3.187
30.0; 0.714; 3.143; -0.258; 3.154
33.0; 0.783; 3.109; -0.277; 3.122
36.0; 0.852; 3.076; -0.297; 3.091
39.0; 0.921; 3.044; -0.318; 3.061
42.0; 0.989; 3.012; -0.341; 3.031
45.0; 1.057; 2.981; -0.366; 3.003
48.0; 1.125; 2.950; -0.393; 2.976
51.0; 1.192; 2.920; -0.422; 2.951
54.0; 1.259; 2.891; -0.454; 2.926
57.0; 1.326; 2.862; -0.488; 2.903
60.0; 1.393; 2.833; -0.524; 2.881
63.0; 1.459; 2.805; -0.564; 2.861
66.0; 1.525; 2.778; -0.606; 2.843
69.0; 1.591; 2.751; -0.652; 2.827
72.0; 1.656; 2.724; -0.702; 2.813
75.0; 1.721; 2.698; -0.756; 2.802
78.0; 1.786; 2.672; -0.814; 2.794
81.0; 1.851; 2.647; -0.876; 2.788
84.0; 1.915; 2.622; -0.944; 2.787
87.0; 1.979; 2.598; -1.017; 2.790
90.0; 2.043; 2.573; -1.097; 2.797
93.0; 2.107; 2.550; -1.182; 2.810
96.0; 2.171; 2.526; -1.275; 2.830
99.0; 2.234; 2.503; -1.375; 2.856
102.0; 2.297; 2.480; -1.484; 2.890
105.0; 2.360; 2.458; -1.601; 2.933
108.0; 2.422; 2.435; -1.727; 2.986
111.0; 2.485; 2.413; -1.864; 3.049
114.0; 2.547; 2.392; -2.011; 3.125
117.0; 2.609; 2.370; -2.170; 3.213
120.0; 2.671; 2.349; -2.342; 3.317
123.0; 2.732; 2.328; -2.528; 3.436
126.0; 2.794; 2.307; -2.728; 3.573
129.0; 2.855; 2.286; -2.944; 3.728
132.0; 2.916; 2.265; -3.177; 3.902
135.0; 2.976; 2.245; -3.426; 4.096
138.0; 3.037; 2.224; -3.690; 4.309
141.0; 3.097; 2.204; -3.966; 4.537
144.0; 3.157; 2.183; -4.248; 4.776
