# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.00038; 5598.1; -0.0; -40.8
3.0; 0.073; -0.00041; 5564.1; -0.0; -43.4
6.0; 0.146; -0.00043; 5531.1; -0.0; -46.2
9.0; 0.218; -0.00045; 5499.1; -0.0; -49.3
12.0; 0.290; -0.00048; 5467.9; -0.0; -52.6
15.0; 0.362; -0.00051; 5437.7; -0.0; -56.2
18.0; 0.433; -0.00054; 5408.2; -0.0; -60.1
21.0; 0.504; -0.00057; 5379.6; -0.0; -64.3
24.0; 0.574; -0.00061; 5351.7; -0.0; -68.8
27.0; 0.644; -0.00064; 5324.5; -0.0; -73.7
30.0; 0.714; -0.00068; 5298.0; -0.0; -78.9
33.0; 0.783; -0.00073; 5272.2; -0.0; -84.6
36.0; 0.852; -0.00078; 5247.0; -0.0; -90.7
39.0; 0.921; -0.00083; 5222.5; -0.0; -97.3
42.0; 0.989; -0.00088; 5198.5; -0.0; -104.4
45.0; 1.057; -0.00094; 5175.1; -0.0; -112.1
48.0; 1.125; -0.00100; 5152.3; -0.0; -120.4
51.0; 1.192; -0.00107; 5129.9; -0.0; -129.3
54.0; 1.259; -0.00114; 5108.1; -0.0; -139.0
57.0; 1.326; -0.00122; 5086.8; -0.0; -149.4
60.0; 1.393; -0.00130; 5065.9; -0.0; -160.6
63.0; 1.459; -0.00139; 5045.5; -0.0; -172.8
66.0; 1.525; -0.00149; 5025.6; -0.0; -185.9
69.0; 1.591; -0.00159; 5006.0; -0.0; -200.0
72.0; 1.656; -0.00170; 4986.9; -0.0; -215.3
75.0; 1.721; -0.00182; 4968.2; -0.0; -231.9
78.0; 1.786; -0.00195; 4949.9; -0.0; -249.7
81.0; 1.851; -0.00209; 4931.9; -0.0; -269.1
84.0; 1.915; -0.00224; 4914.3; -0.0; -290.0
87.0; 1.979; -0.00241; 4897.1; -0.0; -312.6
90.0; 2.043; -0.00258; 4880.2; -0.0; -337.0
93.0; 2.107; -0.00277; 4863.6; -0.0; -363.4
96.0; 2.171; -0.00298; 4847.4; -0.0; -392.0
99.0; 2.234; -0.00320; 4831.5; -0.0; -422.9
102.0; 2.297; -0.00344; 4815.9; -0.0; -456.2
105.0; 2.360; -0.00369; 4800.6; -0.0; -492.2
108.0; 2.422; -0.00397; 4785.6; -0.0; -531.1
111.0; 2.485; -0.00427; 4770.9; -0.0; -573.1
114.0; 2.547; -0.00460; 4756.4; -0.0; -618.5
117.0; 2.609; -0.00495; 4742.3; -0.0; -667.5
120.0; 2.671; -0.00534; 4728.4; -0.0; -720.4
123.0; 2.732; -0.00576; 4714.7; -0.0; -777.5
126.0; 2.794; -0.00621; 4701.4; -0.0; -839.2
129.0; 2.855; -0.00670; 4688.3; -0.0; -905.5
132.0; 2.916; -0.00723; 4675.5; -0.0; -976.5
135.0; 2.976; -0.00778; 4662.9; -0.0; -1051.7
138.0; 3.037; -0.00835; 4650.6; -0.0; -1130.3
141.0; 3.097; -0.00891; 4638.5; -0.0; -1210.6
144.0; 3.157; -0.00943; 4626.7; -0.0; -1290.6
147.0; 3.217; -0.00988; 4615.1; -0.0; -1367.3
150.0; 3.277; -0.01023; 4603.8; -0.0; -1437.9
153.0; 3.337; -0.01045; 4592.7; -0.0; -1499.4
156.0; 3.397; -0.01053; 4581.8; -0.0; -1549.3
159.0; 3.456; -0.01048; 4571.1; -0.0; -1585.9
162.0; 3.515; -0.01031; 4560.6; -0.0; -1608.6
165.0; 3.574; -0.01006; 4550.3; -0.0; -1617.6
168.0; 3.633; -0.00976; 4540.1; -0.0; -1614.2
171.0; 3.692; -0.00943; 4530.1; -0.0; -1600.1
174.0; 3.751; -0.00911; 4520.1; -0.0; -1577.7
177.0; 3.810; -0.00882; 4510.4; -0.0; -1549.7
180.0; 3.868; -0.00856; 4500.7; -0.0; -1518.6
183.0; 3.927; -0.00834; 4491.1; -0.0; -1486.9
186.0; 3.985; -0.00816; 4481.7; -0.0; -1456.8
189.0; 4.043; -0.00804; 4472.3; -0.0; -1430.1
192.0; 4.101; -0.00797; 4463.1; -0.0; -1408.3
195.0; 4.159; -0.00796; 4454.0; -0.0; -1392.8
198.0; 4.217; -0.00802; 4445.0; -0.0; -1384.8
201.0; 4.274; -0.00815; 4436.1; -0.0; -1385.0
204.0; 4.332; -0.00834; 4427.4; -0.0; -1394.3
207.0; 4.389; -0.00861; 4418.7; -0.0; -1412.8
210.0; 4.447; -0.00893; 4410.2; -0.0; -1440.5
213.0; 4.504; -0.00928; 4401.9; -0.0; -1476.2
216.0; 4.561; -0.00964; 4393.7; -0.0; -1518.1
219.0; 4.618; -0.00996; 4385.6; -0.0; -1563.5
222.0; 4.675; -0.01019; 4377.7; -0.0; -1608.6
225.0; 4.732; -0.01030; 4369.9; -0.0; -1649.2
228.0; 4.788; -0.01021; 4362.2; -0.0; -1680.3
231.0; 4.845; -0.00991; 4354.6; -0.0; -1697.1
234.0; 4.902; -0.00937; 4347.1; -0.0; -1694.9
237.0; 4.958; -0.00859; 4339.7; -0.0; -1669.2
240.0; 5.014; -0.00759; 4332.4; -0.0; -1615.7
243.0; 5.071; -0.00640; 4325.1; -0.0; -1531.3
246.0; 5.127; -0.00509; 4317.8; -0.1; -1413.6
249.0; 5.183; -0.00372; 4310.5; -0.1; -1262.5
252.0; 5.239; -0.00237; 4303.2; -0.1; -1081.2
255.0; 5.295; -0.00112; 3959.4; -3.4; -879.6
258.0; 5.351; -0.00006; 2620.6; -5.1; -676.2
261.0; 5.407; 0.00073; 545.6; -24.3; -488.9
264.0; 5.463; 0.00121; 6.4; -2090.4; -329.5
267.0; 5.519; 0.00136; 2.7; -4957.4; -203.2
270.0; 5.576; 0.00123; 1.7; -7842.6; -110.5
273.0; 5.633; 0.00090; 1.3; -10488.8; -48.8
276.0; 5.690; 0.00048; 1.1; -12633.4; -13.5
279.0; 5.748; 0.00009; 1.0; -14004.4; 1.4
282.0; 5.807; -0.00022; 0.1; -14316.7; 0.1
285.0; 5.868; -0.00016; 0.0; -14223.7; 0.0
288.0; 5.929; -0.00004; 0.0; -14131.4; 0.0
291.0; 5.991; 0.00002; 0.0; -14039.9; 0.0
294.0; 6.054; 0.00002; 0.0; -13949.3; 0.0
297.0; 6.119; 0.00001; 0.0; -13859.5; 0.0
300.0; 6.184; -0.00000; 0.0; -13770.6; 0.0
303.0; 6.251; -0.00000; 0.0; -13682.4; 0.0
306.0; 6.319; -0.00000; 0.0; -13595.0; 0.0
309.0; 6.389; 0.00000; 0.0; -13508.5; 0.0
312.0; 6.460; 0.00000; 0.0; -13422.7; 0.0
315.0; 6.533; 0.00000; 0.0; -13337.7; 0.0
318.0; 6.607; 0.00000; 0.0; -13253.5; 0.0
321.0; 6.684; 0.00000; 0.0; -13170.0; 0.0
324.0; 6.762; 0.00007; 0.0; -13080.5; 3.3
327.0; 6.842; 0.00057; 0.0; -12943.6; 29.1
330.0; 6.924; 0.00118; 0.0; -12756.5; 77.7
333.0; 7.008; 0.00175; 0.0; -12523.5; 146.1
336.0; 7.095; 0.00228; 0.0; -12255.0; 228.0
339.0; 7.185; 0.00281; 0.0; -11962.2; 317.7
342.0; 7.277; 0.00342; 0.0; -11652.4; 411.4
345.0; 7.372; 0.00419; 0.0; -11327.5; 507.9
348.0; 7.470; 0.00518; 0.0; -10984.6; 607.8
351.0; 7.572; 0.00646; 0.0; -10617.3; 712.8
354.0; 7.678; 0.00811; 0.0; -10215.6; 825.5
