# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 40.83; 0.00037; -0.00364; 1.13098; -0.02525
3.0; 0.073; 41.09; 0.00039; -0.00386; 1.05596; -0.02550
6.0; 0.146; 41.34; 0.00041; -0.00409; 0.98026; -0.02576
9.0; 0.218; 41.58; 0.00044; -0.00434; 0.90387; -0.02601
12.0; 0.290; 41.83; 0.00047; -0.00461; 0.82679; -0.02628
15.0; 0.362; 42.06; 0.00051; -0.00491; 0.74899; -0.02655
18.0; 0.433; 42.30; 0.00054; -0.00523; 0.67046; -0.02683
21.0; 0.504; 42.53; 0.00058; -0.00557; 0.59118; -0.02713
24.0; 0.574; 42.75; 0.00062; -0.00593; 0.51111; -0.02743
27.0; 0.644; 42.98; 0.00066; -0.00633; 0.43024; -0.02775
30.0; 0.714; 43.20; 0.00071; -0.00676; 0.34853; -0.02809
33.0; 0.783; 43.41; 0.00076; -0.00722; 0.26593; -0.02844
36.0; 0.852; 43.63; 0.00082; -0.00771; 0.18240; -0.02881
39.0; 0.921; 43.83; 0.00088; -0.00824; 0.09790; -0.02921
42.0; 0.989; 44.04; 0.00095; -0.00882; 0.01235; -0.02963
45.0; 1.057; 44.24; 0.00102; -0.00943; -0.07429; -0.03008
48.0; 1.125; 44.44; 0.00109; -0.01010; -0.16210; -0.03056
51.0; 1.192; 44.64; 0.00117; -0.01081; -0.25116; -0.03107
54.0; 1.259; 44.83; 0.00126; -0.01158; -0.34155; -0.03161
57.0; 1.326; 45.03; 0.00136; -0.01241; -0.43336; -0.03220
60.0; 1.393; 45.22; 0.00146; -0.01331; -0.52671; -0.03283
63.0; 1.459; 45.40; 0.00157; -0.01427; -0.62169; -0.03351
66.0; 1.525; 45.58; 0.00169; -0.01531; -0.71845; -0.03424
69.0; 1.591; 45.77; 0.00182; -0.01643; -0.81710; -0.03503
72.0; 1.656; 45.94; 0.00196; -0.01764; -0.91778; -0.03585
75.0; 1.721; 46.12; 0.00211; -0.01894; -1.02045; -0.03664
78.0; 1.786; 46.29; 0.00228; -0.02035; -1.12485; -0.03730
81.0; 1.851; 46.47; 0.00245; -0.02187; -1.23046; -0.03779
84.0; 1.915; 46.64; 0.00264; -0.02352; -1.33669; -0.03810
87.0; 1.979; 46.80; 0.00285; -0.02529; -1.44296; -0.03823
90.0; 2.043; 46.97; 0.00308; -0.02721; -1.54870; -0.03819
93.0; 2.107; 47.13; 0.00332; -0.02928; -1.65336; -0.03799
96.0; 2.171; 47.29; 0.00358; -0.03152; -1.75642; -0.03765
99.0; 2.234; 47.45; 0.00387; -0.03393; -1.85739; -0.03716
102.0; 2.297; 47.60; 0.00418; -0.03654; -1.95578; -0.03655
105.0; 2.360; 47.76; 0.00451; -0.03935; -2.05115; -0.03581
108.0; 2.422; 47.91; 0.00488; -0.04239; -2.14308; -0.03497
111.0; 2.485; 48.06; 0.00527; -0.04567; -2.23119; -0.03404
114.0; 2.547; 48.21; 0.00570; -0.04921; -2.31514; -0.03302
117.0; 2.609; 48.36; 0.00616; -0.05303; -2.39459; -0.03195
120.0; 2.671; 48.50; 0.00666; -0.05717; -2.46928; -0.03083
123.0; 2.732; 48.64; 0.00721; -0.06164; -2.53898; -0.02967
126.0; 2.794; 48.78; 0.00781; -0.06649; -2.60350; -0.02852
129.0; 2.855; 48.92; 0.00845; -0.07173; -2.66270; -0.02737
132.0; 2.916; 49.06; 0.00916; -0.07736; -2.71649; -0.02627
135.0; 2.976; 49.19; 0.00993; -0.08336; -2.76485; -0.02522
138.0; 3.037; 49.33; 0.01076; -0.08964; -2.80779; -0.02425
141.0; 3.097; 49.46; 0.01165; -0.09605; -2.84538; -0.02337
144.0; 3.157; 49.58; 0.01259; -0.10235; -2.87773; -0.02258
147.0; 3.217; 49.71; 0.01357; -0.10824; -2.90507; -0.02195
150.0; 3.277; 49.84; 0.01456; -0.11335; -2.92791; -0.02155
153.0; 3.337; 49.96; 0.01552; -0.11734; -2.94701; -0.02140
156.0; 3.397; 50.08; 0.01641; -0.11992; -2.96325; -0.02147
159.0; 3.456; 50.20; 0.01719; -0.12093; -2.97739; -0.02166
162.0; 3.515; 50.32; 0.01782; -0.12039; -2.99007; -0.02189
165.0; 3.574; 50.43; 0.01826; -0.11847; -3.00174; -0.02205
168.0; 3.633; 50.55; 0.01851; -0.11551; -3.01271; -0.02209
171.0; 3.692; 50.66; 0.01856; -0.11188; -3.02310; -0.02196
174.0; 3.751; 50.77; 0.01845; -0.10794; -3.03288; -0.02162
177.0; 3.810; 50.88; 0.01819; -0.10405; -3.04191; -0.02107
180.0; 3.868; 50.99; 0.01783; -0.10048; -3.04994; -0.02033
183.0; 3.927; 51.10; 0.01741; -0.09741; -3.05666; -0.01941
186.0; 3.985; 51.21; 0.01697; -0.09491; -3.06173; -0.01835
189.0; 4.043; 51.32; 0.01654; -0.09305; -3.06479; -0.01719
192.0; 4.101; 51.43; 0.01615; -0.09183; -3.06551; -0.01597
195.0; 4.159; 51.53; 0.01582; -0.09129; -3.06362; -0.01471
198.0; 4.217; 51.64; 0.01556; -0.09145; -3.05888; -0.01347
201.0; 4.274; 51.74; 0.01539; -0.09234; -3.05114; -0.01228
204.0; 4.332; 51.85; 0.01532; -0.09400; -3.04034; -0.01118
207.0; 4.389; 51.95; 0.01536; -0.09643; -3.02651; -0.01022
210.0; 4.447; 52.05; 0.01551; -0.09960; -3.00979; -0.00944
213.0; 4.504; 52.15; 0.01579; -0.10341; -2.99041; -0.00888
216.0; 4.561; 52.25; 0.01619; -0.10764; -2.96872; -0.00857
219.0; 4.618; 52.35; 0.01669; -0.11199; -2.94518; -0.00856
222.0; 4.675; 52.44; 0.01728; -0.11603; -2.92052; -0.00892
225.0; 4.732; 52.54; 0.01791; -0.11925; -2.89573; -0.00971
228.0; 4.788; 52.63; 0.01853; -0.12112; -2.87202; -0.01090
231.0; 4.845; 52.73; 0.01908; -0.12111; -2.85058; -0.01241
234.0; 4.902; 52.82; 0.01949; -0.11876; -2.83249; -0.01410
237.0; 4.958; 52.91; 0.01967; -0.11377; -2.81869; -0.01586
240.0; 5.014; 53.00; 0.01955; -0.10597; -2.80988; -0.01751
243.0; 5.071; 53.09; 0.01908; -0.09537; -2.80651; -0.01890
246.0; 5.127; 53.18; 0.01820; -0.08217; -2.80875; -0.01989
249.0; 5.183; 53.27; 0.01691; -0.06679; -2.81639; -0.02033
252.0; 5.239; 53.36; 0.01522; -0.04988; -2.82891; -0.02014
255.0; 5.295; 53.45; 0.01319; -0.03231; -2.84540; -0.01925
258.0; 5.351; 53.52; 0.01094; -0.01624; -2.86467; -0.01770
261.0; 5.407; 53.54; 0.00868; -0.00429; -2.88533; -0.01566
264.0; 5.463; 53.45; 0.00659; 0.00385; -2.90597; -0.01335
267.0; 5.519; 53.25; 0.00477; 0.00902; -2.92541; -0.01097
270.0; 5.576; 52.91; 0.00324; 0.01175; -2.94280; -0.00864
273.0; 5.633; 52.43; 0.00200; 0.01229; -2.95766; -0.00651
276.0; 5.690; 51.82; 0.00105; 0.01087; -2.96986; -0.00469
279.0; 5.748; 51.11; 0.00039; 0.00795; -2.97959; -0.00326
282.0; 5.807; 50.31; 0.00001; 0.00422; -2.98727; -0.00229
285.0; 5.868; 49.49; -0.00012; 0.00011; -2.99357; -0.00183
288.0; 5.929; 48.67; -0.00008; -0.00119; -2.99924; -0.00180
291.0; 5.991; 47.84; -0.00002; -0.00076; -3.00510; -0.00206
294.0; 6.054; 47.00; 0.00001; -0.00012; -3.01198; -0.00257
297.0; 6.119; 46.16; 0.00001; 0.00013; -3.02075; -0.00334
300.0; 6.184; 45.30; 0.00000; 0.00011; -3.03227; -0.00439
303.0; 6.251; 44.44; -0.00000; 0.00002; -3.04740; -0.00573
306.0; 6.319; 43.57; -0.00000; -0.00001; -3.06700; -0.00736
309.0; 6.389; 42.69; -0.00000; -0.00001; -3.09193; -0.00927
312.0; 6.460; 41.80; -0.00000; -0.00000; -3.12304; -0.01147
315.0; 6.533; 40.90; -0.00000; 0.00000; -3.16121; -0.01395
318.0; 6.607; 39.99; -0.00000; 0.00000; -3.20729; -0.01672
321.0; 6.684; 39.07; -0.00000; 0.00000; -3.26216; -0.01978
324.0; 6.762; 38.13; -0.00000; 0.00000; -3.32668; -0.02312
327.0; 6.842; 37.17; -0.00001; 0.00072; -3.40171; -0.02671
330.0; 6.924; 36.21; -0.00016; 0.00622; -3.48785; -0.03030
333.0; 7.008; 35.23; -0.00061; 0.01494; -3.58528; -0.03355
336.0; 7.095; 34.25; -0.00138; 0.02507; -3.69362; -0.03624
339.0; 7.185; 33.26; -0.00241; 0.03560; -3.81186; -0.03823
342.0; 7.277; 32.27; -0.00356; 0.04626; -3.93835; -0.03944
345.0; 7.372; 31.27; -0.00477; 0.05729; -4.07085; -0.03977
348.0; 7.470; 30.27; -0.00598; 0.06911; -4.20657; -0.03907
351.0; 7.572; 29.27; -0.00717; 0.08223; -4.34205; -0.03714
354.0; 7.678; 28.26; -0.00835; 0.09714; -4.47310; -0.03369
357.0; 7.787; 27.26; -0.00953; 0.11443; -4.59455; -0.02835
360.0; 7.900; 26.27; -0.01076; 0.13478; -4.69999; -0.02064
363.0; 8.018; 25.29; -0.01205; 0.15905; -4.78135; -0.00987
366.0; 8.140; 24.34; -0.01346; 0.18811; -4.82823; 0.00490
369.0; 8.267; 23.42; -0.01505; 0.22252; -4.82718; 0.02483
372.0; 8.399; 22.54; -0.01689; 0.26179; -4.76157; 0.05101
375.0; 8.536; 21.73; -0.01906; 0.30361; -4.61199; 0.08432
378.0; 8.678; 20.98; -0.02157; 0.34386; -4.35701; 0.12515
381.0; 8.826; 20.28; -0.02432; 0.37839; -3.97440; 0.17287
384.0; 8.981; 19.60; -0.02705; 0.40560; -3.44398; 0.22446
387.0; 9.143; 18.94; -0.02948; 0.42754; -2.75501; 0.27483
390.0; 9.314; 18.29; -0.03151; 0.45062; -1.91311; 0.32014
393.0; 9.493; 17.65; -0.03340; 0.47328; -0.93971; 0.35889
396.0; 9.678; 17.02; -0.03524; 0.49731; 0.13349; 0.39068
399.0; 9.867; 16.43; -0.03750; 0.53060; 1.26776; 0.41496
402.0; 10.055; 15.90; -0.04169; 0.57021; 2.40588; 0.42598
405.0; 10.236; 15.42; -0.04955; 0.61529; 3.44313; 0.40856
408.0; 10.399; 15.16; -0.05873; 0.63310; 4.24793; 0.34607
411.0; 10.545; 14.99; -0.06861; 0.65222; 4.75918; 0.24690
414.0; 10.681; 15.01; -0.07696; 0.62744; 5.00322; 0.13761
417.0; 10.817; 15.08; -0.08174; 0.59672; 5.00987; 0.02790
420.0; 10.953; 15.15; -0.08285; 0.56783; 4.78071; -0.08547
423.0; 11.098; 15.20; -0.07978; 0.53522; 4.29403; -0.19217
426.0; 11.261; 15.25; -0.07006; 0.49090; 3.53593; -0.27136
429.0; 11.443; 15.29; -0.04847; 0.42347; 2.56443; -0.31632
432.0; 11.637; 15.61; -0.01174; 0.34329; 1.50937; -0.34037
435.0; 11.833; 16.08; 0.00250; 0.43615; 0.46950; -0.33014
438.0; 12.027; 16.48; -0.00002; 0.47660; -0.48684; -0.28711
441.0; 12.215; 16.85; -0.00343; 0.46544; -1.30331; -0.23471
444.0; 12.399; 17.23; -0.00483; 0.43485; -1.96697; -0.18537
447.0; 12.577; 17.66; -0.00484; 0.39811; -2.48927; -0.14272
450.0; 12.750; 18.15; -0.00450; 0.36029; -2.88905; -0.10689
453.0; 12.918; 18.68; -0.00429; 0.32305; -3.18656; -0.07733
456.0; 13.081; 19.25; -0.00426; 0.28718; -3.40081; -0.05333
459.0; 13.239; 19.85; -0.00432; 0.25337; -3.54837; -0.03413
462.0; 13.391; 20.47; -0.00439; 0.22220; -3.64306; -0.01891
465.0; 13.538; 21.10; -0.00443; 0.19401; -3.69599; -0.00686
468.0; 13.681; 21.75; -0.00441; 0.16893; -3.71574; 0.00280
471.0; 13.819; 22.40; -0.00435; 0.14703; -3.70855; 0.01073
474.0; 13.953; 23.05; -0.00425; 0.12835; -3.67902; 0.01729
477.0; 14.083; 23.70; -0.00412; 0.11290; -3.63139; 0.02233
480.0; 14.209; 24.34; -0.00400; 0.10032; -3.57073; 0.02558
483.0; 14.332; 24.98; -0.00389; 0.09028; -3.50250; 0.02709
486.0; 14.452; 25.61; -0.00380; 0.08301; -3.43152; 0.02722
489.0; 14.570; 26.22; -0.00379; 0.07923; -3.36152; 0.02639
492.0; 14.684; 26.82; -0.00389; 0.07932; -3.29496; 0.02507
495.0; 14.796; 27.41; -0.00411; 0.08053; -3.23332; 0.02350
498.0; 14.906; 27.98; -0.00437; 0.08091; -3.17762; 0.02165
501.0; 15.013; 28.53; -0.00463; 0.08124; -3.12875; 0.01951
504.0; 15.118; 29.08; -0.00487; 0.08159; -3.08759; 0.01707
507.0; 15.222; 29.61; -0.00511; 0.08195; -3.05501; 0.01435
510.0; 15.323; 30.13; -0.00535; 0.08232; -3.03179; 0.01138
513.0; 15.423; 30.64; -0.00558; 0.08268; -3.01858; 0.00824
516.0; 15.521; 31.14; -0.00580; 0.08304; -3.01572; 0.00503
519.0; 15.618; 31.63; -0.00602; 0.08340; -3.02334; 0.00177
522.0; 15.713; 32.11; -0.00624; 0.08377; -3.04153; -0.00150
525.0; 15.807; 32.58; -0.00645; 0.08413; -3.07032; -0.00479
528.0; 15.900; 33.04; -0.00675; 0.08928; -3.10949; -0.00782
531.0; 15.991; 33.48; -0.00730; 0.09892; -3.15815; -0.01016
534.0; 16.081; 33.91; -0.00804; 0.10445; -3.21500; -0.01191
537.0; 16.170; 34.33; -0.00875; 0.10890; -3.27877; -0.01327
540.0; 16.258; 34.73; -0.00962; 0.12372; -3.34776; -0.01374
543.0; 16.345; 35.09; -0.01108; 0.14765; -3.41919; -0.01248
546.0; 16.431; 35.43; -0.01327; 0.17380; -3.48921; -0.00910
549.0; 16.516; 35.73; -0.01589; 0.19252; -3.55356; -0.00392
552.0; 16.601; 35.99; -0.01836; 0.19622; -3.60868; 0.00204
555.0; 16.685; 36.10; -0.02049; 0.19381; -3.65271; 0.00796
558.0; 16.770; 36.00; -0.02228; 0.18439; -3.68547; 0.01338
561.0; 16.855; 35.64; -0.02343; 0.16251; -3.70815; 0.01753
564.0; 16.941; 35.05; -0.02333; 0.12872; -3.72307; 0.01949
567.0; 17.028; 34.27; -0.02141; 0.08668; -3.73339; 0.01843
570.0; 17.118; 33.41; -0.01749; 0.04471; -3.74298; 0.01394
573.0; 17.210; 32.51; -0.01310; 0.03956; -3.75585; 0.00783
576.0; 17.305; 31.59; -0.01075; 0.07974; -3.77390; 0.00395
579.0; 17.402; 30.74; -0.01194; 0.15404; -3.79334; 0.00613
582.0; 17.503; 29.99; -0.01654; 0.23420; -3.80341; 0.01623
585.0; 17.605; 29.36; -0.02329; 0.29289; -3.78950; 0.03335
588.0; 17.709; 28.80; -0.03068; 0.32295; -3.73820; 0.05491
591.0; 17.816; 28.28; -0.03753; 0.33218; -3.63968; 0.07851
594.0; 17.925; 27.78; -0.04320; 0.33418; -3.48702; 0.10286
597.0; 18.035; 27.30; -0.04776; 0.33744; -3.27483; 0.12768
600.0; 18.148; 26.84; -0.05148; 0.33677; -2.99938; 0.15219
603.0; 18.264; 26.38; -0.05436; 0.33803; -2.66111; 0.17426
606.0; 18.381; 25.92; -0.05701; 0.35066; -2.26821; 0.19180
609.0; 18.502; 25.50; -0.06063; 0.37798; -1.83682; 0.20444
612.0; 18.624; 25.20; -0.06508; 0.39340; -1.38684; 0.21170
615.0; 18.747; 25.01; -0.06953; 0.39688; -0.93992; 0.21211
618.0; 18.870; 24.85; -0.07385; 0.39995; -0.51867; 0.20555
621.0; 18.993; 24.69; -0.07860; 0.40795; -0.14271; 0.19383
624.0; 19.115; 24.52; -0.08446; 0.42127; 0.17392; 0.17895
627.0; 19.238; 24.38; -0.09157; 0.43172; 0.41978; 0.16090
630.0; 19.359; 24.36; -0.09792; 0.41490; 0.58143; 0.13646
633.0; 19.480; 24.39; -0.10163; 0.38902; 0.64080; 0.10195
636.0; 19.601; 24.41; -0.10241; 0.36505; 0.57656; 0.05750
639.0; 19.722; 24.43; -0.10026; 0.34026; 0.37391; 0.00886
642.0; 19.845; 24.44; -0.09475; 0.31178; 0.03929; -0.03517
645.0; 19.970; 24.45; -0.08508; 0.27683; -0.39549; -0.06903
648.0; 20.095; 24.45; -0.07015; 0.23321; -0.88416; -0.09246
651.0; 20.221; 24.53; -0.04944; 0.18574; -1.37808; -0.10742
654.0; 20.346; 24.76; -0.02871; 0.19324; -1.83738; -0.11294
657.0; 20.469; 25.04; -0.01955; 0.28041; -2.24109; -0.10248
660.0; 20.591; 25.28; -0.02083; 0.34056; -2.57845; -0.07814
663.0; 20.711; 25.49; -0.02490; 0.34529; -2.84180; -0.04900
666.0; 20.829; 25.69; -0.02702; 0.31484; -3.02742; -0.02115
669.0; 20.947; 25.93; -0.02558; 0.26578; -3.13552; 0.00238
672.0; 21.063; 26.25; -0.02108; 0.21027; -3.17135; 0.02021
675.0; 21.177; 26.66; -0.01559; 0.15921; -3.14619; 0.03246
678.0; 21.290; 27.14; -0.01098; 0.11668; -3.07567; 0.04018
681.0; 21.400; 27.67; -0.00772; 0.08473; -2.97509; 0.04473
684.0; 21.508; 28.23; -0.00570; 0.07051; -2.85523; 0.04797
687.0; 21.613; 28.78; -0.00488; 0.07732; -2.72046; 0.05210
690.0; 21.717; 29.31; -0.00491; 0.08009; -2.57032; 0.05760
693.0; 21.819; 29.83; -0.00432; 0.03152; -2.40598; 0.06094
696.0; 21.919; 30.35; -0.00188; -0.03808; -2.23472; 0.05903
699.0; 22.017; 30.85; 0.00162; -0.09087; -2.06736; 0.05243
702.0; 22.113; 31.34; 0.00474; -0.10784; -1.91273; 0.04414
705.0; 22.208; 31.81; 0.00660; -0.10349; -1.77450; 0.03677
708.0; 22.302; 32.24; 0.00801; -0.13446; -1.65417; 0.02901
711.0; 22.394; 32.61; 0.01065; -0.18382; -1.55494; 0.01856
714.0; 22.486; 32.92; 0.01468; -0.23104; -1.48164; 0.00497
717.0; 22.576; 33.17; 0.01958; -0.26566; -1.43918; -0.01097
720.0; 22.666; 33.37; 0.02473; -0.28713; -1.43123; -0.02809
723.0; 22.755; 33.52; 0.02970; -0.29941; -1.45976; -0.04545
726.0; 22.844; 33.64; 0.03431; -0.30575; -1.52511; -0.06223
729.0; 22.933; 33.73; 0.03843; -0.30718; -1.62489; -0.07703
732.0; 23.021; 33.80; 0.04193; -0.30385; -1.75138; -0.08761
735.0; 23.108; 33.86; 0.04462; -0.29638; -1.89067; -0.09199
738.0; 23.195; 33.91; 0.04635; -0.28609; -2.02519; -0.08921
741.0; 23.282; 33.95; 0.04706; -0.27465; -2.13631; -0.07895
744.0; 23.367; 34.00; 0.04683; -0.26379; -2.20538; -0.06130
747.0; 23.453; 34.06; 0.04584; -0.25507; -2.21557; -0.03772
750.0; 23.538; 34.12; 0.04440; -0.24958; -2.15660; -0.01187
753.0; 23.623; 34.19; 0.04283; -0.24769; -2.02833; 0.01235
756.0; 23.708; 34.27; 0.04143; -0.24869; -1.83800; 0.03300
759.0; 23.794; 34.35; 0.04037; -0.25077; -1.59516; 0.04974
762.0; 23.880; 34.44; 0.03965; -0.25159; -1.30946; 0.06278
765.0; 23.967; 34.54; 0.03908; -0.24908; -0.99036; 0.07242
768.0; 24.053; 34.64; 0.03835; -0.24194; -0.64749; 0.07888
771.0; 24.140; 34.75; 0.03713; -0.22977; -0.29117; 0.08235
774.0; 24.227; 34.89; 0.03519; -0.21282; 0.06783; 0.08312
777.0; 24.313; 35.05; 0.03239; -0.19180; 0.41902; 0.08155
780.0; 24.399; 35.24; 0.02882; -0.16802; 0.75294; 0.07799
783.0; 24.485; 35.48; 0.02475; -0.14366; 1.06193; 0.07293
786.0; 24.570; 35.76; 0.02066; -0.12216; 1.34161; 0.06712
789.0; 24.654; 36.07; 0.01706; -0.10809; 1.59125; 0.06099
792.0; 24.737; 36.41; 0.01443; -0.10593; 1.81178; 0.05412
795.0; 24.819; 36.75; 0.01308; -0.11640; 2.00305; 0.04556
798.0; 24.900; 37.08; 0.01300; -0.13280; 2.16279; 0.03462
801.0; 24.981; 37.41; 0.01361; -0.13619; 2.28772; 0.02195
804.0; 25.060; 37.73; 0.01397; -0.12557; 2.37571; 0.00918
807.0; 25.139; 38.04; 0.01338; -0.09453; 2.42768; -0.00170
810.0; 25.218; 38.34; 0.01141; -0.05433; 2.44785; -0.00937
813.0; 25.296; 38.64; 0.00846; -0.01855; 2.44256; -0.01372
816.0; 25.373; 38.94; 0.00532; 0.00603; 2.41900; -0.01546
819.0; 25.450; 39.23; 0.00257; 0.02036; 2.38407; -0.01545
822.0; 25.526; 39.52; 0.00047; 0.02748; 2.34356; -0.01438
825.0; 25.601; 39.80; -0.00101; 0.03006; 2.30195; -0.01266
828.0; 25.677; 40.07; -0.00195; 0.03001; 2.26249; -0.01056
831.0; 25.751; 40.34; -0.00249; 0.02849; 2.22748; -0.00823
834.0; 25.825; 40.61; -0.00274; 0.02619; 2.19855; -0.00575
837.0; 25.899; 40.87; -0.00280; 0.02348; 2.17678; -0.00318
840.0; 25.972; 41.12; -0.00271; 0.02054; 2.16276; -0.00065
843.0; 26.045; 41.37; -0.00253; 0.01743; 2.15653; 0.00172
846.0; 26.117; 41.62; -0.00229; 0.01416; 2.15773; 0.00387
849.0; 26.189; 41.86; -0.00199; 0.01070; 2.16583; 0.00578
852.0; 26.261; 42.10; -0.00166; 0.00702; 2.18025; 0.00744
855.0; 26.332; 42.33; -0.00129; 0.00311; 2.20031; 0.00884
858.0; 26.403; 42.56; -0.00088; -0.00105; 2.22531; 0.00995
861.0; 26.473; 42.79; -0.00044; -0.00541; 2.25452; 0.01078
864.0; 26.543; 43.01; 0.00004; -0.00986; 2.28714; 0.01131
867.0; 26.613; 43.23; 0.00054; -0.01421; 2.32237; 0.01155
870.0; 26.682; 43.44; 0.00104; -0.01822; 2.35940; 0.01151
873.0; 26.751; 43.66; 0.00154; -0.02152; 2.39747; 0.01123
876.0; 26.820; 43.86; 0.00199; -0.02372; 2.43584; 0.01077
879.0; 26.888; 44.07; 0.00235; -0.02434; 2.47388; 0.01020
882.0; 26.956; 44.22; 0.00262; -0.02384; 2.51112; 0.00960
885.0; 27.024; 44.24; 0.00280; -0.02259; 2.54728; 0.00904
888.0; 27.092; 44.09; 0.00291; -0.02013; 2.58232; 0.00857
891.0; 27.160; 43.75; 0.00290; -0.01597; 2.61636; 0.00829
894.0; 27.229; 43.20; 0.00273; -0.01022; 2.64973; 0.00831
897.0; 27.299; 42.48; 0.00235; -0.00344; 2.68290; 0.00872
900.0; 27.371; 41.63; 0.00176; 0.00325; 2.71646; 0.00955
903.0; 27.444; 40.73; 0.00101; 0.00894; 2.75109; 0.01079
906.0; 27.518; 39.82; 0.00029; 0.00746; 2.78737; 0.01212
909.0; 27.594; 38.90; -0.00006; 0.00144; 2.82558; 0.01312
912.0; 27.672; 37.96; -0.00007; -0.00070; 2.86580; 0.01381
915.0; 27.753; 37.00; -0.00002; -0.00048; 2.90804; 0.01441
918.0; 27.835; 36.04; 0.00000; -0.00006; 2.95217; 0.01500
921.0; 27.919; 35.05; 0.00000; 0.00004; 2.99806; 0.01557
924.0; 28.006; 34.04; 0.00000; 0.00002; 3.04560; 0.01610
927.0; 28.096; 33.02; -0.00000; 0.00000; 3.09469; 0.01660
930.0; 28.188; 31.97; -0.00000; -0.00000; 3.14521; 0.01706
933.0; 28.284; 30.90; 0.00000; -0.00000; 3.19705; 0.01748
936.0; 28.382; 29.80; 0.00000; -0.00000; 3.25012; 0.01787
939.0; 28.485; 28.66; 0.00000; -0.00000; 3.30428; 0.01822
942.0; 28.592; 27.49; 0.00000; -0.00000; 3.35946; 0.01854
945.0; 28.704; 26.29; 0.00000; -0.00000; 3.41569; 0.01896
948.0; 28.821; 25.03; 0.00008; -0.00397; 3.47359; 0.01965
951.0; 28.944; 23.75; 0.00056; -0.02109; 3.53387; 0.01996
954.0; 29.075; 22.43; 0.00161; -0.04807; 3.59532; 0.01869
957.0; 29.213; 21.11; 0.00295; -0.08405; 3.65201; 0.01415
960.0; 29.362; 19.79; 0.00421; -0.13047; 3.69093; 0.00412
963.0; 29.520; 18.50; 0.00501; -0.18913; 3.69159; -0.01285
966.0; 29.692; 17.25; 0.00511; -0.26035; 3.63171; -0.03500
969.0; 29.881; 16.06; 0.00435; -0.34205; 3.49614; -0.05859
972.0; 30.088; 14.95; 0.00278; -0.43059; 3.27706; -0.08246
975.0; 30.316; 13.96; 0.00078; -0.53133; 2.96400; -0.11006
978.0; 30.563; 13.05; -0.00117; -0.60443; 2.54214; -0.14257
981.0; 30.828; 12.20; -0.00558; -0.66015; 1.99402; -0.17996
984.0; 31.111; 11.36; -0.01484; -0.69200; 1.30830; -0.21159
987.0; 31.415; 10.38; -0.03302; -0.71530; 0.54461; -0.19768
990.0; 31.720; 10.14; -0.05410; -0.75914; -0.06564; -0.08261
993.0; 32.012; 9.92; -0.06043; -0.80124; -0.22560; 0.08866
996.0; 32.305; 10.40; -0.05831; -0.76273; 0.06610; 0.20952
999.0; 32.600; 10.84; -0.05042; -0.75084; 0.61336; 0.23867
1002.0; 32.892; 11.27; -0.04269; -0.72411; 1.21627; 0.22556
1005.0; 33.181; 11.74; -0.03590; -0.68502; 1.79838; 0.20311
1008.0; 33.459; 12.31; -0.02958; -0.62022; 2.32811; 0.17596
1011.0; 33.721; 13.01; -0.02297; -0.52844; 2.78085; 0.14570
1014.0; 33.962; 13.82; -0.01623; -0.42341; 3.14629; 0.11442
1017.0; 34.183; 14.71; -0.01030; -0.32022; 3.42235; 0.08310
1020.0; 34.386; 15.65; -0.00579; -0.22864; 3.61353; 0.05470
1023.0; 34.574; 16.60; -0.00277; -0.15422; 3.73644; 0.03399
