# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,1.4349647,1.6667244,1.1685139,2.6122221,1.4287179,-0.0407717,0.6796,0.1750
0.0991309,1.3416789,1.6991411,1.1819315,-2.9510840,1.4258861,-0.0407717,0.6710,0.1767
0.1982619,1.2537420,1.7424199,1.1196684,0.9464789,1.4230487,4.0427064,0.6648,0.1778
0.2973928,1.1621261,1.7808705,1.2303694,1.1497948,1.6812443,2.6933276,0.6547,0.1844
0.3965237,1.0674013,1.8087064,1.3381925,1.0607209,1.8331848,2.3679859,0.6407,0.1940
0.4956547,0.9707689,1.8264319,1.4395034,1.0060340,1.9570508,2.0700358,0.6237,0.2083
0.5947856,0.8705595,1.8345284,1.5410170,1.0098817,2.0592370,1.6326041,0.6082,0.2238
0.6939165,0.7714452,1.8324971,1.6420414,1.0385740,2.1363848,1.0765491,0.5965,0.2386
0.7930475,0.6728237,1.8202229,1.7478831,1.0845547,2.1857673,-0.7202598,0.5904,0.2524
0.8921784,0.5759636,1.7973263,1.8592064,1.1592104,2.1528536,-0.6208706,0.6018,0.2661
0.9913093,0.4827996,1.7636595,1.9767224,1.2123200,2.1240724,-0.4022823,0.6249,0.2771
1.0904403,0.3942521,1.7189806,2.1007582,1.2830974,2.1052141,-0.3706632,0.6549,0.2853
1.1895712,0.3121497,1.6635392,2.2291796,1.3116485,2.0876872,-0.3660959,0.6888,0.2884
1.2887022,0.2379548,1.5979304,2.3609312,1.3304264,2.0702307,-0.3323611,0.7281,0.2862
1.3878331,0.1730060,1.5231343,2.4919202,1.3160694,2.0542543,-0.4360615,0.7704,0.2801
1.4869640,0.1182943,1.4404641,2.6212875,1.2768526,2.0331026,-0.6969923,0.8155,0.2689
1.5860950,0.0745146,1.3516129,2.7456387,1.2388536,1.9988295,-0.9854059,0.8621,0.2556
1.6852259,0.0417824,1.2576141,2.8662969,1.1816803,1.9493463,-1.4661971,0.9067,0.2412
1.7843568,0.0204810,1.1611653,2.9819284,1.1639288,1.8733019,-1.8510145,0.9471,0.2254
1.8834878,0.0102918,1.0615282,3.0972187,1.1512288,1.7726461,-2.3373446,0.9754,0.2076
1.9826187,0.0116778,0.9619252,-3.0684021,1.2072095,1.6367248,-2.7286768,0.9917,0.1910
2.0817496,0.0247953,0.8647590,-2.9438106,1.3692040,1.4621475,-3.0348766,0.9956,0.1790
2.1808806,0.0520605,0.7670902,-2.7887996,1.7535940,1.2394253,-3.2631350,0.9887,0.1750
