# MPC Raceline Trajectory — generated by Raceline-Optimization
# s_m [m], x_m [m], y_m [m], psi_rad [rad], kappa_radpm [rad/m], vx_mps [m/s], ax_mps2 [m/s^2], w_tr_right_m [m], w_tr_left_m [m]
s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,5.8624658,2.9743689,1.1944295,0.0965831,4.3642440,3.7784662,0.9898,0.4650
0.0499931,5.8160884,2.9925674,1.1993101,0.0993189,4.4073144,3.6812613,0.9887,0.4587
0.0999861,5.7695264,3.0105727,1.2043331,0.1018820,4.4488757,3.5865934,0.9875,0.4525
0.1499792,5.7227610,3.0283836,1.2094919,0.1042650,4.4889982,3.4948459,0.9864,0.4463
0.1999722,5.6757731,3.0459986,1.2147800,0.1064614,4.5277523,3.4063760,0.9853,0.4401
0.2499653,5.6290531,3.0632303,1.2201289,0.1083765,4.5652087,0.0401066,0.9841,0.4388
0.2999583,5.5821186,3.0802536,1.2255890,0.1103637,4.5656479,-4.1123637,0.9828,0.4394
0.3499514,5.5349678,3.0970615,1.2311650,0.1124309,4.5203940,-4.1072483,0.9815,0.4401
0.3999444,5.4876107,3.1136427,1.2368599,0.1145810,4.4747395,-4.1032893,0.9801,0.4407
0.4499375,5.4404329,3.1298582,1.2426301,0.1167602,4.4286592,-4.0998581,0.9788,0.4403
0.4999305,5.3931088,3.1458162,1.2485172,0.1190033,4.3821334,-4.0969010,0.9775,0.4385
0.5499236,5.3456084,3.1615195,1.2545284,0.1213174,4.3351425,-4.0944648,0.9761,0.4367
0.5999166,5.2979399,3.1769579,1.2606666,0.1237049,4.2876649,-4.0923053,0.9748,0.4350
0.6499097,5.2503200,3.1920555,1.2669079,0.1261845,4.2396812,-4.0906070,0.9726,0.4335
0.6999027,5.2026008,3.2068542,1.2732761,0.1287524,4.1911685,-4.0894912,0.9675,0.4330
0.7498958,5.1547405,3.2213596,1.2797810,0.1314079,4.1421010,-4.0890231,0.9623,0.4325
0.7998888,5.1067479,3.2355613,1.2864263,0.1341542,4.0924510,-4.0881735,0.9572,0.4320
0.8498819,5.0587236,3.2494235,1.2931266,0.1325028,4.0422017,-4.1614335,0.9521,0.4315
0.8998749,5.0106255,3.2629627,1.2996535,0.1287451,3.9904021,-4.2681216,0.9354,0.4287
0.9498680,4.9624137,3.2761996,1.3059966,0.1249995,3.9365666,-4.3726161,0.9187,0.4260
0.9998610,4.9140924,3.2891424,1.3121562,0.1212672,3.8806386,-4.4727441,0.9019,0.4233
1.0498541,4.8657301,3.3017839,1.3179422,0.1039996,3.8225833,-4.7695917,0.8852,0.4205
1.0998471,4.8173288,3.3141684,1.3224201,0.0752745,3.7596876,-5.2171120,0.8759,0.4237
1.1498402,4.7688511,3.3263782,1.3254669,0.0466344,3.6896628,-5.6371051,0.8685,0.4282
1.1998332,4.7203145,3.3384826,1.3270851,0.0180837,3.6124756,-6.0257194,0.8610,0.4327
1.2498263,4.6717999,3.3505350,1.3272593,-0.0122691,3.5281003,-5.6987060,0.8535,0.4373
1.2998193,4.6233557,3.3626019,1.3258184,-0.0454198,3.4464039,-5.3385515,0.8510,0.4467
1.3498124,4.5748917,3.3747904,1.3227244,-0.0783621,3.3680735,-5.0137339,0.8513,0.4587
1.3998054,4.5264157,3.3871842,1.3179850,-0.1110155,3.2928127,-4.7388600,0.8515,0.4707
1.4497985,4.4780074,3.3998473,1.3116308,-0.1416819,3.2200614,-4.5461638,0.8517,0.4828
1.4997915,4.4298461,3.4128093,1.3039396,-0.1666947,3.1486890,-4.3751858,0.8527,0.4957
1.5497846,4.3817118,3.4261945,1.2949906,-0.1915055,3.0784386,-4.2249720,0.8545,0.5094
1.5997776,4.3336249,3.4400640,1.2847898,-0.2160950,3.0090440,-4.0900094,0.8563,0.5230
1.6497707,4.2856119,3.4544768,1.2733452,-0.2409791,2.9403064,-3.8614218,0.8581,0.5367
1.6997637,4.2378421,3.4694527,1.2603360,-0.2789828,2.8739021,-3.6417810,0.8591,0.5517
1.7497568,4.1902775,3.4850976,1.2453798,-0.3187442,2.8098373,-3.4270141,0.8592,0.5684
1.7997498,4.1430316,3.5014777,1.2284016,-0.3607321,2.7481870,-3.2134542,0.8593,0.5851
1.8497429,4.0962179,3.5186592,1.2093116,-0.4054022,2.6890949,-2.8599376,0.8594,0.6017
1.8997359,4.0493059,3.5369735,1.1873024,-0.4721682,2.6353894,-2.4748085,0.8589,0.6202
1.9497290,4.0029634,3.5563467,1.1617403,-0.5463719,2.5880168,-2.0756945,0.8573,0.6415
