# ef068680-a608-48ed-a943-cce1ff42cfde
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 215.1834947; 5.9503525; -0.7652277; -0.0000818; 40.8294662; 3.4877381
1.9999616; 216.5689885; 7.3926578; -0.7653943; -0.0000848; 40.9999512; 3.4707836
3.9999231; 217.9547279; 8.8347294; -0.7655667; -0.0000877; 41.1689065; 3.4534442
5.9998847; 219.3407225; 10.2765602; -0.7657451; -0.0000907; 41.3363324; 3.4062224
7.9998463; 220.7269745; 11.7181352; -0.7659297; -0.0000939; 41.5008072; 3.3899062
9.9998079; 222.1134991; 13.1594519; -0.7661206; -0.0000972; 41.6638496; 3.3733013
11.9997694; 223.5003066; 14.6005023; -0.7663184; -0.0001006; 41.8254625; 3.3284233
13.9997310; 224.8873986; 16.0412676; -0.7665232; -0.0001043; 41.9843155; 3.3126993
15.9996926; 226.2747936; 17.4817464; -0.7667356; -0.0001081; 42.1418235; 3.2967688
17.9996542; 227.6625038; 18.9219291; -0.7669558; -0.0001121; 42.2979918; 3.2540297
19.9996157; 229.0505298; 20.3617930; -0.7671842; -0.0001164; 42.4515722; 3.2388583
21.9995773; 230.4388944; 21.8013374; -0.7674213; -0.0001208; 42.6038868; 3.2235494
23.9995389; 231.8276112; 23.2405510; -0.7676675; -0.0001254; 42.7549426; 3.1827675
25.9995005; 233.2166804; 24.6794070; -0.7679232; -0.0001303; 42.9035656; 3.1681141
27.9994620; 234.6061288; 26.1179052; -0.7681889; -0.0001355; 43.0509948; 3.1533797
29.9994236; 235.9959723; 27.5560325; -0.7684651; -0.0001408; 43.1972387; 3.1143925
31.9993852; 237.3862102; 28.9937575; -0.7687523; -0.0001464; 43.3411901; 3.1002266
33.9993468; 238.7768743; 30.4310804; -0.7690510; -0.0001523; 43.4840135; 3.0860244
35.9993083; 240.1679826; 31.8679861; -0.7693618; -0.0001584; 43.6257182; 3.0486858
37.9992699; 241.5595340; 33.3044380; -0.7696852; -0.0001650; 43.7652579; 3.0349802
39.9992315; 242.9515653; 34.7404367; -0.7700219; -0.0001718; 43.9037298; 3.0212720
41.9991930; 244.3440972; 36.1759647; -0.7703724; -0.0001788; 44.0411438; 2.9854494
43.9991546; 245.7371284; 37.6109797; -0.7707375; -0.0001863; 44.1765086; 2.9721798
45.9991162; 247.1307011; 39.0454825; -0.7711179; -0.0001941; 44.3108610; 2.9589303
47.9990778; 248.5248391; 40.4794528; -0.7715142; -0.0002022; 44.4442111; 2.9245021
49.9990393; 249.9195409; 41.9128421; -0.7719273; -0.0002109; 44.5756175; 2.9116465
51.9990009; 251.3148550; 43.3456510; -0.7723579; -0.0002199; 44.7060627; 2.8988231
53.9989625; 252.7108087; 44.7778560; -0.7728069; -0.0002292; 44.8355563; 2.8656768
55.9989241; 254.1074004; 46.2094016; -0.7732753; -0.0002392; 44.9632027; 2.8532144
57.9988856; 255.5046857; 47.6402882; -0.7737638; -0.0002495; 45.0899350; 2.8407861
59.9988472; 256.9026958; 49.0704884; -0.7742734; -0.0002602; 45.2157623; 2.8088159
61.9988088; 258.3014290; 50.4999388; -0.7748054; -0.0002718; 45.3398303; 2.7967268
